Orthogroup	Syap	Syad
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syad.g_02865
OG0000004	Syap.g_01987	Syad.g_00810
OG0000005	Syap.g_01773	Syad.g_02639
OG0000005	Syap.g_01218	Syad.g_02596
OG0000006	Syap.g_02770	Syad.g_02130
OG0000007	Syap.g_00275	Syad.g_00923
OG0000007	Syap.g_00621	Syad.g_02623
OG0000009	Syap.g_02081	Syad.g_02799
OG0000010	Syap.g_02757	Syad.g_02354
OG0000013	Syap.g_00972	Syad.g_00724
OG0000014	Syap.g_01675	Syad.g_00480
OG0000015	Syap.g_02606	Syad.g_00142
OG0000016	Syap.g_00071	Syad.g_00176
OG0000018	Syap.g_02010	Syad.g_02306
OG0000019	Syap.g_01586	Syad.g_00569
OG0000025	Syap.g_01846	Syad.g_01241
OG0000028	Syap.g_01658	Syad.g_00463
OG0000030	Syap.g_00787	Syad.g_00328
OG0000030	Syap.g_00788	Syad.g_00327
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syad.g_00458
OG0000031	Syap.g_00722	Syad.g_00294
OG0000033	Syap.g_01198	Syad.g_02903, Syad.g_00289
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syad.g_02420, Syad.g_02872
OG0000035	Syap.g_02125, Syap.g_02465	Syad.g_02275
OG0000039	Syap.g_01749, Syap.g_01748	Syad.g_01249, Syad.g_01111
OG0000040	Syap.g_01819	Syad.g_00104
OG0000042	Syap.g_01891, Syap.g_01120	Syad.g_00333
OG0000044	Syap.g_00378	Syad.g_02214
OG0000045	Syap.g_02525	Syad.g_00964
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syad.g_00723
OG0000048	Syap.g_02340	Syad.g_00534
OG0000051	Syap.g_01574	Syad.g_00842, Syad.g_01967
OG0000053	Syap.g_02006	Syad.g_02302
OG0000057	Syap.g_01569	Syad.g_01301
OG0000058	Syap.g_02074	Syad.g_00452
OG0000059	Syap.g_01918	Syad.g_00642
OG0000060	Syap.g_00795	Syad.g_01508
OG0000061	Syap.g_00228	Syad.g_01152
OG0000062	Syap.g_01220	Syad.g_02598
OG0000063	Syap.g_01796	Syad.g_00202
OG0000066	Syap.g_01972	Syad.g_00992
OG0000067	Syap.g_00194	Syad.g_01889
OG0000068	Syap.g_00108, Syap.g_00144	Syad.g_00891
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syad.g_02424
OG0000073	Syap.g_00273	Syad.g_00926
OG0000075	Syap.g_01064, Syap.g_00664	Syad.g_00416
OG0000076	Syap.g_01111	Syad.g_00348
OG0000077	Syap.g_00416	Syad.g_02741
OG0000078	Syap.g_01149	Syad.g_00824
OG0000079	Syap.g_01589	Syad.g_00565
OG0000080	Syap.g_01707	Syad.g_02256
OG0000085	Syap.g_00611	Syad.g_02612
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syad.g_02860
OG0000088	Syap.g_01202	Syad.g_02899
OG0000089	Syap.g_00115, Syap.g_02042	Syad.g_00785, Syad.g_02829
OG0000090	Syap.g_01451	Syad.g_00977
OG0000091	Syap.g_01861	Syad.g_02144
OG0000094	Syap.g_02781	Syad.g_01676
OG0000095	Syap.g_01556	Syad.g_01290
OG0000099	Syap.g_01385	Syad.g_00460
OG0000102	Syap.g_01116	Syad.g_00343
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syad.g_00158
OG0000105	Syap.g_01369, Syap.g_01368	Syad.g_00530
OG0000107	Syap.g_02496	Syad.g_00590
OG0000108	Syap.g_00733, Syap.g_02255	Syad.g_00904
