Orthogroup	Syap	Prao
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prao.g_01254
OG0000004	Syap.g_01987	Prao.g_00370
OG0000005	Syap.g_01773	Prao.g_01565
OG0000005	Syap.g_01218	Prao.g_01472
OG0000006	Syap.g_02770	Prao.g_00379
OG0000007	Syap.g_00275	Prao.g_00603
OG0000007	Syap.g_00621	Prao.g_01552
OG0000010	Syap.g_02757	Prao.g_00985
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prao.g_00463
OG0000014	Syap.g_01675, Syap.g_00813	Prao.g_01213
OG0000015	Syap.g_02606, Syap.g_00786	Prao.g_00703
OG0000016	Syap.g_00071	Prao.g_00160
OG0000017	Syap.g_00449	Prao.g_00036
OG0000018	Syap.g_02708	Prao.g_00768
OG0000018	Syap.g_02010	Prao.g_01108
OG0000019	Syap.g_01586	Prao.g_00387, Prao.g_00720
OG0000025	Syap.g_01846	Prao.g_00467, Prao.g_00776
OG0000027	Syap.g_01440	Prao.g_00576, Prao.g_01293
OG0000028	Syap.g_01658	Prao.g_01348, Prao.g_00456
OG0000030	Syap.g_00787, Syap.g_00788	Prao.g_01753
OG0000031	Syap.g_00722	Prao.g_01355
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prao.g_01266
OG0000035	Syap.g_02125, Syap.g_02465	Prao.g_01397
OG0000037	Syap.g_02492	Prao.g_00247
OG0000038	Syap.g_00139	Prao.g_01794
OG0000039	Syap.g_01749, Syap.g_01748	Prao.g_00124
OG0000040	Syap.g_01819	Prao.g_01109
OG0000041	Syap.g_01510	Prao.g_01598
OG0000042	Syap.g_01891, Syap.g_01120	Prao.g_01750
OG0000043	Syap.g_01998	Prao.g_01331
OG0000048	Syap.g_02340	Prao.g_00509
OG0000051	Syap.g_01574	Prao.g_01304
OG0000053	Syap.g_02006	Prao.g_01417
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prao.g_00044
OG0000057	Syap.g_01569	Prao.g_00136
OG0000059	Syap.g_01918	Prao.g_01639
OG0000061	Syap.g_00228	Prao.g_01089
OG0000062	Syap.g_01220	Prao.g_01474
OG0000063	Syap.g_01796	Prao.g_00179
OG0000067	Syap.g_00194	Prao.g_00741
OG0000068	Syap.g_00108, Syap.g_00144	Prao.g_01239
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Prao.g_01508
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prao.g_00554
OG0000071	Syap.g_01483	Prao.g_01276
OG0000072	Syap.g_00555	Prao.g_00309
OG0000073	Syap.g_01020, Syap.g_00273	Prao.g_00605
OG0000075	Syap.g_01064, Syap.g_00664	Prao.g_01719
OG0000076	Syap.g_01111	Prao.g_01743
OG0000077	Syap.g_00416	Prao.g_00217
OG0000078	Syap.g_01149	Prao.g_00377
OG0000079	Syap.g_01589	Prao.g_00390
OG0000085	Syap.g_00611	Prao.g_01545
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prao.g_00277
OG0000088	Syap.g_01202	Prao.g_00304
OG0000089	Syap.g_00115, Syap.g_02042	Prao.g_00490
