Orthogroup	Syap	Prad
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399	Prad.g_00609
OG0000004	Syap.g_01987	Prad.g_01759
OG0000005	Syap.g_01773	Prad.g_00928
OG0000005	Syap.g_01218	Prad.g_00438
OG0000006	Syap.g_02770	Prad.g_01750
OG0000007	Syap.g_00275	Prad.g_00132
OG0000007	Syap.g_00621	Prad.g_00941
OG0000009	Syap.g_02081	Prad.g_01888
OG0000010	Syap.g_02757	Prad.g_01304, Prad.g_01011
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prad.g_01664
OG0000014	Syap.g_01675	Prad.g_01685
OG0000015	Syap.g_02606, Syap.g_00786	Prad.g_01108
OG0000016	Syap.g_00071	Prad.g_01973
OG0000017	Syap.g_00449	Prad.g_01387
OG0000018	Syap.g_02708	Prad.g_01173
OG0000018	Syap.g_02010	Prad.g_01515
OG0000019	Syap.g_01586	Prad.g_01742, Prad.g_01125
OG0000025	Syap.g_01846	Prad.g_01660, Prad.g_01181
OG0000027	Syap.g_01440	Prad.g_01298, Prad.g_00353
OG0000028	Syap.g_01658	Prad.g_01204, Prad.g_01671
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prad.g_00561
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prad.g_00618
OG0000035	Syap.g_02125, Syap.g_02465	Prad.g_00515
OG0000037	Syap.g_02492	Prad.g_01884
OG0000038	Syap.g_00139	Prad.g_01582
OG0000039	Syap.g_01749, Syap.g_01748	Prad.g_01260
OG0000040	Syap.g_01819	Prad.g_01516
OG0000041	Syap.g_01510	Prad.g_00894
OG0000042	Syap.g_01891, Syap.g_01120	Prad.g_01624
OG0000043	Syap.g_01998	Prad.g_00313
OG0000044	Syap.g_00378	Prad.g_01213
OG0000048	Syap.g_02340	Prad.g_00735
OG0000051	Syap.g_01574	Prad.g_00342
OG0000053	Syap.g_02006	Prad.g_00494
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Prad.g_01395
OG0000057	Syap.g_01569	Prad.g_01272
OG0000058	Syap.g_02074	Prad.g_00565
OG0000059	Syap.g_01918	Prad.g_00855
OG0000061	Syap.g_00228	Prad.g_01496
OG0000062	Syap.g_01220	Prad.g_00436
OG0000063	Syap.g_01796	Prad.g_01953, Prad.g_00081
OG0000066	Syap.g_01972	Prad.g_00090
OG0000067	Syap.g_00194	Prad.g_01146
OG0000068	Syap.g_00108, Syap.g_00144	Prad.g_00594
OG0000069	Syap.g_01936, Syap.g_01543, Syap.g_01545	Prad.g_00952, Prad.g_00400
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prad.g_00057
OG0000071	Syap.g_01483	Prad.g_00628
OG0000072	Syap.g_00555	Prad.g_01820
OG0000073	Syap.g_01020, Syap.g_00273	Prad.g_00130
OG0000075	Syap.g_01064, Syap.g_00664	Prad.g_00775
OG0000076	Syap.g_01111	Prad.g_01631
OG0000077	Syap.g_00416	Prad.g_01915
OG0000078	Syap.g_01149	Prad.g_01752
OG0000079	Syap.g_01589	Prad.g_01739
OG0000080	Syap.g_01003	Prad.g_00560
OG0000085	Syap.g_00611	Prad.g_00948
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prad.g_01854
OG0000088	Syap.g_01202	Prad.g_01825
OG0000089	Syap.g_00115, Syap.g_02042	Prad.g_00755
OG0000090	Syap.g_01451	Prad.g_00096
OG0000091	Syap.g_01861	Prad.g_01431
OG0000094	Syap.g_02781	Prad.g_01038
OG0000095	Syap.g_01556	Prad.g_01018
OG0000098	Syap.g_01975	Prad.g_00612
OG0000099	Syap.g_01385	Prad.g_00566
OG0000101	Syap.g_00472	Prad.g_00807
OG0000102	Syap.g_01116	Prad.g_01626
OG0000103	Syap.g_02607, Syap.g_02608	Prad.g_01548
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prad.g_01540
OG0000105	Syap.g_01369, Syap.g_01368	Prad.g_01717
OG0000107	Syap.g_02496	Prad.g_00724
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Prad.g_00027
OG0000109	Syap.g_00279, Syap.g_02237	Prad.g_00013
OG0000110	Syap.g_01313	Prad.g_01364
OG0000111	Syap.g_01566, Syap.g_01568	Prad.g_01273
OG0000112	Syap.g_02023	Prad.g_01109
OG0000113	Syap.g_02714	Prad.g_01168
OG0000114	Syap.g_01255	Prad.g_00245
OG0000115	Syap.g_02004	Prad.g_00641
OG0000116	Syap.g_00241	Prad.g_01506
OG0000117	Syap.g_01889	Prad.g_01214
OG0000118	Syap.g_02286	Prad.g_00616
OG0000120	Syap.g_02075	Prad.g_00564
OG0000121	Syap.g_02471	Prad.g_00513
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prad.g_00800
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prad.g_01616
OG0000125	Syap.g_01046, Syap.g_01047	Prad.g_01580
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Prad.g_01541
OG0000128	Syap.g_00069	Prad.g_01975
OG0000129	Syap.g_00130, Syap.g_00129	Prad.g_01943
OG0000130	Syap.g_01688, Syap.g_01689	Prad.g_01924
OG0000131	Syap.g_02189	Prad.g_01846
OG0000132	Syap.g_01205	Prad.g_01827
OG0000133	Syap.g_02017	Prad.g_01669
OG0000134	Syap.g_02047	Prad.g_00754
OG0000135	Syap.g_02090	Prad.g_00727
OG0000136	Syap.g_00089	Prad.g_00066
OG0000137	Syap.g_02756	Prad.g_00032
OG0000138	Syap.g_00278	Prad.g_00012
OG0000139	Syap.g_00410	Prad.g_00092
OG0000140	Syap.g_01976	Prad.g_00091
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prad.g_01396
OG0000142	Syap.g_00895, Syap.g_00894	Prad.g_01424
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prad.g_01428
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prad.g_01226
OG0000145	Syap.g_01860, Syap.g_01859	Prad.g_01107
OG0000146	Syap.g_02024	Prad.g_01110
OG0000147	Syap.g_02025	Prad.g_01111
OG0000148	Syap.g_02720	Prad.g_01162
OG0000149	Syap.g_00824	Prad.g_00301
OG0000150	Syap.g_01540	Prad.g_00293
OG0000151	Syap.g_00142	Prad.g_00235
OG0000152	Syap.g_02012	Prad.g_00186
OG0000153	Syap.g_02682	Prad.g_00167
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prad.g_00139
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prad.g_01476
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prad.g_00359
OG0000157	Syap.g_00249, Syap.g_00286	Prad.g_00360
OG0000158	Syap.g_01075	Prad.g_00567
OG0000159	Syap.g_00700	Prad.g_00563
OG0000160	Syap.g_02470, Syap.g_02469	Prad.g_00514
OG0000161	Syap.g_02476	Prad.g_00508
OG0000162	Syap.g_02531	Prad.g_00502
OG0000164	Syap.g_01391, Syap.g_01392	Prad.g_00917
OG0000165	Syap.g_01381, Syap.g_01382	Prad.g_00910
OG0000166	Syap.g_00512, Syap.g_01238	Prad.g_00843
OG0000167	Syap.g_02080	Prad.g_00777
OG0000168	Syap.g_01076	Prad.g_00767
OG0000169	Syap.g_01049, Syap.g_01093	Prad.g_01637
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prad.g_01635
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prad.g_01617
OG0000172	Syap.g_01143, Syap.g_00635	Prad.g_01609
OG0000173	Syap.g_01213, Syap.g_00982, Syap.g_00983	Prad.g_01594
OG0000174	Syap.g_02092	Prad.g_01566
OG0000175	Syap.g_02654	Prad.g_01556
OG0000176	Syap.g_00059	Prad.g_01532
OG0000177	Syap.g_00061, Syap.g_00060	Prad.g_01531
OG0000178	Syap.g_00062	Prad.g_01530
OG0000179	Syap.g_00077, Syap.g_02638	Prad.g_01970
OG0000180	Syap.g_00078, Syap.g_02640	Prad.g_01969
OG0000181	Syap.g_00079, Syap.g_02641	Prad.g_01968
OG0000182	Syap.g_00080, Syap.g_02642	Prad.g_01967
OG0000183	Syap.g_00084	Prad.g_01963
OG0000184	Syap.g_01337	Prad.g_01940
OG0000185	Syap.g_01322	Prad.g_01937
OG0000186	Syap.g_01684	Prad.g_01929
OG0000187	Syap.g_01686	Prad.g_01928
OG0000188	Syap.g_02547	Prad.g_01911
OG0000191	Syap.g_02233	Prad.g_01876
OG0000192	Syap.g_02224	Prad.g_01872
OG0000193	Syap.g_02187, Syap.g_02188	Prad.g_01845
OG0000194	Syap.g_02183	Prad.g_01842
OG0000195	Syap.g_02180	Prad.g_01840
OG0000196	Syap.g_01208, Syap.g_02167	Prad.g_01830
OG0000197	Syap.g_01207, Syap.g_02166	Prad.g_01829
OG0000198	Syap.g_01206	Prad.g_01828
OG0000199	Syap.g_01197	Prad.g_01821
OG0000200	Syap.g_01181	Prad.g_01807
OG0000201	Syap.g_02265	Prad.g_01799
OG0000202	Syap.g_02264	Prad.g_01798
OG0000203	Syap.g_01601	Prad.g_01797
OG0000204	Syap.g_01602	Prad.g_01796
OG0000205	Syap.g_01616	Prad.g_01789
OG0000206	Syap.g_01628	Prad.g_01784
OG0000207	Syap.g_01426, Syap.g_00424	Prad.g_01782
OG0000208	Syap.g_00426, Syap.g_01425	Prad.g_01781
