Orthogroup	Syap	Syaf
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syaf.g_00845
OG0000004	Syap.g_01987	Syaf.g_02794
OG0000005	Syap.g_01773	Syaf.g_01017
OG0000005	Syap.g_01218	Syaf.g_01057
OG0000006	Syap.g_02770	Syaf.g_02288
OG0000007	Syap.g_00275	Syaf.g_02702
OG0000007	Syap.g_00621	Syaf.g_01033
OG0000009	Syap.g_02081	Syaf.g_00905
OG0000010	Syap.g_02757	Syaf.g_02499
OG0000013	Syap.g_00972	Syaf.g_00061
OG0000014	Syap.g_01675	Syaf.g_00280
OG0000016	Syap.g_00071	Syaf.g_00484
OG0000018	Syap.g_02010	Syaf.g_02451
OG0000019	Syap.g_01586	Syaf.g_00193
OG0000025	Syap.g_01846	Syaf.g_01385
OG0000027	Syap.g_01440	Syaf.g_02284
OG0000028	Syap.g_01658	Syaf.g_00297
OG0000030	Syap.g_00787	Syaf.g_00406
OG0000030	Syap.g_00788	Syaf.g_00407
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syaf.g_00314
OG0000031	Syap.g_00722	Syaf.g_01143
OG0000033	Syap.g_01198	Syaf.g_00807
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syaf.g_01241, Syaf.g_00837
OG0000035	Syap.g_02125, Syap.g_02465	Syaf.g_02412
OG0000039	Syap.g_01749, Syap.g_01748	Syaf.g_01395
OG0000040	Syap.g_01819	Syaf.g_00558
OG0000042	Syap.g_01891, Syap.g_01120	Syaf.g_00403
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syaf.g_00062
OG0000048	Syap.g_02340	Syaf.g_00230
OG0000051	Syap.g_01574	Syaf.g_00972
OG0000053	Syap.g_02006	Syaf.g_02447
OG0000057	Syap.g_01569	Syaf.g_01665, Syaf.g_01452
OG0000058	Syap.g_02074	Syaf.g_00316
OG0000059	Syap.g_01918	Syaf.g_00143
OG0000060	Syap.g_00795	Syaf.g_01603
OG0000061	Syap.g_00228	Syaf.g_01288
OG0000062	Syap.g_01365	Syaf.g_02167
OG0000062	Syap.g_01220	Syaf.g_01055
OG0000063	Syap.g_01796	Syaf.g_00457
OG0000066	Syap.g_01972	Syaf.g_02643
OG0000067	Syap.g_00194	Syaf.g_02049
OG0000068	Syap.g_00108, Syap.g_00144	Syaf.g_02733
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syaf.g_01237
OG0000073	Syap.g_00273	Syaf.g_02700
OG0000075	Syap.g_01064, Syap.g_00664	Syaf.g_00353
OG0000076	Syap.g_01111	Syaf.g_00388
OG0000078	Syap.g_01149	Syaf.g_02782
OG0000079	Syap.g_01589	Syaf.g_00197
OG0000080	Syap.g_01003	Syaf.g_00306
OG0000085	Syap.g_00611	Syaf.g_01048
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syaf.g_00848
OG0000088	Syap.g_01202	Syaf.g_00811
OG0000089	Syap.g_00115, Syap.g_02042	Syaf.g_02807
OG0000090	Syap.g_01451	Syaf.g_02654
OG0000091	Syap.g_01861	Syaf.g_02302
OG0000094	Syap.g_02781	Syaf.g_01940
OG0000095	Syap.g_01556	Syaf.g_01442
OG0000098	Syap.g_01975	Syaf.g_01637
OG0000099	Syap.g_01385	Syaf.g_00312
OG0000102	Syap.g_01116	Syaf.g_00393
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syaf.g_00502
OG0000105	Syap.g_01369, Syap.g_01368	Syaf.g_00235
OG0000107	Syap.g_02496	Syaf.g_00758
OG0000108	Syap.g_00733, Syap.g_02255	Syaf.g_02721
OG0000110	Syap.g_01313	Syaf.g_02589
OG0000111	Syap.g_01566, Syap.g_01568	Syaf.g_01451
OG0000112	Syap.g_02023	Syaf.g_01852
OG0000113	Syap.g_02714	Syaf.g_02022
OG0000114	Syap.g_01255	Syaf.g_02103
OG0000115	Syap.g_02004	Syaf.g_02445
OG0000116	Syap.g_00241	Syaf.g_01276
OG0000117	Syap.g_01889	Syaf.g_01605
OG0000118	Syap.g_02286	Syaf.g_02544
OG0000120	Syap.g_02075	Syaf.g_00313
OG0000121	Syap.g_02471	Syaf.g_02419
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syaf.g_00086
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syaf.g_00414
OG0000125	Syap.g_01046, Syap.g_01047	Syaf.g_00640
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syaf.g_00504
OG0000127	Syap.g_00736	Syaf.g_01541
OG0000127	Syap.g_00737, Syap.g_00735	Syaf.g_01151
OG0000128	Syap.g_00069	Syaf.g_00486
OG0000129	Syap.g_00130, Syap.g_00129	Syaf.g_00651
OG0000130	Syap.g_01688, Syap.g_01689	Syaf.g_00963
OG0000131	Syap.g_02189	Syaf.g_00833
OG0000132	Syap.g_01205	Syaf.g_00813
OG0000133	Syap.g_02017	Syaf.g_01857
OG0000134	Syap.g_02047	Syaf.g_02804
OG0000135	Syap.g_02090	Syaf.g_00605
OG0000136	Syap.g_00089	Syaf.g_01224
OG0000137	Syap.g_02756	Syaf.g_02498
OG0000138	Syap.g_00278	Syaf.g_02705
OG0000139	Syap.g_00410	Syaf.g_02648
OG0000140	Syap.g_01976	Syaf.g_02646
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syaf.g_02375
OG0000142	Syap.g_00895, Syap.g_00894	Syaf.g_02310
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syaf.g_02306
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syaf.g_01735
OG0000145	Syap.g_01860, Syap.g_01859	Syaf.g_02699
OG0000146	Syap.g_02024	Syaf.g_01851
OG0000147	Syap.g_02025	Syaf.g_01850
OG0000148	Syap.g_02720	Syaf.g_02028
OG0000149	Syap.g_00824	Syaf.g_01371
OG0000150	Syap.g_01540	Syaf.g_02645
OG0000151	Syap.g_00142	Syaf.g_02091
OG0000152	Syap.g_02012	Syaf.g_01861
OG0000153	Syap.g_02682	Syaf.g_01904
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syaf.g_01930
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syaf.g_01324
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syaf.g_01270
OG0000157	Syap.g_00249, Syap.g_00286	Syaf.g_01269
OG0000158	Syap.g_01075	Syaf.g_00364
OG0000159	Syap.g_00852	Syaf.g_00311
OG0000160	Syap.g_02470, Syap.g_02469	Syaf.g_02418
OG0000161	Syap.g_02476	Syaf.g_02424
OG0000162	Syap.g_02531	Syaf.g_02431
OG0000165	Syap.g_01381, Syap.g_01382	Syaf.g_01197
OG0000166	Syap.g_00512, Syap.g_01238	Syaf.g_00133
OG0000167	Syap.g_02080	Syaf.g_00350
OG0000168	Syap.g_01076	Syaf.g_00365
OG0000169	Syap.g_01049, Syap.g_01093	Syaf.g_00376
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syaf.g_00383
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syaf.g_00413
OG0000172	Syap.g_01143, Syap.g_00635	Syaf.g_00419
OG0000173	Syap.g_00982, Syap.g_00983	Syaf.g_00438
OG0000174	Syap.g_02092	Syaf.g_00603
OG0000175	Syap.g_02654	Syaf.g_00531
OG0000176	Syap.g_00059	Syaf.g_00494
OG0000177	Syap.g_00061, Syap.g_00060	Syaf.g_00493
OG0000178	Syap.g_00062	Syaf.g_00492
OG0000179	Syap.g_00077, Syap.g_02638	Syaf.g_00477
OG0000180	Syap.g_00078, Syap.g_02640	Syaf.g_00476
OG0000181	Syap.g_00079, Syap.g_02641	Syaf.g_00475
OG0000182	Syap.g_00080, Syap.g_02642	Syaf.g_00474
OG0000183	Syap.g_00084	Syaf.g_00470
OG0000184	Syap.g_01337	Syaf.g_00664
OG0000185	Syap.g_01322	Syaf.g_00684
OG0000186	Syap.g_01684	Syaf.g_00968
OG0000187	Syap.g_01686	Syaf.g_00966
OG0000188	Syap.g_02547	Syaf.g_00944
OG0000191	Syap.g_02233	Syaf.g_00877
OG0000192	Syap.g_02224	Syaf.g_00871
OG0000193	Syap.g_02187, Syap.g_02188	Syaf.g_00832
OG0000194	Syap.g_02183	Syaf.g_00829
OG0000196	Syap.g_01208, Syap.g_02167	Syaf.g_00816
OG0000197	Syap.g_01207, Syap.g_02166	Syaf.g_00815
OG0000198	Syap.g_01206	Syaf.g_00814
OG0000199	Syap.g_01197	Syaf.g_00806
OG0000200	Syap.g_01181	Syaf.g_00789
OG0000201	Syap.g_02265	Syaf.g_00771
OG0000202	Syap.g_02264	Syaf.g_00770
OG0000203	Syap.g_01601	Syaf.g_00769
OG0000204	Syap.g_01602	Syaf.g_00768
OG0000205	Syap.g_01616	Syaf.g_00761
OG0000206	Syap.g_01628	Syaf.g_00736
