Orthogroup	Syaf	Prbc
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbc.g_00588
OG0000004	Syaf.g_01455	Prbc.g_01381
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbc.g_00339
OG0000005	Syaf.g_01017	Prbc.g_00098
OG0000005	Syaf.g_01057	Prbc.g_00788
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prbc.g_02202
OG0000007	Syaf.g_02702	Prbc.g_01556
OG0000007	Syaf.g_01033	Prbc.g_00832
OG0000008	Syaf.g_01479	Prbc.g_00893
OG0000008	Syaf.g_01480	Prbc.g_00894
OG0000010	Syaf.g_02499	Prbc.g_02115
OG0000011	Syaf.g_01532	Prbc.g_00164
OG0000011	Syaf.g_01483	Prbc.g_00136, Prbc.g_00616
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prbc.g_01219
OG0000014	Syaf.g_00280	Prbc.g_01198
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbc.g_00599
OG0000016	Syaf.g_00484	Prbc.g_01083
OG0000016	Syaf.g_01576, Syaf.g_01713	Prbc.g_00929
OG0000018	Syaf.g_02451	Prbc.g_01468
OG0000019	Syaf.g_00193	Prbc.g_01836
OG0000020	Syaf.g_02187	Prbc.g_00054, Prbc.g_00116
OG0000021	Syaf.g_02773	Prbc.g_00924, Prbc.g_02189
OG0000022	Syaf.g_02256	Prbc.g_01288
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syaf.g_01484	Prbc.g_00598, Prbc.g_01755
OG0000025	Syaf.g_01385	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syaf.g_00461	Prbc.g_01101
OG0000027	Syaf.g_02284, Syaf.g_01688	Prbc.g_00072
OG0000028	Syaf.g_00297	Prbc.g_00653
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbc.g_00199
OG0000031	Syaf.g_00314, Syaf.g_01143	Prbc.g_01228
OG0000032	Syaf.g_02471	Prbc.g_00746
OG0000033	Syaf.g_00807	Prbc.g_00402
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbc.g_00575
OG0000035	Syaf.g_02412	Prbc.g_00709
OG0000037	Syaf.g_00899	Prbc.g_00464
OG0000038	Syaf.g_00642	Prbc.g_00995
OG0000039	Syaf.g_01395	Prbc.g_01768
OG0000041	Syaf.g_01171, Syaf.g_01414	Prbc.g_00877
OG0000042	Syaf.g_00403	Prbc.g_00203
OG0000043	Syaf.g_01747	Prbc.g_01953
OG0000044	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400	Prbc.g_00533
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Prbc.g_01220
OG0000047	Syaf.g_00030	Prbc.g_01227, Prbc.g_01273
