Orthogroup	Syaf	Syak
OG0000001	Syaf.g_00846	Syak.g_02139
OG0000001	Syaf.g_00845	Syak.g_02138
OG0000001	Syaf.g_01634	Syak.g_00275, Syak.g_00579
OG0000004	Syaf.g_01455	Syak.g_01219, Syak.g_00720
OG0000004	Syaf.g_02351	Syak.g_00003
OG0000004	Syaf.g_02794	Syak.g_02297
OG0000005	Syaf.g_01017	Syak.g_02401
OG0000005	Syaf.g_01057	Syak.g_02436
OG0000006	Syaf.g_02288	Syak.g_00057
OG0000006	Syaf.g_00179, Syaf.g_02778	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Syaf.g_02702	Syak.g_02595
OG0000007	Syaf.g_01033	Syak.g_02416
OG0000008	Syaf.g_01479	Syak.g_00267
OG0000008	Syaf.g_01480	Syak.g_00692
OG0000009	Syaf.g_00905	Syak.g_02194
OG0000010	Syaf.g_02499	Syak.g_01119
OG0000011	Syaf.g_01483	Syak.g_00960
OG0000013	Syaf.g_00056	Syak.g_01270
OG0000013	Syaf.g_00061	Syak.g_01275
OG0000014	Syaf.g_00280	Syak.g_01505
OG0000015	Syaf.g_02120, Syaf.g_02121	Syak.g_00358
OG0000016	Syaf.g_00484	Syak.g_01780
OG0000016	Syaf.g_01576	Syak.g_00818
OG0000017	Syaf.g_02561	Syak.g_02730
OG0000017	Syaf.g_02554	Syak.g_02738
OG0000018	Syaf.g_02451	Syak.g_01072
OG0000019	Syaf.g_00193	Syak.g_01413
OG0000021	Syaf.g_01726, Syaf.g_02773	Syak.g_00566
OG0000022	Syaf.g_02256	Syak.g_00088
OG0000023	Syaf.g_01765, Syaf.g_01987	Syak.g_00316
OG0000023	Syaf.g_01995	Syak.g_00223
OG0000025	Syaf.g_01385	Syak.g_00610
OG0000026	Syaf.g_00461	Syak.g_01757
OG0000027	Syaf.g_01688	Syak.g_00127
OG0000028	Syaf.g_00297	Syak.g_01522
OG0000029	Syaf.g_01761	Syak.g_00169, Syak.g_00178
OG0000030	Syaf.g_00406	Syak.g_01684
OG0000030	Syaf.g_00407	Syak.g_01685
OG0000031	Syaf.g_00314	Syak.g_01630
OG0000032	Syaf.g_02471	Syak.g_01092
OG0000033	Syaf.g_00807	Syak.g_02101
OG0000034	Syaf.g_01241, Syaf.g_00837	Syak.g_00950
OG0000034	Syaf.g_01241, Syaf.g_00837	Syak.g_02133
OG0000035	Syaf.g_02412	Syak.g_01041, Syak.g_01040
OG0000037	Syaf.g_00899	Syak.g_02188
OG0000038	Syaf.g_00642	Syak.g_01938
OG0000039	Syaf.g_01395	Syak.g_00772
OG0000040	Syaf.g_00558	Syak.g_01852
OG0000041	Syaf.g_01171	Syak.g_02354
OG0000042	Syaf.g_00403	Syak.g_00843, Syak.g_01681
OG0000043	Syaf.g_01747	Syak.g_00335
OG0000044	Syaf.g_01400	Syak.g_00767
OG0000045	Syaf.g_00979	Syak.g_00228
