Orthogroup	Syaf	Syai
OG0000001	Syaf.g_01640	Syai.g_01716
OG0000001	Syaf.g_00846	Syai.g_01197, Syai.g_02594
OG0000001	Syaf.g_00845	Syai.g_02595
OG0000001	Syaf.g_01634	Syai.g_01729
OG0000004	Syaf.g_01455	Syai.g_01994
OG0000004	Syaf.g_02351	Syai.g_01062
OG0000004	Syaf.g_02794	Syai.g_00530
OG0000005	Syaf.g_01017	Syai.g_02393
OG0000005	Syaf.g_01057	Syai.g_02356
OG0000005	Syaf.g_01352	Syai.g_02068
OG0000005	Syaf.g_01732	Syai.g_01611
OG0000006	Syaf.g_02288	Syai.g_01126
OG0000006	Syaf.g_00179, Syaf.g_02778	Syai.g_00317, Syai.g_00547
OG0000007	Syaf.g_02702	Syai.g_00657
OG0000007	Syaf.g_01033	Syai.g_02378
OG0000008	Syaf.g_01479	Syai.g_01956
OG0000008	Syaf.g_01480	Syai.g_01955
OG0000009	Syaf.g_00905	Syai.g_02541
OG0000010	Syaf.g_02499	Syai.g_00864
OG0000011	Syaf.g_01532	Syai.g_01894, Syai.g_00582
OG0000011	Syaf.g_01483	Syai.g_01952
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462	Syai.g_01987
OG0000012	Syaf.g_01693	Syai.g_01529, Syai.g_01650
OG0000013	Syaf.g_00056	Syai.g_00442
OG0000013	Syaf.g_00044	Syai.g_00450
OG0000013	Syaf.g_00061	Syai.g_00436
OG0000014	Syaf.g_00280	Syai.g_00220
OG0000015	Syaf.g_02120	Syai.g_01246
OG0000015	Syaf.g_02121	Syai.g_01245
OG0000016	Syaf.g_00484	Syai.g_00014
OG0000016	Syaf.g_01576	Syai.g_01785
OG0000016	Syaf.g_01713	Syai.g_01632
OG0000017	Syaf.g_02561	Syai.g_00801
OG0000017	Syaf.g_02554	Syai.g_00808
OG0000018	Syaf.g_02451	Syai.g_00915
OG0000019	Syaf.g_00193	Syai.g_00304
OG0000020	Syaf.g_02187	Syai.g_00476
OG0000021	Syaf.g_02773	Syai.g_00556
OG0000022	Syaf.g_02256	Syai.g_01159
OG0000023	Syaf.g_01765	Syai.g_01022
OG0000023	Syaf.g_01995	Syai.g_02318
OG0000024	Syaf.g_01484	Syai.g_01951
OG0000025	Syaf.g_01385	Syai.g_02044
OG0000026	Syaf.g_00461	Syai.g_00038
OG0000027	Syaf.g_02284	Syai.g_01128
OG0000027	Syaf.g_01688	Syai.g_01654
OG0000028	Syaf.g_00297	Syai.g_00205
OG0000029	Syaf.g_01761	Syai.g_01584
OG0000030	Syaf.g_00406	Syai.g_00096
OG0000030	Syaf.g_00407	Syai.g_00095
OG0000031	Syaf.g_00314	Syai.g_00197
OG0000032	Syaf.g_02471	Syai.g_00895
OG0000033	Syaf.g_00807	Syai.g_02634
OG0000034	Syaf.g_01241, Syaf.g_00837	Syai.g_02192, Syai.g_02604
OG0000035	Syaf.g_02412	Syai.g_00955
OG0000037	Syaf.g_00899	Syai.g_02544
OG0000038	Syaf.g_00642	Syai.g_02780
OG0000039	Syaf.g_01395	Syai.g_02034
OG0000040	Syaf.g_00558	Syai.g_02876
OG0000041	Syaf.g_01171	Syai.g_02265
OG0000041	Syaf.g_01414	Syai.g_02016
OG0000042	Syaf.g_00403	Syai.g_00099
OG0000043	Syaf.g_01747	Syai.g_01599
OG0000045	Syaf.g_00979	Syai.g_02432
OG0000046	Syaf.g_00055	Syai.g_00443
OG0000046	Syaf.g_00045	Syai.g_00449
OG0000046	Syaf.g_00062	Syai.g_00435
OG0000047	Syaf.g_00030	Syai.g_00462
OG0000048	Syaf.g_00230	Syai.g_00272
OG0000050	Syaf.g_01770	Syai.g_01893
OG0000052	Syaf.g_00335	Syai.g_00176
OG0000053	Syaf.g_02447	Syai.g_00930
OG0000054	Syaf.g_02376	Syai.g_01040
OG0000055	Syaf.g_01402	Syai.g_02029
OG0000057	Syaf.g_01452	Syai.g_01997
OG0000058	Syaf.g_00316	Syai.g_00195
OG0000059	Syaf.g_00143	Syai.g_00351
OG0000060	Syaf.g_02726	Syai.g_00635
OG0000060	Syaf.g_01603	Syai.g_01758
OG0000061	Syaf.g_01288	Syai.g_02144
OG0000062	Syaf.g_01055	Syai.g_02358
OG0000063	Syaf.g_00457	Syai.g_00042
OG0000064	Syaf.g_01063	Syai.g_02350
OG0000064	Syaf.g_02253	Syai.g_01162
OG0000064	Syaf.g_01667	Syai.g_01668
OG0000066	Syaf.g_02643	Syai.g_01709, Syai.g_00719
OG0000067	Syaf.g_02049	Syai.g_01321
OG0000068	Syaf.g_02733	Syai.g_00628
OG0000070	Syaf.g_01237	Syai.g_02196
OG0000071	Syaf.g_01254	Syai.g_02179
OG0000072	Syaf.g_00805	Syai.g_02636
OG0000073	Syaf.g_02700	Syai.g_00659
OG0000075	Syaf.g_00353	Syai.g_00161
OG0000076	Syaf.g_00388	Syai.g_00111
OG0000078	Syaf.g_02782	Syai.g_00543
OG0000079	Syaf.g_00197	Syai.g_00300
OG0000081	Syaf.g_02776	Syai.g_00553
OG0000082	Syaf.g_02576	Syai.g_00781
OG0000084	Syaf.g_02409	Syai.g_00958
OG0000085	Syaf.g_01048	Syai.g_02365
OG0000086	Syaf.g_00932	Syai.g_02507
OG0000087	Syaf.g_00848	Syai.g_02592
OG0000088	Syaf.g_00811	Syai.g_02630
OG0000089	Syaf.g_02807	Syai.g_00517
OG0000090	Syaf.g_02654	Syai.g_00707
OG0000091	Syaf.g_02302	Syai.g_01112
OG0000093	Syaf.g_02065	Syai.g_01306
OG0000094	Syaf.g_01940	Syai.g_01424
OG0000095	Syaf.g_01442	Syai.g_02007
OG0000097	Syaf.g_01574	Syai.g_01787
OG0000098	Syaf.g_01637	Syai.g_01718
OG0000099	Syaf.g_00312	Syai.g_00199
OG0000100	Syaf.g_02017	Syai.g_01372
OG0000101	Syaf.g_00093	Syai.g_00404
OG0000102	Syaf.g_00393	Syai.g_00106
OG0000103	Syaf.g_00520	Syai.g_02912
OG0000104	Syaf.g_00502	Syai.g_02929
OG0000105	Syaf.g_00235	Syai.g_00267
OG0000106	Syaf.g_01745	Syai.g_01601
OG0000107	Syaf.g_00177, Syaf.g_00758	Syai.g_00319
OG0000108	Syaf.g_02721	Syai.g_00638
OG0000109	Syaf.g_02706	Syai.g_00653
OG0000110	Syaf.g_02589	Syai.g_00766
OG0000111	Syaf.g_01451	Syai.g_01998
OG0000112	Syaf.g_01852	Syai.g_01512
OG0000113	Syaf.g_02022	Syai.g_01367
OG0000114	Syaf.g_02103	Syai.g_01261
OG0000115	Syaf.g_02445	Syai.g_00932
OG0000116	Syaf.g_01276	Syai.g_02156
OG0000117	Syaf.g_01605	Syai.g_01756
OG0000118	Syaf.g_02544	Syai.g_00818
OG0000120	Syaf.g_00313	Syai.g_00198
OG0000121	Syaf.g_02419	Syai.g_00951
OG0000123	Syaf.g_00086	Syai.g_00411
OG0000124	Syaf.g_00414	Syai.g_00089
OG0000125	Syaf.g_00640	Syai.g_02782
OG0000126	Syaf.g_00504	Syai.g_02927
OG0000127	Syaf.g_01541	Syai.g_01872, Syai.g_01906, Syai.g_01855
OG0000128	Syaf.g_00486	Syai.g_00012
OG0000129	Syaf.g_00651	Syai.g_02771
OG0000130	Syaf.g_00963	Syai.g_02474
OG0000131	Syaf.g_00833	Syai.g_02608
OG0000132	Syaf.g_00813	Syai.g_02628
OG0000133	Syaf.g_01857	Syai.g_01507
OG0000134	Syaf.g_02804	Syai.g_00520
OG0000135	Syaf.g_00605	Syai.g_02826
OG0000136	Syaf.g_01224	Syai.g_02217
OG0000137	Syaf.g_02498	Syai.g_00865
OG0000138	Syaf.g_02705	Syai.g_00654
OG0000139	Syaf.g_02648	Syai.g_00714
OG0000140	Syaf.g_02646	Syai.g_00716
OG0000141	Syaf.g_02375	Syai.g_01041
OG0000142	Syaf.g_02310	Syai.g_01104
OG0000143	Syaf.g_02306	Syai.g_01108
OG0000144	Syaf.g_01735	Syai.g_01608
OG0000145	Syaf.g_02699	Syai.g_00660
OG0000146	Syaf.g_01851	Syai.g_01513
OG0000147	Syaf.g_01850	Syai.g_01514
OG0000148	Syaf.g_02028	Syai.g_01361
OG0000149	Syaf.g_01371	Syai.g_02059
OG0000150	Syaf.g_02645	Syai.g_00717
OG0000151	Syaf.g_02091	Syai.g_01280
