Orthogroup	Syaf	Prbf
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbf.g_00068
OG0000004	Syaf.g_01455	Prbf.g_01264
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbf.g_01570
OG0000005	Syaf.g_01057	Prbf.g_00240
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prbf.g_01580
OG0000007	Syaf.g_02702	Prbf.g_01780
OG0000007	Syaf.g_01033	Prbf.g_00693
OG0000008	Syaf.g_01479	Prbf.g_00793
OG0000008	Syaf.g_01480	Prbf.g_00792
OG0000010	Syaf.g_02499	Prbf.g_00847, Prbf.g_01056
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prbf.g_01665
OG0000014	Syaf.g_00280	Prbf.g_01647
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbf.g_00754, Prbf.g_00708
OG0000016	Syaf.g_01576, Syaf.g_01713	Prbf.g_00860
OG0000017	Syaf.g_02561	Prbf.g_01880
OG0000017	Syaf.g_02554	Prbf.g_01887
OG0000018	Syaf.g_02451	Prbf.g_00896
OG0000019	Syaf.g_00193	Prbf.g_01588, Prbf.g_00894
OG0000020	Syaf.g_02187	Prbf.g_00264, Prbf.g_00811
OG0000021	Syaf.g_02773	Prbf.g_00265, Prbf.g_01259
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbf.g_00287
OG0000024	Syaf.g_01484	Prbf.g_01052, Prbf.g_01288
OG0000025	Syaf.g_01385	Prbf.g_01209
OG0000026	Syaf.g_00461	Prbf.g_01354
OG0000027	Syaf.g_02284, Syaf.g_01688	Prbf.g_00817, Prbf.g_00774
OG0000028	Syaf.g_00297	Prbf.g_00794
OG0000029	Syaf.g_01761	Prbf.g_00804, Prbf.g_00762, Prbf.g_00603
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbf.g_00484
OG0000031	Syaf.g_00314, Syaf.g_01143	Prbf.g_00116
OG0000032	Syaf.g_02471	Prbf.g_00196
OG0000033	Syaf.g_00807	Prbf.g_00123
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbf.g_00015
OG0000035	Syaf.g_02412	Prbf.g_00157
OG0000037	Syaf.g_00899	Prbf.g_01437
OG0000038	Syaf.g_00642	Prbf.g_00445
OG0000039	Syaf.g_01395	Prbf.g_01276
OG0000041	Syaf.g_01171, Syaf.g_01414	Prbf.g_00646
OG0000042	Syaf.g_00403	Prbf.g_00487
OG0000043	Syaf.g_01747	Prbf.g_00897
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Prbf.g_01666
OG0000047	Syaf.g_00030	Prbf.g_01707
OG0000048	Syaf.g_00230	Prbf.g_00039
OG0000051	Syaf.g_00972	Prbf.g_00340
OG0000052	Syaf.g_00335	Prbf.g_01380
OG0000053	Syaf.g_02447	Prbf.g_00178, Prbf.g_00748
OG0000054	Syaf.g_02376	Prbf.g_01889
OG0000057	Syaf.g_01665, Syaf.g_01452	Prbf.g_01261
OG0000058	Syaf.g_00316	Prbf.g_00117
OG0000059	Syaf.g_00143	Prbf.g_00606
OG0000061	Syaf.g_01288	Prbf.g_00918
OG0000062	Syaf.g_01055	Prbf.g_00242
