Orthogroup	Syaf	Syag
OG0000001	Syaf.g_00846	Syag.g_01942
OG0000001	Syaf.g_00845	Syag.g_01943
OG0000001	Syaf.g_01634	Syag.g_00520
OG0000004	Syaf.g_01455	Syag.g_00988
OG0000004	Syaf.g_02351	Syag.g_00370
OG0000004	Syaf.g_02794	Syag.g_01790
OG0000005	Syaf.g_01017	Syag.g_01708
OG0000005	Syaf.g_01057	Syag.g_01667
OG0000006	Syaf.g_02288	Syag.g_00435
OG0000006	Syaf.g_00179, Syaf.g_02778	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Syaf.g_02702	Syag.g_01507
OG0000007	Syaf.g_01033	Syag.g_01687
OG0000008	Syaf.g_01479	Syag.g_00496
OG0000008	Syaf.g_01480	Syag.g_01017
OG0000009	Syaf.g_00905	Syag.g_01883
OG0000010	Syaf.g_02499	Syag.g_01355
OG0000011	Syaf.g_01483	Syag.g_01299
OG0000012	Syaf.g_01693	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Syaf.g_00056	Syag.g_02811
OG0000013	Syaf.g_00044	Syag.g_02820
OG0000013	Syaf.g_00061	Syag.g_02806
OG0000014	Syaf.g_00280	Syag.g_02559
OG0000015	Syaf.g_02120, Syaf.g_02121	Syag.g_00596
OG0000016	Syaf.g_00484	Syag.g_02286
OG0000016	Syaf.g_01576	Syag.g_01066
OG0000017	Syaf.g_02561	Syag.g_00336
OG0000017	Syaf.g_02554	Syag.g_00344
OG0000018	Syaf.g_02451	Syag.g_01387
OG0000019	Syaf.g_00193	Syag.g_02663
OG0000020	Syaf.g_02187	Syag.g_00085
OG0000021	Syaf.g_02773	Syag.g_00229
OG0000022	Syaf.g_02256	Syag.g_00458
OG0000023	Syaf.g_01995	Syag.g_00261, Syag.g_00234
OG0000024	Syaf.g_01484	Syag.g_00455
OG0000025	Syaf.g_01385	Syag.g_00718
OG0000026	Syaf.g_00461	Syag.g_02309
OG0000027	Syaf.g_02284	Syag.g_00950
OG0000027	Syaf.g_01688	Syag.g_00165
OG0000028	Syaf.g_00297	Syag.g_02540
OG0000029	Syaf.g_01761	Syag.g_00195
OG0000030	Syaf.g_00406	Syag.g_02375
OG0000030	Syaf.g_00407	Syag.g_02374
OG0000031	Syaf.g_00314	Syag.g_02510
OG0000031	Syaf.g_01143	Syag.g_02486
OG0000032	Syaf.g_02471	Syag.g_01366
OG0000033	Syaf.g_00807	Syag.g_01978
OG0000034	Syaf.g_01241, Syaf.g_00837	Syag.g_01225, Syag.g_01947
OG0000035	Syaf.g_02412	Syag.g_01420, Syag.g_01421
OG0000036	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828, Syaf.g_01127	Syag.g_01274
OG0000037	Syaf.g_00899	Syag.g_00173
OG0000038	Syaf.g_00642	Syag.g_02130
OG0000040	Syaf.g_00558	Syag.g_02215
OG0000041	Syaf.g_01414	Syag.g_00962
OG0000042	Syaf.g_00403	Syag.g_01094, Syag.g_02378
OG0000043	Syaf.g_01747	Syag.g_00564
OG0000044	Syaf.g_01400	Syag.g_00945
OG0000045	Syaf.g_00979	Syag.g_00223
OG0000046	Syaf.g_00055	Syag.g_02812
OG0000046	Syaf.g_00045	Syag.g_02819
OG0000046	Syaf.g_00062	Syag.g_02805
OG0000047	Syaf.g_00030	Syag.g_00768
OG0000048	Syaf.g_00230	Syag.g_02611
OG0000052	Syaf.g_00335	Syag.g_02451
OG0000053	Syaf.g_02447	Syag.g_01391
OG0000054	Syaf.g_02376	Syag.g_00350
OG0000055	Syaf.g_01402	Syag.g_00946
OG0000057	Syaf.g_01665, Syaf.g_01452	Syag.g_00985
OG0000058	Syaf.g_00316	Syag.g_02477
OG0000059	Syaf.g_00143	Syag.g_02721
OG0000060	Syaf.g_02515	Syag.g_01338
OG0000060	Syaf.g_02726	Syag.g_01530
OG0000060	Syaf.g_01603	Syag.g_01095
OG0000061	Syaf.g_01288	Syag.g_01141
OG0000062	Syaf.g_01055	Syag.g_01669
OG0000063	Syaf.g_00457	Syag.g_02313
OG0000064	Syaf.g_01063	Syag.g_00076
OG0000064	Syaf.g_01667	Syag.g_01589
OG0000067	Syaf.g_02049	Syag.g_00667
OG0000068	Syaf.g_02733	Syag.g_01537
OG0000070	Syaf.g_01237	Syag.g_00049
OG0000071	Syaf.g_01254	Syag.g_01192
OG0000072	Syaf.g_00805	Syag.g_01980
OG0000073	Syaf.g_02700	Syag.g_01505
OG0000075	Syaf.g_00353	Syag.g_02434
OG0000076	Syaf.g_00388	Syag.g_02393
OG0000078	Syaf.g_02782	Syag.g_01778
OG0000080	Syaf.g_00306	Syag.g_02499
OG0000082	Syaf.g_02576	Syag.g_00318
OG0000085	Syaf.g_01048	Syag.g_01676
OG0000086	Syaf.g_00932	Syag.g_01853
OG0000087	Syaf.g_00848	Syag.g_01939
OG0000088	Syaf.g_00811	Syag.g_01974
OG0000089	Syaf.g_02807	Syag.g_00005
OG0000090	Syaf.g_02654	Syag.g_01454
OG0000091	Syaf.g_02302	Syag.g_00418
OG0000093	Syaf.g_02065	Syag.g_00649
OG0000094	Syaf.g_01940	Syag.g_00881
OG0000095	Syaf.g_01442	Syag.g_00974
OG0000097	Syaf.g_01574	Syag.g_01065
OG0000098	Syaf.g_01637	Syag.g_00578, Syag.g_01445
OG0000099	Syaf.g_00312	Syag.g_02536
OG0000100	Syaf.g_02017	Syag.g_00704
OG0000101	Syaf.g_00093	Syag.g_02773
OG0000102	Syaf.g_00393	Syag.g_02387
OG0000103	Syaf.g_00520	Syag.g_02253
OG0000104	Syaf.g_00502	Syag.g_02268
OG0000105	Syaf.g_00235	Syag.g_02606
OG0000106	Syaf.g_01745	Syag.g_00462
OG0000107	Syaf.g_00758	Syag.g_02689
OG0000108	Syaf.g_02721	Syag.g_01528
OG0000109	Syaf.g_02706	Syag.g_01512
OG0000110	Syaf.g_02589	Syag.g_00303
OG0000111	Syaf.g_01451	Syag.g_00984
OG0000112	Syaf.g_01852	Syag.g_00801
OG0000113	Syaf.g_02022	Syag.g_00699
OG0000114	Syaf.g_02103	Syag.g_00609
OG0000115	Syaf.g_02445	Syag.g_01397
OG0000116	Syaf.g_01276	Syag.g_01156
OG0000117	Syaf.g_01605	Syag.g_01097
