Orthogroup	Syaf	Prbm
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbm.g_01633
OG0000004	Syaf.g_01455	Prbm.g_01483
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbm.g_00291
OG0000005	Syaf.g_01057	Prbm.g_01790
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syaf.g_02702	Prbm.g_00522
OG0000007	Syaf.g_01033	Prbm.g_01841
OG0000008	Syaf.g_01479	Prbm.g_01907
OG0000008	Syaf.g_01480	Prbm.g_01908
OG0000010	Syaf.g_02499	Prbm.g_01066
OG0000011	Syaf.g_01532	Prbm.g_01202
OG0000011	Syaf.g_01483	Prbm.g_01174, Prbm.g_01134
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prbm.g_00382
OG0000014	Syaf.g_00280	Prbm.g_00362
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbm.g_01427, Prbm.g_01149
OG0000016	Syaf.g_00484	Prbm.g_00013
OG0000016	Syaf.g_01576, Syaf.g_01713	Prbm.g_01944
OG0000018	Syaf.g_02451	Prbm.g_01571
OG0000019	Syaf.g_00193	Prbm.g_00792
OG0000020	Syaf.g_02187	Prbm.g_01156
OG0000021	Syaf.g_02773	Prbm.g_01939
OG0000022	Syaf.g_02256	Prbm.g_01324
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Syaf.g_01484	Prbm.g_01151, Prbm.g_00709
OG0000025	Syaf.g_01385	Prbm.g_00849
OG0000026	Syaf.g_00461	Prbm.g_00031
OG0000028	Syaf.g_00297	Prbm.g_01656
OG0000029	Syaf.g_01761	Prbm.g_01823
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbm.g_02105
OG0000031	Syaf.g_00314, Syaf.g_01143	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000032	Syaf.g_02471	Prbm.g_01747
OG0000033	Syaf.g_00807	Prbm.g_00228
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbm.g_01620
OG0000035	Syaf.g_02412	Prbm.g_01710
OG0000037	Syaf.g_00899	Prbm.g_00166
OG0000038	Syaf.g_00642	Prbm.g_02174
OG0000039	Syaf.g_01395	Prbm.g_00723
OG0000041	Syaf.g_01171, Syaf.g_01414	Prbm.g_01886
OG0000042	Syaf.g_00403	Prbm.g_02102
OG0000043	Syaf.g_01747	Prbm.g_00906
