Orthogroup	Syaf	Praj
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Praj.g_01549
OG0000004	Syaf.g_01455	Praj.g_01396
OG0000004	Syaf.g_02351, Syaf.g_02794	Praj.g_00271
OG0000005	Syaf.g_01017	Praj.g_01349
OG0000005	Syaf.g_01057	Praj.g_01712
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syaf.g_02702	Praj.g_00489
OG0000007	Syaf.g_01033	Praj.g_01768
OG0000008	Syaf.g_01479	Praj.g_01829
OG0000008	Syaf.g_01480	Praj.g_01830
OG0000010	Syaf.g_02499	Praj.g_01026
OG0000011	Syaf.g_01532	Praj.g_01187
OG0000011	Syaf.g_01483	Praj.g_01158
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Praj.g_00362
OG0000014	Syaf.g_00280	Praj.g_00341
OG0000015	Syaf.g_02120, Syaf.g_02121	Praj.g_01113
OG0000016	Syaf.g_00484	Praj.g_00013
OG0000016	Syaf.g_01576, Syaf.g_01713	Praj.g_01865
OG0000018	Syaf.g_02451	Praj.g_01482
OG0000019	Syaf.g_00193	Praj.g_00747
OG0000020	Syaf.g_02187	Praj.g_01139
OG0000021	Syaf.g_02773	Praj.g_01859, Praj.g_00084
OG0000022	Syaf.g_02256	Praj.g_01216
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Praj.g_01365, Praj.g_01329
OG0000024	Syaf.g_01484	Praj.g_01134, Praj.g_00666
OG0000025	Syaf.g_01385	Praj.g_00805
OG0000026	Syaf.g_00461	Praj.g_00031
OG0000027	Syaf.g_02284, Syaf.g_01688	Praj.g_01331
OG0000028	Syaf.g_00297	Praj.g_01571
OG0000029	Syaf.g_01761	Praj.g_01745
OG0000030	Syaf.g_00406, Syaf.g_00407	Praj.g_02024
OG0000031	Syaf.g_00314, Syaf.g_01143	Praj.g_00371
OG0000032	Syaf.g_02471	Praj.g_01669
OG0000033	Syaf.g_00807	Praj.g_00209
OG0000034	Syaf.g_01241, Syaf.g_00837	Praj.g_01538
OG0000035	Syaf.g_02412	Praj.g_01632
OG0000037	Syaf.g_00899	Praj.g_00147
OG0000038	Syaf.g_00642	Praj.g_02089
OG0000039	Syaf.g_01395	Praj.g_00679
OG0000041	Syaf.g_01171, Syaf.g_01414	Praj.g_01813
OG0000042	Syaf.g_00403	Praj.g_02020
OG0000043	Syaf.g_01747	Praj.g_00864
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Praj.g_00363
OG0000047	Syaf.g_00030	Praj.g_00370, Praj.g_00408
OG0000048	Syaf.g_00230	Praj.g_00308
OG0000050	Syaf.g_01770	Praj.g_01398
OG0000051	Syaf.g_00972	Praj.g_01339
OG0000052	Syaf.g_00335	Praj.g_00095
OG0000053	Syaf.g_02447	Praj.g_01651
OG0000054	Syaf.g_02376	Praj.g_00594
OG0000057	Syaf.g_01665, Syaf.g_01452	Praj.g_01313, Praj.g_00691
OG0000058	Syaf.g_00316	Praj.g_00839
OG0000059	Syaf.g_00143	Praj.g_01892
OG0000060	Syaf.g_02515, Syaf.g_02726, Syaf.g_01425, Syaf.g_01603	Praj.g_01108
OG0000061	Syaf.g_01288	Praj.g_01461
OG0000062	Syaf.g_01055	Praj.g_01714
OG0000063	Syaf.g_00457	Praj.g_01867
OG0000065	Syaf.g_00903	Praj.g_00145
OG0000066	Syaf.g_02643	Praj.g_00530
OG0000067	Syaf.g_02049	Praj.g_00769
OG0000068	Syaf.g_02733	Praj.g_01575
OG0000070	Syaf.g_01237	Praj.g_00444
OG0000071	Syaf.g_01254	Praj.g_01528
OG0000072	Syaf.g_00805	Praj.g_00211
OG0000073	Syaf.g_02700	Praj.g_00491
OG0000075	Syaf.g_00353	Praj.g_01987
OG0000076	Syaf.g_00388	Praj.g_02012
OG0000078	Syaf.g_02782	Praj.g_00280
OG0000079	Syaf.g_00197	Praj.g_00291
OG0000081	Syaf.g_02776	Praj.g_00522
OG0000082	Syaf.g_02576	Praj.g_01827
OG0000084	Syaf.g_02409	Praj.g_01628
OG0000085	Syaf.g_01048	Praj.g_01762
OG0000086	Syaf.g_00932	Praj.g_00126
OG0000087	Syaf.g_00848	Praj.g_00179
OG0000088	Syaf.g_00811	Praj.g_00206
OG0000089	Syaf.g_02807	Praj.g_00403
OG0000090	Syaf.g_02654	Praj.g_00524
OG0000091	Syaf.g_02302	Praj.g_00630
OG0000093	Syaf.g_02065	Praj.g_00754
OG0000094	Syaf.g_01940	Praj.g_00846
OG0000095	Syaf.g_01442	Praj.g_01024
OG0000097	Syaf.g_01574	Praj.g_01416
OG0000098	Syaf.g_01637	Praj.g_01546
OG0000099	Syaf.g_00312	Praj.g_00372
OG0000100	Syaf.g_02017	Praj.g_01709
OG0000101	Syaf.g_00093	Praj.g_01952
OG0000102	Syaf.g_00393	Praj.g_02017
OG0000103	Syaf.g_00520	Praj.g_02135
OG0000104	Syaf.g_00502	Praj.g_02145
OG0000105	Syaf.g_00235	Praj.g_00310
OG0000106	Syaf.g_01745	Praj.g_01156, Praj.g_01282
OG0000107	Syaf.g_00177, Syaf.g_00758	Praj.g_01869
OG0000108	Syaf.g_02721	Praj.g_00473
OG0000109	Syaf.g_02706	Praj.g_00486
OG0000110	Syaf.g_02589	Praj.g_00565
OG0000111	Syaf.g_01451	Praj.g_00692
OG0000112	Syaf.g_01852	Praj.g_00938
OG0000113	Syaf.g_02022	Praj.g_00793, Praj.g_01176
OG0000114	Syaf.g_02103	Praj.g_00887
OG0000115	Syaf.g_02445	Praj.g_01725
OG0000116	Syaf.g_01276	Praj.g_01471
OG0000117	Syaf.g_01605	Praj.g_01355
OG0000118	Syaf.g_02544	Praj.g_01540
OG0000120	Syaf.g_00313	Praj.g_00664
OG0000121	Syaf.g_02419	Praj.g_01634
OG0000123	Syaf.g_00086	Praj.g_01959
OG0000124	Syaf.g_00414	Praj.g_02031
OG0000125	Syaf.g_00640	Praj.g_02091
OG0000126	Syaf.g_00504	Praj.g_02144
OG0000128	Syaf.g_00486	Praj.g_00011
OG0000129	Syaf.g_00651	Praj.g_00048
OG0000130	Syaf.g_00963	Praj.g_00107
OG0000131	Syaf.g_00833	Praj.g_00185
OG0000132	Syaf.g_00813	Praj.g_00204
OG0000133	Syaf.g_01857	Praj.g_00357
OG0000134	Syaf.g_02804	Praj.g_00405
OG0000135	Syaf.g_00605	Praj.g_01279
OG0000136	Syaf.g_01224	Praj.g_00435
OG0000137	Syaf.g_02498	Praj.g_00467
OG0000138	Syaf.g_02705	Praj.g_00487
OG0000139	Syaf.g_02648	Praj.g_00528
OG0000140	Syaf.g_02646	Praj.g_00529
OG0000141	Syaf.g_02375	Praj.g_00595
OG0000142	Syaf.g_02310	Praj.g_00623
OG0000143	Syaf.g_02306	Praj.g_00627
OG0000144	Syaf.g_01735	Praj.g_00640
OG0000145	Syaf.g_02699	Praj.g_01054
OG0000146	Syaf.g_01851	Praj.g_00937
OG0000147	Syaf.g_01850	Praj.g_00936
OG0000148	Syaf.g_02028	Praj.g_00787
OG0000149	Syaf.g_01371	Praj.g_00819
OG0000150	Syaf.g_02645	Praj.g_00828
OG0000151	Syaf.g_02091	Praj.g_00898
OG0000152	Syaf.g_01861	Praj.g_01601, Praj.g_00946
OG0000153	Syaf.g_01904	Praj.g_00965
OG0000154	Syaf.g_01930	Praj.g_00995
OG0000155	Syaf.g_01324	Praj.g_01440
OG0000156	Syaf.g_01270	Praj.g_01517
OG0000157	Syaf.g_01269	Praj.g_01518
OG0000158	Syaf.g_00364	Praj.g_01995
OG0000160	Syaf.g_02418	Praj.g_01633
OG0000161	Syaf.g_02424	Praj.g_01639
OG0000162	Syaf.g_02431	Praj.g_01645
OG0000163	Syaf.g_01105	Praj.g_01681
OG0000164	Syaf.g_00999	Praj.g_01790
OG0000165	Syaf.g_01197	Praj.g_01798
OG0000166	Syaf.g_00133	Praj.g_01915
OG0000167	Syaf.g_00350	Praj.g_01985
OG0000168	Syaf.g_00365	Praj.g_01996
OG0000169	Syaf.g_00376	Praj.g_02006
OG0000170	Syaf.g_00383	Praj.g_02008
OG0000171	Syaf.g_00413	Praj.g_02030
OG0000172	Syaf.g_00419	Praj.g_02061
OG0000173	Syaf.g_00438	Praj.g_02076
OG0000174	Syaf.g_00603	Praj.g_02107
OG0000175	Syaf.g_00531	Praj.g_02125
OG0000176	Syaf.g_00494	Praj.g_00004
OG0000177	Syaf.g_00493	Praj.g_00005
OG0000178	Syaf.g_00492	Praj.g_00006
OG0000179	Syaf.g_00477	Praj.g_00016
OG0000180	Syaf.g_00476	Praj.g_00017
OG0000181	Syaf.g_00475	Praj.g_00018
OG0000182	Syaf.g_00474	Praj.g_00019
OG0000183	Syaf.g_00470	Praj.g_00023
OG0000184	Syaf.g_00664	Praj.g_00050
OG0000185	Syaf.g_00684	Praj.g_00053
OG0000186	Syaf.g_00968	Praj.g_00102
OG0000187	Syaf.g_00966	Praj.g_00103
