Orthogroup	Syaf	Prbg
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbg.g_00502
OG0000004	Syaf.g_01455	Prbg.g_01140
OG0000004	Syaf.g_02351, Syaf.g_02794	Prbg.g_01014
OG0000005	Syaf.g_01057	Prbg.g_00674
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Prbg.g_01024
OG0000007	Syaf.g_02702	Prbg.g_00216
OG0000007	Syaf.g_01033	Prbg.g_01650
OG0000008	Syaf.g_01479	Prbg.g_00744
OG0000008	Syaf.g_01480	Prbg.g_00745
OG0000010	Syaf.g_02499	Prbg.g_01053, Prbg.g_01348
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Prbg.g_00104
OG0000014	Syaf.g_00280	Prbg.g_00086
OG0000015	Syaf.g_02120, Syaf.g_02121	Prbg.g_01589, Prbg.g_01635
OG0000016	Syaf.g_01576, Syaf.g_01713	Prbg.g_01544
OG0000017	Syaf.g_02561	Prbg.g_00317
OG0000017	Syaf.g_02554	Prbg.g_00324
OG0000018	Syaf.g_02451	Prbg.g_01508
OG0000019	Syaf.g_00193	Prbg.g_01032, Prbg.g_01510
OG0000020	Syaf.g_02187	Prbg.g_00698, Prbg.g_00727
OG0000021	Syaf.g_02773	Prbg.g_00699, Prbg.g_01145
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prbg.g_00013
OG0000024	Syaf.g_01484	Prbg.g_01352, Prbg.g_01116
OG0000025	Syaf.g_01385	Prbg.g_01195
OG0000026	Syaf.g_00461	Prbg.g_00842
OG0000027	Syaf.g_02284, Syaf.g_01688	Prbg.g_00721, Prbg.g_01569
OG0000028	Syaf.g_00297	Prbg.g_00743
OG0000029	Syaf.g_01761	Prbg.g_00734, Prbg.g_01581, Prbg.g_01740
OG0000030	Syaf.g_00406, Syaf.g_00407	Prbg.g_01858
OG0000031	Syaf.g_00314, Syaf.g_01143	Prbg.g_00550
OG0000032	Syaf.g_02471	Prbg.g_00630
OG0000033	Syaf.g_00807	Prbg.g_00557
OG0000034	Syaf.g_01241, Syaf.g_00837	Prbg.g_00488
OG0000035	Syaf.g_02412	Prbg.g_00591
OG0000037	Syaf.g_00899	Prbg.g_00881
OG0000038	Syaf.g_00642	Prbg.g_01898
OG0000039	Syaf.g_01395	Prbg.g_01128
OG0000041	Syaf.g_01171, Syaf.g_01414	Prbg.g_01697
OG0000042	Syaf.g_00403	Prbg.g_01855
OG0000043	Syaf.g_01747	Prbg.g_01507
OG0000046	Syaf.g_00055, Syaf.g_00045, Syaf.g_00062	Prbg.g_00105
OG0000047	Syaf.g_00030	Prbg.g_00143
OG0000048	Syaf.g_00230	Prbg.g_00464
OG0000051	Syaf.g_00972	Prbg.g_00408
OG0000052	Syaf.g_00335	Prbg.g_00816
OG0000053	Syaf.g_02447	Prbg.g_00612, Prbg.g_01595
OG0000054	Syaf.g_02376	Prbg.g_00326
OG0000057	Syaf.g_01665, Syaf.g_01452	Prbg.g_01143
OG0000058	Syaf.g_00316	Prbg.g_00551
OG0000059	Syaf.g_00143	Prbg.g_01737
OG0000061	Syaf.g_01288	Prbg.g_01486
OG0000062	Syaf.g_01055	Prbg.g_00676
OG0000063	Syaf.g_00457	Prbg.g_00730
OG0000064	Syaf.g_01063, Syaf.g_02253, Syaf.g_01667	Prbg.g_00802
OG0000065	Syaf.g_00903	Prbg.g_00879
OG0000066	Syaf.g_02643	Prbg.g_00256
OG0000067	Syaf.g_02049	Prbg.g_01159
OG0000068	Syaf.g_02733	Prbg.g_00529
OG0000070	Syaf.g_01237	Prbg.g_00170
OG0000071	Syaf.g_01254	Prbg.g_00477
OG0000072	Syaf.g_00805	Prbg.g_00949
OG0000073	Syaf.g_02700	Prbg.g_00219
OG0000075	Syaf.g_00353	Prbg.g_01821
OG0000076	Syaf.g_00388	Prbg.g_01847
OG0000077	Syaf.g_00951	Prbg.g_00791
OG0000078	Syaf.g_02782	Prbg.g_01022
OG0000079	Syaf.g_00197	Prbg.g_01035
OG0000081	Syaf.g_02776	Prbg.g_00248
OG0000082	Syaf.g_02576	Prbg.g_00304, Prbg.g_01639
OG0000084	Syaf.g_02409	Prbg.g_00588
OG0000085	Syaf.g_01048	Prbg.g_00716, Prbg.g_01642
OG0000086	Syaf.g_00932	Prbg.g_00782
OG0000087	Syaf.g_00848	Prbg.g_00913
OG0000088	Syaf.g_00811	Prbg.g_00944
OG0000089	Syaf.g_02807	Prbg.g_00137
OG0000090	Syaf.g_02654	Prbg.g_00250
