Orthogroup	Syaf	Syaa
OG0000001	Syaf.g_00846	Syaa.g_02437
OG0000001	Syaf.g_01634	Syaa.g_02329
OG0000004	Syaf.g_01455	Syaa.g_00892
OG0000004	Syaf.g_02351	Syaa.g_01667
OG0000004	Syaf.g_02794	Syaa.g_02116
OG0000005	Syaf.g_01017	Syaa.g_00534
OG0000005	Syaf.g_01057	Syaa.g_00573
OG0000005	Syaf.g_01732	Syaa.g_01449
OG0000006	Syaf.g_02288	Syaa.g_01611
OG0000006	Syaf.g_00179, Syaf.g_02778	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Syaf.g_02702	Syaa.g_02032
OG0000007	Syaf.g_01033	Syaa.g_00551
OG0000008	Syaf.g_01479	Syaa.g_00918
OG0000008	Syaf.g_01480	Syaa.g_00919
OG0000009	Syaf.g_00905	Syaa.g_02378
OG0000010	Syaf.g_02499	Syaa.g_01843
OG0000011	Syaf.g_01483	Syaa.g_00921
OG0000012	Syaf.g_01693	Syaa.g_02304
OG0000013	Syaf.g_00056	Syaa.g_02212
OG0000013	Syaf.g_00044	Syaa.g_02204
OG0000013	Syaf.g_00061	Syaa.g_02217
OG0000014	Syaf.g_00280	Syaa.g_00222
OG0000015	Syaf.g_02120	Syaa.g_01079
OG0000015	Syaf.g_02121	Syaa.g_01989
OG0000016	Syaf.g_00484	Syaa.g_00014
OG0000016	Syaf.g_01576	Syaa.g_00981
OG0000016	Syaf.g_01713	Syaa.g_01481
OG0000017	Syaf.g_02561	Syaa.g_01890
OG0000017	Syaf.g_02554	Syaa.g_01883
OG0000018	Syaf.g_02451	Syaa.g_01801
OG0000019	Syaf.g_00193	Syaa.g_00307
OG0000021	Syaf.g_02773	Syaa.g_02627
OG0000022	Syaf.g_02256	Syaa.g_01571
OG0000023	Syaf.g_01765, Syaf.g_01987	Syaa.g_01216
OG0000024	Syaf.g_01484	Syaa.g_00922
OG0000025	Syaf.g_01385	Syaa.g_00839
OG0000026	Syaf.g_00461	Syaa.g_00038
OG0000027	Syaf.g_02284	Syaa.g_01605
OG0000027	Syaf.g_01688	Syaa.g_00854
OG0000028	Syaf.g_00297	Syaa.g_00205
OG0000029	Syaf.g_01761	Syaa.g_01578
OG0000030	Syaf.g_00406	Syaa.g_00099
OG0000030	Syaf.g_00407	Syaa.g_00098
OG0000031	Syaf.g_00314	Syaa.g_00200
OG0000031	Syaf.g_01143	Syaa.g_00480
OG0000032	Syaf.g_02471	Syaa.g_01818
OG0000033	Syaf.g_00807	Syaa.g_02478
OG0000034	Syaf.g_01241, Syaf.g_00837	Syaa.g_00722, Syaa.g_02444
OG0000035	Syaf.g_02412	Syaa.g_01773
OG0000037	Syaf.g_00899	Syaa.g_02384
OG0000038	Syaf.g_00642	Syaa.g_02596
OG0000039	Syaf.g_01395	Syaa.g_00846
OG0000040	Syaf.g_00558	Syaa.g_02690
OG0000041	Syaf.g_01171	Syaa.g_00660
OG0000041	Syaf.g_01414	Syaa.g_00869
OG0000042	Syaf.g_00403	Syaa.g_00103
OG0000043	Syaf.g_01747	Syaa.g_01437
OG0000044	Syaf.g_01400	Syaa.g_00851
OG0000045	Syaf.g_00979	Syaa.g_01560
OG0000046	Syaf.g_00055	Syaa.g_02211
OG0000046	Syaf.g_00045	Syaa.g_02205
OG0000046	Syaf.g_00062	Syaa.g_02218
OG0000047	Syaf.g_00030	Syaa.g_02189
OG0000048	Syaf.g_00230	Syaa.g_00275
OG0000050	Syaf.g_01770	Syaa.g_01591
OG0000052	Syaf.g_00335	Syaa.g_00174
OG0000053	Syaf.g_02447	Syaa.g_01797
OG0000054	Syaf.g_02376	Syaa.g_01691
OG0000055	Syaf.g_01402	Syaa.g_00852
OG0000057	Syaf.g_01665	Syaa.g_01466
OG0000057	Syaf.g_01452	Syaa.g_00889
OG0000058	Syaf.g_00316	Syaa.g_00193
OG0000059	Syaf.g_00143	Syaa.g_02315
OG0000060	Syaf.g_02726	Syaa.g_02053
OG0000060	Syaf.g_01603	Syaa.g_01007
OG0000061	Syaf.g_01288	Syaa.g_00770
OG0000062	Syaf.g_01055	Syaa.g_00571
OG0000063	Syaf.g_00457	Syaa.g_00042
OG0000064	Syaf.g_01063	Syaa.g_00579
OG0000065	Syaf.g_00903	Syaa.g_02380
OG0000066	Syaf.g_02643	Syaa.g_01968
OG0000067	Syaf.g_02049	Syaa.g_01154
OG0000068	Syaf.g_02733	Syaa.g_02059
OG0000070	Syaf.g_01237	Syaa.g_00718
OG0000071	Syaf.g_01254	Syaa.g_00735
OG0000072	Syaf.g_00805	Syaa.g_02480
OG0000073	Syaf.g_02700	Syaa.g_02030
OG0000075	Syaf.g_00353	Syaa.g_00157
OG0000076	Syaf.g_00388	Syaa.g_00123
OG0000077	Syaf.g_00951	Syaa.g_00341
OG0000078	Syaf.g_02782	Syaa.g_02103
OG0000079	Syaf.g_00197	Syaa.g_00303
OG0000081	Syaf.g_02776	Syaa.g_02089
OG0000082	Syaf.g_02576	Syaa.g_01905
OG0000084	Syaf.g_02409	Syaa.g_01770
OG0000085	Syaf.g_01048	Syaa.g_00564
OG0000086	Syaf.g_00932	Syaa.g_00324
OG0000087	Syaf.g_00848	Syaa.g_02433
OG0000088	Syaf.g_00811	Syaa.g_02474
OG0000089	Syaf.g_02807	Syaa.g_02149
OG0000090	Syaf.g_02654	Syaa.g_01980
OG0000091	Syaf.g_02302	Syaa.g_01625
OG0000093	Syaf.g_02065	Syaa.g_01139
OG0000094	Syaf.g_01940	Syaa.g_01288
OG0000095	Syaf.g_01442	Syaa.g_00879
OG0000097	Syaf.g_01574	Syaa.g_00979
OG0000098	Syaf.g_01637	Syaa.g_01970
OG0000099	Syaf.g_00312	Syaa.g_00202
OG0000100	Syaf.g_02017	Syaa.g_01201
OG0000101	Syaf.g_00093	Syaa.g_02249
OG0000102	Syaf.g_00393	Syaa.g_00118
OG0000103	Syaf.g_00520	Syaa.g_02740
OG0000104	Syaf.g_00502	Syaa.g_02754
OG0000105	Syaf.g_00235	Syaa.g_00270
OG0000106	Syaf.g_01745	Syaa.g_01439
OG0000107	Syaf.g_00177, Syaf.g_00758	Syaa.g_02351
OG0000108	Syaf.g_02721	Syaa.g_02051
OG0000109	Syaf.g_02706	Syaa.g_02036
OG0000110	Syaf.g_02589	Syaa.g_01918
OG0000111	Syaf.g_01451	Syaa.g_00888
OG0000112	Syaf.g_01852	Syaa.g_01366
OG0000113	Syaf.g_02022	Syaa.g_01196
OG0000114	Syaf.g_02103	Syaa.g_01094
OG0000115	Syaf.g_02445	Syaa.g_01795
OG0000116	Syaf.g_01276	Syaa.g_00757
OG0000117	Syaf.g_01605	Syaa.g_01009
OG0000118	Syaf.g_02544	Syaa.g_01874
OG0000120	Syaf.g_00313	Syaa.g_00201
OG0000121	Syaf.g_02419	Syaa.g_01777
OG0000123	Syaf.g_00086	Syaa.g_02242
OG0000124	Syaf.g_00414	Syaa.g_00092
OG0000125	Syaf.g_00640	Syaa.g_02598
OG0000126	Syaf.g_00504	Syaa.g_02752
OG0000127	Syaf.g_01541	Syaa.g_00934
OG0000128	Syaf.g_00486	Syaa.g_00012
OG0000129	Syaf.g_00651	Syaa.g_02586
OG0000130	Syaf.g_00963	Syaa.g_00354
OG0000131	Syaf.g_00833	Syaa.g_02448
OG0000132	Syaf.g_00813	Syaa.g_02472
OG0000133	Syaf.g_01857	Syaa.g_01361
OG0000134	Syaf.g_02804	Syaa.g_02146
OG0000135	Syaf.g_00605	Syaa.g_02649
OG0000136	Syaf.g_01224	Syaa.g_00708
OG0000137	Syaf.g_02498	Syaa.g_01842
OG0000138	Syaf.g_02705	Syaa.g_02035
OG0000139	Syaf.g_02648	Syaa.g_01974
OG0000140	Syaf.g_02646	Syaa.g_01971
OG0000141	Syaf.g_02375	Syaa.g_01689
OG0000142	Syaf.g_02310	Syaa.g_01633
OG0000143	Syaf.g_02306	Syaa.g_01629
OG0000144	Syaf.g_01735	Syaa.g_01446
OG0000145	Syaf.g_02699	Syaa.g_02029
OG0000146	Syaf.g_01851	Syaa.g_01367
OG0000147	Syaf.g_01850	Syaa.g_01368
OG0000148	Syaf.g_02028	Syaa.g_01190
OG0000149	Syaf.g_01371	Syaa.g_00826
OG0000150	Syaf.g_02645	Syaa.g_01688
OG0000151	Syaf.g_02091	Syaa.g_01107
OG0000152	Syaf.g_01861	Syaa.g_01357
OG0000153	Syaf.g_01904	Syaa.g_01324
OG0000154	Syaf.g_01930	Syaa.g_01298
OG0000155	Syaf.g_01324	Syaa.g_00804
OG0000156	Syaf.g_01270	Syaa.g_00751
OG0000157	Syaf.g_01269	Syaa.g_00750
OG0000158	Syaf.g_00364	Syaa.g_00148
OG0000159	Syaf.g_00311	Syaa.g_00456
OG0000160	Syaf.g_02418	Syaa.g_01776
OG0000161	Syaf.g_02424	Syaa.g_01782
OG0000162	Syaf.g_02431	Syaa.g_01788
OG0000163	Syaf.g_01105	Syaa.g_00624
OG0000164	Syaf.g_00999	Syaa.g_00507
OG0000165	Syaf.g_01197	Syaa.g_00681
OG0000166	Syaf.g_00133	Syaa.g_02289
OG0000167	Syaf.g_00350	Syaa.g_00160
OG0000168	Syaf.g_00365	Syaa.g_00145
OG0000169	Syaf.g_00376	Syaa.g_00134
OG0000170	Syaf.g_00383	Syaa.g_00128
OG0000171	Syaf.g_00413	Syaa.g_00093
OG0000172	Syaf.g_00419	Syaa.g_00079
OG0000173	Syaf.g_00438	Syaa.g_00060
OG0000174	Syaf.g_00603	Syaa.g_02651
OG0000175	Syaf.g_00531	Syaa.g_02726
OG0000176	Syaf.g_00494	Syaa.g_00004
OG0000177	Syaf.g_00493	Syaa.g_00005
OG0000178	Syaf.g_00492	Syaa.g_00006
OG0000179	Syaf.g_00477	Syaa.g_00023
OG0000180	Syaf.g_00476	Syaa.g_00024
OG0000181	Syaf.g_00475	Syaa.g_00025
OG0000182	Syaf.g_00474	Syaa.g_00026
OG0000183	Syaf.g_00470	Syaa.g_00030
OG0000184	Syaf.g_00664	Syaa.g_02578
OG0000185	Syaf.g_00684	Syaa.g_02575
OG0000186	Syaf.g_00968	Syaa.g_00359
OG0000187	Syaf.g_00966	Syaa.g_00358
OG0000188	Syaf.g_00944	Syaa.g_00334
OG0000189	Syaf.g_00916	Syaa.g_02367
OG0000190	Syaf.g_00914	Syaa.g_02369
OG0000191	Syaf.g_00877	Syaa.g_02404
OG0000192	Syaf.g_00871	Syaa.g_02410
OG0000193	Syaf.g_00832	Syaa.g_02449
OG0000194	Syaf.g_00829	Syaa.g_02452
OG0000195	Syaf.g_00827	Syaa.g_02459
OG0000196	Syaf.g_00816	Syaa.g_02469
OG0000197	Syaf.g_00815	Syaa.g_02470
OG0000198	Syaf.g_00814	Syaa.g_02471
OG0000199	Syaf.g_00806	Syaa.g_02479
OG0000200	Syaf.g_00789	Syaa.g_02496
OG0000201	Syaf.g_00771	Syaa.g_02521
OG0000202	Syaf.g_00770	Syaa.g_02522
OG0000203	Syaf.g_00769	Syaa.g_02523
OG0000204	Syaf.g_00768	Syaa.g_02524
OG0000205	Syaf.g_00761	Syaa.g_02531
OG0000206	Syaf.g_00736	Syaa.g_02538
OG0000207	Syaf.g_00735	Syaa.g_02540
OG0000208	Syaf.g_00734	Syaa.g_02541
OG0000209	Syaf.g_00714	Syaa.g_02556
OG0000210	Syaf.g_00713	Syaa.g_02557
OG0000211	Syaf.g_02791	Syaa.g_02113
OG0000212	Syaf.g_02781	Syaa.g_02102
OG0000213	Syaf.g_00210	Syaa.g_00295
OG0000214	Syaf.g_00226	Syaa.g_00279
OG0000215	Syaf.g_00258	Syaa.g_00248
OG0000216	Syaf.g_00262	Syaa.g_00244
OG0000217	Syaf.g_00266	Syaa.g_00240
OG0000218	Syaf.g_00268	Syaa.g_00238
OG0000219	Syaf.g_00269	Syaa.g_00237
OG0000220	Syaf.g_00270	Syaa.g_00236
OG0000221	Syaf.g_02597, Syaf.g_00273	Syaa.g_00229
OG0000222	Syaf.g_00287	Syaa.g_00215
OG0000223	Syaf.g_00317	Syaa.g_00192
OG0000224	Syaf.g_00324	Syaa.g_00183
OG0000225	Syaf.g_00007	Syaa.g_02166
OG0000226	Syaf.g_00003	Syaa.g_02162
OG0000227	Syaf.g_00001	Syaa.g_02160
OG0000228	Syaf.g_02808	Syaa.g_02150
OG0000229	Syaf.g_01214	Syaa.g_00703
OG0000230	Syaf.g_01216	Syaa.g_00705
OG0000231	Syaf.g_01236	Syaa.g_00717
OG0000232	Syaf.g_02536	Syaa.g_01858
OG0000233	Syaf.g_02528	Syaa.g_01853
OG0000234	Syaf.g_02497	Syaa.g_01841
OG0000235	Syaf.g_02722	Syaa.g_02052
OG0000236	Syaf.g_02707	Syaa.g_02037
OG0000237	Syaf.g_02690	Syaa.g_02020
OG0000238	Syaf.g_02685	Syaa.g_02015
OG0000239	Syaf.g_02669	Syaa.g_01996
OG0000240	Syaf.g_02668	Syaa.g_01995
OG0000241	Syaf.g_02322	Syaa.g_01644
OG0000242	Syaf.g_02656	Syaa.g_01982
OG0000243	Syaf.g_02634	Syaa.g_01960
OG0000244	Syaf.g_02627	Syaa.g_01954
OG0000245	Syaf.g_02625	Syaa.g_01952
OG0000246	Syaf.g_02621	Syaa.g_01948
OG0000247	Syaf.g_02610	Syaa.g_01937
OG0000248	Syaf.g_02607	Syaa.g_01934
OG0000249	Syaf.g_02605	Syaa.g_01932
OG0000250	Syaf.g_02593	Syaa.g_01922
OG0000251	Syaf.g_02568	Syaa.g_01897
OG0000252	Syaf.g_02565	Syaa.g_01894
OG0000253	Syaf.g_02564	Syaa.g_01893
OG0000254	Syaf.g_02371	Syaa.g_01684
OG0000255	Syaf.g_02352	Syaa.g_01668
OG0000256	Syaf.g_02329	Syaa.g_01651
OG0000257	Syaf.g_02323	Syaa.g_01645
OG0000258	Syaf.g_02301	Syaa.g_01624
OG0000259	Syaf.g_02137	Syaa.g_01063
OG0000260	Syaf.g_02134	Syaa.g_01066
OG0000261	Syaf.g_02131	Syaa.g_01069
OG0000262	Syaf.g_02126	Syaa.g_01074
OG0000263	Syaf.g_01585	Syaa.g_00989
OG0000264	Syaf.g_01473	Syaa.g_00910
OG0000265	Syaf.g_01196	Syaa.g_01498
OG0000266	Syaf.g_01967	Syaa.g_01258
OG0000267	Syaf.g_01787	Syaa.g_01409
OG0000268	Syaf.g_01788	Syaa.g_01408
OG0000269	Syaf.g_02054	Syaa.g_01149
OG0000270	Syaf.g_02051	Syaa.g_01152
OG0000271	Syaf.g_02043	Syaa.g_01160
OG0000272	Syaf.g_02042	Syaa.g_01161
OG0000273	Syaf.g_01392	Syaa.g_00844
OG0000274	Syaf.g_01391	Syaa.g_00843
OG0000275	Syaf.g_01386	Syaa.g_00840
OG0000276	Syaf.g_01379	Syaa.g_00834
OG0000277	Syaf.g_01378	Syaa.g_00833
OG0000278	Syaf.g_01375	Syaa.g_00830
OG0000279	Syaf.g_01367	Syaa.g_00822
OG0000280	Syaf.g_01337	Syaa.g_00815
OG0000282	Syaf.g_02101	Syaa.g_01096
OG0000283	Syaf.g_01804	Syaa.g_01396
OG0000284	Syaf.g_01810	Syaa.g_01390
OG0000285	Syaf.g_01842	Syaa.g_01377
OG0000286	Syaf.g_01860	Syaa.g_01358
OG0000287	Syaf.g_01896	Syaa.g_01330
OG0000288	Syaf.g_01929	Syaa.g_01299
OG0000289	Syaf.g_01943	Syaa.g_01285
OG0000290	Syaf.g_01439	Syaa.g_00875
OG0000291	Syaf.g_01441	Syaa.g_00877
OG0000292	Syaf.g_00505	Syaa.g_02751
OG0000293	Syaf.g_01277	Syaa.g_00758
OG0000294	Syaf.g_01278	Syaa.g_00759
OG0000295	Syaf.g_01316	Syaa.g_00796
OG0000296	Syaf.g_01318	Syaa.g_00798
OG0000297	Syaf.g_01607	Syaa.g_01021
OG0000298	Syaf.g_01606	Syaa.g_01010
OG0000299	Syaf.g_01578	Syaa.g_00982
OG0000300	Syaf.g_01571	Syaa.g_00976
OG0000301	Syaf.g_01570	Syaa.g_00975
OG0000302	Syaf.g_01568	Syaa.g_00972
OG0000303	Syaf.g_01559	Syaa.g_00963
OG0000304	Syaf.g_01551	Syaa.g_00957
OG0000305	Syaf.g_01444	Syaa.g_00881
OG0000306	Syaf.g_01332	Syaa.g_00807
OG0000307	Syaf.g_02742	Syaa.g_02068
OG0000308	Syaf.g_02744	Syaa.g_02070
OG0000309	Syaf.g_02749	Syaa.g_02075
OG0000310	Syaf.g_02387	Syaa.g_01752
OG0000311	Syaf.g_02391	Syaa.g_01757
OG0000312	Syaf.g_02397	Syaa.g_01762
OG0000313	Syaf.g_02421	Syaa.g_01779
OG0000314	Syaf.g_02458	Syaa.g_01806
OG0000315	Syaf.g_02468	Syaa.g_01816
OG0000316	Syaf.g_01088	Syaa.g_00598
OG0000317	Syaf.g_01040	Syaa.g_00556
OG0000318	Syaf.g_01032	Syaa.g_00550
OG0000319	Syaf.g_01015	Syaa.g_00532
OG0000320	Syaf.g_01013	Syaa.g_00530
OG0000321	Syaf.g_01012	Syaa.g_00529
OG0000322	Syaf.g_01011	Syaa.g_00528
OG0000323	Syaf.g_00997	Syaa.g_00496
OG0000324	Syaf.g_01164	Syaa.g_00653
OG0000325	Syaf.g_00176	Syaa.g_02350
OG0000326	Syaf.g_00169	Syaa.g_02343
OG0000327	Syaf.g_00138	Syaa.g_02294
OG0000328	Syaf.g_00137	Syaa.g_02293
OG0000329	Syaf.g_00119	Syaa.g_02275
OG0000330	Syaf.g_00118	Syaa.g_02274
OG0000331	Syaf.g_00117	Syaa.g_02273
OG0000332	Syaf.g_00102	Syaa.g_02258
OG0000333	Syaf.g_00099	Syaa.g_02255
OG0000334	Syaf.g_00090	Syaa.g_02246
OG0000335	Syaf.g_00085	Syaa.g_02241
OG0000336	Syaf.g_00081	Syaa.g_02237
OG0000337	Syaf.g_00344	Syaa.g_00167
OG0000338	Syaf.g_00348	Syaa.g_00162
OG0000339	Syaf.g_00355	Syaa.g_00156
OG0000340	Syaf.g_00366	Syaa.g_00144
OG0000341	Syaf.g_00368	Syaa.g_00142
OG0000342	Syaf.g_00369	Syaa.g_00141
OG0000343	Syaf.g_00370	Syaa.g_00140
OG0000344	Syaf.g_00374	Syaa.g_00136
OG0000345	Syaf.g_00384	Syaa.g_00127
OG0000346	Syaf.g_00389	Syaa.g_00122
OG0000347	Syaf.g_00415	Syaa.g_00088
OG0000348	Syaf.g_00427	Syaa.g_00071
OG0000349	Syaf.g_00445	Syaa.g_00053
OG0000350	Syaf.g_00162	Syaa.g_02336
OG0000351	Syaf.g_00528	Syaa.g_02730
OG0000352	Syaf.g_00527	Syaa.g_02731
OG0000353	Syaf.g_00499	Syaa.g_02757
OG0000354	Syaf.g_02680	Syaa.g_02008, Syaa.g_02009
OG0000354	Syaf.g_00479	Syaa.g_00019, Syaa.g_00020
OG0000355	Syaf.g_00497	Syaa.g_00001
OG0000356	Syaf.g_00496	Syaa.g_00002
OG0000357	Syaf.g_00495	Syaa.g_00003
OG0000358	Syaf.g_00491	Syaa.g_00007
OG0000359	Syaf.g_00489	Syaa.g_00009
OG0000360	Syaf.g_00488	Syaa.g_00010
OG0000361	Syaf.g_00487	Syaa.g_00011
OG0000362	Syaf.g_00485	Syaa.g_00013
OG0000363	Syaf.g_00483	Syaa.g_00015
OG0000364	Syaf.g_00482	Syaa.g_00016
OG0000365	Syaf.g_00473	Syaa.g_00027
OG0000366	Syaf.g_00472	Syaa.g_00028
OG0000367	Syaf.g_00471	Syaa.g_00029
OG0000368	Syaf.g_00469	Syaa.g_00031
OG0000369	Syaf.g_00468	Syaa.g_00032
OG0000370	Syaf.g_00467	Syaa.g_00033
OG0000371	Syaf.g_00458	Syaa.g_00041
OG0000372	Syaf.g_00453	Syaa.g_00046
OG0000373	Syaf.g_00452	Syaa.g_00047
OG0000374	Syaf.g_00451	Syaa.g_00048
OG0000375	Syaf.g_00449	Syaa.g_00049
OG0000376	Syaf.g_00447	Syaa.g_00051
OG0000377	Syaf.g_00654	Syaa.g_02585
OG0000378	Syaf.g_00668	Syaa.g_02577
OG0000379	Syaf.g_00686	Syaa.g_02574
OG0000380	Syaf.g_00965	Syaa.g_00357
OG0000381	Syaf.g_00962	Syaa.g_00353
OG0000382	Syaf.g_00945	Syaa.g_00335
OG0000383	Syaf.g_00941	Syaa.g_00333
OG0000384	Syaf.g_00940	Syaa.g_00332
OG0000385	Syaf.g_00939	Syaa.g_00331
OG0000386	Syaf.g_00938	Syaa.g_00330
OG0000387	Syaf.g_00912	Syaa.g_02371
OG0000388	Syaf.g_00908	Syaa.g_02375
OG0000389	Syaf.g_00904	Syaa.g_02379
OG0000390	Syaf.g_00883	Syaa.g_02398
OG0000391	Syaf.g_00878	Syaa.g_02403
OG0000392	Syaf.g_00872	Syaa.g_02409
OG0000393	Syaf.g_00870	Syaa.g_02412
OG0000394	Syaf.g_00869	Syaa.g_02413
OG0000395	Syaf.g_00868	Syaa.g_02414
OG0000396	Syaf.g_00865	Syaa.g_02417
OG0000397	Syaf.g_00863	Syaa.g_02419
OG0000398	Syaf.g_00858	Syaa.g_02424
OG0000399	Syaf.g_00857	Syaa.g_02425
OG0000400	Syaf.g_00856	Syaa.g_02426
OG0000401	Syaf.g_00855	Syaa.g_02427
OG0000402	Syaf.g_00852	Syaa.g_02429
OG0000403	Syaf.g_00851	Syaa.g_02430
OG0000404	Syaf.g_00850	Syaa.g_02431
OG0000405	Syaf.g_00835	Syaa.g_02446
OG0000406	Syaf.g_00831	Syaa.g_02450
OG0000407	Syaf.g_00830	Syaa.g_02451
OG0000408	Syaf.g_00828	Syaa.g_02458
OG0000409	Syaf.g_00826	Syaa.g_02460
OG0000410	Syaf.g_00825	Syaa.g_02461
OG0000411	Syaf.g_00824	Syaa.g_02462
