Orthogroup	Prau	Prac
OG0000000	Prau.g_01665	Prac.g_00277
OG0000000	Prau.g_01648	Prac.g_00292
OG0000000	Prau.g_01266	Prac.g_00926, Prac.g_00293
OG0000001	Prau.g_01402	Prac.g_00210
OG0000001	Prau.g_00718	Prac.g_00693
OG0000002	Prau.g_01394	Prac.g_00202
OG0000003	Prau.g_01268	Prac.g_01905
OG0000004	Prau.g_01350	Prac.g_00157
OG0000004	Prau.g_01650	Prac.g_00290
OG0000005	Prau.g_00785	Prac.g_01536
OG0000005	Prau.g_00792	Prac.g_01529
OG0000006	Prau.g_01331	Prac.g_00139
OG0000006	Prau.g_00805	Prac.g_01516
OG0000006	Prau.g_01156	Prac.g_01035
OG0000007	Prau.g_01319	Prac.g_01954
OG0000007	Prau.g_00387	Prac.g_01149
OG0000008	Prau.g_00538	Prac.g_00874
OG0000008	Prau.g_01732	Prac.g_00625
OG0000009	Prau.g_00437	Prac.g_00566
OG0000010	Prau.g_00834	Prac.g_01496
OG0000010	Prau.g_00251	Prac.g_01681
OG0000011	Prau.g_00378	Prac.g_01158
OG0000012	Prau.g_00377	Prac.g_01159
OG0000013	Prau.g_01641	Prac.g_00301
OG0000013	Prau.g_00106	Prac.g_01826
OG0000014	Prau.g_01438, Prau.g_01470, Prau.g_00308	Prac.g_01625
OG0000015	Prau.g_00414	Prac.g_01127
OG0000015	Prau.g_00332	Prac.g_01601
OG0000016	Prau.g_00817	Prac.g_00898
OG0000018	Prau.g_00636	Prac.g_00773
OG0000019	Prau.g_00385	Prac.g_01151
OG0000020	Prau.g_01405	Prac.g_00213
OG0000021	Prau.g_00040	Prac.g_01901
OG0000021	Prau.g_01551	Prac.g_00391
OG0000022	Prau.g_01316	Prac.g_01689
OG0000023	Prau.g_00367	Prac.g_01169
OG0000024	Prau.g_01344	Prac.g_00151
OG0000025	Prau.g_00796	Prac.g_01525
OG0000026	Prau.g_01352	Prac.g_00159
OG0000027	Prau.g_00712	Prac.g_00699
OG0000028	Prau.g_00781	Prac.g_00904
OG0000029	Prau.g_00835	Prac.g_01495
OG0000030	Prau.g_00836	Prac.g_01494
OG0000031	Prau.g_01932	Prac.g_00048
OG0000032	Prau.g_00032	Prac.g_01913, Prac.g_01914
OG0000032	Prau.g_01295	Prac.g_00908
OG0000033	Prau.g_01618	Prac.g_00325
OG0000033	Prau.g_00788	Prac.g_01533
OG0000034	Prau.g_01528, Prau.g_01531	Prac.g_00411
OG0000035	Prau.g_01642	Prac.g_00300
OG0000035	Prau.g_01285	Prac.g_00890
OG0000036	Prau.g_01153	Prac.g_01037
OG0000039	Prau.g_00013	Prac.g_01934
OG0000040	Prau.g_00441	Prac.g_00152
OG0000041	Prau.g_00663	Prac.g_00748
OG0000042	Prau.g_01978	Prac.g_00092
OG0000043	Prau.g_01126	Prac.g_01217
OG0000045	Prau.g_00624	Prac.g_00788
OG0000046	Prau.g_00814	Prac.g_01510
OG0000047	Prau.g_01206	Prac.g_00985
OG0000049	Prau.g_01432, Prau.g_01460	Prac.g_00434
OG0000050	Prau.g_00167	Prac.g_01764
OG0000051	Prau.g_00362	Prac.g_01174
OG0000052	Prau.g_00458, Prau.g_00432	Prac.g_01119
OG0000053	Prau.g_00755	Prac.g_01560
OG0000054	Prau.g_01725	Prac.g_00632
OG0000055	Prau.g_00037	Prac.g_01904
OG0000055	Prau.g_01925	Prac.g_00041
OG0000056	Prau.g_00030	Prac.g_01916
OG0000057	Prau.g_00158	Prac.g_01773
OG0000058	Prau.g_00373	Prac.g_01163
OG0000059	Prau.g_00579	Prac.g_00833
OG0000060	Prau.g_00768	Prac.g_01547
OG0000061	Prau.g_00808	Prac.g_01515
OG0000062	Prau.g_00876	Prac.g_01453
OG0000063	Prau.g_01162	Prac.g_01029
OG0000065	Prau.g_00238	Prac.g_01693
OG0000066	Prau.g_00516	Prac.g_01069
OG0000067	Prau.g_00738	Prac.g_00673
OG0000068	Prau.g_00790	Prac.g_01531
OG0000068	Prau.g_01703	Prac.g_01597
OG0000069	Prau.g_01172	Prac.g_01020
OG0000070	Prau.g_01089	Prac.g_01256
OG0000071	Prau.g_01318	Prac.g_01955
OG0000072	Prau.g_01371	Prac.g_00175
OG0000074	Prau.g_01430	Prac.g_00248
OG0000075	Prau.g_01869	Prac.g_00548
OG0000076	Prau.g_01446	Prac.g_00242
OG0000077	Prau.g_00011	Prac.g_01936
OG0000078	Prau.g_00324	Prac.g_01609
OG0000079	Prau.g_00386	Prac.g_01150
OG0000080	Prau.g_00709	Prac.g_00702
OG0000081	Prau.g_00731	Prac.g_00680
OG0000082	Prau.g_00861	Prac.g_01468
OG0000083	Prau.g_00926	Prac.g_01405
OG0000084	Prau.g_01015	Prac.g_01327
OG0000085	Prau.g_01136	Prac.g_01207
OG0000086	Prau.g_01174	Prac.g_01018
OG0000087	Prau.g_01666	Prac.g_00276
OG0000088	Prau.g_01323	Prac.g_00132
OG0000089	Prau.g_00783, Prau.g_01325	Prac.g_00133
OG0000090	Prau.g_01434, Prau.g_01491, Prau.g_01435	Prac.g_00256
OG0000091	Prau.g_01539	Prac.g_00403
OG0000092	Prau.g_01658	Prac.g_00886
OG0000093	Prau.g_01818	Prac.g_00500
OG0000094	Prau.g_01866	Prac.g_00545
OG0000095	Prau.g_01899	Prac.g_00015
OG0000096	Prau.g_01970	Prac.g_00084
OG0000097	Prau.g_01987	Prac.g_00101
OG0000098	Prau.g_00003	Prac.g_01944
OG0000099	Prau.g_00023	Prac.g_01924
OG0000100	Prau.g_00046	Prac.g_01893
OG0000101	Prau.g_00057	Prac.g_01882
OG0000102	Prau.g_00114	Prac.g_01818
OG0000103	Prau.g_00122	Prac.g_01810
OG0000104	Prau.g_00140	Prac.g_01792
OG0000105	Prau.g_00171	Prac.g_01760
OG0000106	Prau.g_00185	Prac.g_01746
OG0000107	Prau.g_00193	Prac.g_01738
OG0000108	Prau.g_00203	Prac.g_01728
OG0000109	Prau.g_00240	Prac.g_01691
OG0000110	Prau.g_00253	Prac.g_01679
OG0000111	Prau.g_00276	Prac.g_01657
OG0000112	Prau.g_00286	Prac.g_01647
OG0000113	Prau.g_00299	Prac.g_01634
OG0000114	Prau.g_00327	Prac.g_01606
OG0000115	Prau.g_00515	Prac.g_01070
OG0000116	Prau.g_00517	Prac.g_01068
OG0000117	Prau.g_00521	Prac.g_01064
OG0000118	Prau.g_00540	Prac.g_00872
OG0000119	Prau.g_00572	Prac.g_00840
OG0000120	Prau.g_00573	Prac.g_00839
OG0000121	Prau.g_00583	Prac.g_00829
OG0000122	Prau.g_00592	Prac.g_00820
OG0000123	Prau.g_00623	Prac.g_00789
OG0000124	Prau.g_00691	Prac.g_00720
OG0000125	Prau.g_00692	Prac.g_00719
OG0000126	Prau.g_00693	Prac.g_00718
OG0000127	Prau.g_00726	Prac.g_00685
OG0000128	Prau.g_00757	Prac.g_01558
OG0000129	Prau.g_00777	Prac.g_01538
OG0000130	Prau.g_00839	Prac.g_01491
OG0000131	Prau.g_00852	Prac.g_01477
OG0000132	Prau.g_00887	Prac.g_01442
OG0000133	Prau.g_00973	Prac.g_01368
OG0000134	Prau.g_00983	Prac.g_01359
OG0000135	Prau.g_01019	Prac.g_01323
OG0000136	Prau.g_01086	Prac.g_01259
OG0000137	Prau.g_01177	Prac.g_01015
OG0000138	Prau.g_01202	Prac.g_00990
OG0000139	Prau.g_01212	Prac.g_00979
OG0000140	Prau.g_01263	Prac.g_00928
OG0000141	Prau.g_01271	Prac.g_00448
OG0000142	Prau.g_01383	Prac.g_00187
OG0000143	Prau.g_01409	Prac.g_00217
OG0000144	Prau.g_01515	Prac.g_00424
OG0000145	Prau.g_01532	Prac.g_00410
