Orthogroup	Prau	Pras
OG0000000	Prau.g_01665	Pras.g_00493
OG0000000	Prau.g_01648	Pras.g_00470
OG0000000	Prau.g_01266	Pras.g_00117
OG0000001	Prau.g_01402	Pras.g_00243
OG0000001	Prau.g_00718	Pras.g_01554
OG0000002	Prau.g_01267	Pras.g_00118
OG0000002	Prau.g_01269	Pras.g_00120
OG0000002	Prau.g_01394	Pras.g_00235
OG0000003	Prau.g_01315	Pras.g_00228
OG0000003	Prau.g_01268	Pras.g_00119
OG0000004	Prau.g_01350	Pras.g_00182
OG0000004	Prau.g_01650	Pras.g_00471
OG0000004	Prau.g_01300	Pras.g_00136
OG0000005	Prau.g_00785	Pras.g_01631
OG0000005	Prau.g_00792	Pras.g_01638
OG0000006	Prau.g_01331	Pras.g_00163
OG0000006	Prau.g_00805	Pras.g_01654
OG0000006	Prau.g_01156	Pras.g_00004
OG0000007	Prau.g_01303	Pras.g_00139
OG0000007	Prau.g_01319	Pras.g_00151
OG0000007	Prau.g_00387	Pras.g_01237
OG0000008	Prau.g_00538	Pras.g_01375
OG0000008	Prau.g_01732	Pras.g_00550
OG0000010	Prau.g_00834	Pras.g_01681
OG0000010	Prau.g_00251	Pras.g_01101
OG0000011	Prau.g_00378	Pras.g_01228
OG0000011	Prau.g_00804	Pras.g_01653
OG0000012	Prau.g_01139	Pras.g_01985
OG0000012	Prau.g_00377	Pras.g_01227
OG0000013	Prau.g_01641	Pras.g_00463
OG0000013	Prau.g_00106	Pras.g_00956
OG0000014	Prau.g_01438, Prau.g_01470	Pras.g_00304
OG0000014	Prau.g_00308	Pras.g_01158
OG0000015	Prau.g_00414	Pras.g_01263
OG0000015	Prau.g_00332	Pras.g_01182
OG0000016	Prau.g_00817	Pras.g_00127
OG0000017	Prau.g_01353	Pras.g_00185
OG0000018	Prau.g_00636	Pras.g_01474
OG0000019	Prau.g_00385	Pras.g_01235
OG0000019	Prau.g_01284	Pras.g_00539
OG0000020	Prau.g_01405	Pras.g_00246
OG0000021	Prau.g_00040	Pras.g_00886
OG0000021	Prau.g_01551	Pras.g_00370
