Orthogroup	Prau	Praf
OG0000000	Prau.g_01648	Praf.g_00813
OG0000000	Prau.g_01266, Prau.g_01647	Praf.g_01042, Praf.g_01039, Praf.g_00815
OG0000001	Prau.g_01402	Praf.g_01631
OG0000001	Prau.g_00718	Praf.g_00948
OG0000002	Prau.g_01394	Praf.g_01896, Praf.g_00818, Praf.g_01895, Praf.g_01031, Praf.g_02422, Praf.g_01293
OG0000003	Prau.g_01315	Praf.g_01873
OG0000004	Prau.g_01350, Prau.g_01650, Prau.g_01300	Praf.g_00814
OG0000005	Prau.g_00792	Praf.g_01014, Praf.g_02005
OG0000008	Prau.g_00538	Praf.g_00614
OG0000008	Prau.g_01732	Praf.g_00480
OG0000010	Prau.g_00834, Prau.g_00251	Praf.g_02214
OG0000011	Prau.g_00378	Praf.g_02647
OG0000011	Prau.g_00804	Praf.g_02091
OG0000013	Prau.g_01641, Prau.g_00106	Praf.g_01768, Praf.g_00246
OG0000014	Prau.g_01470	Praf.g_00112
OG0000015	Prau.g_00414	Praf.g_01898
OG0000015	Prau.g_00332	Praf.g_01864
OG0000016	Prau.g_00817	Praf.g_01033, Praf.g_01618, Praf.g_01030
OG0000018	Prau.g_00636	Praf.g_00752, Praf.g_00760
OG0000020	Prau.g_01405	Praf.g_01108, Praf.g_01143
OG0000021	Prau.g_00040	Praf.g_01828
OG0000022	Prau.g_01316, Prau.g_00243	Praf.g_01719, Praf.g_00396
OG0000023	Prau.g_01680, Prau.g_00367	Praf.g_00746
OG0000024	Prau.g_01344	Praf.g_01082
OG0000025	Prau.g_00796	Praf.g_01139
OG0000027	Prau.g_00712	Praf.g_01224
OG0000028	Prau.g_00781	Praf.g_01223
OG0000029	Prau.g_00835	Praf.g_01257
OG0000031	Prau.g_01932	Praf.g_00920, Praf.g_00164, Praf.g_02721
OG0000032	Prau.g_00032, Prau.g_01295	Praf.g_00041
OG0000034	Prau.g_01528, Prau.g_01531	Praf.g_01794
OG0000037	Prau.g_01347, Prau.g_01681, Prau.g_01275	Praf.g_01022
OG0000038	Prau.g_01469	Praf.g_00113
OG0000039	Prau.g_00013	Praf.g_00014
OG0000040	Prau.g_00441	Praf.g_01188, Praf.g_01190
OG0000041	Prau.g_00663, Prau.g_01279	Praf.g_01668
OG0000045	Prau.g_00624	Praf.g_00731
OG0000046	Prau.g_00814	Praf.g_00965, Praf.g_00201
OG0000047	Prau.g_01206	Praf.g_00854
OG0000049	Prau.g_01432, Prau.g_01460	Praf.g_02345
OG0000050	Prau.g_00167	Praf.g_01239, Praf.g_02454
OG0000053	Prau.g_00755	Praf.g_01238, Praf.g_01302
OG0000054	Prau.g_01725	Praf.g_00491
OG0000055	Prau.g_00037, Prau.g_01925	Praf.g_00178
OG0000056	Prau.g_00030	Praf.g_00037
OG0000057	Prau.g_00158	Praf.g_02445
OG0000058	Prau.g_00373	Praf.g_00496
OG0000059	Prau.g_00579	Praf.g_00672
OG0000061	Prau.g_00808	Praf.g_00348
OG0000062	Prau.g_00876	Praf.g_01556
OG0000063	Prau.g_01162, Prau.g_00749	Praf.g_02587
OG0000065	Prau.g_00784	Praf.g_00386
OG0000066	Prau.g_00516	Praf.g_01907
OG0000067	Prau.g_00738	Praf.g_01125
OG0000070	Prau.g_01089	Praf.g_01274
OG0000071	Prau.g_01318	Praf.g_00919
OG0000072	Prau.g_01371	Praf.g_00796
OG0000074	Prau.g_01430	Praf.g_02343
OG0000075	Prau.g_01869	Praf.g_02119
OG0000076	Prau.g_01446	Praf.g_02346
OG0000077	Prau.g_00011	Praf.g_00012
OG0000078	Prau.g_00324	Praf.g_02336
OG0000079	Prau.g_00386	Praf.g_02715, Praf.g_02705
OG0000080	Prau.g_00709	Praf.g_01748
OG0000081	Prau.g_00731	Praf.g_01219, Praf.g_01218
OG0000082	Prau.g_00861	Praf.g_01537
OG0000084	Prau.g_01015	Praf.g_01392
OG0000085	Prau.g_01136	Praf.g_02776
OG0000086	Prau.g_01174	Praf.g_02690
OG0000090	Prau.g_01434, Prau.g_01491, Prau.g_01435	Praf.g_02342
OG0000091	Prau.g_01539	Praf.g_01806
OG0000092	Prau.g_01658	Praf.g_00549
OG0000093	Prau.g_01818	Praf.g_02172, Praf.g_00148
OG0000094	Prau.g_01866	Praf.g_02123
OG0000095	Prau.g_01899	Praf.g_02382, Praf.g_02380, Praf.g_02378
OG0000096	Prau.g_01970	Praf.g_00053
OG0000097	Prau.g_01297	Praf.g_02699
OG0000098	Prau.g_00003	Praf.g_00003
OG0000099	Prau.g_00023	Praf.g_00028
OG0000101	Prau.g_00057	Praf.g_00333, Praf.g_02602
OG0000102	Prau.g_00114	Praf.g_00224
OG0000103	Prau.g_00122	Praf.g_00212
OG0000104	Prau.g_00140	Praf.g_02420
OG0000105	Prau.g_00171	Praf.g_02468
OG0000106	Prau.g_00185	Praf.g_02711, Praf.g_02492
OG0000107	Prau.g_00193	Praf.g_02511
OG0000108	Prau.g_00203	Praf.g_02708, Praf.g_02521
OG0000109	Prau.g_00240	Praf.g_00391
OG0000110	Prau.g_00253	Praf.g_02217
OG0000111	Prau.g_00276	Praf.g_02271
OG0000113	Prau.g_00299	Praf.g_02300
OG0000114	Prau.g_00327	Praf.g_02358
OG0000115	Prau.g_00515	Praf.g_01908
OG0000116	Prau.g_00517	Praf.g_01905
OG0000117	Prau.g_00521	Praf.g_00595
OG0000118	Prau.g_00540	Praf.g_00143, Praf.g_00616
OG0000119	Prau.g_00572	Praf.g_00658
OG0000120	Prau.g_00573	Praf.g_00660
OG0000121	Prau.g_00583	Praf.g_00681
OG0000122	Prau.g_00592	Praf.g_00692
OG0000123	Prau.g_00623	Praf.g_00730
OG0000124	Prau.g_00691	Praf.g_01036, Praf.g_01720
OG0000125	Prau.g_00692	Praf.g_01035, Praf.g_01721
OG0000126	Prau.g_00693	Praf.g_01034, Praf.g_01722
OG0000127	Prau.g_00726	Praf.g_00780, Praf.g_00406
OG0000128	Prau.g_00757	Praf.g_01304
OG0000129	Prau.g_00777	Praf.g_00144, Praf.g_01435
OG0000130	Prau.g_00839	Praf.g_00941
OG0000131	Prau.g_00852	Praf.g_01528
OG0000132	Prau.g_00887	Praf.g_01590
OG0000133	Prau.g_00973	Praf.g_00104, Praf.g_01497
OG0000134	Prau.g_00983	Praf.g_01503
OG0000135	Prau.g_01019	Praf.g_01384, Praf.g_01383
OG0000136	Prau.g_01086	Praf.g_01277
OG0000137	Prau.g_01177	Praf.g_02692
