Orthogroup	Prab	Praz
OG0000000	Prab.g_00683	Praz.g_01652
OG0000001	Prab.g_01597	Praz.g_00694
OG0000003	Prab.g_01308	Praz.g_01200
OG0000004	Prab.g_00921	Praz.g_01583
OG0000004	Prab.g_00747	Praz.g_01576
OG0000004	Prab.g_01307	Praz.g_01201
OG0000005	Prab.g_01598	Praz.g_00921
OG0000006	Prab.g_00501	Praz.g_01831
OG0000006	Prab.g_01669	Praz.g_00877
OG0000007	Prab.g_00677	Praz.g_01658
OG0000008	Prab.g_00372	Praz.g_00790
OG0000008	Prab.g_01613	Praz.g_01269
OG0000008	Prab.g_00971	Praz.g_01258, Praz.g_00767
OG0000009	Prab.g_00820	Praz.g_01532
OG0000009	Prab.g_00239	Praz.g_00609
OG0000010	Prab.g_01165	Praz.g_00045
OG0000011	Prab.g_00318	Praz.g_00687
OG0000012	Prab.g_00602	Praz.g_01732
OG0000013	Prab.g_00789	Praz.g_01551
OG0000014	Prab.g_01616, Prab.g_00914	Praz.g_01197
OG0000015	Prab.g_00370	Praz.g_00792
OG0000016	Prab.g_01356	Praz.g_01143
OG0000017	Prab.g_01486	Praz.g_01021
OG0000018	Prab.g_00231	Praz.g_00601
OG0000019	Prab.g_00354	Praz.g_00896, Praz.g_00810
OG0000020	Prab.g_00363	Praz.g_00800
OG0000021	Prab.g_00822	Praz.g_01530
OG0000022	Prab.g_01617, Prab.g_00915	Praz.g_01198
OG0000023	Prab.g_01584	Praz.g_00929
OG0000024	Prab.g_00294	Praz.g_00663
OG0000025	Prab.g_01130	Praz.g_00101
OG0000025	Prab.g_01635, Prab.g_00394	Praz.g_00769
OG0000026	Prab.g_00033	Praz.g_00398
OG0000027	Prab.g_00719	Praz.g_00954, Praz.g_01580
OG0000028	Prab.g_01466	Praz.g_01041
OG0000029	Prab.g_01585	Praz.g_00928
OG0000031	Prab.g_01304	Praz.g_01204
OG0000032	Prab.g_01446	Praz.g_01116
OG0000033	Prab.g_00013	Praz.g_00378
OG0000034	Prab.g_01423	Praz.g_01103
OG0000035	Prab.g_01134	Praz.g_00104
OG0000035	Prab.g_01082	Praz.g_01422
OG0000036	Prab.g_00589	Praz.g_01744
OG0000037	Prab.g_00627	Praz.g_01707
OG0000038	Prab.g_00782	Praz.g_01556
OG0000040	Prab.g_00348	Praz.g_00814
OG0000041	Prab.g_00405	Praz.g_01908
OG0000042	Prab.g_00723	Praz.g_01607
OG0000043	Prab.g_00825	Praz.g_01527
OG0000044	Prab.g_01219	Praz.g_00755
OG0000045	Prab.g_01393	Praz.g_01096
OG0000046	Prab.g_01662	Praz.g_00884
OG0000047	Prab.g_01857	Praz.g_00205
OG0000048	Prab.g_01864	Praz.g_00198
OG0000050	Prab.g_00031	Praz.g_00396
OG0000051	Prab.g_00148	Praz.g_00517
OG0000052	Prab.g_00359	Praz.g_00804
OG0000053	Prab.g_00543	Praz.g_01789
OG0000054	Prab.g_00775	Praz.g_01561
OG0000055	Prab.g_00862	Praz.g_01490
OG0000056	Prab.g_01171	Praz.g_00038
OG0000057	Prab.g_00228	Praz.g_00597
OG0000058	Prab.g_00479	Praz.g_01853
OG0000059	Prab.g_00703	Praz.g_01632
OG0000060	Prab.g_01297	Praz.g_01578
OG0000061	Prab.g_01184	Praz.g_00027
OG0000061	Prab.g_00990	Praz.g_01330
OG0000062	Prab.g_01186	Praz.g_00025
OG0000063	Prab.g_00717	Praz.g_01237
OG0000064	Prab.g_00720	Praz.g_00901
OG0000065	Prab.g_01637, Prab.g_01326	Praz.g_01180
OG0000066	Prab.g_01447	Praz.g_01118
OG0000067	Prab.g_00799	Praz.g_01240
OG0000068	Prab.g_01802	Praz.g_00263
OG0000071	Prab.g_00011	Praz.g_00376
OG0000072	Prab.g_00310	Praz.g_00679
OG0000073	Prab.g_00674	Praz.g_01661
OG0000074	Prab.g_00696	Praz.g_01639
OG0000075	Prab.g_00847	Praz.g_01505
OG0000076	Prab.g_00929, Prab.g_01299	Praz.g_00066
OG0000078	Prab.g_01394	Praz.g_01098
OG0000079	Prab.g_01544	Praz.g_00963
OG0000080	Prab.g_01290, Prab.g_00922	Praz.g_00913
OG0000081	Prab.g_01832	Praz.g_00232
OG0000082	Prab.g_01920	Praz.g_00142
OG0000083	Prab.g_00003	Praz.g_00368
OG0000084	Prab.g_00006	Praz.g_00371
