Orthogroup	Prab	Prbf
OG0000000	Prab.g_00683	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883
OG0000002	Prab.g_01279, Prab.g_01281, Prab.g_00788	Prbf.g_00831
OG0000003	Prab.g_01308, Prab.g_00917, Prab.g_01619	Prbf.g_00880
OG0000004	Prab.g_00747	Prbf.g_00052
OG0000005	Prab.g_01598, Prab.g_01630, Prab.g_00760	Prbf.g_00776
OG0000006	Prab.g_00501	Prbf.g_01780
OG0000006	Prab.g_01669	Prbf.g_00693
OG0000009	Prab.g_00820	Prbf.g_00894
OG0000009	Prab.g_00239	Prbf.g_01588
OG0000010	Prab.g_01596, Prab.g_01165	Prbf.g_00306
OG0000012	Prab.g_00602	Prbf.g_01887, Prbf.g_01880
OG0000013	Prab.g_00789	Prbf.g_00754, Prbf.g_00708
OG0000014	Prab.g_01616, Prab.g_00914	Prbf.g_00774, Prbf.g_00817
OG0000015	Prab.g_00370	Prbf.g_00765, Prbf.g_00732
OG0000016	Prab.g_01356	Prbf.g_00864, Prbf.g_00254
OG0000017	Prab.g_01486	Prbf.g_00748, Prbf.g_00178
OG0000018	Prab.g_00231	Prbf.g_01580
OG0000019	Prab.g_00354	Prbf.g_01259
OG0000020	Prab.g_00411	Prbf.g_00039
OG0000020	Prab.g_00363	Prbf.g_01611
OG0000021	Prab.g_00822	Prbf.g_00711
OG0000024	Prab.g_00294	Prbf.g_01647
OG0000025	Prab.g_01635, Prab.g_00394	Prbf.g_00845
OG0000028	Prab.g_01466	Prbf.g_00157
OG0000029	Prab.g_01585	Prbf.g_01738
OG0000031	Prab.g_01643	Prbf.g_00340
OG0000032	Prab.g_01446	Prbf.g_00116
OG0000033	Prab.g_01579	Prbf.g_00860
OG0000034	Prab.g_01423	Prbf.g_00135, Prbf.g_01380
OG0000035	Prab.g_01082	Prbf.g_00299
OG0000036	Prab.g_00589	Prbf.g_01867, Prbf.g_00704
OG0000037	Prab.g_00627	Prbf.g_01905, Prbf.g_00272
OG0000038	Prab.g_00782	Prbf.g_00248
OG0000039	Prab.g_00157	Prbf.g_01500
OG0000040	Prab.g_00348	Prbf.g_00287
OG0000041	Prab.g_00405	Prbf.g_00729, Prbf.g_00735
OG0000042	Prab.g_00723	Prbf.g_01253
OG0000043	Prab.g_00825	Prbf.g_01153
OG0000044	Prab.g_01219	Prbf.g_00918
OG0000045	Prab.g_01393	Prbf.g_00117
OG0000046	Prab.g_01662	Prbf.g_00822, Prbf.g_00701
OG0000047	Prab.g_01857	Prbf.g_00496
OG0000048	Prab.g_01864	Prbf.g_00487
OG0000050	Prab.g_00031, Prab.g_01629	Prbf.g_01354
OG0000051	Prab.g_00148	Prbf.g_01491
OG0000052	Prab.g_00359	Prbf.g_00320
OG0000053	Prab.g_00543	Prbf.g_00781, Prbf.g_01820
OG0000054	Prab.g_00803	Prbf.g_01922
OG0000055	Prab.g_00862	Prbf.g_01222
OG0000056	Prab.g_01634	Prbf.g_00862
OG0000057	Prab.g_00228	Prbf.g_01575
OG0000058	Prab.g_00479	Prbf.g_01758
OG0000059	Prab.g_00703	Prbf.g_01261
OG0000062	Prab.g_01186	Prbf.g_00788
OG0000063	Prab.g_00717	Prbf.g_00945
OG0000065	Prab.g_01637, Prab.g_01326	Prbf.g_00026
OG0000066	Prab.g_01447	Prbf.g_00115
OG0000068	Prab.g_01802	Prbf.g_00558
OG0000071	Prab.g_00011	Prbf.g_00382
OG0000072	Prab.g_00310	Prbf.g_01661
OG0000073	Prab.g_00674	Prbf.g_01018
OG0000074	Prab.g_00696	Prbf.g_01271
OG0000075	Prab.g_00847	Prbf.g_01238
OG0000076	Prab.g_00929, Prab.g_01299	Prbf.g_01170
OG0000078	Prab.g_01394	Prbf.g_00118
OG0000079	Prab.g_01544	Prbf.g_00242
OG0000080	Prab.g_01290, Prab.g_00922	Prbf.g_00346
OG0000081	Prab.g_01832	Prbf.g_00524
OG0000082	Prab.g_01920	Prbf.g_00351
OG0000083	Prab.g_00003	Prbf.g_00390
OG0000084	Prab.g_00006	Prbf.g_00387
OG0000085	Prab.g_00023	Prbf.g_01345
OG0000087	Prab.g_00048	Prbf.g_01374
OG0000088	Prab.g_00104	Prbf.g_01443
OG0000089	Prab.g_00112	Prbf.g_01452
OG0000090	Prab.g_00129	Prbf.g_01469
OG0000091	Prab.g_00160	Prbf.g_01503
OG0000092	Prab.g_00161	Prbf.g_01504
OG0000093	Prab.g_00175	Prbf.g_01518
OG0000094	Prab.g_00193	Prbf.g_01537
OG0000095	Prab.g_00198	Prbf.g_01542
OG0000096	Prab.g_00241	Prbf.g_01590
OG0000097	Prab.g_00262	Prbf.g_01614
OG0000099	Prab.g_00282	Prbf.g_01635
OG0000100	Prab.g_00285	Prbf.g_01638
OG0000101	Prab.g_00344	Prbf.g_01703
OG0000102	Prab.g_00371	Prbf.g_00044
OG0000103	Prab.g_00480	Prbf.g_01759
OG0000104	Prab.g_00484	Prbf.g_01763
OG0000105	Prab.g_00503	Prbf.g_01783
OG0000106	Prab.g_00536	Prbf.g_01813
OG0000107	Prab.g_00537	Prbf.g_01814
OG0000108	Prab.g_00547	Prbf.g_01824
OG0000109	Prab.g_00556	Prbf.g_01833
OG0000110	Prab.g_00573	Prbf.g_01850
OG0000111	Prab.g_00656	Prbf.g_00999
OG0000112	Prab.g_00657	Prbf.g_01000
OG0000113	Prab.g_00745	Prbf.g_01050
OG0000114	Prab.g_00838	Prbf.g_01247
OG0000115	Prab.g_01010	Prbf.g_01117
OG0000116	Prab.g_01006	Prbf.g_01113
OG0000117	Prab.g_00932	Prbf.g_01167
OG0000118	Prab.g_01144	Prbf.g_00873
OG0000119	Prab.g_01189	Prbf.g_00785
OG0000120	Prab.g_01225	Prbf.g_00924
OG0000121	Prab.g_01244	Prbf.g_00947
OG0000122	Prab.g_01263	Prbf.g_00967
OG0000123	Prab.g_01276	Prbf.g_01915
