Orthogroup	Prab	Pran
OG0000000	Prab.g_00683	Pran.g_01500
OG0000001	Prab.g_01597	Pran.g_00001, Pran.g_00602
OG0000001	Prab.g_01606	Pran.g_00593
OG0000001	Prab.g_01620, Prab.g_00918	Pran.g_00579
OG0000002	Prab.g_00788	Pran.g_01395
OG0000003	Prab.g_01308	Pran.g_00894
OG0000003	Prab.g_00917, Prab.g_01619	Pran.g_00580
OG0000004	Prab.g_00921	Pran.g_00576
OG0000004	Prab.g_00747	Pran.g_01436
OG0000004	Prab.g_01307	Pran.g_00895
OG0000005	Prab.g_01598	Pran.g_00601
OG0000005	Prab.g_01630	Pran.g_00931
OG0000005	Prab.g_00760	Pran.g_01423
OG0000006	Prab.g_00501	Pran.g_01681
OG0000006	Prab.g_01669	Pran.g_00970
OG0000007	Prab.g_00677	Pran.g_01506
OG0000008	Prab.g_00372	Pran.g_01811
OG0000008	Prab.g_01613	Pran.g_00586
OG0000008	Prab.g_00971	Pran.g_00526
OG0000009	Prab.g_00820	Pran.g_01363
OG0000009	Prab.g_00239	Pran.g_01943
OG0000010	Prab.g_01596	Pran.g_00603
OG0000010	Prab.g_01165	Pran.g_00114
OG0000011	Prab.g_00318	Pran.g_01864
OG0000012	Prab.g_00602	Pran.g_01580
OG0000013	Prab.g_00789	Pran.g_01394
OG0000014	Prab.g_01616, Prab.g_00914	Pran.g_00583
OG0000015	Prab.g_00370	Pran.g_01813
OG0000016	Prab.g_01356	Pran.g_00845
OG0000017	Prab.g_01486	Pran.g_00713
OG0000018	Prab.g_00231	Pran.g_01951
OG0000019	Prab.g_00354	Pran.g_01829
OG0000020	Prab.g_00411	Pran.g_01772
OG0000020	Prab.g_00363	Pran.g_01820
OG0000021	Prab.g_00822	Pran.g_01361
OG0000022	Prab.g_01617, Prab.g_00915	Pran.g_00582
OG0000023	Prab.g_01584	Pran.g_00615
OG0000024	Prab.g_00294	Pran.g_01888
OG0000025	Prab.g_01130	Pran.g_00149
OG0000025	Prab.g_01635	Pran.g_00936
OG0000025	Prab.g_00394	Pran.g_01789
OG0000026	Prab.g_00033	Pran.g_00391
OG0000027	Prab.g_00719	Pran.g_01464
OG0000028	Prab.g_01466	Pran.g_00733
OG0000029	Prab.g_01585	Pran.g_00614
OG0000030	Prab.g_01280	Pran.g_01952
OG0000031	Prab.g_01643	Pran.g_00944
OG0000031	Prab.g_01304	Pran.g_00898
OG0000032	Prab.g_01446	Pran.g_00753
OG0000033	Prab.g_01579	Pran.g_00620
OG0000034	Prab.g_01423	Pran.g_00777
OG0000035	Prab.g_01134	Pran.g_00145
OG0000035	Prab.g_01082	Pran.g_00415
OG0000036	Prab.g_00589	Pran.g_01593
OG0000037	Prab.g_00627	Pran.g_01555
OG0000038	Prab.g_00782	Pran.g_01401
OG0000039	Prab.g_00157	Pran.g_00266
OG0000040	Prab.g_00348	Pran.g_01834
OG0000041	Prab.g_00425	Pran.g_01758
OG0000041	Prab.g_00405	Pran.g_01778
OG0000042	Prab.g_00723	Pran.g_01460
OG0000043	Prab.g_00825	Pran.g_01358
OG0000044	Prab.g_01219	Pran.g_00060
OG0000045	Prab.g_01393	Pran.g_00807
OG0000046	Prab.g_01662	Pran.g_00963
OG0000047	Prab.g_01857	Pran.g_01160
OG0000048	Prab.g_01864	Pran.g_01167
OG0000050	Prab.g_00031	Pran.g_00393
OG0000050	Prab.g_01629	Pran.g_00930
OG0000051	Prab.g_00148	Pran.g_00275
OG0000052	Prab.g_00359	Pran.g_01824
OG0000053	Prab.g_00543	Pran.g_01639
OG0000054	Prab.g_00775	Pran.g_01408
OG0000054	Prab.g_00803	Pran.g_01379
OG0000055	Prab.g_00862	Pran.g_01321
OG0000056	Prab.g_01171	Pran.g_00108
OG0000056	Prab.g_01634	Pran.g_00935
OG0000057	Prab.g_00228	Pran.g_00195
OG0000058	Prab.g_00479	Pran.g_01703
OG0000059	Prab.g_00703	Pran.g_01480
OG0000060	Prab.g_01297	Pran.g_00905
OG0000061	Prab.g_01184	Pran.g_00095
OG0000061	Prab.g_00990	Pran.g_00507
OG0000062	Prab.g_01186	Pran.g_00093
OG0000063	Prab.g_00717	Pran.g_01466
OG0000064	Prab.g_00400	Pran.g_01783
OG0000064	Prab.g_00978	Pran.g_00519
OG0000064	Prab.g_00720	Pran.g_01463
OG0000064	Prab.g_01627	Pran.g_00928
OG0000065	Prab.g_01637	Pran.g_00938
OG0000065	Prab.g_01326	Pran.g_00876
OG0000066	Prab.g_01447	Pran.g_00752
OG0000067	Prab.g_00799	Pran.g_01384
OG0000068	Prab.g_01802	Pran.g_01105
OG0000071	Prab.g_00011	Pran.g_01268
OG0000072	Prab.g_00310	Pran.g_01872
OG0000073	Prab.g_00674	Pran.g_01509
OG0000074	Prab.g_00696	Pran.g_01487
OG0000075	Prab.g_00847	Pran.g_01336
OG0000076	Prab.g_00929	Pran.g_00568
OG0000076	Prab.g_01299	Pran.g_00903
OG0000078	Prab.g_01394	Pran.g_00806
OG0000079	Prab.g_01544	Pran.g_00655
