Orthogroup	Prab	Prbj
OG0000000	Prab.g_00683	Prbj.g_00030
OG0000001	Prab.g_01606	Prbj.g_00166
OG0000001	Prab.g_01620, Prab.g_00918	Prbj.g_00164
OG0000003	Prab.g_01308, Prab.g_00917, Prab.g_01619	Prbj.g_00165
OG0000004	Prab.g_00747	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Prab.g_00501	Prbj.g_01610
OG0000006	Prab.g_01669	Prbj.g_00857
OG0000007	Prab.g_00677	Prbj.g_00928, Prbj.g_00929
OG0000009	Prab.g_00820, Prab.g_00239	Prbj.g_01349
OG0000011	Prab.g_00318	Prbj.g_00666
OG0000012	Prab.g_00602	Prbj.g_01761, Prbj.g_01769
OG0000013	Prab.g_00789	Prbj.g_02502
OG0000016	Prab.g_01356	Prbj.g_00740, Prbj.g_00778
OG0000017	Prab.g_01486	Prbj.g_00638
OG0000018	Prab.g_00231	Prbj.g_02699
OG0000019	Prab.g_00354	Prbj.g_01774
OG0000020	Prab.g_00411	Prbj.g_01393
OG0000024	Prab.g_00294	Prbj.g_01442
OG0000026	Prab.g_00033	Prbj.g_01208
OG0000028	Prab.g_01466	Prbj.g_01056
OG0000031	Prab.g_01643	Prbj.g_00705
OG0000032	Prab.g_01446	Prbj.g_01522, Prbj.g_01527
OG0000034	Prab.g_01423	Prbj.g_01487
OG0000036	Prab.g_00589	Prbj.g_01789
OG0000037	Prab.g_00627	Prbj.g_02552
OG0000038	Prab.g_00782	Prbj.g_00050, Prbj.g_01572
OG0000039	Prab.g_00157	Prbj.g_00521
OG0000040	Prab.g_00348	Prbj.g_02392
OG0000042	Prab.g_00723	Prbj.g_02178, Prbj.g_00913
OG0000043	Prab.g_00825	Prbj.g_00023, Prbj.g_00025
OG0000044	Prab.g_01219	Prbj.g_00971
OG0000045	Prab.g_01393	Prbj.g_01467
OG0000046	Prab.g_01662	Prbj.g_00869
OG0000047	Prab.g_01857	Prbj.g_01598
OG0000048	Prab.g_01864	Prbj.g_01808, Prbj.g_00001
OG0000050	Prab.g_00031, Prab.g_01629	Prbj.g_01204
OG0000051	Prab.g_00148	Prbj.g_00530
OG0000052	Prab.g_00359	Prbj.g_00875
OG0000053	Prab.g_00543	Prbj.g_02141
OG0000054	Prab.g_00775, Prab.g_00803	Prbj.g_01324
OG0000055	Prab.g_00862	Prbj.g_02437
OG0000056	Prab.g_01171, Prab.g_01634	Prbj.g_00227
OG0000058	Prab.g_00479	Prbj.g_00128
OG0000059	Prab.g_00703	Prbj.g_00758
OG0000062	Prab.g_01186	Prbj.g_01990
OG0000063	Prab.g_00717	Prbj.g_01915
OG0000065	Prab.g_01637, Prab.g_01326	Prbj.g_01728
OG0000066	Prab.g_01447	Prbj.g_01465
OG0000068	Prab.g_01802	Prbj.g_00415, Prbj.g_00981
OG0000071	Prab.g_00011	Prbj.g_02085
OG0000072	Prab.g_00310	Prbj.g_01460
OG0000073	Prab.g_00674	Prbj.g_00824
OG0000074	Prab.g_00696	Prbj.g_00933
OG0000075	Prab.g_00847	Prbj.g_02419
OG0000076	Prab.g_00929, Prab.g_01299	Prbj.g_01838
OG0000078	Prab.g_01394	Prbj.g_01464
OG0000079	Prab.g_01544	Prbj.g_00881
OG0000080	Prab.g_01290, Prab.g_00922	Prbj.g_01678
OG0000081	Prab.g_01832	Prbj.g_01500
OG0000082	Prab.g_01920	Prbj.g_01999
OG0000083	Prab.g_00003	Prbj.g_02076
OG0000084	Prab.g_00006	Prbj.g_02079
OG0000085	Prab.g_00023	Prbj.g_01195
OG0000087	Prab.g_00048	Prbj.g_01921
OG0000088	Prab.g_00104	Prbj.g_01551
OG0000089	Prab.g_00112	Prbj.g_01566
OG0000090	Prab.g_00129	Prbj.g_01547
OG0000091	Prab.g_00160	Prbj.g_00518
OG0000092	Prab.g_00161	Prbj.g_00517
OG0000093	Prab.g_00175	Prbj.g_01138
OG0000094	Prab.g_00193	Prbj.g_01167
OG0000095	Prab.g_00198	Prbj.g_00288
OG0000096	Prab.g_00241	Prbj.g_01352
OG0000097	Prab.g_00262	Prbj.g_01397
OG0000099	Prab.g_00282	Prbj.g_01422
OG0000100	Prab.g_00285	Prbj.g_01426
OG0000101	Prab.g_00344	Prbj.g_00067
OG0000102	Prab.g_00371	Prbj.g_02004
OG0000103	Prab.g_00480	Prbj.g_00127
OG0000104	Prab.g_00484	Prbj.g_01630
OG0000105	Prab.g_00503	Prbj.g_01608
OG0000106	Prab.g_00536	Prbj.g_02125
OG0000107	Prab.g_00537	Prbj.g_02127
OG0000108	Prab.g_00547	Prbj.g_02668
OG0000109	Prab.g_00556	Prbj.g_01866
OG0000110	Prab.g_00573	Prbj.g_01885
OG0000111	Prab.g_00656	Prbj.g_00792
OG0000112	Prab.g_00657	Prbj.g_00793
OG0000113	Prab.g_00745	Prbj.g_02314
OG0000114	Prab.g_00838	Prbj.g_02410
OG0000115	Prab.g_01010	Prbj.g_02268
OG0000116	Prab.g_01006	Prbj.g_02260
OG0000117	Prab.g_00932	Prbj.g_01841
OG0000118	Prab.g_01144	Prbj.g_02066
OG0000119	Prab.g_01189	Prbj.g_01992
OG0000120	Prab.g_01225	Prbj.g_00843
OG0000121	Prab.g_01244	Prbj.g_00003
OG0000122	Prab.g_01263	Prbj.g_02156
OG0000123	Prab.g_01276	Prbj.g_00020
OG0000124	Prab.g_01284	Prbj.g_01848
OG0000125	Prab.g_01338	Prbj.g_01742
OG0000126	Prab.g_01360	Prbj.g_01639
OG0000127	Prab.g_01453	Prbj.g_01040
OG0000128	Prab.g_01467	Prbj.g_01057
OG0000129	Prab.g_01503	Prbj.g_00656
OG0000130	Prab.g_01667	Prbj.g_00863
OG0000131	Prab.g_01705	Prbj.g_00461
OG0000132	Prab.g_01708	Prbj.g_00458
OG0000133	Prab.g_01761	Prbj.g_01024
OG0000134	Prab.g_01797	Prbj.g_00987
OG0000135	Prab.g_01799	Prbj.g_00985
OG0000136	Prab.g_01842	Prbj.g_01516
OG0000137	Prab.g_01874	Prbj.g_01280
OG0000138	Prab.g_01910	Prbj.g_01963
OG0000139	Prab.g_01937	Prbj.g_02047
OG0000140	Prab.g_00001	Prbj.g_02074
OG0000141	Prab.g_00002	Prbj.g_02075
OG0000142	Prab.g_00004	Prbj.g_02077
OG0000143	Prab.g_00005	Prbj.g_02078
OG0000144	Prab.g_00007	Prbj.g_02080
OG0000145	Prab.g_00008	Prbj.g_02082
OG0000146	Prab.g_00009	Prbj.g_02083
OG0000147	Prab.g_00010	Prbj.g_02084
OG0000148	Prab.g_00012	Prbj.g_02086
OG0000149	Prab.g_00014	Prbj.g_01182
OG0000150	Prab.g_00015	Prbj.g_01183
OG0000151	Prab.g_00016	Prbj.g_01188
OG0000152	Prab.g_00017	Prbj.g_01189
OG0000153	Prab.g_00018	Prbj.g_01190
OG0000154	Prab.g_00019	Prbj.g_01191
OG0000155	Prab.g_00020	Prbj.g_01192
OG0000156	Prab.g_00021	Prbj.g_01193
OG0000157	Prab.g_00022	Prbj.g_01194
OG0000158	Prab.g_00024	Prbj.g_01196
OG0000159	Prab.g_00025	Prbj.g_01197
OG0000160	Prab.g_00026	Prbj.g_01198
OG0000161	Prab.g_00027	Prbj.g_01199
OG0000162	Prab.g_00028	Prbj.g_01200
OG0000163	Prab.g_00029	Prbj.g_01202
OG0000164	Prab.g_00032	Prbj.g_01207
OG0000165	Prab.g_00035	Prbj.g_01212
OG0000166	Prab.g_00036	Prbj.g_01213
OG0000167	Prab.g_00037	Prbj.g_01214
OG0000168	Prab.g_00039	Prbj.g_01215
OG0000169	Prab.g_00041	Prbj.g_01217
OG0000170	Prab.g_00042	Prbj.g_01953
OG0000171	Prab.g_00043	Prbj.g_01951
OG0000172	Prab.g_00044	Prbj.g_01950
OG0000173	Prab.g_00045	Prbj.g_01943
OG0000174	Prab.g_00046	Prbj.g_01936
OG0000175	Prab.g_00047	Prbj.g_01928
OG0000176	Prab.g_00049	Prbj.g_01920
OG0000177	Prab.g_00050	Prbj.g_01919
OG0000178	Prab.g_00051	Prbj.g_01918
OG0000179	Prab.g_00056	Prbj.g_00558
OG0000180	Prab.g_00057	Prbj.g_00560
OG0000181	Prab.g_00058	Prbj.g_00561
OG0000182	Prab.g_00061	Prbj.g_00564
OG0000183	Prab.g_00062	Prbj.g_00565
OG0000184	Prab.g_00065	Prbj.g_00569
OG0000185	Prab.g_00069	Prbj.g_00575
OG0000186	Prab.g_00070	Prbj.g_00576
OG0000187	Prab.g_00071	Prbj.g_00047
OG0000188	Prab.g_00072	Prbj.g_00577
OG0000189	Prab.g_00073	Prbj.g_00580
OG0000190	Prab.g_00074	Prbj.g_00581
OG0000191	Prab.g_00075	Prbj.g_00582
OG0000192	Prab.g_00076	Prbj.g_00583
OG0000193	Prab.g_00077	Prbj.g_00584
OG0000194	Prab.g_00078	Prbj.g_00585
OG0000195	Prab.g_00080	Prbj.g_00589
OG0000196	Prab.g_00081	Prbj.g_00590
OG0000197	Prab.g_00082	Prbj.g_00596
OG0000198	Prab.g_00083	Prbj.g_00600
