Species Tree Node	Duplications (all)	Duplications (50% support)
N0	54	7
N8	38	6
N19	17	11
N12	94	61
N3	165	0
Prav	14	14
N7	2	0
N15	11	0
N18	47	33
N25	24	24
N24	30	30
Prat	16	16
Pram	1	1
Prai	13	13
Pral	14	14
Prbm	46	46
N23	2	2
Prbc	26	26
Prae	2	2
Prag	1	1
Praa	5	5
Prab	1	1
Prad	17	17
N28	2	2
N10	2	2
N4	18	0
Prbb	15	15
Praj	21	21
Pray	3	3
Prak	2	2
Prbi	37	37
N31	6	6
Prah	75	75
N5	4	0
N13	11	1
N27	4	3
N32	9	9
Praf	88	88
Prau	11	11
N6	3	2
N14	13	13
Pras	4	4
N17	7	4
Prbn	2	2
Prbd	10	10
Praz	2	2
N2	3	0
Praw	1	1
Prba	4	4
Praq	1	1
Prap	1	1
Prbf	2	2
N21	3	0
N11	7	0
N1	5	0
Prar	1	1
Pran	2	2
N26	1	1
Prbj	12	12
N16	2	2
Prbk	9	9
Prbl	9	9
N29	1	0
Prax	2	2
Prao	2	2
