	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Praa	0.0	4.0	0.0	2.0	0.0	5.0	2.0	5.0	4.0	9.0	2.0	6.0	4.0	2.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	7.0	0.0	2.0	2.0	2.0	4.0	0.0	3.0	3.0	3.0	9.0	2.0
Prab	4.0	0.0	0.0	2.0	0.0	5.0	0.0	3.0	6.0	10.0	4.0	7.0	2.0	0.0	0.0	4.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	4.0	4.0	4.0	2.0	0.0	3.0	3.0	3.0	14.0	4.0
Prac	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0	6.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	4.0	4.0	6.0	0.0
Prad	2.0	2.0	2.0	0.0	0.0	5.0	0.0	5.0	0.0	7.0	6.0	8.0	6.0	0.0	2.0	6.0	2.0	2.0	2.0	4.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	7.0	9.0	0.0	6.0	6.0	6.0	6.0	0.0	3.0	3.0	3.0	13.0	6.0
Prae	0.0	0.0	0.0	0.0	0.0	7.0	4.0	7.0	0.0	6.0	2.0	5.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	4.0	2.0	0.0	4.0	2.0	2.0	6.0	6.0	0.0	2.0	2.0	2.0	2.0	0.0	7.0	7.0	7.0	8.0	2.0
Praf	4.0	4.0	2.0	5.0	4.0	0.0	6.0	13.0	10.0	6.0	3.0	0.0	9.0	4.0	5.0	3.0	2.0	2.0	4.0	8.0	6.0	7.0	4.0	2.0	2.0	2.0	2.0	10.0	18.0	2.0	3.0	3.0	3.0	3.0	8.0	4.0	2.0	4.0	18.0	3.0
Prag	2.0	0.0	0.0	0.0	4.0	8.0	0.0	8.0	4.0	9.0	7.0	7.0	3.0	0.0	0.0	7.0	0.0	0.0	2.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	9.0	7.0	0.0	7.0	7.0	7.0	3.0	0.0	6.0	6.0	6.0	9.0	7.0
Prah	4.0	2.0	2.0	5.0	4.0	15.0	6.0	0.0	9.0	6.0	2.0	0.0	7.0	2.0	5.0	2.0	2.0	2.0	4.0	7.0	4.0	7.0	4.0	2.0	2.0	2.0	2.0	6.0	8.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	4.0	12.0	2.0
Prai	4.0	6.0	0.0	0.0	0.0	6.0	4.0	6.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	4.0	6.0	0.0
Praj	14.0	13.0	7.0	7.0	5.0	8.0	8.0	8.0	12.0	0.0	4.0	10.0	8.0	5.0	5.0	4.0	7.0	7.0	19.0	4.0	16.0	13.0	5.0	9.0	7.0	5.0	5.0	7.0	2.0	3.0	4.0	4.0	4.0	8.0	3.0	3.0	3.0	3.0	15.0	4.0
Prak	2.0	4.0	0.0	6.0	2.0	2.0	6.0	2.0	0.0	5.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	6.0	2.0	2.0	2.0	2.0	5.0	7.0	6.0	0.0	0.0	0.0	0.0	6.0	2.0	2.0	2.0	7.0	0.0
