Orthogroup	Prah	Prac
OG0000000	Prah.g_00562	Prac.g_00210
OG0000000	Prah.g_01226	Prac.g_00693
OG0000001	Prah.g_01346, Prah.g_01154, Prah.g_01152, Prah.g_01348	Prac.g_00293
OG0000002	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896	Prac.g_00202
OG0000003	Prah.g_01347	Prac.g_00157
OG0000004	Prah.g_01175, Prah.g_00215	Prac.g_01536, Prac.g_01529
OG0000006	Prah.g_01546	Prac.g_00874
OG0000006	Prah.g_01676	Prac.g_00625
OG0000007	Prah.g_00970	Prac.g_00904
OG0000007	Prah.g_00969	Prac.g_00699
OG0000009	Prah.g_02086	Prac.g_01496, Prac.g_01681
OG0000011	Prah.g_00321, Prah.g_00322	Prac.g_01127
OG0000011	Prah.g_00353	Prac.g_01601
OG0000012	Prah.g_01405, Prah.g_01397	Prac.g_00773
OG0000013	Prah.g_01155, Prah.g_00576	Prac.g_00898
OG0000016	Prah.g_01007, Prah.g_01048	Prac.g_00213
OG0000017	Prah.g_00381	Prac.g_01901
OG0000018	Prah.g_00475, Prah.g_01767	Prac.g_01689
OG0000019	Prah.g_01410	Prac.g_01169
OG0000020	Prah.g_02122	Prac.g_01159
OG0000024	Prah.g_02171	Prac.g_01625
OG0000025	Prah.g_01120	Prac.g_01220
OG0000026	Prah.g_00042	Prac.g_01914, Prac.g_01913, Prac.g_00908
OG0000028	Prah.g_00408	Prac.g_00411
OG0000032	Prah.g_02248, Prah.g_00091	Prac.g_00249
OG0000033	Prah.g_00015, Prah.g_01270	Prac.g_01934
OG0000036	Prah.g_01427	Prac.g_00788
OG0000037	Prah.g_00524	Prac.g_00748
OG0000038	Prah.g_01209, Prah.g_00170	Prac.g_01510
OG0000039	Prah.g_00957, Prah.g_02304	Prac.g_01764
OG0000040	Prah.g_00688	Prac.g_01174
OG0000042	Prah.g_00958, Prah.g_00887	Prac.g_01560
OG0000043	Prah.g_01231, Prah.g_01233	Prac.g_01491
OG0000044	Prah.g_00104, Prah.g_01322	Prac.g_00985
OG0000045	Prah.g_02195	Prac.g_00258, Prac.g_00434
OG0000046	Prah.g_01666	Prac.g_00632
OG0000047	Prah.g_00150	Prac.g_00041, Prac.g_01904
OG0000048	Prah.g_01256, Prah.g_00135	Prac.g_00048
OG0000050	Prah.g_00038	Prac.g_01916
OG0000051	Prah.g_02295	Prac.g_01773, Prac.g_01590
OG0000052	Prah.g_01660	Prac.g_01163
OG0000053	Prah.g_01485	Prac.g_00833
OG0000054	Prah.g_01812	Prac.g_01515
OG0000055	Prah.g_00641	Prac.g_01453
OG0000056	Prah.g_02425	Prac.g_01029
OG0000057	Prah.g_01778	Prac.g_01693
OG0000058	Prah.g_00105, Prah.g_00312	Prac.g_01069
OG0000059	Prah.g_01027	Prac.g_00673
OG0000062	Prah.g_02524	Prac.g_01018
OG0000063	Prah.g_01257	Prac.g_01955
OG0000065	Prah.g_01364	Prac.g_00175
OG0000066	Prah.g_02192	Prac.g_00248
OG0000068	Prah.g_01995	Prac.g_00548
OG0000069	Prah.g_02196, Prah.g_00358	Prac.g_00242
OG0000071	Prah.g_00013	Prac.g_01936
OG0000072	Prah.g_02187	Prac.g_01609
OG0000073	Prah.g_00445	Prac.g_00702
OG0000074	Prah.g_00974	Prac.g_00680
OG0000075	Prah.g_00660	Prac.g_01468
OG0000076	Prah.g_00915	Prac.g_01256
OG0000078	Prah.g_02191	Prac.g_00256
OG0000079	Prah.g_01654	Prac.g_00333
OG0000080	Prah.g_01609	Prac.g_00886
OG0000081	Prah.g_02230	Prac.g_00015
