Orthogroup	Prah	Prak
OG0000000	Prah.g_00562	Prak.g_00908, Prak.g_00913
OG0000000	Prah.g_01226	Prak.g_00805, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494
OG0000002	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896	Prak.g_01302
OG0000003	Prah.g_01347	Prak.g_01210
OG0000004	Prah.g_01175, Prah.g_00215	Prak.g_01251
OG0000006	Prah.g_01546	Prak.g_00458
OG0000006	Prah.g_01676	Prak.g_01645
OG0000007	Prah.g_00970	Prak.g_01544
OG0000007	Prah.g_00969	Prak.g_01545, Prak.g_01546
OG0000009	Prah.g_02086	Prak.g_01196, Prak.g_00266
OG0000011	Prah.g_00321, Prah.g_00322	Prak.g_00385
OG0000013	Prah.g_01155, Prah.g_00576	Prak.g_01584, Prak.g_01630
OG0000016	Prah.g_01007	Prak.g_01226
OG0000016	Prah.g_01048	Prak.g_01488
OG0000017	Prah.g_00381	Prak.g_01412, Prak.g_01590
OG0000018	Prah.g_00475, Prah.g_01767	Prak.g_00258
OG0000019	Prah.g_01410	Prak.g_00831
OG0000020	Prah.g_02122	Prak.g_01264, Prak.g_00289
OG0000024	Prah.g_02171	Prak.g_00325
OG0000025	Prah.g_01120	Prak.g_00741
OG0000026	Prah.g_00042	Prak.g_01530
OG0000028	Prah.g_00408	Prak.g_01391
OG0000031	Prah.g_01166	Prak.g_00667
OG0000032	Prah.g_00091	Prak.g_01350
OG0000033	Prah.g_00015	Prak.g_00013
OG0000033	Prah.g_01270	Prak.g_01230
OG0000034	Prah.g_02219	Prak.g_00058
OG0000036	Prah.g_01427	Prak.g_00546
OG0000037	Prah.g_00524	Prak.g_01506, Prak.g_00584
OG0000038	Prah.g_01209, Prah.g_00170	Prak.g_01482
OG0000039	Prah.g_00957, Prah.g_02304	Prak.g_00178
OG0000040	Prah.g_00688	Prak.g_00721
OG0000042	Prah.g_00958, Prah.g_00887	Prak.g_00837
OG0000043	Prah.g_01231, Prah.g_01233	Prak.g_00937
OG0000044	Prah.g_01322	Prak.g_01172
OG0000045	Prah.g_02195	Prak.g_01351
OG0000046	Prah.g_01666	Prak.g_01637, Prak.g_01516
OG0000047	Prah.g_00150	Prak.g_01842
OG0000048	Prah.g_01256, Prah.g_00135	Prak.g_01850
OG0000050	Prah.g_00038	Prak.g_00032
OG0000051	Prah.g_02295	Prak.g_00169
OG0000052	Prah.g_01660	Prak.g_00687
OG0000053	Prah.g_01485	Prak.g_00498, Prak.g_01557
OG0000054	Prah.g_01812	Prak.g_00601
OG0000055	Prah.g_00641	Prak.g_00868
OG0000056	Prah.g_02425	Prak.g_01228
OG0000057	Prah.g_01778	Prak.g_00253
OG0000058	Prah.g_00312	Prak.g_00436
OG0000059	Prah.g_01027	Prak.g_00829
OG0000062	Prah.g_02524	Prak.g_01550
OG0000063	Prah.g_01257	Prak.g_01145
OG0000065	Prah.g_01364	Prak.g_01277
OG0000066	Prah.g_02192	Prak.g_01349
OG0000068	Prah.g_01995	Prak.g_01780
OG0000069	Prah.g_00358	Prak.g_01430
OG0000071	Prah.g_00013	Prak.g_00011
OG0000072	Prah.g_02187	Prak.g_00339
OG0000073	Prah.g_00445	Prak.g_01072
OG0000074	Prah.g_00974	Prak.g_00819
OG0000075	Prah.g_00660	Prak.g_00852
OG0000076	Prah.g_00915	Prak.g_00920
OG0000078	Prah.g_02191	Prak.g_01352
OG0000079	Prah.g_01654	Prak.g_01476
OG0000080	Prah.g_01609	Prak.g_00661
OG0000081	Prah.g_02230	Prak.g_01814
OG0000082	Prah.g_02533	Prak.g_00656
OG0000083	Prah.g_00004	Prak.g_00003
OG0000084	Prah.g_00007	Prak.g_00006
OG0000085	Prah.g_00029	Prak.g_00023
OG0000087	Prah.g_02458	Prak.g_00052
OG0000088	Prah.g_00194	Prak.g_00121
OG0000089	Prah.g_00176, Prah.g_00180	Prak.g_00130
OG0000090	Prah.g_02268	Prak.g_00147
OG0000091	Prah.g_02307	Prak.g_00181
OG0000092	Prah.g_02308	Prak.g_00182
OG0000093	Prah.g_02324	Prak.g_00196
OG0000094	Prah.g_02362	Prak.g_00215
OG0000095	Prah.g_02371	Prak.g_00220
OG0000096	Prah.g_02089	Prak.g_00268
OG0000097	Prah.g_02126	Prak.g_00292
OG0000098	Prah.g_02139	Prak.g_00303
OG0000099	Prah.g_02151	Prak.g_00313
OG0000100	Prah.g_02155	Prak.g_00316
OG0000101	Prah.g_00208	Prak.g_00381
OG0000102	Prah.g_02538	Prak.g_01259
OG0000103	Prah.g_00313, Prah.g_00314	Prak.g_00437
OG0000104	Prah.g_01566	Prak.g_00441
OG0000105	Prah.g_01544	Prak.g_00461
OG0000106	Prah.g_01503	Prak.g_00491
OG0000107	Prah.g_01501	Prak.g_00492
OG0000108	Prah.g_01476	Prak.g_00502
OG0000109	Prah.g_01465	Prak.g_00512
OG0000110	Prah.g_01446	Prak.g_00529
OG0000111	Prah.g_00474	Prak.g_01091
OG0000112	Prah.g_00473	Prak.g_01090
OG0000113	Prah.g_00752	Prak.g_01040
OG0000114	Prah.g_00669, Prah.g_01823	Prak.g_00843
OG0000115	Prah.g_00796	Prak.g_00973
OG0000116	Prah.g_00805	Prak.g_00977
OG0000117	Prah.g_00912	Prak.g_00923
OG0000118	Prah.g_02597	Prak.g_01217
OG0000119	Prah.g_02526	Prak.g_01553
OG0000120	Prah.g_01315	Prak.g_01166
OG0000121	Prah.g_01254	Prak.g_01143
OG0000122	Prah.g_01276	Prak.g_01123
OG0000123	Prah.g_01237, Prah.g_01238	Prak.g_00594
OG0000124	Prah.g_00905	Prak.g_01487
OG0000125	Prah.g_01378	Prak.g_01290
OG0000126	Prah.g_01576	Prak.g_01329
OG0000127	Prah.g_00424	Prak.g_01379
OG0000128	Prah.g_00407	Prak.g_01392
OG0000129	Prah.g_00361	Prak.g_01428
OG0000130	Prah.g_01672	Prak.g_01642
OG0000131	Prah.g_01725	Prak.g_01681
OG0000132	Prah.g_01728	Prak.g_01684
OG0000133	Prah.g_02038	Prak.g_01738
OG0000134	Prah.g_02001	Prak.g_01774
OG0000135	Prah.g_01999	Prak.g_01776
OG0000136	Prah.g_02244	Prak.g_01826
OG0000137	Prah.g_00116, Prah.g_00089	Prak.g_01860
OG0000138	Prah.g_02498	Prak.g_01895
OG0000139	Prah.g_02578	Prak.g_01926
OG0000140	Prah.g_00002	Prak.g_00001
OG0000141	Prah.g_00003	Prak.g_00002
OG0000142	Prah.g_00005	Prak.g_00004
OG0000143	Prah.g_00006	Prak.g_00005
OG0000144	Prah.g_00008	Prak.g_00007
OG0000145	Prah.g_00010	Prak.g_00008
OG0000146	Prah.g_00011	Prak.g_00009
OG0000147	Prah.g_00012	Prak.g_00010
OG0000148	Prah.g_00014	Prak.g_00012
OG0000149	Prah.g_00016	Prak.g_00014
OG0000150	Prah.g_00017	Prak.g_00015
OG0000151	Prah.g_00022	Prak.g_00016
OG0000152	Prah.g_00023	Prak.g_00017
OG0000153	Prah.g_00024	Prak.g_00018
OG0000154	Prah.g_00025	Prak.g_00019
OG0000155	Prah.g_00026	Prak.g_00020
OG0000156	Prah.g_00027	Prak.g_00021
OG0000157	Prah.g_00028	Prak.g_00022
OG0000158	Prah.g_00030	Prak.g_00024
OG0000159	Prah.g_00031	Prak.g_00025
OG0000160	Prah.g_00032	Prak.g_00026
OG0000161	Prah.g_00033	Prak.g_00027
OG0000162	Prah.g_00034	Prak.g_00028
OG0000163	Prah.g_00036	Prak.g_00030
OG0000164	Prah.g_00041	Prak.g_00033
OG0000165	Prah.g_00046	Prak.g_00036
OG0000166	Prah.g_00047	Prak.g_00037
OG0000167	Prah.g_00048	Prak.g_00038
OG0000168	Prah.g_00049	Prak.g_00040
OG0000169	Prah.g_00051	Prak.g_00042
OG0000170	Prah.g_02488	Prak.g_00044
OG0000171	Prah.g_02486	Prak.g_00045
OG0000172	Prah.g_02485	Prak.g_00046
OG0000173	Prah.g_02478	Prak.g_00049
OG0000174	Prah.g_02471	Prak.g_00050
OG0000175	Prah.g_02466	Prak.g_00051
OG0000176	Prah.g_02457	Prak.g_00053
OG0000177	Prah.g_02454	Prak.g_00054
OG0000178	Prah.g_02453	Prak.g_00056
OG0000179	Prah.g_01830	Prak.g_00068
OG0000180	Prah.g_01833	Prak.g_00069
OG0000181	Prah.g_01834	Prak.g_00070
OG0000182	Prah.g_01838	Prak.g_00074
OG0000183	Prah.g_01839	Prak.g_00075
OG0000184	Prah.g_01843	Prak.g_00078
OG0000185	Prah.g_01849	Prak.g_00082
OG0000186	Prah.g_01850	Prak.g_00083
OG0000187	Prah.g_01211	Prak.g_00717
OG0000188	Prah.g_01851	Prak.g_00084
OG0000189	Prah.g_01859	Prak.g_00085
OG0000190	Prah.g_01860	Prak.g_00086
OG0000191	Prah.g_01861	Prak.g_00087
OG0000192	Prah.g_01862	Prak.g_00088
OG0000193	Prah.g_01863	Prak.g_00089
OG0000194	Prah.g_01864	Prak.g_00090
OG0000195	Prah.g_01866	Prak.g_00092
OG0000196	Prah.g_01867	Prak.g_00093
OG0000197	Prah.g_01873	Prak.g_00094
OG0000198	Prah.g_01877	Prak.g_00095
OG0000199	Prah.g_01882	Prak.g_00098
OG0000200	Prah.g_01883	Prak.g_00099
OG0000201	Prah.g_01884	Prak.g_00100
OG0000202	Prah.g_01886	Prak.g_00102
OG0000203	Prah.g_01887	Prak.g_00103
OG0000204	Prah.g_01888	Prak.g_00104
OG0000205	Prah.g_01890	Prak.g_00106
OG0000206	Prah.g_01891	Prak.g_00107
OG0000207	Prah.g_01892	Prak.g_00108
OG0000208	Prah.g_01893	Prak.g_00109
OG0000209	Prah.g_01894	Prak.g_00110
