Orthogroup	Prah	Prar
OG0000000	Prah.g_00562	Prar.g_00918
OG0000000	Prah.g_01226	Prar.g_01508
OG0000001	Prah.g_01346, Prah.g_01154, Prah.g_01152, Prah.g_01348	Prar.g_00730
OG0000002	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896	Prar.g_00926
OG0000003	Prah.g_01347	Prar.g_00973
OG0000004	Prah.g_01175, Prah.g_00215	Prar.g_01623, Prar.g_01630
OG0000006	Prah.g_01546	Prar.g_01328
OG0000006	Prah.g_01676	Prar.g_01143
OG0000007	Prah.g_00970	Prar.g_01185
OG0000007	Prah.g_00969	Prar.g_01502
OG0000009	Prah.g_02086	Prar.g_01663, Prar.g_00078
OG0000011	Prah.g_00321, Prah.g_00322	Prar.g_00468
OG0000011	Prah.g_00353	Prar.g_00257
OG0000012	Prah.g_01405, Prah.g_01397	Prar.g_01428
OG0000013	Prah.g_01155, Prah.g_00576	Prar.g_01179
OG0000016	Prah.g_01007, Prah.g_01048	Prar.g_00915
OG0000017	Prah.g_00381	Prar.g_00589
OG0000018	Prah.g_00475, Prah.g_01767	Prar.g_00086
OG0000019	Prah.g_01410	Prar.g_00425
OG0000020	Prah.g_02122	Prar.g_00435
OG0000024	Prah.g_02171	Prar.g_00281
OG0000025	Prah.g_01120	Prar.g_01940
OG0000026	Prah.g_00042	Prar.g_00005, Prar.g_00004, Prar.g_01189
OG0000028	Prah.g_00408	Prar.g_00339
OG0000032	Prah.g_02248, Prah.g_00091	Prar.g_00879
OG0000033	Prah.g_00015, Prah.g_01270	Prar.g_00025
OG0000036	Prah.g_01427	Prar.g_01414
OG0000037	Prah.g_00524	Prar.g_01453
OG0000038	Prah.g_01209, Prah.g_00170	Prar.g_01649
OG0000039	Prah.g_00957, Prah.g_02304	Prar.g_00161
OG0000040	Prah.g_00688	Prar.g_00420
OG0000042	Prah.g_00958, Prah.g_00887	Prar.g_01599
OG0000043	Prah.g_01231, Prah.g_01233	Prar.g_01668
OG0000044	Prah.g_00104, Prah.g_01322	Prar.g_01263
