Orthogroup	Prah	Prbk
OG0000000	Prah.g_00562	Prbk.g_02574
OG0000000	Prah.g_01226	Prbk.g_01649
OG0000001	Prah.g_01346	Prbk.g_00167
OG0000001	Prah.g_01348	Prbk.g_00165
OG0000002	Prah.g_00324	Prbk.g_01196
OG0000002	Prah.g_02270	Prbk.g_00561, Prbk.g_02701
OG0000002	Prah.g_00896	Prbk.g_00170, Prbk.g_00630
OG0000003	Prah.g_01347	Prbk.g_00166
OG0000004	Prah.g_01175	Prbk.g_01701
OG0000004	Prah.g_00215	Prbk.g_00304, Prbk.g_00355
OG0000006	Prah.g_01676	Prbk.g_00907
OG0000007	Prah.g_00970	Prbk.g_01819
OG0000007	Prah.g_00969	Prbk.g_01820
OG0000009	Prah.g_02086	Prbk.g_01004
OG0000011	Prah.g_00321, Prah.g_00322	Prbk.g_02565
OG0000011	Prah.g_00353	Prbk.g_01202
OG0000012	Prah.g_01397	Prbk.g_01150
OG0000013	Prah.g_01155, Prah.g_00576	Prbk.g_02558
OG0000016	Prah.g_01007	Prbk.g_01746
OG0000016	Prah.g_01048	Prbk.g_01786
OG0000017	Prah.g_00381	Prbk.g_01230
OG0000018	Prah.g_00475, Prah.g_01767	Prbk.g_02695
OG0000019	Prah.g_01410	Prbk.g_01137
OG0000020	Prah.g_02122	Prbk.g_00405
OG0000024	Prah.g_02171	Prbk.g_00454
OG0000026	Prah.g_00042	Prbk.g_01613
OG0000028	Prah.g_00408	Prbk.g_00259
OG0000031	Prah.g_01166	Prbk.g_01709
OG0000032	Prah.g_02248	Prbk.g_00534, Prbk.g_00539
OG0000034	Prah.g_02219	Prbk.g_00499
OG0000036	Prah.g_01427	Prbk.g_01122
OG0000037	Prah.g_00524	Prbk.g_02610
OG0000038	Prah.g_01209	Prbk.g_01667
OG0000038	Prah.g_00170	Prbk.g_00212
OG0000039	Prah.g_00957	Prbk.g_01836
OG0000039	Prah.g_02304	Prbk.g_00773
OG0000040	Prah.g_00688	Prbk.g_02448
OG0000042	Prah.g_00958	Prbk.g_01835
OG0000042	Prah.g_00887	Prbk.g_00619
OG0000043	Prah.g_01231	Prbk.g_01644
OG0000043	Prah.g_01233	Prbk.g_01642
OG0000044	Prah.g_01322	Prbk.g_01019
OG0000045	Prah.g_02195	Prbk.g_00479
OG0000046	Prah.g_01666	Prbk.g_00919
OG0000047	Prah.g_00150	Prbk.g_00237
OG0000048	Prah.g_01256	Prbk.g_00140
OG0000048	Prah.g_00135	Prbk.g_01495
OG0000049	Prah.g_02367	Prbk.g_00789
OG0000049	Prah.g_01110, Prah.g_01114	Prbk.g_01243
OG0000049	Prah.g_00928	Prbk.g_02676, Prbk.g_00040
OG0000049	Prah.g_00551	Prbk.g_01285
OG0000049	Prah.g_00274	Prbk.g_01943, Prbk.g_00240
OG0000049	Prah.g_01080, Prah.g_00925	Prbk.g_01100
OG0000050	Prah.g_00038	Prbk.g_01617
OG0000051	Prah.g_02295	Prbk.g_00764
OG0000052	Prah.g_01660	Prbk.g_00925
OG0000053	Prah.g_01485	Prbk.g_01094
OG0000054	Prah.g_01812	Prbk.g_01468
