Orthogroup	Prah	Prbd
OG0000000	Prah.g_00562	Prbd.g_01771
OG0000000	Prah.g_01226	Prbd.g_00566
OG0000001	Prah.g_01346, Prah.g_01154, Prah.g_01152	Prbd.g_01836
OG0000001	Prah.g_01348	Prbd.g_01569
OG0000002	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896	Prbd.g_01779
OG0000003	Prah.g_01347	Prbd.g_01835
OG0000004	Prah.g_01175, Prah.g_00215	Prbd.g_00031, Prbd.g_00038, Prbd.g_01855
OG0000006	Prah.g_01546	Prbd.g_00745
OG0000006	Prah.g_01676	Prbd.g_01525
OG0000007	Prah.g_00969	Prbd.g_00572
OG0000009	Prah.g_02086	Prbd.g_00082, Prbd.g_00990
OG0000011	Prah.g_00353	Prbd.g_00909
OG0000012	Prah.g_01405, Prah.g_01397	Prbd.g_00646
OG0000013	Prah.g_01155, Prah.g_00576	Prbd.g_00826
OG0000016	Prah.g_01007, Prah.g_01048	Prbd.g_01768
OG0000018	Prah.g_00475, Prah.g_01767	Prbd.g_00998
OG0000019	Prah.g_01410	Prbd.g_01546
OG0000020	Prah.g_02122	Prbd.g_00864, Prbd.g_00439
OG0000024	Prah.g_02171	Prbd.g_00933
OG0000026	Prah.g_00042	Prbd.g_01204
OG0000028	Prah.g_00408	Prbd.g_01689
OG0000031	Prah.g_01166	Prbd.g_01544
OG0000033	Prah.g_00015, Prah.g_01270	Prbd.g_01224
OG0000036	Prah.g_01427	Prbd.g_00658
OG0000037	Prah.g_00524	Prbd.g_00621
OG0000038	Prah.g_01209, Prah.g_00170	Prbd.g_00061
OG0000039	Prah.g_00957, Prah.g_02304	Prbd.g_01074
OG0000040	Prah.g_00688	Prbd.g_00879
OG0000042	Prah.g_00958, Prah.g_00887	Prbd.g_00007
OG0000043	Prah.g_01231, Prah.g_01233	Prbd.g_00087
OG0000045	Prah.g_02195	Prbd.g_01733
OG0000046	Prah.g_01666	Prbd.g_01532
OG0000047	Prah.g_00150	Prbd.g_01335
OG0000048	Prah.g_01256, Prah.g_00135	Prbd.g_01328
