Orthogroup	Prah	Praa
OG0000000	Prah.g_00562	Praa.g_01359
OG0000000	Prah.g_01226	Praa.g_00678
OG0000001	Prah.g_01346, Prah.g_01154, Prah.g_01152	Praa.g_01297
OG0000001	Prah.g_01348	Praa.g_01597
OG0000002	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896	Praa.g_01351
OG0000003	Prah.g_01347	Praa.g_00413, Praa.g_01298
OG0000004	Prah.g_01175, Prah.g_00215	Praa.g_00735, Praa.g_00742, Praa.g_01294
OG0000006	Prah.g_01546	Praa.g_00497
OG0000006	Prah.g_01676	Praa.g_01635
OG0000007	Prah.g_00970	Praa.g_01241
OG0000007	Prah.g_00969	Praa.g_00672
OG0000009	Prah.g_02086	Praa.g_00782, Praa.g_00249
OG0000011	Prah.g_00353	Praa.g_00330
OG0000012	Prah.g_01405, Prah.g_01397	Praa.g_00598
OG0000016	Prah.g_01007, Prah.g_01048	Praa.g_01362
OG0000018	Prah.g_00475, Prah.g_01767	Praa.g_00241, Praa.g_01245
OG0000019	Prah.g_01410	Praa.g_01623
OG0000020	Prah.g_02122	Praa.g_00373
OG0000024	Prah.g_02171	Praa.g_00306
OG0000025	Prah.g_01120	Praa.g_01075
OG0000026	Prah.g_00042	Praa.g_00033
OG0000028	Prah.g_00408	Praa.g_01476
OG0000031	Prah.g_01166	Praa.g_01291
OG0000033	Prah.g_00015, Prah.g_01270	Praa.g_00013
OG0000036	Prah.g_01427	Praa.g_00585
OG0000037	Prah.g_00524	Praa.g_00623
OG0000038	Prah.g_01209, Prah.g_00170	Praa.g_00763
OG0000039	Prah.g_00957, Prah.g_02304	Praa.g_00166
OG0000040	Prah.g_00688	Praa.g_00359
OG0000042	Prah.g_00958, Prah.g_00887	Praa.g_00711
OG0000043	Prah.g_01231, Prah.g_01233	Praa.g_00787
OG0000044	Prah.g_00104	Praa.g_01415
OG0000045	Prah.g_02195	Praa.g_01425
OG0000046	Prah.g_01666	Praa.g_01628
OG0000047	Prah.g_00150	Praa.g_01832
OG0000048	Prah.g_01256, Prah.g_00135	Praa.g_01839
OG0000050	Prah.g_00038	Praa.g_00031
OG0000051	Prah.g_02295	Praa.g_00157
OG0000052	Prah.g_01660	Praa.g_00369
OG0000053	Prah.g_01485	Praa.g_00539
OG0000054	Prah.g_01812	Praa.g_00757
OG0000055	Prah.g_00641	Praa.g_00826
OG0000056	Prah.g_02425	Praa.g_01117
OG0000058	Prah.g_00105, Prah.g_00312	Praa.g_00475
OG0000059	Prah.g_01027	Praa.g_00698
OG0000062	Prah.g_02524	Praa.g_01127
OG0000063	Prah.g_01257	Praa.g_01255
OG0000065	Prah.g_01364	Praa.g_01318
OG0000066	Prah.g_02192	Praa.g_01387
OG0000068	Prah.g_01995	Praa.g_01775
OG0000071	Prah.g_00013	Praa.g_00011
OG0000072	Prah.g_02187	Praa.g_00322
OG0000073	Prah.g_00445	Praa.g_00669
OG0000074	Prah.g_00974	Praa.g_00691
OG0000075	Prah.g_00660	Praa.g_00811, Praa.g_00810
OG0000076	Prah.g_00915	Praa.g_01039
OG0000078	Prah.g_02191	Praa.g_01394
OG0000079	Prah.g_01654	Praa.g_01555
OG0000080	Prah.g_01609	Praa.g_01606
OG0000081	Prah.g_02230	Praa.g_01806
OG0000082	Prah.g_02533	Praa.g_01894
OG0000083	Prah.g_00004	Praa.g_00003
OG0000084	Prah.g_00007	Praa.g_00006
OG0000085	Prah.g_00029	Praa.g_00023
OG0000087	Prah.g_02458	Praa.g_00049
OG0000088	Prah.g_00194	Praa.g_00113
OG0000089	Prah.g_00176, Prah.g_00180	Praa.g_00121
OG0000090	Prah.g_02268	Praa.g_00139
OG0000091	Prah.g_02307	Praa.g_00169
OG0000092	Prah.g_02308	Praa.g_00170
OG0000093	Prah.g_02324	Praa.g_00184
OG0000094	Prah.g_02362	Praa.g_00202
OG0000095	Prah.g_02371	Praa.g_00207
OG0000096	Prah.g_02089	Praa.g_00251
OG0000097	Prah.g_02126	Praa.g_00274
OG0000098	Prah.g_02139	Praa.g_00284
OG0000099	Prah.g_02151	Praa.g_00294
OG0000100	Prah.g_02155	Praa.g_00297
OG0000101	Prah.g_00208	Praa.g_00356
OG0000102	Prah.g_02538	Praa.g_00381
OG0000103	Prah.g_00313, Prah.g_00314	Praa.g_00476
OG0000104	Prah.g_01566	Praa.g_00480
OG0000105	Prah.g_01544	Praa.g_00499
OG0000106	Prah.g_01503, Prah.g_00108	Praa.g_00532
OG0000107	Prah.g_01501	Praa.g_00533
OG0000108	Prah.g_01476	Praa.g_00544
OG0000109	Prah.g_01465	Praa.g_00553
OG0000110	Prah.g_01446	Praa.g_00569
OG0000111	Prah.g_00474	Praa.g_00651
OG0000112	Prah.g_00473	Praa.g_00652
OG0000113	Prah.g_00752	Praa.g_00733
OG0000114	Prah.g_00669, Prah.g_01823	Praa.g_00801
OG0000115	Prah.g_00796	Praa.g_00964
OG0000116	Prah.g_00805	Praa.g_00968
OG0000117	Prah.g_00912	Praa.g_01036
OG0000118	Prah.g_02597	Praa.g_01089
OG0000119	Prah.g_02526	Praa.g_01130
OG0000120	Prah.g_01315	Praa.g_01165
OG0000121	Prah.g_01254	Praa.g_01184
OG0000122	Prah.g_01276	Praa.g_01203
OG0000123	Prah.g_01237, Prah.g_01238	Praa.g_01216
OG0000124	Prah.g_00905	Praa.g_01224
OG0000125	Prah.g_01378	Praa.g_01330
OG0000126	Prah.g_01576	Praa.g_01366
OG0000127	Prah.g_00424	Praa.g_01463
OG0000128	Prah.g_00407	Praa.g_01477
OG0000129	Prah.g_00361	Praa.g_01513
OG0000130	Prah.g_01672	Praa.g_01633
OG0000131	Prah.g_01725	Praa.g_01672
OG0000132	Prah.g_01728	Praa.g_01675
OG0000133	Prah.g_02038	Praa.g_01734
