Orthogroup	Prae	Prbi
OG0000000	Prae.g_01580	Prbi.g_01709
OG0000000	Prae.g_01579	Prbi.g_01268, Prbi.g_01708
OG0000000	Prae.g_01300	Prbi.g_01370
OG0000001	Prae.g_01361	Prbi.g_01432
OG0000001	Prae.g_00652	Prbi.g_00681
OG0000002	Prae.g_01236, Prae.g_01224, Prae.g_01223	Prbi.g_01270
OG0000002	Prae.g_01353	Prbi.g_01424
OG0000003	Prae.g_00040	Prbi.g_00047
OG0000004	Prae.g_01308	Prbi.g_01371
OG0000004	Prae.g_01581	Prbi.g_01710
OG0000005	Prae.g_00735	Prbi.g_00775
OG0000005	Prae.g_00742	Prbi.g_00782
OG0000006	Prae.g_01283	Prbi.g_01352
OG0000006	Prae.g_00756	Prbi.g_00797
OG0000006	Prae.g_01110	Prbi.g_01156
OG0000007	Prae.g_00997	Prbi.g_01042
OG0000007	Prae.g_01264	Prbi.g_01331
OG0000007	Prae.g_00383	Prbi.g_00408
OG0000008	Prae.g_00471	Prbi.g_00500
OG0000008	Prae.g_01623	Prbi.g_01787
OG0000009	Prae.g_01612	Prbi.g_01272, Prbi.g_01771, Prbi.g_01276
OG0000010	Prae.g_00786	Prbi.g_00827
OG0000010	Prae.g_00252	Prbi.g_00273
OG0000011	Prae.g_00375	Prbi.g_00399
OG0000011	Prae.g_00755	Prbi.g_00796
OG0000012	Prae.g_01093	Prbi.g_01139
OG0000012	Prae.g_00374	Prbi.g_00398
OG0000013	Prae.g_01572	Prbi.g_01701
OG0000014	Prae.g_01401	Prbi.g_01502
OG0000014	Prae.g_00307	Prbi.g_00330
OG0000015	Prae.g_00331	Prbi.g_00354
OG0000016	Prae.g_00769	Prbi.g_00810
OG0000016	Prae.g_01235	Prbi.g_01304
OG0000017	Prae.g_01311	Prbi.g_01374
OG0000017	Prae.g_00444	Prbi.g_00472
OG0000018	Prae.g_00572	Prbi.g_00600
OG0000019	Prae.g_00381	Prbi.g_00406
OG0000020	Prae.g_01364	Prbi.g_01435
OG0000021	Prae.g_01479	Prbi.g_01611
OG0000022	Prae.g_00244	Prbi.g_00265
OG0000023	Prae.g_01600	Prbi.g_01742
OG0000023	Prae.g_00364	Prbi.g_00389
OG0000024	Prae.g_01290	Prbi.g_01360
OG0000025	Prae.g_00748	Prbi.g_00788
OG0000026	Prae.g_01310	Prbi.g_01373
OG0000027	Prae.g_00646	Prbi.g_00675
OG0000028	Prae.g_01277	Prbi.g_01344
OG0000029	Prae.g_00787	Prbi.g_00828
OG0000030	Prae.g_00788	Prbi.g_00829
OG0000031	Prae.g_01822	Prbi.g_02001
OG0000032	Prae.g_00033	Prbi.g_00033
OG0000033	Prae.g_01546	Prbi.g_01677
OG0000033	Prae.g_00738	Prbi.g_00778
OG0000034	Prae.g_01459	Prbi.g_01589, Prbi.g_01591
OG0000035	Prae.g_01573	Prbi.g_01702
OG0000036	Prae.g_01107	Prbi.g_01153
OG0000037	Prae.g_01294	Prbi.g_01364
OG0000037	Prae.g_01602	Prbi.g_01281
OG0000038	Prae.g_01402	Prbi.g_01467
OG0000039	Prae.g_00013	Prbi.g_00013
OG0000040	Prae.g_01291	Prbi.g_01361
OG0000040	Prae.g_00398	Prbi.g_00426
OG0000041	Prae.g_00597	Prbi.g_00625
OG0000042	Prae.g_01867	Prbi.g_02059
OG0000043	Prae.g_00894	Prbi.g_00936
OG0000045	Prae.g_00559	Prbi.g_00587
OG0000046	Prae.g_00764	Prbi.g_00805
OG0000047	Prae.g_01163	Prbi.g_01207
OG0000048	Prae.g_01416	Prbi.g_01478
OG0000049	Prae.g_01406	Prbi.g_01461
OG0000050	Prae.g_00169	Prbi.g_00190
OG0000051	Prae.g_00359	Prbi.g_00384
OG0000053	Prae.g_00711	Prbi.g_00745
OG0000054	Prae.g_01616	Prbi.g_01780
OG0000055	Prae.g_01815	Prbi.g_01994
OG0000056	Prae.g_00031	Prbi.g_00031
OG0000057	Prae.g_00160	Prbi.g_00181
OG0000058	Prae.g_00370	Prbi.g_00394
OG0000059	Prae.g_00514	Prbi.g_00542
OG0000060	Prae.g_00724	Prbi.g_00758
OG0000061	Prae.g_00758	Prbi.g_00799
OG0000062	Prae.g_00828	Prbi.g_00869
OG0000065	Prae.g_00240	Prbi.g_00261
OG0000066	Prae.g_00449	Prbi.g_00478
OG0000067	Prae.g_00672	Prbi.g_00702
OG0000068	Prae.g_00740	Prbi.g_00780
OG0000069	Prae.g_01128	Prbi.g_01172
OG0000069	Prae.g_00984	Prbi.g_01029
OG0000070	Prae.g_01040	Prbi.g_01086
OG0000071	Prae.g_01263	Prbi.g_01330
OG0000072	Prae.g_01329	Prbi.g_01391
OG0000074	Prae.g_01389	Prbi.g_01460
OG0000075	Prae.g_01758	Prbi.g_01938
OG0000077	Prae.g_00011	Prbi.g_00011
OG0000078	Prae.g_00323	Prbi.g_00346
OG0000079	Prae.g_00382	Prbi.g_00407
OG0000080	Prae.g_00643	Prbi.g_00672
OG0000081	Prae.g_00665	Prbi.g_00694
OG0000082	Prae.g_00813	Prbi.g_00854
OG0000083	Prae.g_00876	Prbi.g_00918
OG0000084	Prae.g_00964	Prbi.g_01009
OG0000085	Prae.g_01090	Prbi.g_01136
OG0000086	Prae.g_01130	Prbi.g_01174
OG0000088	Prae.g_01269	Prbi.g_01336
OG0000089	Prae.g_01272	Prbi.g_01341
OG0000090	Prae.g_01390	Prbi.g_01462
OG0000091	Prae.g_01467	Prbi.g_01599
OG0000092	Prae.g_01588	Prbi.g_01725
OG0000093	Prae.g_01710	Prbi.g_01873
OG0000094	Prae.g_01755	Prbi.g_01935
OG0000095	Prae.g_01789	Prbi.g_01968
OG0000096	Prae.g_01859	Prbi.g_02051
OG0000097	Prae.g_01877	Prbi.g_02069
OG0000098	Prae.g_00003	Prbi.g_00003
OG0000099	Prae.g_00023	Prbi.g_00023
OG0000100	Prae.g_00041	Prbi.g_00048
OG0000101	Prae.g_00051	Prbi.g_00060
OG0000102	Prae.g_00112	Prbi.g_00120
OG0000103	Prae.g_00121	Prbi.g_00129
OG0000105	Prae.g_00173	Prbi.g_00194
OG0000106	Prae.g_00187	Prbi.g_00208
OG0000107	Prae.g_00195	Prbi.g_00216
OG0000108	Prae.g_00205	Prbi.g_00226
OG0000109	Prae.g_00242	Prbi.g_00263
OG0000110	Prae.g_00254	Prbi.g_00275
OG0000111	Prae.g_01440	Prbi.g_00298
OG0000112	Prae.g_00285	Prbi.g_00308
OG0000113	Prae.g_00298	Prbi.g_00321
OG0000114	Prae.g_00326	Prbi.g_00349
OG0000115	Prae.g_00448	Prbi.g_00477
OG0000116	Prae.g_00450	Prbi.g_00479
OG0000117	Prae.g_00454	Prbi.g_00483
OG0000118	Prae.g_00473	Prbi.g_00502
OG0000119	Prae.g_00506	Prbi.g_00535
OG0000120	Prae.g_00508	Prbi.g_00536
OG0000121	Prae.g_00518	Prbi.g_00546
OG0000122	Prae.g_00527	Prbi.g_00555
OG0000123	Prae.g_00558	Prbi.g_00586
OG0000124	Prae.g_00625	Prbi.g_00654
OG0000125	Prae.g_00626	Prbi.g_00655
OG0000126	Prae.g_00627	Prbi.g_00656
OG0000127	Prae.g_00660	Prbi.g_00689
OG0000128	Prae.g_00713	Prbi.g_00747
OG0000129	Prae.g_00733	Prbi.g_00767
OG0000130	Prae.g_00791	Prbi.g_00832
OG0000131	Prae.g_00804	Prbi.g_00845
OG0000132	Prae.g_00839	Prbi.g_00881
OG0000133	Prae.g_00924	Prbi.g_00968
OG0000134	Prae.g_00933	Prbi.g_00977
OG0000135	Prae.g_00968	Prbi.g_01013
OG0000136	Prae.g_01037	Prbi.g_01083
OG0000137	Prae.g_01133	Prbi.g_01177
OG0000138	Prae.g_01158	Prbi.g_01202
OG0000139	Prae.g_01169	Prbi.g_01213
OG0000140	Prae.g_01220	Prbi.g_01264
OG0000141	Prae.g_01434	Prbi.g_01277
OG0000142	Prae.g_01341	Prbi.g_01403
OG0000143	Prae.g_01368	Prbi.g_01439
OG0000144	Prae.g_01446	Prbi.g_01576
OG0000145	Prae.g_01460	Prbi.g_01592
OG0000146	Prae.g_01496	Prbi.g_01627
OG0000147	Prae.g_01536	Prbi.g_01667
OG0000148	Prae.g_01537	Prbi.g_01668
OG0000149	Prae.g_01621	Prbi.g_01785
OG0000150	Prae.g_01659	Prbi.g_01823
OG0000151	Prae.g_01662	Prbi.g_01826
OG0000152	Prae.g_01681	Prbi.g_01845
OG0000153	Prae.g_01717	Prbi.g_01897
OG0000154	Prae.g_01753	Prbi.g_01933
OG0000155	Prae.g_01772	Prbi.g_01951
OG0000156	Prae.g_01800	Prbi.g_01979
OG0000157	Prae.g_01832	Prbi.g_02011
