Orthogroup	Prae	Pran
OG0000000	Prae.g_01580	Pran.g_00601
OG0000000	Prae.g_01579	Pran.g_00001, Pran.g_00602
OG0000000	Prae.g_01300	Pran.g_00593
OG0000001	Prae.g_00652	Pran.g_01500
OG0000002	Prae.g_01236	Pran.g_01395
OG0000003	Prae.g_00040	Pran.g_01952
OG0000004	Prae.g_01308	Pran.g_00894
OG0000005	Prae.g_00735	Pran.g_00576
OG0000005	Prae.g_00742	Pran.g_01436
OG0000005	Prae.g_01297	Pran.g_00895
OG0000006	Prae.g_00756, Prae.g_01110	Pran.g_00114
OG0000007	Prae.g_01264	Pran.g_00526
OG0000007	Prae.g_00383	Pran.g_01811
OG0000008	Prae.g_00471	Pran.g_01681
OG0000008	Prae.g_01623	Pran.g_00970
OG0000010	Prae.g_00786	Pran.g_01363
OG0000010	Prae.g_00252	Pran.g_01943
OG0000011	Prae.g_00755	Pran.g_01410
OG0000012	Prae.g_01093	Pran.g_00132
OG0000012	Prae.g_00374	Pran.g_01820
OG0000013	Prae.g_01572	Pran.g_00615
OG0000014	Prae.g_01401	Pran.g_00754, Pran.g_00755
OG0000014	Prae.g_00307	Pran.g_01888
OG0000015	Prae.g_00331	Pran.g_01864
OG0000016	Prae.g_01235	Pran.g_01394
OG0000017	Prae.g_01311, Prae.g_00444	Pran.g_00583
OG0000018	Prae.g_00572	Pran.g_01580
OG0000019	Prae.g_00381	Pran.g_01813
OG0000020	Prae.g_01364	Pran.g_00845
OG0000021	Prae.g_01479	Pran.g_00713
OG0000022	Prae.g_00244	Pran.g_01951
OG0000023	Prae.g_01600, Prae.g_00364	Pran.g_01829
OG0000025	Prae.g_00748	Pran.g_01420
OG0000026	Prae.g_01310	Pran.g_00582
OG0000027	Prae.g_00646	Pran.g_01506
OG0000028	Prae.g_01277	Pran.g_00954
OG0000029	Prae.g_00787	Pran.g_01362
OG0000030	Prae.g_00788	Pran.g_01361
OG0000031	Prae.g_01822	Pran.g_01167
OG0000032	Prae.g_00033	Pran.g_00391
OG0000033	Prae.g_01546, Prae.g_00738	Pran.g_01464
OG0000034	Prae.g_01459	Pran.g_00733
OG0000035	Prae.g_01573	Pran.g_00614
OG0000036	Prae.g_01107	Pran.g_00117
OG0000037	Prae.g_01294	Pran.g_00898
OG0000037	Prae.g_01602	Pran.g_00944
OG0000038	Prae.g_01402	Pran.g_00753
OG0000040	Prae.g_01291	Pran.g_00925
OG0000041	Prae.g_00597	Pran.g_01555
OG0000042	Prae.g_01867	Pran.g_01212
OG0000043	Prae.g_00894	Pran.g_00415
OG0000045	Prae.g_00559	Pran.g_01593
OG0000046	Prae.g_00764	Pran.g_01401
OG0000047	Prae.g_01163, Prae.g_01422	Pran.g_00060
OG0000049	Prae.g_01406	Pran.g_00807
OG0000050	Prae.g_00169	Pran.g_00266
OG0000051	Prae.g_00359	Pran.g_01834
OG0000052	Prae.g_00402	Pran.g_01758
OG0000053	Prae.g_00711	Pran.g_01460
OG0000054	Prae.g_01616	Pran.g_00963
OG0000055	Prae.g_01815	Pran.g_01160
OG0000056	Prae.g_00031	Pran.g_00393
OG0000057	Prae.g_00160	Pran.g_00275
OG0000058	Prae.g_00370	Pran.g_01824
OG0000059	Prae.g_00514	Pran.g_01639
OG0000060	Prae.g_00724, Prae.g_01247	Pran.g_01447
OG0000061	Prae.g_00758	Pran.g_01408
OG0000062	Prae.g_00828	Pran.g_01321
OG0000063	Prae.g_01322	Pran.g_00935
OG0000065	Prae.g_00240	Pran.g_00195
OG0000066	Prae.g_00449	Pran.g_01703
OG0000067	Prae.g_00672	Pran.g_01480
OG0000068	Prae.g_00740	Pran.g_00905
OG0000069	Prae.g_01128	Pran.g_00095
OG0000069	Prae.g_00984	Pran.g_00507
OG0000070	Prae.g_01040	Pran.g_00903, Pran.g_00568
OG0000071	Prae.g_01263	Pran.g_01466
OG0000072	Prae.g_01329	Pran.g_00938, Pran.g_00876
OG0000074	Prae.g_01389	Pran.g_00752
OG0000075	Prae.g_01758	Pran.g_01105
OG0000077	Prae.g_00011	Pran.g_01268
OG0000078	Prae.g_00323	Pran.g_01872
OG0000079	Prae.g_00382	Pran.g_01812
OG0000080	Prae.g_00643	Pran.g_01509
OG0000081	Prae.g_00665	Pran.g_01487
OG0000082	Prae.g_00813	Pran.g_01336
OG0000083	Prae.g_00876	Pran.g_00179
OG0000084	Prae.g_00964	Pran.g_00487
OG0000085	Prae.g_01090	Pran.g_00135
OG0000086	Prae.g_01130	Pran.g_00093
OG0000088	Prae.g_01269	Pran.g_01784
OG0000089	Prae.g_01272	Pran.g_00519
OG0000090	Prae.g_01390	Pran.g_00806
OG0000091	Prae.g_01467	Pran.g_00725, Pran.g_00787
OG0000092	Prae.g_01588	Pran.g_00575, Pran.g_00912
OG0000093	Prae.g_01710	Pran.g_01056
OG0000094	Prae.g_01755	Pran.g_01102
OG0000095	Prae.g_01789	Pran.g_01135
OG0000096	Prae.g_01859	Pran.g_01204
OG0000097	Prae.g_01877	Pran.g_01222
OG0000098	Prae.g_00003, Prae.g_01306	Pran.g_01260
OG0000099	Prae.g_00023	Pran.g_00401
OG0000100	Prae.g_00041	Pran.g_00386
OG0000101	Prae.g_00051	Pran.g_00376
OG0000102	Prae.g_00112	Pran.g_00320
OG0000103	Prae.g_00121	Pran.g_00312
OG0000104	Prae.g_00139	Pran.g_00295
OG0000105	Prae.g_00173	Pran.g_00262
OG0000106	Prae.g_00187	Pran.g_00248
OG0000107	Prae.g_00195	Pran.g_00240
OG0000108	Prae.g_00205	Pran.g_00230
OG0000109	Prae.g_00242	Pran.g_00194
OG0000110	Prae.g_00254	Pran.g_01941
OG0000111	Prae.g_01440	Pran.g_01920
OG0000112	Prae.g_00285	Pran.g_01910
OG0000113	Prae.g_00298	Pran.g_01897
OG0000114	Prae.g_00326	Pran.g_01869
OG0000115	Prae.g_00448	Pran.g_01704
OG0000116	Prae.g_00450	Pran.g_01702
OG0000117	Prae.g_00454	Pran.g_01698
OG0000118	Prae.g_00473	Pran.g_01679
OG0000119	Prae.g_00506	Pran.g_01646
OG0000120	Prae.g_00508	Pran.g_01645
OG0000121	Prae.g_00518	Pran.g_01635
OG0000122	Prae.g_00527	Pran.g_01626
OG0000123	Prae.g_00558	Pran.g_01594
OG0000124	Prae.g_00625	Pran.g_01527
OG0000125	Prae.g_00626	Pran.g_01526
OG0000126	Prae.g_00627	Pran.g_01525
OG0000127	Prae.g_00660	Pran.g_01492
OG0000128	Prae.g_00713	Pran.g_01458
OG0000129	Prae.g_00733	Pran.g_01438
OG0000130	Prae.g_00791	Pran.g_01358
OG0000131	Prae.g_00804	Pran.g_01345
OG0000132	Prae.g_00839	Pran.g_01310
OG0000133	Prae.g_00924	Pran.g_00445
OG0000134	Prae.g_00933	Pran.g_00455
OG0000135	Prae.g_00968	Pran.g_00491
OG0000136	Prae.g_01037	Pran.g_00565
OG0000137	Prae.g_01133	Pran.g_00090
OG0000138	Prae.g_01158	Pran.g_00065
OG0000139	Prae.g_01169	Pran.g_00054
OG0000140	Prae.g_01220	Pran.g_00003
OG0000141	Prae.g_01434	Pran.g_00918
OG0000142	Prae.g_01341	Pran.g_00864
OG0000143	Prae.g_01368	Pran.g_00841
OG0000144	Prae.g_01446	Pran.g_00746
OG0000145	Prae.g_01460	Pran.g_00732
OG0000146	Prae.g_01496	Pran.g_00696
OG0000147	Prae.g_01536	Pran.g_00656
OG0000148	Prae.g_01537	Pran.g_00655
OG0000149	Prae.g_01621	Pran.g_00968
OG0000150	Prae.g_01659	Pran.g_01006
OG0000151	Prae.g_01662	Pran.g_01009
OG0000152	Prae.g_01681	Pran.g_01043, Pran.g_01028
OG0000153	Prae.g_01717	Pran.g_01063
OG0000154	Prae.g_01753	Pran.g_01100
OG0000155	Prae.g_01772	Pran.g_01118
OG0000156	Prae.g_01800	Pran.g_01145
OG0000157	Prae.g_01832	Pran.g_01177
OG0000158	Prae.g_01894	Pran.g_01239
OG0000160	Prae.g_00001	Pran.g_01258
OG0000161	Prae.g_00002	Pran.g_01259
OG0000162	Prae.g_00004	Pran.g_01261
OG0000163	Prae.g_00005	Pran.g_01262
OG0000164	Prae.g_00006	Pran.g_01263
OG0000165	Prae.g_00007	Pran.g_01264
OG0000166	Prae.g_00008	Pran.g_01265
OG0000167	Prae.g_00009	Pran.g_01266
OG0000168	Prae.g_00010	Pran.g_01267
OG0000169	Prae.g_00012	Pran.g_01269
OG0000170	Prae.g_00014	Pran.g_00410
OG0000171	Prae.g_00015	Pran.g_00409
OG0000172	Prae.g_00016	Pran.g_00408
OG0000173	Prae.g_00017	Pran.g_00407
OG0000174	Prae.g_00018	Pran.g_00406
OG0000175	Prae.g_00019	Pran.g_00405
OG0000176	Prae.g_00020	Pran.g_00404
OG0000177	Prae.g_00021	Pran.g_00403
OG0000178	Prae.g_00022	Pran.g_00402
OG0000179	Prae.g_00024	Pran.g_00400
OG0000180	Prae.g_00025	Pran.g_00399
OG0000181	Prae.g_00026	Pran.g_00398
OG0000182	Prae.g_00027	Pran.g_00397
OG0000183	Prae.g_00028	Pran.g_00396
OG0000184	Prae.g_00029	Pran.g_00395
OG0000185	Prae.g_00032	Pran.g_00392
OG0000186	Prae.g_00035	Pran.g_00389
OG0000187	Prae.g_00036	Pran.g_00388
OG0000188	Prae.g_00037	Pran.g_00387
OG0000189	Prae.g_00042	Pran.g_00385
OG0000190	Prae.g_00044	Pran.g_00383
OG0000191	Prae.g_00045	Pran.g_00382
OG0000192	Prae.g_00046	Pran.g_00381
OG0000193	Prae.g_00047	Pran.g_00380
OG0000194	Prae.g_00048	Pran.g_00379
OG0000195	Prae.g_00049	Pran.g_00378
OG0000196	Prae.g_00050	Pran.g_00377
OG0000197	Prae.g_00052	Pran.g_00375
OG0000198	Prae.g_00053	Pran.g_00374
OG0000199	Prae.g_00054	Pran.g_00373
OG0000200	Prae.g_00064	Pran.g_00368
OG0000201	Prae.g_00065	Pran.g_00367
OG0000202	Prae.g_00066	Pran.g_00366
OG0000203	Prae.g_00069	Pran.g_00363
OG0000204	Prae.g_00070	Pran.g_00362
OG0000205	Prae.g_00073	Pran.g_00359
OG0000206	Prae.g_00075	Pran.g_00357
OG0000207	Prae.g_00077	Pran.g_00355
OG0000208	Prae.g_00078	Pran.g_00354
OG0000209	Prae.g_00079	Pran.g_00353
OG0000210	Prae.g_00080	Pran.g_00352
OG0000211	Prae.g_00081	Pran.g_00351
OG0000212	Prae.g_00082	Pran.g_00350
OG0000213	Prae.g_00083	Pran.g_00349
OG0000214	Prae.g_00084	Pran.g_00348
OG0000215	Prae.g_00085	Pran.g_00347
OG0000216	Prae.g_00086	Pran.g_00346
OG0000217	Prae.g_00088	Pran.g_00344
OG0000218	Prae.g_00089	Pran.g_00343
OG0000219	Prae.g_00090	Pran.g_00342
OG0000220	Prae.g_00091	Pran.g_00341
OG0000221	Prae.g_00094	Pran.g_00339
OG0000222	Prae.g_00095	Pran.g_00338
OG0000223	Prae.g_00096	Pran.g_00337
OG0000224	Prae.g_00097	Pran.g_00336
OG0000225	Prae.g_00098	Pran.g_00335
OG0000226	Prae.g_00099	Pran.g_00334
OG0000227	Prae.g_00100	Pran.g_00333
OG0000228	Prae.g_00101	Pran.g_00332
OG0000229	Prae.g_00102	Pran.g_00331
OG0000230	Prae.g_00103	Pran.g_00330
OG0000231	Prae.g_00104	Pran.g_00329
OG0000232	Prae.g_00105	Pran.g_00327
OG0000233	Prae.g_00106	Pran.g_00326
OG0000234	Prae.g_00107	Pran.g_00325
OG0000235	Prae.g_00108	Pran.g_00324
OG0000236	Prae.g_00109	Pran.g_00323
OG0000237	Prae.g_00110	Pran.g_00322
OG0000238	Prae.g_00111	Pran.g_00321
