Orthogroup	Prae	Prbm
OG0000000	Prae.g_01580	Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407
OG0000000	Prae.g_01222, Prae.g_01579	Prbm.g_01141, Prbm.g_01810, Prbm.g_01404, Prbm.g_01119
OG0000001	Prae.g_01361	Prbm.g_00874
OG0000001	Prae.g_00652	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576
OG0000002	Prae.g_01236, Prae.g_01224, Prae.g_01223	Prbm.g_01940, Prbm.g_00496, Prbm.g_01426
OG0000002	Prae.g_01353	Prbm.g_01633
OG0000003	Prae.g_00039	Prbm.g_01985
OG0000003	Prae.g_00040	Prbm.g_00528
OG0000004	Prae.g_01308, Prae.g_01581	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01313, Prbm.g_01384, Prbm.g_01814
OG0000005	Prae.g_00742	Prbm.g_01988, Prbm.g_00081, Prbm.g_01436, Prbm.g_00779
OG0000006	Prae.g_01283, Prae.g_00756, Prae.g_01110	Prbm.g_01359
OG0000008	Prae.g_00471	Prbm.g_00522
OG0000008	Prae.g_01623	Prbm.g_01841
OG0000010	Prae.g_00786	Prbm.g_00788, Prbm.g_00792
OG0000011	Prae.g_00755	Prbm.g_01823
OG0000013	Prae.g_01572	Prbm.g_01400, Prbm.g_01235
OG0000014	Prae.g_01401	Prbm.g_02126
OG0000015	Prae.g_00331	Prbm.g_00390
OG0000016	Prae.g_00769, Prae.g_01235	Prbm.g_01149, Prbm.g_01427
OG0000018	Prae.g_00572	Prbm.g_00628
OG0000019	Prae.g_00381	Prbm.g_01415, Prbm.g_01164
OG0000020	Prae.g_01364	Prbm.g_01653
OG0000021	Prae.g_01479	Prbm.g_01729
OG0000022	Prae.g_00244	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302
OG0000024	Prae.g_01290	Prbm.g_01181, Prbm.g_01158, Prbm.g_01167
OG0000025	Prae.g_00748	Prbm.g_01151, Prbm.g_00709
OG0000026	Prae.g_01310	Prbm.g_01115, Prbm.g_01408, Prbm.g_01312, Prbm.g_00437, Prbm.g_01381, Prbm.g_01228
OG0000028	Prae.g_01277	Prbm.g_01438
OG0000029	Prae.g_00787	Prbm.g_00778, Prbm.g_01921
OG0000030	Prae.g_00788	Prbm.g_01017, Prbm.g_01262, Prbm.g_01016, Prbm.g_01091
OG0000031	Prae.g_01822	Prbm.g_02102
OG0000032	Prae.g_00033	Prbm.g_01947
OG0000033	Prae.g_01546, Prae.g_00738	Prbm.g_01110, Prbm.g_01445, Prbm.g_01461, Prbm.g_01124
OG0000034	Prae.g_01459	Prbm.g_01710
OG0000035	Prae.g_01573	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000036	Prae.g_01107	Prbm.g_01065
OG0000037	Prae.g_01602	Prbm.g_01276
OG0000038	Prae.g_01402	Prbm.g_00392, Prbm.g_01627
OG0000038	Prae.g_01391	Prbm.g_00393
OG0000040	Prae.g_01291	Prbm.g_01202
OG0000041	Prae.g_00597	Prbm.g_01106
OG0000043	Prae.g_00894	Prbm.g_01482
OG0000045	Prae.g_00559	Prbm.g_01900
OG0000046	Prae.g_00764	Prbm.g_01204
OG0000047	Prae.g_01163, Prae.g_01422	Prbm.g_01549
OG0000049	Prae.g_01417, Prae.g_01406	Prbm.g_00881
OG0000050	Prae.g_00169	Prbm.g_00225
OG0000051	Prae.g_00359	Prbm.g_01284, Prbm.g_01297, Prbm.g_01444
OG0000053	Prae.g_00711	Prbm.g_00742
OG0000054	Prae.g_01616	Prbm.g_01834
OG0000055	Prae.g_01815	Prbm.g_02094
OG0000056	Prae.g_00031	Prbm.g_00031
OG0000057	Prae.g_00160	Prbm.g_00216
OG0000058	Prae.g_00370	Prbm.g_01172, Prbm.g_01237
OG0000059	Prae.g_00514	Prbm.g_00572
OG0000060	Prae.g_01247	Prbm.g_00755
OG0000062	Prae.g_00828	Prbm.g_00838, Prbm.g_01191
OG0000063	Prae.g_01322	Prbm.g_00048
OG0000065	Prae.g_00240	Prbm.g_00297
OG0000066	Prae.g_00449	Prbm.g_00500
