Orthogroup	Prae	Prau
OG0000000	Prae.g_01580	Prau.g_01648
OG0000000	Prae.g_01579	Prau.g_01266, Prau.g_01647
OG0000001	Prae.g_01361	Prau.g_01402
OG0000001	Prae.g_00652	Prau.g_00718
OG0000002	Prae.g_01353	Prau.g_01394
OG0000003	Prae.g_00040	Prau.g_01268
OG0000004	Prae.g_01308	Prau.g_01350
OG0000004	Prae.g_01581	Prau.g_01650
OG0000005	Prae.g_00735	Prau.g_00785
OG0000005	Prae.g_00742	Prau.g_00792
OG0000006	Prae.g_01283	Prau.g_01331
OG0000006	Prae.g_00756	Prau.g_00805
OG0000006	Prae.g_01110	Prau.g_01156
OG0000007	Prae.g_01264	Prau.g_01319
OG0000007	Prae.g_00383	Prau.g_00387
OG0000008	Prae.g_00471	Prau.g_00538
OG0000008	Prae.g_01623	Prau.g_01732
OG0000009	Prae.g_00056, Prae.g_01612	Prau.g_00437
OG0000010	Prae.g_00786	Prau.g_00834
OG0000010	Prae.g_00252	Prau.g_00251
OG0000011	Prae.g_00375	Prau.g_00378
OG0000011	Prae.g_00755	Prau.g_00804
OG0000012	Prae.g_01093	Prau.g_01139
OG0000012	Prae.g_00374	Prau.g_00377
OG0000013	Prae.g_01572	Prau.g_01641
OG0000014	Prae.g_01401	Prau.g_01470
OG0000014	Prae.g_00307	Prau.g_00308
OG0000015	Prae.g_00331	Prau.g_00332
OG0000016	Prae.g_01235	Prau.g_00817
OG0000017	Prae.g_01311	Prau.g_01353
OG0000018	Prae.g_00572	Prau.g_00636
OG0000019	Prae.g_00381	Prau.g_00385
OG0000020	Prae.g_01364	Prau.g_01405
OG0000021	Prae.g_01479	Prau.g_01551
OG0000022	Prae.g_00244	Prau.g_01316
OG0000023	Prae.g_01600	Prau.g_01680
OG0000023	Prae.g_00364	Prau.g_00367
OG0000024	Prae.g_01290	Prau.g_01344
OG0000025	Prae.g_00748	Prau.g_00796
OG0000026	Prae.g_01310	Prau.g_01352
OG0000027	Prae.g_00646	Prau.g_00712
OG0000029	Prae.g_00787	Prau.g_00835
OG0000030	Prae.g_00788	Prau.g_00836
