Orthogroup	Prae	Prat
OG0000000	Prae.g_01580	Prat.g_01549
OG0000000	Prae.g_01222, Prae.g_01579	Prat.g_01510, Prat.g_01189, Prat.g_01547
OG0000001	Prae.g_01361	Prat.g_00977
OG0000001	Prae.g_00652	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000002	Prae.g_01236, Prae.g_01224, Prae.g_01223	Prat.g_00851
OG0000002	Prae.g_01353	Prat.g_01286, Prat.g_01285
OG0000003	Prae.g_00040	Prat.g_01473
OG0000004	Prae.g_01308, Prae.g_01581	Prat.g_01190
OG0000005	Prae.g_00742	Prat.g_00824
OG0000006	Prae.g_01283, Prae.g_00756, Prae.g_01110	Prat.g_00634
OG0000008	Prae.g_00471	Prat.g_00458
OG0000008	Prae.g_01623	Prat.g_01592
OG0000009	Prae.g_01612	Prat.g_01570
OG0000010	Prae.g_00786	Prat.g_01180
OG0000010	Prae.g_00252	Prat.g_00255
OG0000012	Prae.g_01093	Prat.g_00278
OG0000013	Prae.g_01572	Prat.g_01451
OG0000014	Prae.g_01401	Prat.g_01267
OG0000016	Prae.g_00769, Prae.g_01235	Prat.g_00701
OG0000017	Prae.g_01311, Prae.g_00444	Prat.g_01548, Prat.g_01474
OG0000018	Prae.g_00572	Prat.g_00560, Prat.g_00567
OG0000019	Prae.g_00381	Prat.g_01580, Prat.g_00639, Prat.g_00615
OG0000020	Prae.g_01364	Prat.g_00647, Prat.g_01452
OG0000022	Prae.g_00244	Prat.g_00248
OG0000023	Prae.g_01600, Prae.g_00364	Prat.g_00461
OG0000024	Prae.g_01290	Prat.g_01489
OG0000025	Prae.g_00748	Prat.g_00622
OG0000026	Prae.g_01310	Prat.g_01191
OG0000029	Prae.g_00787	Prat.g_00852
OG0000031	Prae.g_01822	Prat.g_01796
OG0000034	Prae.g_01459	Prat.g_01352, Prat.g_01353
OG0000035	Prae.g_01573	Prat.g_01400
OG0000036	Prae.g_01107	Prat.g_01470
OG0000038	Prae.g_01402	Prat.g_01266
OG0000039	Prae.g_00013	Prat.g_00014
OG0000041	Prae.g_00597	Prat.g_00586
OG0000043	Prae.g_00894	Prat.g_00657
OG0000045	Prae.g_00559	Prat.g_01507
OG0000046	Prae.g_00764	Prat.g_01448, Prat.g_01192
OG0000047	Prae.g_01163, Prae.g_01422	Prat.g_01156
OG0000049	Prae.g_01417, Prae.g_01406	Prat.g_01311
OG0000050	Prae.g_00169	Prat.g_00166
OG0000051	Prae.g_00359	Prat.g_00834
OG0000053	Prae.g_00711	Prat.g_00788
OG0000054	Prae.g_01616	Prat.g_01584
OG0000055	Prae.g_01815	Prat.g_01788
OG0000056	Prae.g_00031	Prat.g_00033
OG0000057	Prae.g_00160	Prat.g_00157
OG0000058	Prae.g_00370	Prat.g_00637
OG0000059	Prae.g_00514	Prat.g_01499
OG0000060	Prae.g_01247	Prat.g_00804
OG0000062	Prae.g_00828	Prat.g_01014
OG0000063	Prae.g_01322	Prat.g_01463, Prat.g_00666
OG0000065	Prae.g_00240	Prat.g_00242
OG0000066	Prae.g_00449	Prat.g_00434
OG0000067	Prae.g_00672	Prat.g_00775
OG0000070	Prae.g_01040	Prat.g_00965
OG0000071	Prae.g_01263	Prat.g_01129
OG0000072	Prae.g_01329	Prat.g_01249
OG0000074	Prae.g_01389	Prat.g_00344
OG0000075	Prae.g_01758	Prat.g_01726
OG0000077	Prae.g_00011	Prat.g_00012, Prat.g_00011
OG0000078	Prae.g_00323	Prat.g_00329
OG0000079	Prae.g_00382	Prat.g_01477
OG0000080	Prae.g_00643	Prat.g_01054
OG0000081	Prae.g_00665	Prat.g_00765
OG0000082	Prae.g_00813	Prat.g_01030
OG0000083	Prae.g_00876	Prat.g_01176
OG0000084	Prae.g_00964	Prat.g_00896, Prat.g_01277
OG0000085	Prae.g_01090	Prat.g_01208
OG0000086	Prae.g_01130	Prat.g_01561, Prat.g_01495
OG0000090	Prae.g_01390	Prat.g_01312
OG0000091	Prae.g_01467	Prat.g_01361
OG0000092	Prae.g_01588	Prat.g_01539
OG0000093	Prae.g_01710	Prat.g_01679
