Orthogroup	Prae	Prbb
OG0000000	Prae.g_01580	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prae.g_01222, Prae.g_01579	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000001	Prae.g_01361	Prbb.g_00844
OG0000001	Prae.g_00652	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Prae.g_01236, Prae.g_01224, Prae.g_01223	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Prae.g_01353	Prbb.g_01611
OG0000003	Prae.g_00039	Prbb.g_01807
OG0000003	Prae.g_00040	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562
OG0000004	Prae.g_01308, Prae.g_01581	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Prae.g_00742	Prbb.g_00425, Prbb.g_00748
OG0000006	Prae.g_01283, Prae.g_00756, Prae.g_01110	Prbb.g_01294
OG0000008	Prae.g_00471	Prbb.g_00501
OG0000008	Prae.g_01623	Prbb.g_01823
OG0000010	Prae.g_00786	Prbb.g_00757, Prbb.g_00761
OG0000011	Prae.g_00755	Prbb.g_01800
OG0000015	Prae.g_00331	Prbb.g_00386
OG0000016	Prae.g_00769, Prae.g_01235	Prbb.g_01158
OG0000017	Prae.g_01311, Prae.g_00444	Prbb.g_01375
OG0000018	Prae.g_00572	Prbb.g_00598
OG0000019	Prae.g_00381	Prbb.g_01189
OG0000020	Prae.g_01364	Prbb.g_01632
OG0000021	Prae.g_01479	Prbb.g_01705
OG0000022	Prae.g_00244	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Prae.g_01600, Prae.g_00364	Prbb.g_00099
OG0000024	Prae.g_01290	Prbb.g_01207, Prbb.g_01182, Prbb.g_01192
OG0000025	Prae.g_00748	Prbb.g_01175, Prbb.g_00680
OG0000026	Prae.g_01310	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400
OG0000029	Prae.g_00787	Prbb.g_00747, Prbb.g_01897
OG0000030	Prae.g_00788	Prbb.g_01020, Prbb.g_01379, Prbb.g_01019, Prbb.g_01096, Prbb.g_01362
OG0000031	Prae.g_01822	Prbb.g_02069
OG0000032	Prae.g_00033	Prbb.g_01921
