Orthogroup	Prbl	Prax
OG0000000	Prbl.g_01582	Prax.g_01870
OG0000000	Prbl.g_01092	Prax.g_00964
OG0000001	Prbl.g_00118	Prax.g_01920
OG0000002	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121	Prax.g_01878
OG0000002	Prbl.g_02599	Prax.g_00522
OG0000003	Prbl.g_00117	Prax.g_01919, Prax.g_01606, Prax.g_00494
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Prax.g_00437
OG0000006	Prbl.g_00531	Prax.g_00704
OG0000006	Prbl.g_00394	Prax.g_01559
OG0000007	Prbl.g_01854, Prbl.g_01855	Prax.g_00970
OG0000009	Prbl.g_01509	Prax.g_00393, Prax.g_00926
OG0000011	Prbl.g_00719	Prax.g_00843
OG0000012	Prbl.g_01755, Prbl.g_01763	Prax.g_00057
OG0000013	Prbl.g_01566	Prax.g_00523
OG0000016	Prbl.g_00007, Prbl.g_00046	Prax.g_01867
OG0000018	Prbl.g_02601	Prax.g_01972
OG0000019	Prbl.g_01768	Prax.g_01587, Prax.g_00808
OG0000020	Prbl.g_01465	Prax.g_00173
OG0000024	Prbl.g_01416	Prax.g_00869
OG0000026	Prbl.g_01981	Prax.g_00280
OG0000028	Prbl.g_00242	Prax.g_01733, Prax.g_01728
OG0000032	Prbl.g_00835, Prbl.g_00830	Prax.g_01831
OG0000036	Prbl.g_01783	Prax.g_00045
OG0000037	Prbl.g_01618	Prax.g_00082
OG0000038	Prbl.g_01072, Prbl.g_01310	Prax.g_00415
OG0000039	Prbl.g_00281, Prbl.g_01838	Prax.g_01052
OG0000040	Prbl.g_02355	Prax.g_00813
OG0000042	Prbl.g_02567, Prbl.g_01839	Prax.g_00485
OG0000043	Prbl.g_01099, Prbl.g_01097	Prax.g_00388
OG0000044	Prbl.g_02084	Prax.g_00200
OG0000045	Prbl.g_00890	Prax.g_01823
OG0000046	Prbl.g_00405	Prax.g_01566
OG0000047	Prbl.g_01285	Prax.g_01394
OG0000048	Prbl.g_01236, Prbl.g_01121	Prax.g_01401
OG0000050	Prbl.g_01977	Prax.g_00282, Prax.g_00458
OG0000051	Prbl.g_00290	Prax.g_01061
OG0000052	Prbl.g_00411	Prax.g_00803
OG0000053	Prbl.g_00752	Prax.g_00662
OG0000054	Prbl.g_01943	Prax.g_00421, Prax.g_00457
OG0000055	Prbl.g_02310	Prax.g_00351
