Orthogroup	Prbl	Praf
OG0000000	Prbl.g_01582	Praf.g_01631
OG0000000	Prbl.g_01092	Praf.g_00948
OG0000001	Prbl.g_00118	Praf.g_01039, Praf.g_01042, Praf.g_00815
OG0000001	Prbl.g_00116	Praf.g_00813
OG0000002	Prbl.g_00808, Prbl.g_02598	Praf.g_02422
OG0000002	Prbl.g_02578	Praf.g_01293
OG0000002	Prbl.g_00725	Praf.g_01895
OG0000002	Prbl.g_00121	Praf.g_00818
OG0000003	Prbl.g_00117	Praf.g_00814
OG0000004	Prbl.g_01685	Praf.g_01014
OG0000004	Prbl.g_00628, Prbl.g_00679	Praf.g_02005
OG0000006	Prbl.g_00531	Praf.g_00614
OG0000006	Prbl.g_00394	Praf.g_00480
OG0000007	Prbl.g_01854	Praf.g_01224
OG0000007	Prbl.g_01855	Praf.g_01223
OG0000009	Prbl.g_01509	Praf.g_02214
OG0000011	Prbl.g_01574	Praf.g_01898
OG0000011	Prbl.g_00719	Praf.g_01864
OG0000012	Prbl.g_01755	Praf.g_00760
OG0000012	Prbl.g_01763	Praf.g_00752
OG0000013	Prbl.g_01566	Praf.g_01618
OG0000016	Prbl.g_00007	Praf.g_01108
OG0000016	Prbl.g_00046	Praf.g_01143
OG0000017	Prbl.g_00691	Praf.g_01828
OG0000018	Prbl.g_02601	Praf.g_00396, Praf.g_01719
OG0000019	Prbl.g_01768	Praf.g_00746
OG0000020	Prbl.g_01465	Praf.g_02267
OG0000024	Prbl.g_01416	Praf.g_02319
OG0000026	Prbl.g_01981	Praf.g_00041
OG0000028	Prbl.g_00242	Praf.g_01794
OG0000031	Prbl.g_01677	Praf.g_01022
OG0000032	Prbl.g_00835, Prbl.g_00830	Praf.g_02400
OG0000034	Prbl.g_00870	Praf.g_02366
OG0000036	Prbl.g_01783	Praf.g_00731
OG0000037	Prbl.g_01618	Praf.g_01668
OG0000038	Prbl.g_01072	Praf.g_00965
OG0000038	Prbl.g_01310	Praf.g_00201
OG0000039	Prbl.g_00281	Praf.g_02454
OG0000039	Prbl.g_01838	Praf.g_01239
OG0000042	Prbl.g_02567	Praf.g_01302
OG0000042	Prbl.g_01839	Praf.g_01238
OG0000043	Prbl.g_01099	Praf.g_00941
OG0000043	Prbl.g_01097	Praf.g_00943
OG0000044	Prbl.g_02084	Praf.g_00854
OG0000045	Prbl.g_00890	Praf.g_02345
OG0000046	Prbl.g_00405	Praf.g_00491
OG0000047	Prbl.g_01285	Praf.g_00178
OG0000048	Prbl.g_01236, Prbl.g_01121	Praf.g_00920, Praf.g_00164
OG0000049	Prbl.g_00261	Praf.g_02726, Praf.g_01259
OG0000049	Prbl.g_00106	Praf.g_00332
OG0000049	Prbl.g_02178	Praf.g_02486
OG0000049	Prbl.g_00265	Praf.g_02526
OG0000049	Prbl.g_00740	Praf.g_01194
OG0000050	Prbl.g_01977	Praf.g_00037
OG0000051	Prbl.g_00290	Praf.g_02445
OG0000052	Prbl.g_00411	Praf.g_00496
OG0000053	Prbl.g_00752	Praf.g_00672
OG0000054	Prbl.g_01943	Praf.g_00348
OG0000055	Prbl.g_02310	Praf.g_01556
OG0000056	Prbl.g_00138	Praf.g_02587
OG0000058	Prbl.g_01340	Praf.g_01907
OG0000059	Prbl.g_00025	Praf.g_01125
OG0000062	Prbl.g_02204	Praf.g_01034, Praf.g_02690
OG0000063	Prbl.g_01384	Praf.g_00919
OG0000065	Prbl.g_01722	Praf.g_00796
OG0000066	Prbl.g_00892	Praf.g_02343
OG0000068	Prbl.g_01126, Prbl.g_01000	Praf.g_02119
OG0000069	Prbl.g_00712	Praf.g_01851
OG0000069	Prbl.g_00889	Praf.g_02346
OG0000070	Prbl.g_01171	Praf.g_02084
OG0000070	Prbl.g_01599	Praf.g_01648
OG0000071	Prbl.g_02109	Praf.g_00012
OG0000072	Prbl.g_00897	Praf.g_02336
OG0000073	Prbl.g_01395	Praf.g_01748
OG0000074	Prbl.g_01859	Praf.g_01219, Praf.g_01218
OG0000075	Prbl.g_02328	Praf.g_01537
OG0000076	Prbl.g_00927	Praf.g_01274
OG0000078	Prbl.g_00893	Praf.g_02342
OG0000079	Prbl.g_00417	Praf.g_00501
OG0000080	Prbl.g_00462	Praf.g_00549
OG0000081	Prbl.g_00857	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000082	Prbl.g_02195	Praf.g_02699
OG0000083	Prbl.g_02118	Praf.g_00003
OG0000084	Prbl.g_02115	Praf.g_00006
OG0000085	Prbl.g_01968	Praf.g_00028
OG0000087	Prbl.g_02273	Praf.g_00333, Praf.g_02602
OG0000088	Prbl.g_01331	Praf.g_00224
OG0000089	Prbl.g_01316	Praf.g_00212
OG0000090	Prbl.g_00810	Praf.g_02420
OG0000091	Prbl.g_00278	Praf.g_02457
OG0000092	Prbl.g_00277	Praf.g_02468
OG0000093	Prbl.g_00069	Praf.g_02492
OG0000094	Prbl.g_00098	Praf.g_02521, Praf.g_02708
OG0000095	Prbl.g_01282	Praf.g_02532
OG0000096	Prbl.g_01506	Praf.g_02217
OG0000097	Prbl.g_01461	Praf.g_02271
OG0000098	Prbl.g_01448	Praf.g_02284
OG0000099	Prbl.g_01436	Praf.g_02296
OG0000100	Prbl.g_01432	Praf.g_02300
OG0000101	Prbl.g_02677	Praf.g_02012
OG0000102	Prbl.g_02190	Praf.g_02715, Praf.g_02705
OG0000103	Prbl.g_01339	Praf.g_01905
OG0000104	Prbl.g_00511	Praf.g_00595
OG0000105	Prbl.g_00533	Praf.g_00616
OG0000106	Prbl.g_00768	Praf.g_00658
OG0000107	Prbl.g_00766	Praf.g_00660
OG0000108	Prbl.g_02647	Praf.g_00681
OG0000109	Prbl.g_01886	Praf.g_00692
OG0000110	Prbl.g_01905	Praf.g_00711
OG0000111	Prbl.g_01043	Praf.g_01036, Praf.g_01720
OG0000112	Prbl.g_01042	Praf.g_01721
OG0000113	Prbl.g_02432	Praf.g_01435
OG0000114	Prbl.g_02337	Praf.g_01528
OG0000115	Prbl.g_02478	Praf.g_01392
OG0000116	Prbl.g_02486	Praf.g_01383
OG0000117	Prbl.g_00930	Praf.g_01277
OG0000118	Prbl.g_02128	Praf.g_02776
OG0000119	Prbl.g_02202	Praf.g_02692
OG0000120	Prbl.g_02091	Praf.g_00861
OG0000121	Prbl.g_01119	Praf.g_00922
OG0000122	Prbl.g_02583	Praf.g_00901
OG0000123	Prbl.g_01102	Praf.g_00938
OG0000124	Prbl.g_00937	Praf.g_01285
OG0000125	Prbl.g_01736	Praf.g_00779
OG0000126	Prbl.g_00502	Praf.g_00585, Praf.g_00583
OG0000127	Prbl.g_00258	Praf.g_01778, Praf.g_01776
OG0000128	Prbl.g_00241	Praf.g_01795
OG0000129	Prbl.g_00709	Praf.g_01848
OG0000130	Prbl.g_00399	Praf.g_00485
OG0000131	Prbl.g_00350	Praf.g_00437
OG0000132	Prbl.g_00347	Praf.g_00434
OG0000133	Prbl.g_00957	Praf.g_02162
OG0000134	Prbl.g_00994	Praf.g_02125
OG0000135	Prbl.g_00996	Praf.g_02123
OG0000136	Prbl.g_00841	Praf.g_02396
OG0000137	Prbl.g_02053	Praf.g_00152
OG0000138	Prbl.g_02231	Praf.g_02664
OG0000139	Prbl.g_02147	Praf.g_02757
OG0000140	Prbl.g_02120	Praf.g_00001
OG0000141	Prbl.g_02119	Praf.g_00002
OG0000142	Prbl.g_02117	Praf.g_00004
OG0000143	Prbl.g_02116	Praf.g_00005
OG0000144	Prbl.g_02114	Praf.g_00007
OG0000145	Prbl.g_02112	Praf.g_00009
OG0000146	Prbl.g_02111	Praf.g_00010
OG0000147	Prbl.g_02110	Praf.g_00011
OG0000148	Prbl.g_02108	Praf.g_00013
OG0000149	Prbl.g_01955	Praf.g_00015
OG0000150	Prbl.g_01956	Praf.g_00016
OG0000151	Prbl.g_01961	Praf.g_00021
OG0000152	Prbl.g_01962	Praf.g_00022
OG0000153	Prbl.g_01963	Praf.g_00023
OG0000154	Prbl.g_01964	Praf.g_00024
OG0000155	Prbl.g_01965	Praf.g_00025
OG0000156	Prbl.g_01966	Praf.g_00026
OG0000157	Prbl.g_01967	Praf.g_00027
OG0000158	Prbl.g_01969	Praf.g_00029
OG0000159	Prbl.g_01970	Praf.g_00030
OG0000160	Prbl.g_01971	Praf.g_00031
OG0000161	Prbl.g_01972	Praf.g_00032
OG0000162	Prbl.g_01973	Praf.g_00033
OG0000163	Prbl.g_01975	Praf.g_00035
OG0000164	Prbl.g_01980	Praf.g_00040
OG0000165	Prbl.g_01985	Praf.g_00045
OG0000166	Prbl.g_01986	Praf.g_00046
OG0000167	Prbl.g_01987	Praf.g_00047
OG0000168	Prbl.g_01988	Praf.g_00050
OG0000169	Prbl.g_01990	Praf.g_00052
OG0000170	Prbl.g_02241	Praf.g_02654
OG0000171	Prbl.g_02243	Praf.g_02652
OG0000172	Prbl.g_02244	Praf.g_02618
OG0000173	Prbl.g_02251	Praf.g_02611
OG0000174	Prbl.g_02258	Praf.g_02605
OG0000175	Prbl.g_02266	Praf.g_02603
OG0000176	Prbl.g_02274	Praf.g_02601
OG0000177	Prbl.g_02275	Praf.g_02597
OG0000178	Prbl.g_02276	Praf.g_02596
OG0000179	Prbl.g_00614	Praf.g_00328
OG0000180	Prbl.g_00613	Praf.g_00326
OG0000181	Prbl.g_00612	Praf.g_00325
OG0000182	Prbl.g_00608	Praf.g_00321
OG0000183	Prbl.g_00607	Praf.g_00320
OG0000184	Prbl.g_00603	Praf.g_00316
OG0000185	Prbl.g_00597	Praf.g_00310
OG0000186	Prbl.g_00596	Praf.g_00309
