Orthogroup	Prbl	Prbd
OG0000000	Prbl.g_01582	Prbd.g_01771
OG0000000	Prbl.g_01092	Prbd.g_00566
OG0000001	Prbl.g_00118	Prbd.g_01836
OG0000001	Prbl.g_00116	Prbd.g_01569
OG0000002	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121	Prbd.g_01779
OG0000002	Prbl.g_02599	Prbd.g_01930
OG0000003	Prbl.g_00117	Prbd.g_01835, Prbd.g_01567
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Prbd.g_00038
OG0000006	Prbl.g_00531	Prbd.g_00745
OG0000006	Prbl.g_00394	Prbd.g_01525
OG0000007	Prbl.g_01854, Prbl.g_01855	Prbd.g_00572
OG0000009	Prbl.g_01509	Prbd.g_00082, Prbd.g_00990
OG0000011	Prbl.g_00719	Prbd.g_00909
OG0000012	Prbl.g_01755, Prbl.g_01763	Prbd.g_00646
OG0000013	Prbl.g_01566	Prbd.g_00065, Prbd.g_00826
OG0000016	Prbl.g_00007, Prbl.g_00046	Prbd.g_01768
OG0000018	Prbl.g_02601	Prbd.g_00998
OG0000019	Prbl.g_01768	Prbd.g_01546, Prbd.g_00874
OG0000020	Prbl.g_01465	Prbd.g_00439
OG0000024	Prbl.g_01416	Prbd.g_00933
OG0000026	Prbl.g_01981	Prbd.g_01204
OG0000028	Prbl.g_00242	Prbd.g_01689
OG0000031	Prbl.g_01677	Prbd.g_01544
OG0000036	Prbl.g_01783	Prbd.g_00658
OG0000037	Prbl.g_01618	Prbd.g_00621
OG0000038	Prbl.g_01072, Prbl.g_01310	Prbd.g_00061
OG0000039	Prbl.g_00281, Prbl.g_01838	Prbd.g_01074
OG0000040	Prbl.g_02355	Prbd.g_00879
OG0000042	Prbl.g_02567, Prbl.g_01839	Prbd.g_00007
OG0000043	Prbl.g_01099, Prbl.g_01097	Prbd.g_00087
OG0000044	Prbl.g_02084	Prbd.g_00468
OG0000045	Prbl.g_00890	Prbd.g_01733
OG0000046	Prbl.g_00405	Prbd.g_01532
OG0000047	Prbl.g_01285	Prbd.g_01335
OG0000048	Prbl.g_01236, Prbl.g_01121	Prbd.g_01328
OG0000050	Prbl.g_01977	Prbd.g_01206
OG0000051	Prbl.g_00290	Prbd.g_01083
