Orthogroup	Prbl	Prap
OG0000000	Prbl.g_01582	Prap.g_00720, Prap.g_00715
OG0000000	Prbl.g_01092	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000002	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121	Prap.g_01925
OG0000002	Prbl.g_02599	Prap.g_00653
OG0000003	Prbl.g_00117	Prap.g_00494
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Prap.g_00535
OG0000006	Prbl.g_00531	Prap.g_01270
OG0000006	Prbl.g_00394	Prap.g_01779
OG0000007	Prbl.g_01854, Prbl.g_01855	Prap.g_01888, Prap.g_01887
OG0000009	Prbl.g_01509	Prap.g_00480, Prap.g_01462
OG0000011	Prbl.g_01574	Prap.g_01343
OG0000012	Prbl.g_01755	Prap.g_01163
OG0000012	Prbl.g_01763	Prap.g_01170
OG0000013	Prbl.g_01566	Prap.g_01794
OG0000016	Prbl.g_00007	Prap.g_00510
OG0000016	Prbl.g_00046	Prap.g_00218
OG0000017	Prbl.g_00691	Prap.g_01834, Prap.g_00142
OG0000018	Prbl.g_02601	Prap.g_01470
OG0000019	Prbl.g_01768	Prap.g_00797
OG0000020	Prbl.g_01465	Prap.g_00548
OG0000024	Prbl.g_01416	Prap.g_01403
OG0000026	Prbl.g_01981	Prap.g_01903
OG0000028	Prbl.g_00242	Prap.g_00121
OG0000031	Prbl.g_01677	Prap.g_00611
OG0000032	Prbl.g_00835, Prbl.g_00830	Prap.g_00080
OG0000034	Prbl.g_00870	Prap.g_00897
OG0000036	Prbl.g_01783	Prap.g_01183, Prap.g_01790
OG0000037	Prbl.g_01618	Prap.g_01145, Prap.g_00236
OG0000038	Prbl.g_01072	Prap.g_00212
OG0000039	Prbl.g_00281	Prap.g_01004
OG0000040	Prbl.g_02355	Prap.g_00029
OG0000042	Prbl.g_02567, Prbl.g_01839	Prap.g_00791
OG0000043	Prbl.g_01099, Prbl.g_01097	Prap.g_00691
OG0000044	Prbl.g_02084	Prap.g_00456
OG0000045	Prbl.g_00890	Prap.g_00081
OG0000046	Prbl.g_00405	Prap.g_01917, Prap.g_01787
OG0000047	Prbl.g_01285	Prap.g_01580
OG0000048	Prbl.g_01236, Prbl.g_01121	Prap.g_01572
OG0000050	Prbl.g_01977	Prap.g_00923
OG0000051	Prbl.g_00290	Prap.g_01013
OG0000052	Prbl.g_00411	Prap.g_00591
OG0000053	Prbl.g_00752	Prap.g_01230
OG0000054	Prbl.g_01943	Prap.g_01128
OG0000055	Prbl.g_02310	Prap.g_00760
OG0000056	Prbl.g_00138	Prap.g_00512
OG0000058	Prbl.g_01340	Prap.g_01292
OG0000059	Prbl.g_00025	Prap.g_00799
OG0000062	Prbl.g_02204	Prap.g_01883
