Orthogroup	Prbl	Prad
OG0000000	Prbl.g_01582	Prad.g_00601
OG0000000	Prbl.g_01092	Prad.g_01252
OG0000001	Prbl.g_00118	Prad.g_00372, Prad.g_00349
OG0000002	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121	Prad.g_00609
OG0000002	Prbl.g_02599	Prad.g_01434, Prad.g_01994
OG0000003	Prbl.g_00117	Prad.g_00350, Prad.g_00389
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Prad.g_01082
OG0000006	Prbl.g_00531	Prad.g_00132
OG0000006	Prbl.g_00394	Prad.g_00941
OG0000007	Prbl.g_01854, Prbl.g_01855	Prad.g_01246
OG0000009	Prbl.g_01509	Prad.g_01125, Prad.g_01742
OG0000011	Prbl.g_01574	Prad.g_00683
OG0000011	Prbl.g_00719	Prad.g_01661
OG0000012	Prbl.g_01755, Prbl.g_01763	Prad.g_01387
OG0000013	Prbl.g_01566	Prad.g_01108
OG0000016	Prbl.g_00007, Prbl.g_00046	Prad.g_00598
OG0000018	Prbl.g_02601	Prad.g_01750
OG0000019	Prbl.g_01768	Prad.g_01981, Prad.g_00745
OG0000024	Prbl.g_01416	Prad.g_01685
OG0000026	Prbl.g_01981	Prad.g_01953, Prad.g_00081
OG0000028	Prbl.g_00242	Prad.g_00515
OG0000034	Prbl.g_00870	Prad.g_00571
OG0000036	Prbl.g_01783	Prad.g_01374
OG0000037	Prbl.g_01618	Prad.g_01412
OG0000038	Prbl.g_01072, Prbl.g_01310	Prad.g_01105
OG0000039	Prbl.g_00281, Prbl.g_01838	Prad.g_01825
OG0000040	Prbl.g_02355	Prad.g_00751
OG0000042	Prbl.g_02567, Prbl.g_01839	Prad.g_01049
OG0000043	Prbl.g_01099, Prbl.g_01097	Prad.g_01130
OG0000044	Prbl.g_02084	Prad.g_01496
OG0000045	Prbl.g_00890	Prad.g_00565
OG0000046	Prbl.g_00405	Prad.g_00948
OG0000047	Prbl.g_01285	Prad.g_01631
OG0000048	Prbl.g_01236, Prbl.g_01121	Prad.g_01624
OG0000050	Prbl.g_01977	Prad.g_01955
OG0000051	Prbl.g_00290	Prad.g_01834
OG0000052	Prbl.g_00411	Prad.g_00739
OG0000053	Prbl.g_00752	Prad.g_00090
OG0000054	Prbl.g_01943	Prad.g_01099
OG0000055	Prbl.g_02310	Prad.g_01168
OG0000056	Prbl.g_00138	Prad.g_00657
OG0000058	Prbl.g_01340	Prad.g_00032
OG0000059	Prbl.g_00025	Prad.g_01272
OG0000062	Prbl.g_02204	Prad.g_01989
OG0000063	Prbl.g_01384	Prad.g_01214
OG0000065	Prbl.g_01722	Prad.g_00628
OG0000066	Prbl.g_00892	Prad.g_00564
OG0000068	Prbl.g_01126, Prbl.g_01000	Prad.g_00807
OG0000069	Prbl.g_00712	Prad.g_00572
OG0000069	Prbl.g_00889	Prad.g_00561
OG0000071	Prbl.g_02109	Prad.g_01975
OG0000072	Prbl.g_00897	Prad.g_01669
OG0000073	Prbl.g_01395	Prad.g_01243
OG0000074	Prbl.g_01859	Prad.g_01265
OG0000075	Prbl.g_02328	Prad.g_01153
OG0000076	Prbl.g_00927	Prad.g_01018
OG0000078	Prbl.g_00893	Prad.g_00566
OG0000079	Prbl.g_00417	Prad.g_00436
OG0000080	Prbl.g_00462	Prad.g_00383
OG0000081	Prbl.g_00857	Prad.g_00777
OG0000083	Prbl.g_02118	Prad.g_01533
OG0000084	Prbl.g_02115	Prad.g_01530
OG0000085	Prbl.g_01968	Prad.g_01963
OG0000087	Prbl.g_02273	Prad.g_01937
OG0000088	Prbl.g_01331	Prad.g_00011, Prad.g_01880
OG0000089	Prbl.g_01316	Prad.g_01872
OG0000090	Prbl.g_00810	Prad.g_01854
OG0000091	Prbl.g_00278	Prad.g_01822
OG0000092	Prbl.g_00277	Prad.g_01821
OG0000093	Prbl.g_00069	Prad.g_01807
OG0000094	Prbl.g_00098	Prad.g_01789
OG0000095	Prbl.g_01282	Prad.g_01784
OG0000096	Prbl.g_01506	Prad.g_01740
OG0000097	Prbl.g_01461	Prad.g_01717
OG0000099	Prbl.g_01436	Prad.g_01697
OG0000100	Prbl.g_01432	Prad.g_01694
OG0000101	Prbl.g_02677	Prad.g_00754
OG0000102	Prbl.g_02190	Prad.g_00727
OG0000103	Prbl.g_01339	Prad.g_00031
OG0000104	Prbl.g_00511	Prad.g_00027
OG0000105	Prbl.g_00533	Prad.g_00130
OG0000106	Prbl.g_00768	Prad.g_00097
OG0000107	Prbl.g_00766	Prad.g_00096
OG0000108	Prbl.g_02647	Prad.g_01333
OG0000109	Prbl.g_01886	Prad.g_01342
OG0000110	Prbl.g_01905	Prad.g_01358
OG0000111	Prbl.g_01043	Prad.g_01225
OG0000112	Prbl.g_01042	Prad.g_01226
OG0000113	Prbl.g_02432	Prad.g_01071
OG0000114	Prbl.g_02337	Prad.g_01144
OG0000115	Prbl.g_02478	Prad.g_00186
OG0000116	Prbl.g_02486	Prad.g_00182
OG0000117	Prbl.g_00930	Prad.g_01021
OG0000118	Prbl.g_02128	Prad.g_00972
OG0000119	Prbl.g_02202	Prad.g_01526
OG0000120	Prbl.g_02091	Prad.g_01490
