Orthogroup	Prbl	Prbk
OG0000000	Prbl.g_01582	Prbk.g_02574
OG0000000	Prbl.g_01092	Prbk.g_01649
OG0000001	Prbl.g_00118	Prbk.g_00167
OG0000001	Prbl.g_00116	Prbk.g_00165
OG0000002	Prbl.g_00808	Prbk.g_00561
OG0000002	Prbl.g_02598	Prbk.g_02701
OG0000002	Prbl.g_02578	Prbk.g_00630
OG0000002	Prbl.g_00725	Prbk.g_01196
OG0000002	Prbl.g_00121	Prbk.g_00170
OG0000003	Prbl.g_00117	Prbk.g_00166
OG0000004	Prbl.g_01685	Prbk.g_01701
OG0000004	Prbl.g_00628	Prbk.g_00304
OG0000004	Prbl.g_00679	Prbk.g_00355
OG0000006	Prbl.g_00394	Prbk.g_00907
OG0000007	Prbl.g_01854	Prbk.g_01820
OG0000007	Prbl.g_01855	Prbk.g_01819
OG0000009	Prbl.g_01509	Prbk.g_01004
OG0000011	Prbl.g_01574	Prbk.g_02565
OG0000011	Prbl.g_00719	Prbk.g_01202
OG0000012	Prbl.g_01755	Prbk.g_01150
OG0000012	Prbl.g_01763	Prbk.g_01142
OG0000013	Prbl.g_01566	Prbk.g_02558
OG0000016	Prbl.g_00007	Prbk.g_01746
OG0000016	Prbl.g_00046	Prbk.g_01786
OG0000017	Prbl.g_00691	Prbk.g_01230
OG0000018	Prbl.g_02601	Prbk.g_02695
OG0000019	Prbl.g_01768	Prbk.g_01137
OG0000020	Prbl.g_01465	Prbk.g_00405
OG0000024	Prbl.g_01416	Prbk.g_00454
OG0000026	Prbl.g_01981	Prbk.g_01613
OG0000028	Prbl.g_00242	Prbk.g_00259
OG0000031	Prbl.g_01677	Prbk.g_01709
OG0000032	Prbl.g_00835	Prbk.g_00534
OG0000032	Prbl.g_00830	Prbk.g_00539
OG0000034	Prbl.g_00870	Prbk.g_00499
OG0000036	Prbl.g_01783	Prbk.g_01122
OG0000037	Prbl.g_01618	Prbk.g_02610
OG0000038	Prbl.g_01072	Prbk.g_01667
OG0000038	Prbl.g_01310	Prbk.g_00212
OG0000039	Prbl.g_00281	Prbk.g_00773
OG0000039	Prbl.g_01838	Prbk.g_01836
OG0000040	Prbl.g_02355	Prbk.g_02448
OG0000042	Prbl.g_02567	Prbk.g_00619
OG0000042	Prbl.g_01839	Prbk.g_01835
OG0000043	Prbl.g_01099	Prbk.g_01642
OG0000043	Prbl.g_01097	Prbk.g_01644
OG0000044	Prbl.g_02084	Prbk.g_01019
OG0000045	Prbl.g_00890	Prbk.g_00479
OG0000046	Prbl.g_00405	Prbk.g_00919
OG0000047	Prbl.g_01285	Prbk.g_00237
OG0000048	Prbl.g_01236	Prbk.g_01495
OG0000048	Prbl.g_01121	Prbk.g_00140
OG0000049	Prbl.g_00261	Prbk.g_00240
OG0000049	Prbl.g_00746	Prbk.g_01100
OG0000049	Prbl.g_00064	Prbk.g_01285
OG0000049	Prbl.g_00106	Prbk.g_01243
OG0000049	Prbl.g_02178	Prbk.g_02221
OG0000049	Prbl.g_00265	Prbk.g_00789
OG0000049	Prbl.g_00740	Prbk.g_01943
OG0000050	Prbl.g_01977	Prbk.g_01617
OG0000051	Prbl.g_00290	Prbk.g_00764
OG0000052	Prbl.g_00411	Prbk.g_00925
OG0000053	Prbl.g_00752	Prbk.g_01094
OG0000054	Prbl.g_01943	Prbk.g_01468
OG0000055	Prbl.g_02310	Prbk.g_02493
OG0000056	Prbl.g_00138	Prbk.g_00694
OG0000058	Prbl.g_01340	Prbk.g_02113
OG0000059	Prbl.g_00025	Prbk.g_01765
OG0000062	Prbl.g_02204	Prbk.g_02195
OG0000063	Prbl.g_01384	Prbk.g_01496
OG0000065	Prbl.g_01722	Prbk.g_01183
OG0000066	Prbl.g_00892	Prbk.g_00477
OG0000068	Prbl.g_01126	Prbk.g_00796
OG0000068	Prbl.g_01000	Prbk.g_00944
OG0000069	Prbl.g_00712	Prbk.g_01209
OG0000069	Prbl.g_00889	Prbk.g_00480
OG0000070	Prbl.g_01171	Prbk.g_00841
OG0000070	Prbl.g_01599	Prbk.g_02591
OG0000071	Prbl.g_02109	Prbk.g_02290
OG0000072	Prbl.g_00897	Prbk.g_00472
OG0000073	Prbl.g_01395	Prbk.g_00709
OG0000074	Prbl.g_01859	Prbk.g_01815
OG0000075	Prbl.g_02328	Prbk.g_02475
OG0000076	Prbl.g_00927	Prbk.g_00056
OG0000078	Prbl.g_00893	Prbk.g_00476
OG0000079	Prbl.g_00417	Prbk.g_00931
OG0000080	Prbl.g_00462	Prbk.g_02012
OG0000081	Prbl.g_00857	Prbk.g_00512
OG0000082	Prbl.g_02195	Prbk.g_02204
OG0000083	Prbl.g_02118	Prbk.g_02281
OG0000084	Prbl.g_02115	Prbk.g_02284
OG0000085	Prbl.g_01968	Prbk.g_01626
