Orthogroup	Prbl	Prat
OG0000000	Prbl.g_01582	Prat.g_00977
OG0000000	Prbl.g_01092	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000001	Prbl.g_00116	Prat.g_01549
OG0000002	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121	Prat.g_01285, Prat.g_01286
OG0000002	Prbl.g_02599	Prat.g_00851
OG0000003	Prbl.g_00117	Prat.g_01190
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Prat.g_00824
OG0000006	Prbl.g_00531	Prat.g_00458
OG0000006	Prbl.g_00394	Prat.g_01592
OG0000007	Prbl.g_01854, Prbl.g_01855	Prat.g_00376, Prat.g_00377
OG0000009	Prbl.g_01509	Prat.g_01180, Prat.g_00255
OG0000011	Prbl.g_01574	Prat.g_00374
OG0000012	Prbl.g_01755	Prat.g_00567
OG0000012	Prbl.g_01763	Prat.g_00560
OG0000013	Prbl.g_01566	Prat.g_00701
OG0000016	Prbl.g_00007	Prat.g_00647
OG0000016	Prbl.g_00046	Prat.g_01452
OG0000017	Prbl.g_00691	Prat.g_01375
OG0000018	Prbl.g_02601	Prat.g_00248
OG0000019	Prbl.g_01768	Prat.g_00461
OG0000020	Prbl.g_01465	Prat.g_00278
OG0000024	Prbl.g_01416	Prat.g_00314
OG0000026	Prbl.g_01981	Prat.g_01516
OG0000028	Prbl.g_00242	Prat.g_01352, Prat.g_01353
OG0000034	Prbl.g_00870	Prat.g_00058
OG0000036	Prbl.g_01783	Prat.g_01507
OG0000037	Prbl.g_01618	Prat.g_00586
OG0000038	Prbl.g_01072	Prat.g_01448
OG0000038	Prbl.g_01310	Prat.g_01192
OG0000039	Prbl.g_00281	Prat.g_00166
OG0000040	Prbl.g_02355	Prat.g_00834
OG0000042	Prbl.g_02567, Prbl.g_01839	Prat.g_00788
OG0000043	Prbl.g_01099, Prbl.g_01097	Prat.g_00856
OG0000044	Prbl.g_02084	Prat.g_01156
OG0000045	Prbl.g_00890	Prat.g_01311
OG0000046	Prbl.g_00405	Prat.g_01584
OG0000047	Prbl.g_01285	Prat.g_01788
OG0000048	Prbl.g_01236, Prbl.g_01121	Prat.g_01796
OG0000050	Prbl.g_01977	Prat.g_00033
OG0000051	Prbl.g_00290	Prat.g_00157
OG0000052	Prbl.g_00411	Prat.g_00637
OG0000053	Prbl.g_00752	Prat.g_01499
OG0000054	Prbl.g_01943	Prat.g_01503
OG0000055	Prbl.g_02310	Prat.g_01014
OG0000056	Prbl.g_00138	Prat.g_00666, Prat.g_01463
OG0000058	Prbl.g_01340	Prat.g_00434
OG0000059	Prbl.g_00025	Prat.g_00775
OG0000062	Prbl.g_02204	Prat.g_01495
OG0000063	Prbl.g_01384	Prat.g_01129
OG0000065	Prbl.g_01722	Prat.g_01249
OG0000066	Prbl.g_00892	Prat.g_00344
OG0000068	Prbl.g_01126, Prbl.g_01000	Prat.g_01726
OG0000069	Prbl.g_00712	Prat.g_01394
OG0000071	Prbl.g_02109	Prat.g_00011
OG0000072	Prbl.g_00897	Prat.g_00329
OG0000073	Prbl.g_01395	Prat.g_01054
OG0000074	Prbl.g_01859	Prat.g_00765
OG0000075	Prbl.g_02328	Prat.g_01030
OG0000076	Prbl.g_00927	Prat.g_00965
OG0000078	Prbl.g_00893	Prat.g_01312
OG0000079	Prbl.g_00417	Prat.g_01442
OG0000080	Prbl.g_00462	Prat.g_01539
OG0000081	Prbl.g_00857	Prat.g_01759
OG0000082	Prbl.g_02195	Prat.g_01853
OG0000083	Prbl.g_02118	Prat.g_00003
OG0000084	Prbl.g_02115	Prat.g_00006
OG0000085	Prbl.g_01968	Prat.g_01314, Prat.g_00024
OG0000087	Prbl.g_02273	Prat.g_00054
OG0000088	Prbl.g_01331	Prat.g_00112
OG0000089	Prbl.g_01316	Prat.g_00121
OG0000090	Prbl.g_00810	Prat.g_00138
OG0000091	Prbl.g_00278	Prat.g_00170
OG0000092	Prbl.g_00277	Prat.g_00171
OG0000093	Prbl.g_00069	Prat.g_00185
OG0000094	Prbl.g_00098	Prat.g_00204
OG0000095	Prbl.g_01282	Prat.g_00209
OG0000096	Prbl.g_01506	Prat.g_00257
OG0000097	Prbl.g_01461	Prat.g_00281
OG0000098	Prbl.g_01448	Prat.g_00292
OG0000099	Prbl.g_01436	Prat.g_00302
OG0000100	Prbl.g_01432	Prat.g_00305
OG0000101	Prbl.g_02677	Prat.g_00372
OG0000102	Prbl.g_02190	Prat.g_01477
OG0000103	Prbl.g_01339	Prat.g_00435
OG0000104	Prbl.g_00511	Prat.g_00440
OG0000105	Prbl.g_00533	Prat.g_00462
OG0000106	Prbl.g_00768	Prat.g_00494
OG0000107	Prbl.g_00766	Prat.g_00495
OG0000108	Prbl.g_02647	Prat.g_00504
OG0000109	Prbl.g_01886	Prat.g_00514, Prat.g_00513
OG0000110	Prbl.g_01905	Prat.g_00532
OG0000111	Prbl.g_01043	Prat.g_01073
OG0000112	Prbl.g_01042	Prat.g_01072
OG0000113	Prbl.g_02432	Prat.g_00815
OG0000114	Prbl.g_02337	Prat.g_01039
OG0000115	Prbl.g_02478	Prat.g_00896
OG0000116	Prbl.g_02486	Prat.g_00900
OG0000117	Prbl.g_00930	Prat.g_00962
OG0000118	Prbl.g_02128	Prat.g_01208
OG0000119	Prbl.g_02202	Prat.g_01557
OG0000120	Prbl.g_02091	Prat.g_01150
OG0000121	Prbl.g_01119	Prat.g_01127
OG0000122	Prbl.g_02583	Prat.g_01107
OG0000123	Prbl.g_01102	Prat.g_00595
OG0000124	Prbl.g_00937	Prat.g_01509
OG0000125	Prbl.g_01736	Prat.g_01261
OG0000126	Prbl.g_00502	Prat.g_01291
OG0000127	Prbl.g_00258	Prat.g_01338
OG0000128	Prbl.g_00241	Prat.g_01354
OG0000129	Prbl.g_00709	Prat.g_01392
OG0000130	Prbl.g_00399	Prat.g_01589
OG0000131	Prbl.g_00350	Prat.g_01377, Prat.g_01628
OG0000132	Prbl.g_00347	Prat.g_01631
OG0000133	Prbl.g_00957	Prat.g_01685
OG0000134	Prbl.g_00994	Prat.g_01720
OG0000135	Prbl.g_00996	Prat.g_01722
OG0000136	Prbl.g_00841	Prat.g_01771
OG0000137	Prbl.g_02053	Prat.g_01806
OG0000138	Prbl.g_02231	Prat.g_01841
OG0000139	Prbl.g_02147	Prat.g_01873
OG0000140	Prbl.g_02120	Prat.g_00001
OG0000141	Prbl.g_02119	Prat.g_00002
OG0000142	Prbl.g_02117	Prat.g_00004
OG0000143	Prbl.g_02116	Prat.g_00005
OG0000144	Prbl.g_02114	Prat.g_00007
OG0000145	Prbl.g_02112	Prat.g_00008
OG0000146	Prbl.g_02111	Prat.g_00009
OG0000147	Prbl.g_02110	Prat.g_00010
OG0000148	Prbl.g_02108	Prat.g_00013
OG0000149	Prbl.g_01955	Prat.g_00015
OG0000150	Prbl.g_01956	Prat.g_00016
OG0000151	Prbl.g_01961	Prat.g_00017
OG0000152	Prbl.g_01962	Prat.g_00018
OG0000153	Prbl.g_01963	Prat.g_00019
OG0000154	Prbl.g_01964	Prat.g_00020
OG0000155	Prbl.g_01965	Prat.g_00021
OG0000156	Prbl.g_01966	Prat.g_00022
OG0000157	Prbl.g_01967	Prat.g_00023
OG0000158	Prbl.g_01969	Prat.g_00025
OG0000159	Prbl.g_01970	Prat.g_00026
OG0000160	Prbl.g_01971	Prat.g_00027
OG0000161	Prbl.g_01972	Prat.g_00028
OG0000162	Prbl.g_01973	Prat.g_00029
OG0000163	Prbl.g_01975	Prat.g_00031
OG0000164	Prbl.g_01980	Prat.g_00034
OG0000165	Prbl.g_01985	Prat.g_00036
OG0000166	Prbl.g_01986	Prat.g_00037
OG0000167	Prbl.g_01987	Prat.g_00038
OG0000168	Prbl.g_01988	Prat.g_00042
OG0000169	Prbl.g_01990	Prat.g_00044
OG0000170	Prbl.g_02241	Prat.g_00046
OG0000171	Prbl.g_02243	Prat.g_00047
OG0000172	Prbl.g_02244	Prat.g_00048
OG0000173	Prbl.g_02251	Prat.g_00051
OG0000174	Prbl.g_02258	Prat.g_00052
OG0000175	Prbl.g_02266	Prat.g_00053
OG0000176	Prbl.g_02274	Prat.g_00055
OG0000177	Prbl.g_02275	Prat.g_00056
OG0000178	Prbl.g_02276	Prat.g_00057
OG0000179	Prbl.g_00614	Prat.g_00060
OG0000180	Prbl.g_00613	Prat.g_00061
OG0000181	Prbl.g_00612	Prat.g_00062
OG0000182	Prbl.g_00608	Prat.g_00066
OG0000183	Prbl.g_00607	Prat.g_00067
OG0000184	Prbl.g_00603	Prat.g_00070
OG0000185	Prbl.g_00597	Prat.g_00074
OG0000186	Prbl.g_00596	Prat.g_00075
OG0000187	Prbl.g_01075	Prat.g_01504
OG0000188	Prbl.g_00595	Prat.g_00076
OG0000189	Prbl.g_00592	Prat.g_00079
OG0000190	Prbl.g_00591	Prat.g_00080
OG0000191	Prbl.g_00590	Prat.g_00081
OG0000192	Prbl.g_00589	Prat.g_00082
OG0000193	Prbl.g_00588	Prat.g_00083
OG0000194	Prbl.g_00587	Prat.g_00084
OG0000195	Prbl.g_00583	Prat.g_00086
OG0000196	Prbl.g_00582	Prat.g_00087
OG0000197	Prbl.g_00576	Prat.g_00088
OG0000198	Prbl.g_00572	Prat.g_00089
OG0000199	Prbl.g_00567	Prat.g_00091
OG0000200	Prbl.g_00566	Prat.g_00092
OG0000201	Prbl.g_00565	Prat.g_00093
OG0000202	Prbl.g_00563	Prat.g_00094
OG0000203	Prbl.g_00562	Prat.g_00095
OG0000204	Prbl.g_00561	Prat.g_00096
OG0000205	Prbl.g_00559	Prat.g_00098
OG0000206	Prbl.g_00558	Prat.g_00099
OG0000207	Prbl.g_00557	Prat.g_00100
OG0000208	Prbl.g_00556	Prat.g_00101
OG0000209	Prbl.g_00555	Prat.g_00102
OG0000210	Prbl.g_00553	Prat.g_00103
OG0000211	Prbl.g_00552	Prat.g_00104
OG0000212	Prbl.g_00551	Prat.g_00105
OG0000213	Prbl.g_00548	Prat.g_00106
OG0000214	Prbl.g_00542	Prat.g_00110
OG0000215	Prbl.g_01332	Prat.g_00111
OG0000216	Prbl.g_01330	Prat.g_00113
OG0000217	Prbl.g_01328	Prat.g_00114
OG0000218	Prbl.g_01326	Prat.g_00115
OG0000219	Prbl.g_01325	Prat.g_00116
