Orthogroup	Prat	Prbc
OG0000000	Prat.g_01549	Prbc.g_02165
OG0000000	Prat.g_01189	Prbc.g_00106, Prbc.g_00608
OG0000000	Prat.g_01547	Prbc.g_00808
OG0000001	Prat.g_00977	Prbc.g_01920
OG0000001	Prat.g_00751	Prbc.g_01759
OG0000001	Prat.g_01462	Prbc.g_01478
OG0000001	Prat.g_01184	Prbc.g_01475
OG0000001	Prat.g_01487, Prat.g_01182	Prbc.g_01474
OG0000001	Prat.g_01187	Prbc.g_01479, Prbc.g_01473
OG0000002	Prat.g_00851	Prbc.g_00925, Prbc.g_01530
OG0000002	Prat.g_01286, Prat.g_01285	Prbc.g_00588
OG0000004	Prat.g_01190	Prbc.g_00609, Prbc.g_00812
OG0000005	Prat.g_00824	Prbc.g_01233, Prbc.g_02193, Prbc.g_01823
OG0000006	Prat.g_00634	Prbc.g_01323
OG0000008	Prat.g_00458	Prbc.g_01556
OG0000008	Prat.g_01592	Prbc.g_00832
OG0000009	Prat.g_01280	Prbc.g_01108
OG0000009	Prat.g_01570	Prbc.g_00011
OG0000010	Prat.g_01180	Prbc.g_01832, Prbc.g_01836
OG0000013	Prat.g_01451	Prbc.g_01344
OG0000014	Prat.g_00314	Prbc.g_01198
OG0000014	Prat.g_01267	Prbc.g_00680
OG0000015	Prat.g_00374	Prbc.g_01273
OG0000016	Prat.g_00701	Prbc.g_00599
OG0000017	Prat.g_01548, Prat.g_01474	Prbc.g_00072
OG0000018	Prat.g_00560	Prbc.g_01674
OG0000019	Prat.g_01580, Prat.g_00639	Prbc.g_00037, Prbc.g_00013
OG0000019	Prat.g_00615	Prbc.g_00125
OG0000020	Prat.g_00647, Prat.g_01452	Prbc.g_00650
OG0000021	Prat.g_01375	Prbc.g_00728
OG0000022	Prat.g_00248	Prbc.g_02202
OG0000023	Prat.g_00461	Prbc.g_02189
OG0000024	Prat.g_01489	Prbc.g_00143
OG0000025	Prat.g_00622	Prbc.g_00598, Prbc.g_01755
OG0000026	Prat.g_01191	Prbc.g_02163, Prbc.g_00103
OG0000027	Prat.g_00377	Prbc.g_00894
OG0000028	Prat.g_00376	Prbc.g_00893
OG0000029	Prat.g_00852	Prbc.g_01822, Prbc.g_00907
OG0000031	Prat.g_01796	Prbc.g_00203
OG0000032	Prat.g_01516	Prbc.g_00932
OG0000034	Prat.g_01352, Prat.g_01353	Prbc.g_00709
OG0000035	Prat.g_01400	Prbc.g_00752
OG0000036	Prat.g_00617	Prbc.g_00054
OG0000036	Prat.g_01470	Prbc.g_02114
OG0000038	Prat.g_01266	Prbc.g_01228
OG0000039	Prat.g_01219	Prbc.g_00929
OG0000042	Prat.g_01841	Prbc.g_00997
OG0000043	Prat.g_00657	Prbc.g_01380
OG0000045	Prat.g_01507	Prbc.g_00891
OG0000046	Prat.g_01448, Prat.g_01192	Prbc.g_00166
OG0000047	Prat.g_01156	Prbc.g_01446
OG0000048	Prat.g_00058	Prbc.g_00517
OG0000049	Prat.g_01311	Prbc.g_01928
OG0000050	Prat.g_00166	Prbc.g_00405
OG0000051	Prat.g_00834	Prbc.g_00047, Prbc.g_00071, Prbc.g_00006
OG0000052	Prat.g_01552, Prat.g_00613	Prbc.g_01315
OG0000053	Prat.g_00788	Prbc.g_01787
OG0000054	Prat.g_01584	Prbc.g_00826
OG0000055	Prat.g_01788	Prbc.g_00211
OG0000056	Prat.g_00033	Prbc.g_01101
OG0000057	Prat.g_00157	Prbc.g_00414
OG0000058	Prat.g_00637	Prbc.g_00641
OG0000059	Prat.g_01499	Prbc.g_01618
OG0000060	Prat.g_00804	Prbc.g_01800
OG0000061	Prat.g_01503	Prbc.g_01116
OG0000062	Prat.g_01014	Prbc.g_01882, Prbc.g_00153
OG0000063	Prat.g_01463, Prat.g_00666	Prbc.g_01117
OG0000065	Prat.g_00242	Prbc.g_00333
OG0000066	Prat.g_00434	Prbc.g_01534
OG0000067	Prat.g_00775	Prbc.g_00055, Prbc.g_01780
OG0000070	Prat.g_00965	Prbc.g_00963, Prbc.g_02113
OG0000071	Prat.g_01129	Prbc.g_00102
OG0000072	Prat.g_01249	Prbc.g_00566
OG0000073	Prat.g_01579	Prbc.g_00123
OG0000074	Prat.g_00344	Prbc.g_01753
OG0000075	Prat.g_01726	Prbc.g_00284
OG0000076	Prat.g_01394	Prbc.g_00746
OG0000077	Prat.g_00012, Prat.g_00011	Prbc.g_01081
OG0000078	Prat.g_00329	Prbc.g_01214
OG0000079	Prat.g_01477	Prbc.g_02183
OG0000080	Prat.g_01054	Prbc.g_01748
OG0000081	Prat.g_00765	Prbc.g_01773
OG0000082	Prat.g_01030	Prbc.g_01865
OG0000083	Prat.g_01176	Prbc.g_01953, Prbc.g_00135
OG0000084	Prat.g_00896	Prbc.g_02036
OG0000085	Prat.g_01208	Prbc.g_00173
OG0000086	Prat.g_01561, Prat.g_01495	Prbc.g_00896
OG0000090	Prat.g_01312	Prbc.g_01229
OG0000091	Prat.g_01361	Prbc.g_00717
OG0000092	Prat.g_01539	Prbc.g_00144
OG0000093	Prat.g_01679	Prbc.g_00958
OG0000094	Prat.g_01722	Prbc.g_00288
OG0000095	Prat.g_01759	Prbc.g_00238
OG0000096	Prat.g_01833	Prbc.g_00989
OG0000097	Prat.g_01853	Prbc.g_01009
OG0000098	Prat.g_00003	Prbc.g_01073
OG0000099	Prat.g_01314, Prat.g_00024	Prbc.g_01093
OG0000100	Prat.g_00614	Prbc.g_00132
OG0000101	Prat.g_00054	Prbc.g_01127
OG0000102	Prat.g_00112	Prbc.g_00458
OG0000103	Prat.g_00121	Prbc.g_00449
OG0000104	Prat.g_00138	Prbc.g_00432
OG0000105	Prat.g_00171	Prbc.g_00401
OG0000106	Prat.g_00185	Prbc.g_00388
OG0000107	Prat.g_00194	Prbc.g_00379
OG0000108	Prat.g_00204	Prbc.g_00369
OG0000109	Prat.g_00245	Prbc.g_00330
OG0000110	Prat.g_00257	Prbc.g_01147
OG0000111	Prat.g_00281	Prbc.g_01167
OG0000112	Prat.g_00292	Prbc.g_01177
OG0000113	Prat.g_00305	Prbc.g_01189
OG0000114	Prat.g_00332	Prbc.g_01217
OG0000115	Prat.g_00433	Prbc.g_01533
OG0000116	Prat.g_00435	Prbc.g_01535
OG0000117	Prat.g_00440	Prbc.g_01540
OG0000118	Prat.g_00462	Prbc.g_01579
OG0000119	Prat.g_00494	Prbc.g_01611
OG0000120	Prat.g_00495	Prbc.g_01612
OG0000121	Prat.g_00504	Prbc.g_01622
OG0000122	Prat.g_00514, Prat.g_00513	Prbc.g_01632
OG0000123	Prat.g_00548	Prbc.g_01662
OG0000124	Prat.g_01073	Prbc.g_01728
OG0000125	Prat.g_01072	Prbc.g_01729
OG0000126	Prat.g_01071	Prbc.g_01730
OG0000127	Prat.g_00760	Prbc.g_01768
OG0000128	Prat.g_00790	Prbc.g_01789
OG0000129	Prat.g_00815	Prbc.g_01811
OG0000130	Prat.g_00856	Prbc.g_01999
OG0000131	Prat.g_01039	Prbc.g_01856
OG0000132	Prat.g_01004	Prbc.g_01893
OG0000133	Prat.g_00734	Prbc.g_01995
OG0000134	Prat.g_01053	Prbc.g_01843
OG0000135	Prat.g_00900	Prbc.g_02040
OG0000136	Prat.g_00962	Prbc.g_02110
OG0000137	Prat.g_01557	Prbc.g_00899
OG0000138	Prat.g_01161	Prbc.g_01452
OG0000139	Prat.g_01150	Prbc.g_01439
OG0000140	Prat.g_00595	Prbc.g_01387
OG0000141	Prat.g_01509	Prbc.g_02103
OG0000142	Prat.g_01261	Prbc.g_00577
OG0000143	Prat.g_01291	Prbc.g_00657
OG0000144	Prat.g_01338	Prbc.g_00695
OG0000145	Prat.g_01354	Prbc.g_00710
OG0000146	Prat.g_01392	Prbc.g_00744
OG0000147	Prat.g_01441	Prbc.g_00789
OG0000148	Prat.g_01442	Prbc.g_00790
OG0000149	Prat.g_01589	Prbc.g_00830
OG0000150	Prat.g_01377, Prat.g_01628	Prbc.g_00867
OG0000151	Prat.g_01631	Prbc.g_00869
OG0000152	Prat.g_01652	Prbc.g_00889
OG0000153	Prat.g_01685	Prbc.g_01572, Prbc.g_00326
OG0000154	Prat.g_01720	Prbc.g_00290
OG0000155	Prat.g_01739	Prbc.g_00271
OG0000156	Prat.g_01771	Prbc.g_00226
