Orthogroup	Praf	Praa
OG0000000	Praf.g_01631	Praa.g_01359
OG0000000	Praf.g_00948	Praa.g_00678
OG0000001	Praf.g_01039, Praf.g_01042, Praf.g_00815	Praa.g_01297
OG0000002	Praf.g_02422, Praf.g_01293, Praf.g_01031, Praf.g_01895, Praf.g_00818, Praf.g_01896	Praa.g_01351
OG0000003	Praf.g_00814	Praa.g_01298, Praa.g_01599, Praa.g_00413
OG0000004	Praf.g_01014, Praf.g_02005	Praa.g_00742
OG0000006	Praf.g_00614	Praa.g_00497
OG0000006	Praf.g_00480	Praa.g_01635
OG0000007	Praf.g_01224, Praf.g_01223	Praa.g_01241, Praa.g_00672
OG0000009	Praf.g_02214	Praa.g_00782, Praa.g_00249
OG0000011	Praf.g_01864	Praa.g_00330
OG0000012	Praf.g_00760, Praf.g_00752	Praa.g_00598
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Praa.g_00765
OG0000016	Praf.g_01108, Praf.g_01143	Praa.g_01362
OG0000018	Praf.g_00396, Praf.g_01719	Praa.g_01245, Praa.g_00241
OG0000019	Praf.g_00746	Praa.g_01623, Praa.g_00364
OG0000024	Praf.g_02319, Praf.g_00112	Praa.g_00306
OG0000025	Praf.g_01105	Praa.g_01075
OG0000026	Praf.g_00041	Praa.g_00033
OG0000028	Praf.g_01794	Praa.g_01476
OG0000033	Praf.g_00014	Praa.g_00013
OG0000034	Praf.g_02366	Praa.g_01407
OG0000036	Praf.g_00731	Praa.g_00585
OG0000037	Praf.g_01668	Praa.g_00623
OG0000038	Praf.g_00965, Praf.g_00201	Praa.g_00763
OG0000039	Praf.g_02454, Praf.g_01239	Praa.g_00166
OG0000042	Praf.g_01302, Praf.g_01238	Praa.g_00711
OG0000043	Praf.g_00941, Praf.g_00943	Praa.g_00787
OG0000044	Praf.g_00854	Praa.g_01159, Praa.g_01415
OG0000045	Praf.g_02345	Praa.g_01425
OG0000046	Praf.g_00491	Praa.g_01628
OG0000047	Praf.g_00178	Praa.g_01832
OG0000048	Praf.g_00920, Praf.g_00164	Praa.g_01839
OG0000050	Praf.g_00037	Praa.g_00031
OG0000051	Praf.g_02445	Praa.g_00157
OG0000052	Praf.g_00496	Praa.g_00369
OG0000053	Praf.g_00672	Praa.g_00539
OG0000054	Praf.g_00348	Praa.g_00757
OG0000055	Praf.g_01556	Praa.g_00826
OG0000056	Praf.g_02587	Praa.g_01117
OG0000057	Praf.g_00386	Praa.g_00237
OG0000058	Praf.g_01907	Praa.g_01414, Praa.g_00475
OG0000059	Praf.g_01125	Praa.g_00698
OG0000062	Praf.g_01034, Praf.g_02690	Praa.g_01127
OG0000063	Praf.g_00919	Praa.g_01255
OG0000065	Praf.g_00796	Praa.g_01318
OG0000066	Praf.g_02343	Praa.g_01387
OG0000068	Praf.g_02119	Praa.g_01775
OG0000071	Praf.g_00012	Praa.g_00011
OG0000072	Praf.g_02336	Praa.g_00322
OG0000073	Praf.g_01748	Praa.g_00669
OG0000074	Praf.g_01219, Praf.g_01218	Praa.g_00691
OG0000075	Praf.g_01537	Praa.g_00810, Praa.g_00811
OG0000076	Praf.g_01274	Praa.g_01039
OG0000078	Praf.g_02342	Praa.g_01394
OG0000079	Praf.g_00501	Praa.g_01555
OG0000080	Praf.g_00549	Praa.g_01606
OG0000081	Praf.g_02382, Praf.g_02378, Praf.g_02380	Praa.g_01806
OG0000083	Praf.g_00003	Praa.g_00003
OG0000084	Praf.g_00006	Praa.g_00006
OG0000085	Praf.g_00028	Praa.g_00023
OG0000087	Praf.g_00333, Praf.g_02602	Praa.g_00049
OG0000088	Praf.g_00224	Praa.g_00113
OG0000089	Praf.g_00212	Praa.g_00121
OG0000090	Praf.g_02420	Praa.g_00139
OG0000091	Praf.g_02457	Praa.g_00169
OG0000092	Praf.g_02468	Praa.g_00170
OG0000093	Praf.g_02711, Praf.g_02492	Praa.g_00184
OG0000094	Praf.g_02521, Praf.g_02708	Praa.g_00202
OG0000095	Praf.g_02532	Praa.g_00207
OG0000096	Praf.g_02217	Praa.g_00251
OG0000097	Praf.g_02271	Praa.g_00274
OG0000099	Praf.g_02296	Praa.g_00294
OG0000100	Praf.g_02300	Praa.g_00297
OG0000101	Praf.g_02012	Praa.g_00356
OG0000102	Praf.g_02715, Praf.g_02705	Praa.g_00381
OG0000103	Praf.g_01905	Praa.g_00476
OG0000104	Praf.g_00595	Praa.g_00480
OG0000105	Praf.g_00143, Praf.g_00616	Praa.g_00499
OG0000106	Praf.g_00658	Praa.g_00532
OG0000107	Praf.g_00660	Praa.g_00533
OG0000108	Praf.g_00681	Praa.g_00544
OG0000109	Praf.g_00692	Praa.g_00553
OG0000110	Praf.g_00711	Praa.g_00569
OG0000111	Praf.g_01036, Praf.g_01720	Praa.g_00651
OG0000112	Praf.g_01035, Praf.g_01721	Praa.g_00652
OG0000113	Praf.g_00144, Praf.g_01435	Praa.g_00733
OG0000114	Praf.g_01528	Praa.g_00801
OG0000115	Praf.g_01392	Praa.g_00964
OG0000116	Praf.g_01384, Praf.g_01383	Praa.g_00968
OG0000117	Praf.g_01277	Praa.g_01036
OG0000118	Praf.g_02776	Praa.g_01089
OG0000119	Praf.g_02692	Praa.g_01130
OG0000120	Praf.g_00861	Praa.g_01165
OG0000121	Praf.g_00922	Praa.g_01184
OG0000122	Praf.g_00901	Praa.g_01203
OG0000123	Praf.g_00938	Praa.g_01216
OG0000124	Praf.g_01285	Praa.g_01224
OG0000125	Praf.g_00779	Praa.g_01330
OG0000126	Praf.g_00585, Praf.g_00583	Praa.g_01366
OG0000127	Praf.g_01778, Praf.g_01776	Praa.g_01463
OG0000128	Praf.g_01795	Praa.g_01477
OG0000129	Praf.g_01848	Praa.g_01513
OG0000130	Praf.g_00485	Praa.g_01633
OG0000131	Praf.g_00437	Praa.g_01672
OG0000132	Praf.g_00434	Praa.g_01675
OG0000133	Praf.g_02162	Praa.g_01734
OG0000134	Praf.g_02125	Praa.g_01770
OG0000135	Praf.g_02123	Praa.g_01772
OG0000136	Praf.g_02396	Praa.g_01817
OG0000137	Praf.g_00152	Praa.g_01849
OG0000138	Praf.g_02664	Praa.g_01885
OG0000139	Praf.g_02757	Praa.g_01911
OG0000140	Praf.g_00001	Praa.g_00001
OG0000141	Praf.g_00002	Praa.g_00002
OG0000142	Praf.g_00004	Praa.g_00004
OG0000143	Praf.g_00005	Praa.g_00005
OG0000144	Praf.g_00007	Praa.g_00007
OG0000145	Praf.g_00009	Praa.g_00008
OG0000146	Praf.g_00010	Praa.g_00009
OG0000147	Praf.g_00011	Praa.g_00010
OG0000148	Praf.g_00013	Praa.g_00012
OG0000149	Praf.g_00015	Praa.g_00014
OG0000150	Praf.g_00016	Praa.g_00015
OG0000151	Praf.g_00021	Praa.g_00016
OG0000152	Praf.g_00022	Praa.g_00017
OG0000153	Praf.g_00023	Praa.g_00018
OG0000154	Praf.g_00024	Praa.g_00019
OG0000155	Praf.g_00025	Praa.g_00020
OG0000156	Praf.g_00026	Praa.g_00021
OG0000157	Praf.g_00027	Praa.g_00022
OG0000158	Praf.g_00029	Praa.g_00024
OG0000159	Praf.g_00030	Praa.g_00025
OG0000160	Praf.g_00031	Praa.g_00026
OG0000161	Praf.g_00032	Praa.g_00027
OG0000162	Praf.g_00033	Praa.g_00028
OG0000163	Praf.g_00035	Praa.g_00029
OG0000164	Praf.g_00040	Praa.g_00032
OG0000165	Praf.g_00045	Praa.g_00035
OG0000166	Praf.g_00046	Praa.g_00036
OG0000167	Praf.g_00047	Praa.g_00037
OG0000168	Praf.g_00050	Praa.g_00040
OG0000169	Praf.g_00052	Praa.g_00042
OG0000170	Praf.g_02654	Praa.g_00043
OG0000171	Praf.g_02652	Praa.g_00044
OG0000172	Praf.g_02618	Praa.g_00045
OG0000173	Praf.g_02611	Praa.g_00046
OG0000174	Praf.g_02605	Praa.g_00047
OG0000175	Praf.g_02603	Praa.g_00048
OG0000176	Praf.g_02601	Praa.g_00050
OG0000177	Praf.g_02597	Praa.g_00051
OG0000178	Praf.g_02596	Praa.g_00052
OG0000179	Praf.g_00328	Praa.g_00064
OG0000180	Praf.g_00326	Praa.g_00065
OG0000181	Praf.g_00325	Praa.g_00066
OG0000182	Praf.g_00321	Praa.g_00069
OG0000183	Praf.g_00320	Praa.g_00070
OG0000184	Praf.g_00316	Praa.g_00073
OG0000185	Praf.g_00310	Praa.g_00077
OG0000186	Praf.g_00309	Praa.g_00078
OG0000187	Praf.g_00962	Praa.g_00079
OG0000188	Praf.g_00308	Praa.g_00080
OG0000189	Praf.g_00304	Praa.g_00081
OG0000190	Praf.g_00303	Praa.g_00082
OG0000191	Praf.g_00302	Praa.g_00083
OG0000192	Praf.g_00301	Praa.g_00084
OG0000193	Praf.g_00300	Praa.g_00085
OG0000194	Praf.g_00299	Praa.g_00086
OG0000195	Praf.g_00297	Praa.g_00088
OG0000196	Praf.g_00296	Praa.g_00089
OG0000197	Praf.g_00268	Praa.g_00090
OG0000198	Praf.g_00264	Praa.g_00091
OG0000199	Praf.g_00259	Praa.g_00094
OG0000200	Praf.g_00258	Praa.g_00095
OG0000201	Praf.g_00257	Praa.g_00096
OG0000202	Praf.g_00255	Praa.g_00097
OG0000203	Praf.g_00254	Praa.g_00098
OG0000204	Praf.g_00253	Praa.g_00099
OG0000205	Praf.g_00251	Praa.g_00100
OG0000206	Praf.g_00250	Praa.g_00101
OG0000207	Praf.g_00249	Praa.g_00102
OG0000208	Praf.g_00248	Praa.g_00103
OG0000209	Praf.g_00247	Praa.g_00104
OG0000210	Praf.g_00245	Praa.g_00106
OG0000211	Praf.g_00244	Praa.g_00107
OG0000212	Praf.g_00243	Praa.g_00108
OG0000213	Praf.g_00240	Praa.g_00109
OG0000214	Praf.g_00230	Praa.g_00111
OG0000215	Praf.g_00225	Praa.g_00112
OG0000216	Praf.g_00223	Praa.g_00114
OG0000217	Praf.g_00221	Praa.g_00115
OG0000218	Praf.g_00219	Praa.g_00116
OG0000219	Praf.g_00218	Praa.g_00117
OG0000220	Praf.g_00214	Praa.g_00120
OG0000221	Praf.g_00209	Praa.g_00122
OG0000222	Praf.g_00208	Praa.g_00123
OG0000223	Praf.g_00207	Praa.g_00124
OG0000224	Praf.g_02403	Praa.g_00127
OG0000225	Praf.g_02405	Praa.g_00129
OG0000226	Praf.g_02408	Praa.g_00130
OG0000227	Praf.g_02410	Praa.g_00131
OG0000228	Praf.g_02411	Praa.g_00132
OG0000229	Praf.g_02412	Praa.g_00133
OG0000230	Praf.g_02413	Praa.g_00134
OG0000231	Praf.g_02415	Praa.g_00136
OG0000232	Praf.g_02416	Praa.g_00137
OG0000233	Praf.g_02421	Praa.g_00140
OG0000234	Praf.g_02430	Praa.g_00142
OG0000235	Praf.g_02432	Praa.g_00145
OG0000236	Praf.g_02433	Praa.g_00146
OG0000237	Praf.g_02434	Praa.g_00147
OG0000238	Praf.g_02435	Praa.g_00148
OG0000239	Praf.g_02436	Praa.g_00149
OG0000240	Praf.g_02438	Praa.g_00151
OG0000241	Praf.g_02439	Praa.g_00152
OG0000242	Praf.g_02440	Praa.g_00153
OG0000243	Praf.g_02441	Praa.g_00154
OG0000244	Praf.g_02442	Praa.g_00155
OG0000245	Praf.g_02444	Praa.g_00156
OG0000246	Praf.g_02446	Praa.g_00158
OG0000247	Praf.g_02447	Praa.g_00159
OG0000248	Praf.g_02448	Praa.g_00160
OG0000249	Praf.g_02449	Praa.g_00161
OG0000250	Praf.g_02450	Praa.g_00162
OG0000251	Praf.g_02451	Praa.g_00163
OG0000252	Praf.g_02452	Praa.g_00164
OG0000253	Praf.g_02453	Praa.g_00165
OG0000254	Praf.g_02455	Praa.g_00167
OG0000255	Praf.g_02456	Praa.g_00168
OG0000256	Praf.g_02469	Praa.g_00171
OG0000257	Praf.g_02470	Praa.g_00173
OG0000258	Praf.g_02471	Praa.g_00174
OG0000259	Praf.g_02472	Praa.g_00175
OG0000260	Praf.g_02473	Praa.g_00176
OG0000261	Praf.g_02474	Praa.g_00177
OG0000262	Praf.g_02475	Praa.g_00178
OG0000263	Praf.g_02476	Praa.g_00179
OG0000264	Praf.g_01486	Praa.g_00181
OG0000265	Praf.g_02489	Praa.g_00182
OG0000266	Praf.g_02491	Praa.g_00183
OG0000267	Praf.g_02495	Praa.g_00185
OG0000268	Praf.g_02497	Praa.g_00186
OG0000269	Praf.g_02500	Praa.g_00187
OG0000270	Praf.g_02502	Praa.g_00188
OG0000271	Praf.g_02505	Praa.g_00189
OG0000272	Praf.g_02506	Praa.g_00190
OG0000273	Praf.g_02509	Praa.g_00191
OG0000274	Praf.g_02511	Praa.g_00192
OG0000275	Praf.g_02512	Praa.g_00193
OG0000276	Praf.g_02513	Praa.g_00194
OG0000277	Praf.g_02514	Praa.g_00195
OG0000278	Praf.g_02515	Praa.g_00196
OG0000279	Praf.g_02516	Praa.g_00197
OG0000280	Praf.g_02517	Praa.g_00198
OG0000281	Praf.g_02519	Praa.g_00200
OG0000282	Praf.g_02520	Praa.g_00201
OG0000283	Praf.g_02524	Praa.g_00204
OG0000284	Praf.g_02525	Praa.g_00205
OG0000285	Praf.g_02531	Praa.g_00206
OG0000286	Praf.g_02533	Praa.g_00208
OG0000287	Praf.g_02582	Praa.g_00209
OG0000288	Praf.g_02581	Praa.g_00210
OG0000289	Praf.g_02575	Praa.g_00211
OG0000290	Praf.g_02574	Praa.g_00212
OG0000291	Praf.g_02572	Praa.g_00213
OG0000292	Praf.g_02568	Praa.g_00214
OG0000293	Praf.g_02567	Praa.g_00215
OG0000294	Praf.g_02566	Praa.g_00216
OG0000295	Praf.g_02560	Praa.g_00217
OG0000296	Praf.g_02559	Praa.g_00218
OG0000297	Praf.g_02557	Praa.g_00219
OG0000298	Praf.g_02556	Praa.g_00220
OG0000299	Praf.g_02555	Praa.g_00221
OG0000300	Praf.g_02554	Praa.g_00222
OG0000301	Praf.g_02553	Praa.g_00223
OG0000302	Praf.g_02552	Praa.g_00224
OG0000303	Praf.g_02551	Praa.g_00225
OG0000304	Praf.g_02549	Praa.g_00226
OG0000305	Praf.g_02548	Praa.g_00227
OG0000306	Praf.g_02547	Praa.g_00228
OG0000307	Praf.g_00374	Praa.g_00229
OG0000308	Praf.g_00745	Praa.g_00230
OG0000309	Praf.g_00744	Praa.g_00231
OG0000310	Praf.g_00743	Praa.g_00232
OG0000311	Praf.g_00378	Praa.g_00233
OG0000312	Praf.g_00379	Praa.g_00235
OG0000313	Praf.g_00385	Praa.g_00236
OG0000314	Praf.g_00391	Praa.g_00239
OG0000315	Praf.g_00392	Praa.g_00240
OG0000316	Praf.g_02203	Praa.g_00242
OG0000317	Praf.g_02207	Praa.g_00244
OG0000318	Praf.g_02208	Praa.g_00245
OG0000319	Praf.g_02209	Praa.g_00246
OG0000320	Praf.g_02210	Praa.g_00247
OG0000321	Praf.g_02215	Praa.g_00250
OG0000322	Praf.g_02242	Praa.g_00253
OG0000323	Praf.g_02243	Praa.g_00254
OG0000324	Praf.g_02245	Praa.g_00257
OG0000325	Praf.g_02247	Praa.g_00259
OG0000326	Praf.g_02249	Praa.g_00260
OG0000327	Praf.g_02255	Praa.g_00262
OG0000328	Praf.g_00375	Praa.g_00263
OG0000329	Praf.g_02259	Praa.g_00264
OG0000330	Praf.g_02260	Praa.g_00265
OG0000331	Praf.g_02262	Praa.g_00266
OG0000332	Praf.g_02263	Praa.g_00267
OG0000333	Praf.g_02264	Praa.g_00268
OG0000334	Praf.g_02265	Praa.g_00269
OG0000335	Praf.g_02266	Praa.g_00270
OG0000336	Praf.g_02268	Praa.g_00271
OG0000337	Praf.g_02273	Praa.g_00275
OG0000338	Praf.g_02274	Praa.g_00276
OG0000339	Praf.g_02275	Praa.g_00277
OG0000340	Praf.g_02277	Praa.g_00278
OG0000341	Praf.g_02282	Praa.g_00282
