Orthogroup	Prbb	Prat
OG0000000	Prbb.g_00844	Prat.g_00977
OG0000000	Prbb.g_00683	Prat.g_00751
OG0000000	Prbb.g_01546	Prat.g_01184
OG0000000	Prbb.g_01545	Prat.g_01487, Prat.g_01182
OG0000000	Prbb.g_01550, Prbb.g_01544	Prat.g_01187
OG0000000	Prbb.g_01549	Prat.g_01462
OG0000001	Prbb.g_01145	Prat.g_01189
OG0000001	Prbb.g_01123, Prbb.g_01352, Prbb.g_01403, Prbb.g_01787	Prat.g_01547
OG0000002	Prbb.g_01611	Prat.g_01285, Prat.g_01286
OG0000002	Prbb.g_00474, Prbb.g_01915	Prat.g_00851
OG0000003	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792	Prat.g_01190
OG0000004	Prbb.g_00425, Prbb.g_01814	Prat.g_00824
OG0000006	Prbb.g_00501	Prat.g_00458
OG0000006	Prbb.g_01823	Prat.g_01592
OG0000007	Prbb.g_01884	Prat.g_00376
OG0000007	Prbb.g_01885	Prat.g_00377
OG0000009	Prbb.g_00761	Prat.g_01180
OG0000010	Prbb.g_01294	Prat.g_00634
OG0000011	Prbb.g_00421	Prat.g_00374
OG0000012	Prbb.g_00605	Prat.g_00567
OG0000013	Prbb.g_01158	Prat.g_00701
OG0000014	Prbb.g_01375	Prat.g_01474, Prat.g_01548
OG0000015	Prbb.g_01189	Prat.g_00639
OG0000016	Prbb.g_01632	Prat.g_00647, Prat.g_01452
OG0000017	Prbb.g_01705	Prat.g_01375
OG0000018	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prat.g_00248
OG0000019	Prbb.g_00099	Prat.g_00461
OG0000020	Prbb.g_00325	Prat.g_00278
OG0000022	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400	Prat.g_01191
OG0000024	Prbb.g_00357	Prat.g_00314
OG0000025	Prbb.g_00116, Prbb.g_01452	Prat.g_00685
OG0000026	Prbb.g_01921	Prat.g_01516
OG0000028	Prbb.g_01686	Prat.g_01353, Prat.g_01352
OG0000029	Prbb.g_01729	Prat.g_01400
OG0000032	Prbb.g_00387	Prat.g_01266
OG0000033	Prbb.g_00014	Prat.g_00014
OG0000033	Prbb.g_01919	Prat.g_01219
OG0000034	Prbb.g_00112	Prat.g_00058
OG0000035	Prbb.g_01449	Prat.g_00657
OG0000036	Prbb.g_01882	Prat.g_01507
OG0000038	Prbb.g_01231	Prat.g_01192, Prat.g_01448
OG0000039	Prbb.g_00223	Prat.g_00166
OG0000040	Prbb.g_01411, Prbb.g_01373	Prat.g_00834
OG0000041	Prbb.g_01286	Prat.g_00613, Prat.g_01552
OG0000042	Prbb.g_00713	Prat.g_00788
OG0000043	Prbb.g_00954	Prat.g_00856
OG0000044	Prbb.g_01517	Prat.g_01156
OG0000045	Prbb.g_00851	Prat.g_01311
OG0000046	Prbb.g_01816	Prat.g_01584
OG0000047	Prbb.g_02061	Prat.g_01788
OG0000048	Prbb.g_02069	Prat.g_01796
OG0000050	Prbb.g_00032	Prat.g_00033
OG0000051	Prbb.g_00214	Prat.g_00157
OG0000052	Prbb.g_01197, Prbb.g_01329	Prat.g_00637
OG0000053	Prbb.g_00542	Prat.g_01499
OG0000054	Prbb.g_00053	Prat.g_01503
OG0000055	Prbb.g_00807, Prbb.g_01218	Prat.g_01014
OG0000056	Prbb.g_00054	Prat.g_01463, Prat.g_00666
OG0000057	Prbb.g_00294	Prat.g_00242
OG0000058	Prbb.g_00478	Prat.g_00434
OG0000059	Prbb.g_01359, Prbb.g_00706	Prat.g_00775
OG0000062	Prbb.g_01887	Prat.g_01561
OG0000063	Prbb.g_01399	Prat.g_01129
OG0000065	Prbb.g_01586	Prat.g_01249
OG0000066	Prbb.g_00678	Prat.g_00344
OG0000067	Prbb.g_01199, Prbb.g_01137, Prbb.g_01368	Prat.g_01532
OG0000068	Prbb.g_02001	Prat.g_01726
OG0000069	Prbb.g_01723	Prat.g_01394
OG0000071	Prbb.g_00012	Prat.g_00012, Prat.g_00011
OG0000072	Prbb.g_00373	Prat.g_00329
OG0000073	Prbb.g_00673	Prat.g_01054
OG0000074	Prbb.g_00697, Prbb.g_00698	Prat.g_00765
OG0000075	Prbb.g_00790	Prat.g_01030
OG0000076	Prbb.g_01070	Prat.g_00965
OG0000078	Prbb.g_00388	Prat.g_01312
OG0000079	Prbb.g_01768	Prat.g_01442
OG0000080	Prbb.g_01208	Prat.g_01539
OG0000081	Prbb.g_02034	Prat.g_01759
OG0000082	Prbb.g_02143	Prat.g_01853
OG0000083	Prbb.g_00003	Prat.g_00003
OG0000084	Prbb.g_00006, Prbb.g_00007	Prat.g_00006
OG0000085	Prbb.g_00024	Prat.g_01314, Prat.g_00024
OG0000086	Prbb.g_01195	Prat.g_00614
OG0000087	Prbb.g_00064	Prat.g_00054
OG0000088	Prbb.g_00170	Prat.g_00112
OG0000089	Prbb.g_00179	Prat.g_00121
OG0000090	Prbb.g_00196	Prat.g_00138
OG0000091	Prbb.g_00226	Prat.g_00170
OG0000092	Prbb.g_00227	Prat.g_00171
OG0000093	Prbb.g_00240	Prat.g_00185
OG0000094	Prbb.g_00259	Prat.g_00204
OG0000095	Prbb.g_00263	Prat.g_00209
OG0000096	Prbb.g_00307	Prat.g_00257
OG0000097	Prbb.g_00327	Prat.g_00281
OG0000098	Prbb.g_00336	Prat.g_00292
OG0000099	Prbb.g_00345	Prat.g_00302
OG0000100	Prbb.g_00348	Prat.g_00305
OG0000101	Prbb.g_00418	Prat.g_00372
OG0000102	Prbb.g_01326	Prat.g_01477
OG0000103	Prbb.g_00479	Prat.g_00435
OG0000104	Prbb.g_00484, Prbb.g_00485	Prat.g_00440
OG0000105	Prbb.g_00503	Prat.g_00462
OG0000106	Prbb.g_00535	Prat.g_00494
OG0000107	Prbb.g_00536	Prat.g_00495
OG0000108	Prbb.g_00546	Prat.g_00504
OG0000109	Prbb.g_00556	Prat.g_00514, Prat.g_00513
OG0000110	Prbb.g_00572	Prat.g_00532
OG0000111	Prbb.g_00652	Prat.g_01073
OG0000112	Prbb.g_00653	Prat.g_01072
OG0000113	Prbb.g_00737	Prat.g_00815
OG0000114	Prbb.g_00781	Prat.g_01039
OG0000115	Prbb.g_00991	Prat.g_00896
OG0000116	Prbb.g_00995	Prat.g_00900
OG0000117	Prbb.g_01067	Prat.g_00962
OG0000118	Prbb.g_01238	Prat.g_01208
OG0000119	Prbb.g_01890	Prat.g_01557
OG0000120	Prbb.g_01510	Prat.g_01150
OG0000121	Prbb.g_01487	Prat.g_01127
OG0000122	Prbb.g_01467	Prat.g_01107
OG0000123	Prbb.g_01456	Prat.g_00595
OG0000124	Prbb.g_01060	Prat.g_01509
OG0000125	Prbb.g_01598	Prat.g_01261
OG0000126	Prbb.g_01639	Prat.g_01291
OG0000127	Prbb.g_01673	Prat.g_01338
OG0000128	Prbb.g_01687	Prat.g_01354
OG0000129	Prbb.g_01721	Prat.g_01392
OG0000130	Prbb.g_01821	Prat.g_01589
OG0000131	Prbb.g_01858	Prat.g_01377, Prat.g_01628
OG0000132	Prbb.g_01860	Prat.g_01631
OG0000133	Prbb.g_01959	Prat.g_01685
OG0000134	Prbb.g_01995	Prat.g_01720
OG0000136	Prbb.g_02046	Prat.g_01771
OG0000137	Prbb.g_02082	Prat.g_01806
OG0000138	Prbb.g_02131	Prat.g_01841
OG0000139	Prbb.g_02168	Prat.g_01873
OG0000140	Prbb.g_00001	Prat.g_00001
OG0000141	Prbb.g_00002	Prat.g_00002
OG0000142	Prbb.g_00004	Prat.g_00004
OG0000143	Prbb.g_00005	Prat.g_00005
OG0000144	Prbb.g_00008	Prat.g_00007
OG0000145	Prbb.g_00009	Prat.g_00008
OG0000146	Prbb.g_00010	Prat.g_00009
OG0000147	Prbb.g_00011	Prat.g_00010
OG0000148	Prbb.g_00013	Prat.g_00013
OG0000149	Prbb.g_00015	Prat.g_00015
OG0000150	Prbb.g_00016	Prat.g_00016
OG0000151	Prbb.g_00017	Prat.g_00017
OG0000152	Prbb.g_00018	Prat.g_00018
OG0000153	Prbb.g_00019	Prat.g_00019
OG0000154	Prbb.g_00020	Prat.g_00020
OG0000155	Prbb.g_00021	Prat.g_00021
OG0000156	Prbb.g_00022	Prat.g_00022
OG0000157	Prbb.g_00023	Prat.g_00023
OG0000158	Prbb.g_00025	Prat.g_00025
OG0000159	Prbb.g_00026	Prat.g_00026
OG0000160	Prbb.g_00027	Prat.g_00027
OG0000161	Prbb.g_00028	Prat.g_00028
OG0000162	Prbb.g_00029	Prat.g_00029
OG0000163	Prbb.g_00030	Prat.g_00031
OG0000164	Prbb.g_00033	Prat.g_00034
OG0000165	Prbb.g_00035	Prat.g_00036
OG0000166	Prbb.g_00036	Prat.g_00037
OG0000167	Prbb.g_00037	Prat.g_00038
OG0000168	Prbb.g_00055	Prat.g_00042
OG0000169	Prbb.g_00057	Prat.g_00044
OG0000170	Prbb.g_00058	Prat.g_00046
OG0000171	Prbb.g_00059	Prat.g_00047
OG0000172	Prbb.g_00060	Prat.g_00048
OG0000173	Prbb.g_00061	Prat.g_00051
OG0000174	Prbb.g_00062	Prat.g_00052
OG0000175	Prbb.g_00063	Prat.g_00053
OG0000176	Prbb.g_00065	Prat.g_00055
OG0000177	Prbb.g_00066	Prat.g_00056
OG0000178	Prbb.g_00067	Prat.g_00057
OG0000179	Prbb.g_00119	Prat.g_00060
OG0000180	Prbb.g_00120	Prat.g_00061
OG0000181	Prbb.g_00121	Prat.g_00062
OG0000182	Prbb.g_00124	Prat.g_00066
OG0000183	Prbb.g_00125	Prat.g_00067
OG0000184	Prbb.g_00128	Prat.g_00070
OG0000185	Prbb.g_00132	Prat.g_00074
OG0000186	Prbb.g_00133	Prat.g_00075
OG0000187	Prbb.g_00134	Prat.g_01504
OG0000188	Prbb.g_00135	Prat.g_00076
OG0000189	Prbb.g_00136	Prat.g_00079
OG0000190	Prbb.g_00137	Prat.g_00080
OG0000191	Prbb.g_00138	Prat.g_00081
OG0000192	Prbb.g_00139	Prat.g_00082
OG0000193	Prbb.g_00140	Prat.g_00083
OG0000194	Prbb.g_00141	Prat.g_00084
OG0000195	Prbb.g_00143	Prat.g_00086
OG0000196	Prbb.g_00144	Prat.g_00087
OG0000197	Prbb.g_00145	Prat.g_00088
OG0000198	Prbb.g_00146	Prat.g_00089
OG0000199	Prbb.g_00149	Prat.g_00091
OG0000200	Prbb.g_00150	Prat.g_00092
OG0000201	Prbb.g_00151	Prat.g_00093
OG0000202	Prbb.g_00152	Prat.g_00094
OG0000203	Prbb.g_00153	Prat.g_00095
OG0000204	Prbb.g_00154	Prat.g_00096
