Orthogroup	Prbb	Prak
OG0000000	Prbb.g_00844	Prak.g_00908
OG0000000	Prbb.g_00683	Prak.g_00805
OG0000000	Prbb.g_01546	Prak.g_01202
OG0000000	Prbb.g_01545	Prak.g_01323, Prak.g_01200
OG0000000	Prbb.g_01550, Prbb.g_01544	Prak.g_01207
OG0000000	Prbb.g_01549	Prak.g_01494
OG0000001	Prbb.g_01145	Prak.g_01578
OG0000001	Prbb.g_01123	Prak.g_01209
OG0000001	Prbb.g_01352	Prak.g_01209
OG0000001	Prbb.g_01403	Prak.g_01209
OG0000001	Prbb.g_01787	Prak.g_01209
OG0000001	Prbb.g_01123	Prak.g_01563
OG0000001	Prbb.g_01352	Prak.g_01563
OG0000001	Prbb.g_01403	Prak.g_01563
OG0000001	Prbb.g_01787	Prak.g_01563
OG0000002	Prbb.g_01611	Prak.g_01302
OG0000002	Prbb.g_00474, Prbb.g_01915	Prak.g_00755
OG0000003	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792	Prak.g_01210
OG0000004	Prbb.g_00425, Prbb.g_01814	Prak.g_01251
OG0000005	Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_01354, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prak.g_01562
OG0000006	Prbb.g_00501	Prak.g_00458
OG0000006	Prbb.g_01823	Prak.g_01645
OG0000007	Prbb.g_01884	Prak.g_01544
OG0000007	Prbb.g_01885	Prak.g_01545, Prak.g_01546
OG0000009	Prbb.g_00761	Prak.g_01196
OG0000010	Prbb.g_01294	Prak.g_00702
OG0000011	Prbb.g_00421	Prak.g_00385
OG0000012	Prbb.g_00605	Prak.g_00566
OG0000013	Prbb.g_01158	Prak.g_01584, Prak.g_01630
OG0000014	Prbb.g_01375	Prak.g_01521, Prak.g_01564
OG0000016	Prbb.g_01632	Prak.g_01226, Prak.g_01488
OG0000017	Prbb.g_01705	Prak.g_01412, Prak.g_01590
OG0000018	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prak.g_00258
OG0000019	Prbb.g_00099	Prak.g_00831
OG0000020	Prbb.g_00325	Prak.g_01264, Prak.g_00289
OG0000021	Prbb.g_01362, Prbb.g_01096	Prak.g_01627
OG0000024	Prbb.g_00357	Prak.g_00325
OG0000025	Prbb.g_00116, Prbb.g_01452	Prak.g_00741
OG0000026	Prbb.g_01921	Prak.g_01530
OG0000028	Prbb.g_01686	Prak.g_01391
OG0000029	Prbb.g_01324, Prbb.g_01729	Prak.g_00416
OG0000031	Prbb.g_01383	Prak.g_00667
OG0000032	Prbb.g_00387	Prak.g_01350
OG0000033	Prbb.g_00014	Prak.g_00013
OG0000033	Prbb.g_01919	Prak.g_01230
OG0000034	Prbb.g_00112	Prak.g_00058
OG0000035	Prbb.g_01449	Prak.g_00709
OG0000036	Prbb.g_01882	Prak.g_01634
OG0000037	Prbb.g_01111	Prak.g_01506
OG0000038	Prbb.g_01231	Prak.g_01482
OG0000039	Prbb.g_00223	Prak.g_00178
OG0000040	Prbb.g_01411, Prbb.g_01373	Prak.g_00721
OG0000041	Prbb.g_01286	Prak.g_01609, Prak.g_01603
OG0000042	Prbb.g_00713	Prak.g_00837
OG0000043	Prbb.g_00954	Prak.g_00937
OG0000044	Prbb.g_01517	Prak.g_01172
OG0000045	Prbb.g_00851	Prak.g_01351
OG0000046	Prbb.g_01816	Prak.g_01637, Prak.g_01516
OG0000047	Prbb.g_02061	Prak.g_01842
OG0000048	Prbb.g_02069	Prak.g_01850
OG0000050	Prbb.g_00032	Prak.g_00032
OG0000051	Prbb.g_00214	Prak.g_00169
OG0000052	Prbb.g_01197, Prbb.g_01329	Prak.g_00687
OG0000053	Prbb.g_00542	Prak.g_00498, Prak.g_01557
OG0000054	Prbb.g_00053	Prak.g_00601
OG0000055	Prbb.g_00807, Prbb.g_01218	Prak.g_00868
OG0000056	Prbb.g_00054	Prak.g_01228
OG0000057	Prbb.g_00294	Prak.g_00253
OG0000058	Prbb.g_00478	Prak.g_00436
OG0000059	Prbb.g_00706	Prak.g_00829
OG0000062	Prbb.g_01887	Prak.g_01550
OG0000063	Prbb.g_01399	Prak.g_01145
OG0000065	Prbb.g_01586	Prak.g_01277
OG0000066	Prbb.g_00678	Prak.g_01349
OG0000067	Prbb.g_01137, Prbb.g_01368	Prak.g_00660
OG0000068	Prbb.g_02001	Prak.g_01780
OG0000069	Prbb.g_01723	Prak.g_01430
OG0000071	Prbb.g_00012	Prak.g_00011
OG0000072	Prbb.g_00373	Prak.g_00339
OG0000073	Prbb.g_00673	Prak.g_01072
OG0000074	Prbb.g_00697, Prbb.g_00698	Prak.g_00819
