Orthogroup	Prah	Pras
OG0000000	Prah.g_00562	Pras.g_00243
OG0000000	Prah.g_01226	Pras.g_01554
OG0000002	Prah.g_02270, Prah.g_00896, Prah.g_01159, Prah.g_00324, Prah.g_01343	Pras.g_00235
OG0000003	Prah.g_01347	Pras.g_00182, Pras.g_00471, Pras.g_00136
OG0000004	Prah.g_01175, Prah.g_00215	Pras.g_01638
OG0000006	Prah.g_01546	Pras.g_01375
OG0000006	Prah.g_01676	Pras.g_00550
OG0000007	Prah.g_00969, Prah.g_00970	Pras.g_01548
OG0000009	Prah.g_02086	Pras.g_01681, Pras.g_01101
OG0000011	Prah.g_00322, Prah.g_00321	Pras.g_01263
OG0000011	Prah.g_00353	Pras.g_01182
OG0000012	Prah.g_01397, Prah.g_01405	Pras.g_01474
OG0000013	Prah.g_01155, Prah.g_00576	Pras.g_00127
OG0000016	Prah.g_01007, Prah.g_01048	Pras.g_00246
OG0000017	Prah.g_00381	Pras.g_00886
OG0000018	Prah.g_00475, Prah.g_01767	Pras.g_00148, Pras.g_01093
OG0000019	Prah.g_01410	Pras.g_00507, Pras.g_01218
OG0000024	Prah.g_02171	Pras.g_01158
OG0000025	Prah.g_01120	Pras.g_01969
OG0000026	Prah.g_00042	Pras.g_00875
OG0000028	Prah.g_00408	Pras.g_00350
OG0000032	Prah.g_02248	Pras.g_00331
OG0000033	Prah.g_00015	Pras.g_00855
OG0000034	Prah.g_02219	Pras.g_00096
OG0000036	Prah.g_01427	Pras.g_01462
OG0000037	Prah.g_00524	Pras.g_01499
OG0000038	Prah.g_01209, Prah.g_00170	Pras.g_01662
OG0000039	Prah.g_02304, Prah.g_00957	Pras.g_01017
OG0000040	Prah.g_00688	Pras.g_01213
OG0000042	Prah.g_00887, Prah.g_00958	Pras.g_01606
OG0000043	Prah.g_01233, Prah.g_01231	Pras.g_01686
OG0000044	Prah.g_01322	Pras.g_00056
OG0000045	Prah.g_02195	Pras.g_00291
OG0000046	Prah.g_01666	Pras.g_00543
OG0000047	Prah.g_00150	Pras.g_00883, Pras.g_00743
OG0000048	Prah.g_01256, Prah.g_00135	Pras.g_00750
OG0000050	Prah.g_00038	Pras.g_00873
OG0000051	Prah.g_02295	Pras.g_01008
OG0000052	Prah.g_01660	Pras.g_01223
OG0000053	Prah.g_01485	Pras.g_01416
OG0000054	Prah.g_01812	Pras.g_01656
OG0000055	Prah.g_00641	Pras.g_01723
OG0000056	Prah.g_02425	Pras.g_00011
OG0000057	Prah.g_01778	Pras.g_01089
OG0000058	Prah.g_00312	Pras.g_01353
OG0000059	Prah.g_01027	Pras.g_01574
OG0000062	Prah.g_02524	Pras.g_00023
OG0000063	Prah.g_01257	Pras.g_00150
OG0000065	Prah.g_01364	Pras.g_00209
OG0000066	Prah.g_02192	Pras.g_00330, Pras.g_00273, Pras.g_00271, Pras.g_00272
OG0000068	Prah.g_01995	Pras.g_00687
OG0000069	Prah.g_00358, Prah.g_02196	Pras.g_00326
OG0000070	Prah.g_00342, Prah.g_00341, Prah.g_01968, Prah.g_01082, Prah.g_00543	Pras.g_00881, Pras.g_00191
OG0000071	Prah.g_00013	Pras.g_00853
OG0000072	Prah.g_02187	Pras.g_01174
OG0000073	Prah.g_00445	Pras.g_01545
OG0000074	Prah.g_00974	Pras.g_01567
OG0000075	Prah.g_00660	Pras.g_01708
OG0000076	Prah.g_00915	Pras.g_01934
OG0000078	Prah.g_02191	Pras.g_00294
OG0000079	Prah.g_01654	Pras.g_00431
OG0000080	Prah.g_01609	Pras.g_00477
OG0000081	Prah.g_02230	Pras.g_00717
OG0000082	Prah.g_02533	Pras.g_00131
OG0000083	Prah.g_00004	Pras.g_00845
OG0000084	Prah.g_00007	Pras.g_00848
OG0000085	Prah.g_00029	Pras.g_00865
OG0000087	Prah.g_02458	Pras.g_00902
OG0000088	Prah.g_00194	Pras.g_00964
