Orthogroup	Prah	Prad
OG0000000	Prah.g_00562	Prad.g_00601
OG0000000	Prah.g_01226	Prad.g_01252
OG0000001	Prah.g_01154, Prah.g_01152, Prah.g_01346	Prad.g_00372, Prad.g_00349
OG0000002	Prah.g_02270, Prah.g_00896, Prah.g_01159, Prah.g_00324, Prah.g_01343	Prad.g_00609
OG0000003	Prah.g_01347	Prad.g_00350, Prad.g_00389
OG0000004	Prah.g_01175, Prah.g_00215	Prad.g_01082
OG0000006	Prah.g_01546	Prad.g_00132
OG0000006	Prah.g_01676	Prad.g_00941
OG0000007	Prah.g_00969, Prah.g_00970	Prad.g_01246
OG0000009	Prah.g_02086	Prad.g_01125, Prad.g_01742
OG0000011	Prah.g_00322, Prah.g_00321	Prad.g_00683
OG0000011	Prah.g_00353	Prad.g_01661
OG0000012	Prah.g_01397, Prah.g_01405	Prad.g_01387
OG0000013	Prah.g_01155, Prah.g_00576	Prad.g_01108
OG0000016	Prah.g_01007, Prah.g_01048	Prad.g_00598
OG0000018	Prah.g_00475, Prah.g_01767	Prad.g_01750
OG0000019	Prah.g_01410	Prad.g_01981, Prad.g_00745
OG0000024	Prah.g_02171	Prad.g_01685
OG0000025	Prah.g_01120	Prad.g_00985
OG0000026	Prah.g_00042	Prad.g_01953, Prad.g_00081
OG0000028	Prah.g_00408	Prad.g_00515
OG0000033	Prah.g_00015	Prad.g_01973
OG0000034	Prah.g_02219	Prad.g_00571
OG0000036	Prah.g_01427	Prad.g_01374
OG0000037	Prah.g_00524	Prad.g_01412
OG0000038	Prah.g_01209, Prah.g_00170	Prad.g_01105
OG0000039	Prah.g_02304, Prah.g_00957	Prad.g_01825
OG0000040	Prah.g_00688	Prad.g_00751
OG0000042	Prah.g_00887, Prah.g_00958	Prad.g_01049
OG0000043	Prah.g_01233, Prah.g_01231	Prad.g_01130
OG0000044	Prah.g_01322	Prad.g_01496
OG0000045	Prah.g_02195	Prad.g_00565
OG0000046	Prah.g_01666	Prad.g_00948
OG0000047	Prah.g_00150	Prad.g_01631
OG0000048	Prah.g_01256, Prah.g_00135	Prad.g_01624
OG0000050	Prah.g_00038	Prad.g_01955
OG0000051	Prah.g_02295	Prad.g_01834
OG0000052	Prah.g_01660	Prad.g_00739
OG0000053	Prah.g_01485	Prad.g_00090
OG0000054	Prah.g_01812	Prad.g_01099
OG0000055	Prah.g_00641	Prad.g_01168
OG0000056	Prah.g_02425	Prad.g_00657
OG0000057	Prah.g_01778	Prad.g_01754, Prad.g_00965
OG0000058	Prah.g_00312	Prad.g_00032
OG0000059	Prah.g_01027	Prad.g_01272
OG0000062	Prah.g_02524	Prad.g_01989
OG0000063	Prah.g_01257	Prad.g_01214
OG0000065	Prah.g_01364	Prad.g_00628
OG0000066	Prah.g_02192	Prad.g_00564
OG0000068	Prah.g_01995	Prad.g_00807
OG0000069	Prah.g_00358	Prad.g_00572
OG0000069	Prah.g_02196	Prad.g_00561
OG0000071	Prah.g_00013	Prad.g_01975
OG0000072	Prah.g_02187	Prad.g_01669
OG0000073	Prah.g_00445	Prad.g_01243
OG0000074	Prah.g_00974	Prad.g_01265
OG0000075	Prah.g_00660	Prad.g_01153
OG0000076	Prah.g_00915	Prad.g_01018
OG0000078	Prah.g_02191	Prad.g_00566
OG0000079	Prah.g_01654	Prad.g_00436
OG0000080	Prah.g_01609	Prad.g_00383
OG0000081	Prah.g_02230	Prad.g_00777
OG0000083	Prah.g_00004	Prad.g_01533
OG0000084	Prah.g_00007	Prad.g_01530
OG0000085	Prah.g_00029	Prad.g_01963
OG0000087	Prah.g_02458	Prad.g_01937
OG0000088	Prah.g_00194	Prad.g_00011, Prad.g_01880
OG0000089	Prah.g_00176, Prah.g_00180	Prad.g_01872
OG0000090	Prah.g_02268	Prad.g_01854
OG0000091	Prah.g_02307	Prad.g_01822
OG0000092	Prah.g_02308	Prad.g_01821
OG0000093	Prah.g_02324	Prad.g_01807
OG0000094	Prah.g_02362	Prad.g_01789
OG0000095	Prah.g_02371	Prad.g_01784
OG0000096	Prah.g_02089	Prad.g_01740
OG0000097	Prah.g_02126	Prad.g_01717
OG0000099	Prah.g_02151	Prad.g_01697
OG0000100	Prah.g_02155	Prad.g_01694
OG0000101	Prah.g_00208	Prad.g_00754
OG0000102	Prah.g_02538	Prad.g_00727
OG0000103	Prah.g_00313, Prah.g_00314	Prad.g_00031
OG0000104	Prah.g_01566	Prad.g_00027
OG0000105	Prah.g_01544	Prad.g_00130
OG0000106	Prah.g_00108, Prah.g_01503	Prad.g_00097
OG0000107	Prah.g_01501	Prad.g_00096
OG0000108	Prah.g_01476	Prad.g_01333
OG0000109	Prah.g_01465	Prad.g_01342
OG0000110	Prah.g_01446	Prad.g_01358
OG0000111	Prah.g_00474	Prad.g_01225
OG0000112	Prah.g_00473	Prad.g_01226
OG0000113	Prah.g_00752	Prad.g_01071
OG0000114	Prah.g_01823, Prah.g_00669	Prad.g_01144
OG0000115	Prah.g_00796	Prad.g_00186
OG0000116	Prah.g_00805	Prad.g_00182
OG0000117	Prah.g_00912	Prad.g_01021
OG0000118	Prah.g_02597	Prad.g_00972
OG0000119	Prah.g_02526	Prad.g_01526
OG0000120	Prah.g_01315	Prad.g_01490
OG0000121	Prah.g_01254	Prad.g_01471, Prad.g_01470
OG0000122	Prah.g_01276	Prad.g_01451
OG0000123	Prah.g_01237, Prah.g_01238	Prad.g_01438
OG0000124	Prah.g_00905	Prad.g_00076
OG0000125	Prah.g_01378	Prad.g_00616
OG0000126	Prah.g_01576	Prad.g_00594
OG0000127	Prah.g_00424	Prad.g_00528
OG0000128	Prah.g_00407	Prad.g_00514
OG0000129	Prah.g_00361	Prad.g_00477
OG0000130	Prah.g_01672	Prad.g_00943
OG0000131	Prah.g_01725	Prad.g_00905
OG0000132	Prah.g_01728	Prad.g_00902
OG0000133	Prah.g_02038	Prad.g_00848
OG0000134	Prah.g_02001	Prad.g_00812
OG0000135	Prah.g_01999	Prad.g_00810
OG0000136	Prah.g_02244	Prad.g_00766, Prad.g_01294
OG0000137	Prah.g_00089	Prad.g_01615
OG0000138	Prah.g_02498	Prad.g_01580
OG0000139	Prah.g_02578	Prad.g_01553
OG0000140	Prah.g_00002	Prad.g_01535
OG0000141	Prah.g_00003	Prad.g_01534
OG0000142	Prah.g_00005	Prad.g_01532
OG0000143	Prah.g_00006	Prad.g_01531
OG0000144	Prah.g_00008	Prad.g_01529
OG0000145	Prah.g_00010	Prad.g_01528
OG0000146	Prah.g_00011	Prad.g_01527
OG0000147	Prah.g_00012	Prad.g_01976
OG0000148	Prah.g_00014	Prad.g_01974
OG0000149	Prah.g_00016	Prad.g_01972
OG0000150	Prah.g_00017	Prad.g_01971
OG0000151	Prah.g_00022	Prad.g_01970
OG0000152	Prah.g_00023	Prad.g_01969
OG0000153	Prah.g_00024	Prad.g_01968
OG0000154	Prah.g_00025	Prad.g_01967
OG0000155	Prah.g_00026	Prad.g_01966
OG0000156	Prah.g_00027	Prad.g_01965
OG0000157	Prah.g_00028	Prad.g_01964
OG0000158	Prah.g_00030	Prad.g_01962
OG0000159	Prah.g_00031	Prad.g_01961
OG0000160	Prah.g_00032	Prad.g_01960
OG0000161	Prah.g_00033	Prad.g_01959
OG0000162	Prah.g_00034	Prad.g_01958
OG0000163	Prah.g_00036	Prad.g_01957
OG0000164	Prah.g_00041	Prad.g_01954
OG0000165	Prah.g_00046	Prad.g_01951
OG0000166	Prah.g_00047	Prad.g_01950
OG0000167	Prah.g_00048	Prad.g_01949
OG0000168	Prah.g_00049	Prad.g_01947
OG0000169	Prah.g_00051	Prad.g_01945
OG0000170	Prah.g_02488	Prad.g_01944
OG0000171	Prah.g_02486	Prad.g_01943
OG0000172	Prah.g_02485	Prad.g_01941
OG0000173	Prah.g_02478	Prad.g_01940
OG0000174	Prah.g_02471	Prad.g_01939
OG0000175	Prah.g_02466	Prad.g_01938
OG0000176	Prah.g_02457	Prad.g_01936
OG0000177	Prah.g_02454	Prad.g_01935
OG0000178	Prah.g_02453	Prad.g_01934
OG0000179	Prah.g_01830	Prad.g_01929
OG0000180	Prah.g_01833	Prad.g_01928
OG0000181	Prah.g_01834	Prad.g_01927
OG0000182	Prah.g_01838	Prad.g_01924
OG0000183	Prah.g_01839	Prad.g_01923
OG0000184	Prah.g_01843	Prad.g_01920
OG0000185	Prah.g_01849	Prad.g_01916
OG0000186	Prah.g_01850	Prad.g_01915
OG0000187	Prah.g_01211	Prad.g_01914
OG0000188	Prah.g_01851	Prad.g_01913
OG0000189	Prah.g_01859	Prad.g_01912
OG0000190	Prah.g_01860	Prad.g_01911
OG0000191	Prah.g_01861	Prad.g_01910
OG0000192	Prah.g_01862	Prad.g_01909
OG0000193	Prah.g_01863	Prad.g_01908
OG0000194	Prah.g_01864	Prad.g_01907
OG0000195	Prah.g_01866	Prad.g_01905
OG0000196	Prah.g_01867	Prad.g_01904
OG0000197	Prah.g_01873	Prad.g_01903
OG0000198	Prah.g_01877	Prad.g_01902
OG0000199	Prah.g_01882	Prad.g_01899
OG0000200	Prah.g_01883	Prad.g_01898
OG0000201	Prah.g_01884	Prad.g_01897
OG0000202	Prah.g_01886	Prad.g_01896
OG0000203	Prah.g_01887	Prad.g_01895
OG0000204	Prah.g_01888	Prad.g_01894
OG0000205	Prah.g_01890	Prad.g_01893
OG0000206	Prah.g_01891	Prad.g_01892
OG0000207	Prah.g_01892	Prad.g_01891
OG0000208	Prah.g_01893	Prad.g_01890
OG0000209	Prah.g_01894	Prad.g_01889
OG0000210	Prah.g_01896	Prad.g_01887
OG0000211	Prah.g_01897	Prad.g_01886
OG0000212	Prah.g_01898	Prad.g_01885
OG0000213	Prah.g_01901	Prad.g_01884
OG0000214	Prah.g_01908	Prad.g_01882
OG0000215	Prah.g_00195	Prad.g_01881
OG0000216	Prah.g_00193	Prad.g_01879
OG0000217	Prah.g_00191	Prad.g_01878
OG0000218	Prah.g_00189	Prad.g_01877
OG0000219	Prah.g_00188	Prad.g_01876
OG0000220	Prah.g_00183	Prad.g_01873
OG0000221	Prah.g_00175	Prad.g_01871
OG0000222	Prah.g_00174	Prad.g_01870
OG0000223	Prah.g_00173	Prad.g_01869
OG0000224	Prah.g_02252	Prad.g_01866
OG0000225	Prah.g_02254	Prad.g_01864
OG0000226	Prah.g_02257	Prad.g_01863
OG0000227	Prah.g_02259	Prad.g_01862
OG0000228	Prah.g_02260	Prad.g_01861
OG0000229	Prah.g_02261	Prad.g_01860
OG0000230	Prah.g_02262	Prad.g_01859
OG0000231	Prah.g_02264	Prad.g_01857
OG0000232	Prah.g_02265	Prad.g_01856
OG0000233	Prah.g_02269	Prad.g_01853
OG0000234	Prah.g_02280	Prad.g_01851
OG0000235	Prah.g_02282	Prad.g_01846
OG0000236	Prah.g_02283	Prad.g_01845
OG0000237	Prah.g_02284	Prad.g_01844
OG0000238	Prah.g_02285	Prad.g_01843
OG0000239	Prah.g_02286	Prad.g_01842
OG0000240	Prah.g_02288	Prad.g_01840
OG0000241	Prah.g_02289	Prad.g_01839
OG0000242	Prah.g_02290	Prad.g_01838
OG0000243	Prah.g_02291	Prad.g_01837
OG0000244	Prah.g_02292	Prad.g_01836
OG0000245	Prah.g_02294	Prad.g_01835
OG0000246	Prah.g_02296	Prad.g_01833
OG0000247	Prah.g_02297	Prad.g_01832
OG0000248	Prah.g_02298	Prad.g_01831
OG0000249	Prah.g_02299	Prad.g_01830
OG0000250	Prah.g_02300	Prad.g_01829
OG0000251	Prah.g_02301	Prad.g_01828
OG0000252	Prah.g_02302	Prad.g_01827
OG0000253	Prah.g_02303	Prad.g_01826
OG0000254	Prah.g_02305	Prad.g_01824
OG0000255	Prah.g_02306	Prad.g_01823
OG0000256	Prah.g_02309	Prad.g_01820
OG0000257	Prah.g_02310	Prad.g_01818
OG0000258	Prah.g_02311	Prad.g_01817
OG0000259	Prah.g_02312	Prad.g_01816
OG0000260	Prah.g_02313	Prad.g_01815
OG0000261	Prah.g_02314	Prad.g_01814
OG0000262	Prah.g_02315	Prad.g_01813
OG0000263	Prah.g_02316	Prad.g_01812
OG0000264	Prah.g_00709	Prad.g_01810
OG0000265	Prah.g_02321	Prad.g_01809
OG0000266	Prah.g_02323	Prad.g_01808
OG0000267	Prah.g_02334	Prad.g_01806
OG0000268	Prah.g_02336	Prad.g_01805
OG0000269	Prah.g_02339	Prad.g_01804
OG0000270	Prah.g_02341	Prad.g_01803
OG0000271	Prah.g_02344	Prad.g_01802
OG0000272	Prah.g_02345	Prad.g_01801
OG0000273	Prah.g_02350	Prad.g_01800
OG0000274	Prah.g_02352	Prad.g_01799
OG0000275	Prah.g_02353	Prad.g_01798
OG0000276	Prah.g_02354	Prad.g_01797
OG0000277	Prah.g_02355	Prad.g_01796
OG0000278	Prah.g_02356	Prad.g_01795
OG0000279	Prah.g_02357	Prad.g_01794
OG0000280	Prah.g_02358	Prad.g_01793
OG0000281	Prah.g_02360	Prad.g_01791
