Orthogroup	Prah	Praq
OG0000000	Prah.g_00562	Praq.g_00168
OG0000000	Prah.g_01226	Praq.g_00807
OG0000002	Prah.g_02270, Prah.g_00896, Prah.g_01159, Prah.g_00324, Prah.g_01343	Praq.g_00160
OG0000003	Prah.g_01347	Praq.g_00115, Praq.g_00028
OG0000004	Prah.g_01175, Prah.g_00215	Praq.g_00614
OG0000006	Prah.g_01546	Praq.g_01105
OG0000006	Prah.g_01676	Praq.g_00497
OG0000007	Prah.g_00969, Prah.g_00970	Praq.g_00071, Praq.g_00801
OG0000009	Prah.g_02086	Praq.g_00649, Praq.g_01753
OG0000011	Prah.g_00322, Prah.g_00321	Praq.g_01137
OG0000011	Prah.g_00353	Praq.g_01672
OG0000012	Prah.g_01397, Prah.g_01405	Praq.g_01004
OG0000013	Prah.g_01155, Prah.g_00576	Praq.g_00065
OG0000016	Prah.g_01007, Prah.g_01048	Praq.g_00171
OG0000017	Prah.g_00381	Praq.g_01246
OG0000018	Prah.g_00475, Prah.g_01767	Praq.g_01761
OG0000019	Prah.g_01410	Praq.g_01179
OG0000024	Prah.g_02171	Praq.g_01696
OG0000025	Prah.g_01120	Praq.g_01654
OG0000026	Prah.g_00042	Praq.g_01236, Praq.g_01237, Praq.g_00075
OG0000028	Prah.g_00408	Praq.g_00294
OG0000032	Prah.g_02248	Praq.g_00209
OG0000036	Prah.g_01427	Praq.g_01018
OG0000037	Prah.g_00524	Praq.g_00979
OG0000038	Prah.g_01209, Prah.g_00170	Praq.g_00635
OG0000039	Prah.g_02304, Prah.g_00957	Praq.g_01836
OG0000040	Prah.g_00688	Praq.g_01184
OG0000042	Prah.g_00887, Prah.g_00958	Praq.g_00583
OG0000043	Prah.g_01233, Prah.g_01231	Praq.g_00654
OG0000044	Prah.g_01322	Praq.g_01333
OG0000045	Prah.g_02195	Praq.g_00271, Praq.g_00218
OG0000047	Prah.g_00150	Praq.g_01243, Praq.g_00763
OG0000048	Prah.g_01256, Prah.g_00135	Praq.g_00770
OG0000050	Prah.g_00038	Praq.g_01234
OG0000051	Prah.g_02295	Praq.g_00554, Praq.g_01845
OG0000052	Prah.g_01660	Praq.g_01173
OG0000053	Prah.g_01485	Praq.g_01063
OG0000054	Prah.g_01812	Praq.g_00629
OG0000055	Prah.g_00641	Praq.g_01420
OG0000056	Prah.g_02425	Praq.g_01289
OG0000057	Prah.g_01778	Praq.g_01765
OG0000058	Prah.g_00312	Praq.g_00526
OG0000059	Prah.g_01027	Praq.g_00827
OG0000062	Prah.g_02524	Praq.g_01300
OG0000063	Prah.g_01257	Praq.g_00084
OG0000065	Prah.g_01364	Praq.g_00133
OG0000066	Prah.g_02192	Praq.g_00208
OG0000068	Prah.g_01995	Praq.g_00879
OG0000069	Prah.g_02196	Praq.g_00202
OG0000071	Prah.g_00013	Praq.g_00437
OG0000072	Prah.g_02187	Praq.g_01680
OG0000073	Prah.g_00445	Praq.g_00798
OG0000074	Prah.g_00974	Praq.g_00820
OG0000075	Prah.g_00660	Praq.g_00677
OG0000076	Prah.g_00915	Praq.g_01619
OG0000078	Prah.g_02191	Praq.g_00216
OG0000079	Prah.g_01654	Praq.g_00372
OG0000080	Prah.g_01609	Praq.g_00052
OG0000081	Prah.g_02230	Praq.g_00737
OG0000083	Prah.g_00004	Praq.g_00429
OG0000084	Prah.g_00007	Praq.g_00432
OG0000085	Prah.g_00029	Praq.g_01226
OG0000087	Prah.g_02458	Praq.g_01265
OG0000088	Prah.g_00194	Praq.g_01890
OG0000089	Prah.g_00176, Prah.g_00180	Praq.g_01882
OG0000090	Prah.g_02268	Praq.g_01864
OG0000091	Prah.g_02307	Praq.g_01833
OG0000092	Prah.g_02308	Praq.g_01832
OG0000093	Prah.g_02324	Praq.g_01818
OG0000094	Prah.g_02362	Praq.g_01800
OG0000095	Prah.g_02371	Praq.g_01795
OG0000096	Prah.g_02089	Praq.g_01751
OG0000097	Prah.g_02126	Praq.g_01729
OG0000098	Prah.g_02139	Praq.g_01718
OG0000099	Prah.g_02151	Praq.g_01708
OG0000100	Prah.g_02155	Praq.g_01705
OG0000101	Prah.g_00208	Praq.g_01187
OG0000102	Prah.g_02538	Praq.g_01160
OG0000103	Prah.g_00313, Prah.g_00314	Praq.g_00527
OG0000104	Prah.g_01566	Praq.g_00531
OG0000105	Prah.g_01544	Praq.g_01103
OG0000106	Prah.g_00108, Prah.g_01503	Praq.g_01070
OG0000107	Prah.g_01501	Praq.g_01069
OG0000108	Prah.g_01476	Praq.g_01059
OG0000109	Prah.g_01465	Praq.g_01050
OG0000110	Prah.g_01446	Praq.g_01034
OG0000111	Prah.g_00474	Praq.g_00780
OG0000112	Prah.g_00473	Praq.g_00781
OG0000113	Prah.g_00752	Praq.g_00605
OG0000114	Prah.g_01823, Prah.g_00669	Praq.g_00668
OG0000115	Prah.g_00796	Praq.g_01548
OG0000116	Prah.g_00805	Praq.g_01552
OG0000117	Prah.g_00912	Praq.g_01616
OG0000118	Prah.g_02597	Praq.g_01667
OG0000119	Prah.g_02526	Praq.g_01303
OG0000120	Prah.g_01315	Praq.g_01339
OG0000121	Prah.g_01254	Praq.g_01358
OG0000122	Prah.g_01276	Praq.g_01377
OG0000123	Prah.g_01237, Prah.g_01238	Praq.g_01390
OG0000124	Prah.g_00905	Praq.g_00257
OG0000125	Prah.g_01378	Praq.g_00145
OG0000126	Prah.g_01576	Praq.g_00175
OG0000127	Prah.g_00424	Praq.g_00281
OG0000128	Prah.g_00407	Praq.g_00295
OG0000129	Prah.g_00361	Praq.g_00331
OG0000130	Prah.g_01672	Praq.g_01954, Praq.g_00499
