Orthogroup	Prah	Prbg
OG0000000	Prah.g_00562	Prbg.g_01222, Prbg.g_01227
OG0000000	Prah.g_01226	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Prah.g_02270, Prah.g_00896, Prah.g_01159, Prah.g_00324, Prah.g_01343	Prbg.g_00502
OG0000003	Prah.g_01347	Prbg.g_01524
OG0000004	Prah.g_01175, Prah.g_00215	Prbg.g_00451
OG0000006	Prah.g_01546	Prbg.g_00216
OG0000006	Prah.g_01676	Prbg.g_01650
OG0000007	Prah.g_00969, Prah.g_00970	Prbg.g_00744, Prbg.g_00745
OG0000009	Prah.g_02086	Prbg.g_01510, Prbg.g_01032
OG0000011	Prah.g_00322, Prah.g_00321	Prbg.g_00143
OG0000012	Prah.g_01397	Prbg.g_00324
OG0000012	Prah.g_01405	Prbg.g_00317
OG0000013	Prah.g_01155, Prah.g_00576	Prbg.g_01635
OG0000016	Prah.g_01007	Prbg.g_01540
OG0000016	Prah.g_01048	Prbg.g_00688
OG0000017	Prah.g_00381	Prbg.g_01595, Prbg.g_00612
OG0000018	Prah.g_00475, Prah.g_01767	Prbg.g_01024
OG0000019	Prah.g_01410	Prbg.g_01145
OG0000020	Prah.g_02122	Prbg.g_00464
OG0000024	Prah.g_02171	Prbg.g_00086
OG0000025	Prah.g_01120	Prbg.g_01055
OG0000026	Prah.g_00042	Prbg.g_00730
OG0000028	Prah.g_00408	Prbg.g_00591
OG0000031	Prah.g_01166	Prbg.g_00408
OG0000032	Prah.g_02248, Prah.g_00091	Prbg.g_00550
OG0000033	Prah.g_01270	Prbg.g_01544
OG0000034	Prah.g_02219	Prbg.g_00816
OG0000036	Prah.g_01427	Prbg.g_00304, Prbg.g_01639
OG0000037	Prah.g_00524	Prbg.g_00342, Prbg.g_00706
OG0000038	Prah.g_01209	Prbg.g_00682
OG0000039	Prah.g_02304	Prbg.g_00944
OG0000040	Prah.g_00688	Prbg.g_00013
OG0000042	Prah.g_00887, Prah.g_00958	Prbg.g_01151
OG0000043	Prah.g_01233, Prah.g_01231	Prbg.g_01251
OG0000044	Prah.g_01322	Prbg.g_01486
OG0000045	Prah.g_02195	Prbg.g_00551
OG0000046	Prah.g_01666	Prbg.g_00716, Prbg.g_01642
OG0000047	Prah.g_00150	Prbg.g_01847
OG0000048	Prah.g_01256, Prah.g_00135	Prbg.g_01855
OG0000050	Prah.g_00038	Prbg.g_00842
OG0000051	Prah.g_02295	Prbg.g_00935
OG0000052	Prah.g_01660	Prbg.g_00388
OG0000053	Prah.g_01485	Prbg.g_00256
OG0000054	Prah.g_01812	Prbg.g_00359
OG0000055	Prah.g_00641	Prbg.g_01182
OG0000056	Prah.g_02425	Prbg.g_01542
OG0000057	Prah.g_01778	Prbg.g_01019
OG0000058	Prah.g_00312	Prbg.g_00194
OG0000059	Prah.g_01027	Prbg.g_01143
OG0000062	Prah.g_02524	Prbg.g_00749
OG0000063	Prah.g_01257	Prbg.g_01459
OG0000065	Prah.g_01364	Prbg.g_00477
OG0000066	Prah.g_02192	Prbg.g_00549
OG0000068	Prah.g_01995	Prbg.g_01785
OG0000069	Prah.g_00358	Prbg.g_00630
OG0000071	Prah.g_00013	Prbg.g_00778
OG0000072	Prah.g_02187	Prbg.g_00100
OG0000073	Prah.g_00445	Prbg.g_01386
OG0000074	Prah.g_00974	Prbg.g_01133
OG0000075	Prah.g_00660	Prbg.g_01166
OG0000076	Prah.g_00915	Prbg.g_01234
OG0000078	Prah.g_02191	Prbg.g_00552
OG0000079	Prah.g_01654	Prbg.g_00676
OG0000080	Prah.g_01609	Prbg.g_00414
OG0000081	Prah.g_02230	Prbg.g_01819
OG0000082	Prah.g_02533	Prbg.g_00419
OG0000083	Prah.g_00004	Prbg.g_00770
OG0000084	Prah.g_00007	Prbg.g_00773
OG0000085	Prah.g_00029	Prbg.g_00851
OG0000087	Prah.g_02458	Prbg.g_00822
OG0000088	Prah.g_00194	Prbg.g_00887
OG0000089	Prah.g_00176, Prah.g_00180	Prbg.g_00896
OG0000090	Prah.g_02268	Prbg.g_00913
OG0000091	Prah.g_02307	Prbg.g_00947
OG0000092	Prah.g_02308	Prbg.g_00948
OG0000093	Prah.g_02324	Prbg.g_00962
OG0000094	Prah.g_02362	Prbg.g_00981
OG0000095	Prah.g_02371	Prbg.g_00986
OG0000096	Prah.g_02089	Prbg.g_01034
OG0000097	Prah.g_02126	Prbg.g_00053
OG0000098	Prah.g_02139	Prbg.g_00064
OG0000099	Prah.g_02151	Prbg.g_00074
OG0000100	Prah.g_02155	Prbg.g_00077
OG0000101	Prah.g_00208	Prbg.g_00139
OG0000102	Prah.g_02538	Prbg.g_00459
OG0000103	Prah.g_00313, Prah.g_00314	Prbg.g_00195
OG0000104	Prah.g_01566	Prbg.g_00199
OG0000105	Prah.g_01544	Prbg.g_00219
OG0000106	Prah.g_00108, Prah.g_01503	Prbg.g_00249
OG0000107	Prah.g_01501	Prbg.g_00250
OG0000108	Prah.g_01476	Prbg.g_00260
OG0000109	Prah.g_01465	Prbg.g_00270
OG0000110	Prah.g_01446	Prbg.g_00287
OG0000111	Prah.g_00474	Prbg.g_01405
OG0000112	Prah.g_00473	Prbg.g_01404
OG0000113	Prah.g_00752	Prbg.g_01354
OG0000114	Prah.g_01823, Prah.g_00669	Prbg.g_01157
OG0000115	Prah.g_00796	Prbg.g_01287
OG0000116	Prah.g_00805	Prbg.g_01291
OG0000117	Prah.g_00912	Prbg.g_01237
OG0000118	Prah.g_02597	Prbg.g_01531
OG0000119	Prah.g_02526	Prbg.g_00752
OG0000120	Prah.g_01315	Prbg.g_01480
OG0000121	Prah.g_01254	Prbg.g_01457
OG0000122	Prah.g_01276	Prbg.g_01437
OG0000123	Prah.g_01237, Prah.g_01238	Prbg.g_00352
OG0000124	Prah.g_00905	Prbg.g_00687
OG0000125	Prah.g_01378	Prbg.g_00490
OG0000126	Prah.g_01576	Prbg.g_00529
OG0000127	Prah.g_00424	Prbg.g_00579
OG0000128	Prah.g_00407	Prbg.g_00592
OG0000129	Prah.g_00361	Prbg.g_00628
OG0000130	Prah.g_01672	Prbg.g_01647
OG0000131	Prah.g_01725	Prbg.g_01686
OG0000132	Prah.g_01728	Prbg.g_01689
OG0000133	Prah.g_02038	Prbg.g_01743
OG0000134	Prah.g_02001	Prbg.g_01779
OG0000135	Prah.g_01999	Prbg.g_01781
OG0000136	Prah.g_02244	Prbg.g_01831
OG0000137	Prah.g_00089	Prbg.g_01865
OG0000138	Prah.g_02498	Prbg.g_01900
OG0000139	Prah.g_02578	Prbg.g_01931
OG0000140	Prah.g_00002	Prbg.g_00768
OG0000141	Prah.g_00003	Prbg.g_00769
OG0000142	Prah.g_00005	Prbg.g_00771
OG0000143	Prah.g_00006	Prbg.g_00772
OG0000144	Prah.g_00008	Prbg.g_00774
OG0000145	Prah.g_00010	Prbg.g_00775
OG0000146	Prah.g_00011	Prbg.g_00776
OG0000147	Prah.g_00012	Prbg.g_00777
OG0000148	Prah.g_00014	Prbg.g_00779
OG0000149	Prah.g_00016	Prbg.g_00860
OG0000150	Prah.g_00017	Prbg.g_00859
OG0000151	Prah.g_00022	Prbg.g_00858
OG0000152	Prah.g_00023	Prbg.g_00857
OG0000153	Prah.g_00024	Prbg.g_00856
OG0000154	Prah.g_00025	Prbg.g_00855
OG0000155	Prah.g_00026	Prbg.g_00854
OG0000156	Prah.g_00027	Prbg.g_00853
OG0000157	Prah.g_00028	Prbg.g_00852
OG0000158	Prah.g_00030	Prbg.g_00850
OG0000159	Prah.g_00031	Prbg.g_00849
OG0000160	Prah.g_00032	Prbg.g_00848
