Orthogroup	Prah	Praw
OG0000000	Prah.g_00562	Praw.g_01009
OG0000000	Prah.g_01226	Praw.g_01844
OG0000001	Prah.g_01154, Prah.g_01152, Prah.g_01346	Praw.g_00472
OG0000002	Prah.g_02270, Prah.g_00896, Prah.g_01159, Prah.g_00324, Prah.g_01343	Praw.g_01000
OG0000003	Prah.g_01347	Praw.g_00959, Praw.g_00457, Praw.g_00495
OG0000004	Prah.g_01175, Prah.g_00215	Praw.g_01769
OG0000006	Prah.g_01546	Praw.g_00651
OG0000006	Prah.g_01676	Praw.g_00515
OG0000007	Prah.g_00969, Prah.g_00970	Praw.g_00501, Praw.g_01850, Praw.g_00502
OG0000009	Prah.g_02086	Praw.g_01717, Praw.g_00884
OG0000011	Prah.g_00353	Praw.g_00804
OG0000012	Prah.g_01397, Prah.g_01405	Praw.g_01944
OG0000013	Prah.g_01155, Prah.g_00576	Praw.g_01738
OG0000016	Prah.g_01007, Prah.g_01048	Praw.g_01012
OG0000018	Prah.g_00475, Prah.g_01767	Praw.g_01950
OG0000019	Prah.g_01410	Praw.g_00479, Praw.g_00767
OG0000024	Prah.g_02171	Praw.g_00828
OG0000025	Prah.g_01120	Praw.g_01432
OG0000026	Prah.g_00042	Praw.g_01395
OG0000028	Prah.g_00408	Praw.g_01083, Praw.g_01081
OG0000033	Prah.g_01270	Praw.g_00484
OG0000033	Prah.g_00015	Praw.g_01415
OG0000034	Prah.g_02219	Praw.g_01071
OG0000036	Prah.g_01427	Praw.g_01932
OG0000037	Prah.g_00524	Praw.g_00159
OG0000038	Prah.g_01209, Prah.g_00170	Praw.g_01746
OG0000039	Prah.g_02304, Prah.g_00957	Praw.g_01269
OG0000040	Prah.g_00688	Praw.g_00772
OG0000042	Prah.g_00887, Prah.g_00958	Praw.g_01809
OG0000043	Prah.g_01233, Prah.g_01231	Praw.g_01712
OG0000044	Prah.g_01322	Praw.g_00234
OG0000045	Prah.g_02195	Praw.g_01055
OG0000046	Prah.g_01666	Praw.g_00508
OG0000047	Prah.g_00150	Praw.g_00039
OG0000048	Prah.g_01256, Prah.g_00135	Praw.g_00032
OG0000050	Prah.g_00038	Praw.g_01397
