Orthogroup	Prah	Prbl
OG0000000	Prah.g_00562	Prbl.g_01582
OG0000000	Prah.g_01226	Prbl.g_01092
OG0000001	Prah.g_01154, Prah.g_01152, Prah.g_01346	Prbl.g_00118
OG0000001	Prah.g_01348	Prbl.g_00116
OG0000002	Prah.g_02270	Prbl.g_00808, Prbl.g_02598
OG0000002	Prah.g_00896	Prbl.g_02578
OG0000002	Prah.g_00324	Prbl.g_00725
OG0000002	Prah.g_01343	Prbl.g_00121
OG0000003	Prah.g_01347	Prbl.g_00117
OG0000004	Prah.g_01175	Prbl.g_01685
OG0000004	Prah.g_00215	Prbl.g_00628, Prbl.g_00679
OG0000006	Prah.g_01546	Prbl.g_00531
OG0000006	Prah.g_01676	Prbl.g_00394
OG0000007	Prah.g_00969	Prbl.g_01854
OG0000007	Prah.g_00970	Prbl.g_01855
OG0000009	Prah.g_02086	Prbl.g_01509
OG0000011	Prah.g_00322, Prah.g_00321	Prbl.g_01574
OG0000011	Prah.g_00353	Prbl.g_00719
OG0000012	Prah.g_01397	Prbl.g_01755
OG0000012	Prah.g_01405	Prbl.g_01763
OG0000013	Prah.g_01155, Prah.g_00576	Prbl.g_01566
OG0000016	Prah.g_01007	Prbl.g_00007
OG0000016	Prah.g_01048	Prbl.g_00046
OG0000017	Prah.g_00381	Prbl.g_00691
OG0000018	Prah.g_00475, Prah.g_01767	Prbl.g_02601
OG0000019	Prah.g_01410	Prbl.g_01768
OG0000020	Prah.g_02122	Prbl.g_01465
OG0000024	Prah.g_02171	Prbl.g_01416
OG0000026	Prah.g_00042	Prbl.g_01981
OG0000028	Prah.g_00408	Prbl.g_00242
OG0000031	Prah.g_01166	Prbl.g_01677
OG0000032	Prah.g_02248	Prbl.g_00835, Prbl.g_00830
OG0000034	Prah.g_02219	Prbl.g_00870
OG0000036	Prah.g_01427	Prbl.g_01783
OG0000037	Prah.g_00524	Prbl.g_01618
OG0000038	Prah.g_01209	Prbl.g_01072
OG0000038	Prah.g_00170	Prbl.g_01310
OG0000039	Prah.g_02304	Prbl.g_00281
OG0000039	Prah.g_00957	Prbl.g_01838
OG0000040	Prah.g_00688	Prbl.g_02355
OG0000042	Prah.g_00887	Prbl.g_02567
OG0000042	Prah.g_00958	Prbl.g_01839
OG0000043	Prah.g_01233	Prbl.g_01099
OG0000043	Prah.g_01231	Prbl.g_01097
OG0000044	Prah.g_01322	Prbl.g_02084
OG0000045	Prah.g_02195	Prbl.g_00890
OG0000046	Prah.g_01666	Prbl.g_00405
OG0000047	Prah.g_00150	Prbl.g_01285
OG0000048	Prah.g_01256, Prah.g_00135	Prbl.g_01236, Prbl.g_01121
OG0000049	Prah.g_00925, Prah.g_00274	Prbl.g_00261
OG0000049	Prah.g_00938	Prbl.g_00746
OG0000049	Prah.g_00931	Prbl.g_00106
OG0000049	Prah.g_00928	Prbl.g_02178
OG0000049	Prah.g_02367	Prbl.g_00265
OG0000049	Prah.g_00551, Prah.g_01080	Prbl.g_00740
OG0000050	Prah.g_00038	Prbl.g_01977
OG0000051	Prah.g_02295	Prbl.g_00290
OG0000052	Prah.g_01660	Prbl.g_00411
OG0000053	Prah.g_01485	Prbl.g_00752
OG0000054	Prah.g_01812	Prbl.g_01943
OG0000055	Prah.g_00641	Prbl.g_02310
OG0000056	Prah.g_02425	Prbl.g_00138
OG0000058	Prah.g_00312	Prbl.g_01340
OG0000059	Prah.g_01027	Prbl.g_00025
OG0000062	Prah.g_02524	Prbl.g_02204
OG0000063	Prah.g_01257	Prbl.g_01384
OG0000065	Prah.g_01364	Prbl.g_01722
OG0000066	Prah.g_02192	Prbl.g_00892
OG0000068	Prah.g_01995	Prbl.g_01126, Prbl.g_01000
OG0000069	Prah.g_00358	Prbl.g_00712
OG0000069	Prah.g_02196	Prbl.g_00889
OG0000070	Prah.g_00342, Prah.g_00341, Prah.g_01968	Prbl.g_01171
OG0000070	Prah.g_00543	Prbl.g_01599
OG0000071	Prah.g_00013	Prbl.g_02109
OG0000072	Prah.g_02187	Prbl.g_00897
OG0000073	Prah.g_00445	Prbl.g_01395
OG0000074	Prah.g_00974	Prbl.g_01859
OG0000075	Prah.g_00660	Prbl.g_02328
OG0000076	Prah.g_00915	Prbl.g_00927
OG0000078	Prah.g_02191	Prbl.g_00893
OG0000079	Prah.g_01654	Prbl.g_00417
OG0000080	Prah.g_01609	Prbl.g_00462
OG0000081	Prah.g_02230	Prbl.g_00857
OG0000082	Prah.g_02533	Prbl.g_02195
OG0000083	Prah.g_00004	Prbl.g_02118
OG0000084	Prah.g_00007	Prbl.g_02115
OG0000085	Prah.g_00029	Prbl.g_01968
OG0000087	Prah.g_02458	Prbl.g_02273
OG0000088	Prah.g_00194	Prbl.g_01331
OG0000089	Prah.g_00176, Prah.g_00180	Prbl.g_01316
OG0000090	Prah.g_02268	Prbl.g_00810
OG0000091	Prah.g_02307	Prbl.g_00278
OG0000092	Prah.g_02308	Prbl.g_00277
OG0000093	Prah.g_02324	Prbl.g_00069
OG0000094	Prah.g_02362	Prbl.g_00098
OG0000095	Prah.g_02371	Prbl.g_01282
OG0000096	Prah.g_02089	Prbl.g_01506
OG0000097	Prah.g_02126	Prbl.g_01461
OG0000098	Prah.g_02139	Prbl.g_01448
OG0000099	Prah.g_02151	Prbl.g_01436
OG0000100	Prah.g_02155	Prbl.g_01432
OG0000101	Prah.g_00208	Prbl.g_02677
OG0000102	Prah.g_02538	Prbl.g_02190
OG0000103	Prah.g_00313, Prah.g_00314	Prbl.g_01339
OG0000104	Prah.g_01566	Prbl.g_00511
OG0000105	Prah.g_01544	Prbl.g_00533
OG0000106	Prah.g_00108, Prah.g_01503	Prbl.g_00768
OG0000107	Prah.g_01501	Prbl.g_00766
OG0000108	Prah.g_01476	Prbl.g_02647
OG0000109	Prah.g_01465	Prbl.g_01886
OG0000110	Prah.g_01446	Prbl.g_01905
OG0000111	Prah.g_00474	Prbl.g_01043
OG0000112	Prah.g_00473	Prbl.g_01042
OG0000113	Prah.g_00752	Prbl.g_02432
OG0000114	Prah.g_00669	Prbl.g_02337
OG0000115	Prah.g_00796	Prbl.g_02478
OG0000116	Prah.g_00805	Prbl.g_02486
OG0000117	Prah.g_00912	Prbl.g_00930
OG0000118	Prah.g_02597	Prbl.g_02128
OG0000119	Prah.g_02526	Prbl.g_02202
OG0000120	Prah.g_01315	Prbl.g_02091
OG0000121	Prah.g_01254	Prbl.g_01119
OG0000122	Prah.g_01276	Prbl.g_02583
OG0000123	Prah.g_01237, Prah.g_01238	Prbl.g_01102
OG0000124	Prah.g_00905	Prbl.g_00937
OG0000125	Prah.g_01378	Prbl.g_01736
OG0000126	Prah.g_01576	Prbl.g_00502
OG0000127	Prah.g_00424	Prbl.g_00258
OG0000128	Prah.g_00407	Prbl.g_00241
OG0000129	Prah.g_00361	Prbl.g_00709
OG0000130	Prah.g_01672	Prbl.g_00399
OG0000131	Prah.g_01725	Prbl.g_00350
OG0000132	Prah.g_01728	Prbl.g_00347
OG0000133	Prah.g_02038	Prbl.g_00957
OG0000134	Prah.g_02001	Prbl.g_00994
OG0000135	Prah.g_01999	Prbl.g_00996
OG0000136	Prah.g_02244	Prbl.g_00841
OG0000137	Prah.g_00089	Prbl.g_02053
OG0000138	Prah.g_02498	Prbl.g_02231
OG0000139	Prah.g_02578	Prbl.g_02147
OG0000140	Prah.g_00002	Prbl.g_02120
OG0000141	Prah.g_00003	Prbl.g_02119
OG0000142	Prah.g_00005	Prbl.g_02117
OG0000143	Prah.g_00006	Prbl.g_02116
OG0000144	Prah.g_00008	Prbl.g_02114
OG0000145	Prah.g_00010	Prbl.g_02112
OG0000146	Prah.g_00011	Prbl.g_02111
OG0000147	Prah.g_00012	Prbl.g_02110
OG0000148	Prah.g_00014	Prbl.g_02108
OG0000149	Prah.g_00016	Prbl.g_01955
OG0000150	Prah.g_00017	Prbl.g_01956
OG0000151	Prah.g_00022	Prbl.g_01961
OG0000152	Prah.g_00023	Prbl.g_01962
OG0000153	Prah.g_00024	Prbl.g_01963
OG0000154	Prah.g_00025	Prbl.g_01964
OG0000155	Prah.g_00026	Prbl.g_01965
OG0000156	Prah.g_00027	Prbl.g_01966
OG0000157	Prah.g_00028	Prbl.g_01967
OG0000158	Prah.g_00030	Prbl.g_01969
OG0000159	Prah.g_00031	Prbl.g_01970
OG0000160	Prah.g_00032	Prbl.g_01971
OG0000161	Prah.g_00033	Prbl.g_01972
OG0000162	Prah.g_00034	Prbl.g_01973
OG0000163	Prah.g_00036	Prbl.g_01975
