Orthogroup	Prbd	Praq
OG0000000	Prbd.g_01771	Praq.g_00168
OG0000000	Prbd.g_00566	Praq.g_00807
OG0000001	Prbd.g_00528	Praq.g_00025
OG0000002	Prbd.g_01779	Praq.g_00160
OG0000002	Prbd.g_01930	Praq.g_01394
OG0000003	Prbd.g_01835	Praq.g_00115
OG0000003	Prbd.g_01567	Praq.g_00028
OG0000004	Prbd.g_00031	Praq.g_00607
OG0000004	Prbd.g_00038	Praq.g_00614
OG0000005	Prbd.g_01568	Praq.g_00026
OG0000005	Prbd.g_01914	Praq.g_01956
OG0000006	Prbd.g_00745	Praq.g_01105
OG0000006	Prbd.g_01525	Praq.g_00497
OG0000007	Prbd.g_00572	Praq.g_00801
OG0000008	Prbd.g_00854	Praq.g_01159
OG0000008	Prbd.g_01894	Praq.g_00085
OG0000009	Prbd.g_00082	Praq.g_00649
OG0000009	Prbd.g_00990	Praq.g_01753
OG0000010	Prbd.g_01840	Praq.g_00081
OG0000010	Prbd.g_00409	Praq.g_01283
OG0000010	Prbd.g_01870	Praq.g_00097
OG0000011	Prbd.g_00909	Praq.g_01672
OG0000012	Prbd.g_00646	Praq.g_01004
OG0000013	Prbd.g_00826	Praq.g_00065
OG0000014	Prbd.g_00772	Praq.g_00521
OG0000015	Prbd.g_00856	Praq.g_01161
OG0000016	Prbd.g_01768	Praq.g_00171
OG0000017	Prbd.g_01669	Praq.g_00314
OG0000018	Prbd.g_00998	Praq.g_01761
OG0000019	Prbd.g_00874	Praq.g_01179
OG0000020	Prbd.g_00864	Praq.g_01169
OG0000021	Prbd.g_00084	Praq.g_00651
OG0000022	Prbd.g_01833	Praq.g_00117
OG0000023	Prbd.g_01576	Praq.g_00017
OG0000024	Prbd.g_00933	Praq.g_01696
OG0000025	Prbd.g_00375	Praq.g_01654
OG0000026	Prbd.g_01204	Praq.g_01236, Praq.g_01237
OG0000027	Prbd.g_01601	Praq.g_00381
OG0000027	Prbd.g_00034	Praq.g_00610
OG0000028	Prbd.g_01689	Praq.g_00294
OG0000029	Prbd.g_01575	Praq.g_00018
OG0000035	Prbd.g_00379	Praq.g_01657
OG0000035	Prbd.g_00192	Praq.g_01475
OG0000036	Prbd.g_00658	Praq.g_01018
OG0000037	Prbd.g_00621	Praq.g_00979
OG0000038	Prbd.g_00061	Praq.g_00635
OG0000039	Prbd.g_01074	Praq.g_01836
OG0000040	Prbd.g_00879	Praq.g_01184
OG0000041	Prbd.g_00833	Praq.g_01129
OG0000042	Prbd.g_00007	Praq.g_00583
OG0000043	Prbd.g_00087	Praq.g_00654
OG0000044	Prbd.g_00468	Praq.g_01333
OG0000045	Prbd.g_01733	Praq.g_00218
OG0000047	Prbd.g_01335	Praq.g_00763
OG0000048	Prbd.g_01328	Praq.g_00770
OG0000050	Prbd.g_01206	Praq.g_01234
OG0000051	Prbd.g_01083	Praq.g_00554, Praq.g_01845
OG0000052	Prbd.g_00868	Praq.g_01173
OG0000053	Prbd.g_00703	Praq.g_01063
OG0000054	Prbd.g_00055	Praq.g_00629
OG0000055	Prbd.g_00124	Praq.g_01420
OG0000057	Prbd.g_01002	Praq.g_01765
OG0000058	Prbd.g_00767	Praq.g_00526
OG0000059	Prbd.g_00546	Praq.g_00827
OG0000060	Prbd.g_00036	Praq.g_00612
OG0000061	Prbd.g_00425	Praq.g_01298
OG0000062	Prbd.g_00427	Praq.g_01300
OG0000063	Prbd.g_01895	Praq.g_00084
OG0000064	Prbd.g_01884	Praq.g_00091
OG0000065	Prbd.g_01801	Praq.g_00133
OG0000066	Prbd.g_01737	Praq.g_00208
OG0000067	Prbd.g_01867, Prbd.g_00534	Praq.g_00100
OG0000068	Prbd.g_01391	Praq.g_00879
OG0000069	Prbd.g_01730	Praq.g_00202
OG0000071	Prbd.g_01226	Praq.g_00437
OG0000072	Prbd.g_00917	Praq.g_01680
OG0000073	Prbd.g_00575	Praq.g_00798
OG0000074	Prbd.g_00553	Praq.g_00820
OG0000075	Prbd.g_00109	Praq.g_00677
OG0000076	Prbd.g_00340	Praq.g_01619
OG0000078	Prbd.g_01734	Praq.g_00216
OG0000079	Prbd.g_01610	Praq.g_00372
OG0000080	Prbd.g_01561	Praq.g_00052
OG0000081	Prbd.g_01361	Praq.g_00737
OG0000082	Prbd.g_01272	Praq.g_00392
OG0000083	Prbd.g_01234	Praq.g_00429
OG0000084	Prbd.g_01231	Praq.g_00432
OG0000085	Prbd.g_01214	Praq.g_01226
OG0000086	Prbd.g_01199	Praq.g_01254
OG0000087	Prbd.g_01188	Praq.g_01265
OG0000088	Prbd.g_01131	Praq.g_01890
OG0000089	Prbd.g_01122	Praq.g_01882
OG0000090	Prbd.g_01104, Prbd.g_01103	Praq.g_01864
OG0000091	Prbd.g_01071	Praq.g_01833
OG0000092	Prbd.g_01070	Praq.g_01832
OG0000093	Prbd.g_01056	Praq.g_01818
OG0000094	Prbd.g_01038	Praq.g_01800
OG0000095	Prbd.g_01033	Praq.g_01795
OG0000096	Prbd.g_00988	Praq.g_01751
OG0000097	Prbd.g_00965	Praq.g_01729
OG0000098	Prbd.g_00955	Praq.g_01718
OG0000099	Prbd.g_00945	Praq.g_01708
OG0000100	Prbd.g_00942	Praq.g_01705
OG0000101	Prbd.g_00882	Praq.g_01187
OG0000102	Prbd.g_00855	Praq.g_01160
OG0000103	Prbd.g_00766	Praq.g_00527
OG0000104	Prbd.g_00762	Praq.g_00531
OG0000105	Prbd.g_00743	Praq.g_01103
OG0000106	Prbd.g_00710	Praq.g_01070
OG0000107	Prbd.g_00709	Praq.g_01069
OG0000108	Prbd.g_00699	Praq.g_01059
OG0000109	Prbd.g_00690	Praq.g_01050
OG0000110	Prbd.g_00674	Praq.g_01034
OG0000111	Prbd.g_00593	Praq.g_00780
OG0000112	Prbd.g_00592	Praq.g_00781
OG0000113	Prbd.g_00029	Praq.g_00605
OG0000114	Prbd.g_00100	Praq.g_00668
OG0000115	Prbd.g_00264	Praq.g_01548
OG0000116	Prbd.g_00268	Praq.g_01552
OG0000117	Prbd.g_00337	Praq.g_01616
OG0000118	Prbd.g_00389	Praq.g_01667
OG0000119	Prbd.g_00430	Praq.g_01303
OG0000120	Prbd.g_00474	Praq.g_01339
OG0000121	Prbd.g_00493	Praq.g_01358
OG0000122	Prbd.g_00512	Praq.g_01377
OG0000123	Prbd.g_00525	Praq.g_01390
OG0000124	Prbd.g_01921	Praq.g_00257
OG0000125	Prbd.g_01789	Praq.g_00145
OG0000126	Prbd.g_01764	Praq.g_00175
OG0000127	Prbd.g_01702	Praq.g_00281
OG0000128	Prbd.g_01688	Praq.g_00295
OG0000129	Prbd.g_01652	Praq.g_00331
OG0000130	Prbd.g_01527	Praq.g_01954, Praq.g_00499
OG0000131	Prbd.g_01489	Praq.g_00461
OG0000132	Prbd.g_01486	Praq.g_00458
OG0000133	Prbd.g_01432	Praq.g_00920
OG0000134	Prbd.g_01396	Praq.g_00884
OG0000135	Prbd.g_01394	Praq.g_00882
OG0000136	Prbd.g_01350	Praq.g_00748
OG0000137	Prbd.g_01317	Praq.g_00683
OG0000138	Prbd.g_01281	Praq.g_00718
OG0000139	Prbd.g_01255	Praq.g_00409
OG0000140	Prbd.g_01236	Praq.g_00427
OG0000141	Prbd.g_01235	Praq.g_00428
OG0000142	Prbd.g_01233	Praq.g_00430
OG0000143	Prbd.g_01232	Praq.g_00431
OG0000144	Prbd.g_01230	Praq.g_00433
OG0000145	Prbd.g_01229	Praq.g_00434
OG0000146	Prbd.g_01228	Praq.g_00435
OG0000147	Prbd.g_01227	Praq.g_00436
OG0000148	Prbd.g_01225	Praq.g_00438
OG0000149	Prbd.g_01223	Praq.g_01217
OG0000150	Prbd.g_01222	Praq.g_01218
OG0000151	Prbd.g_01221	Praq.g_01219
OG0000152	Prbd.g_01220	Praq.g_01220
OG0000153	Prbd.g_01219	Praq.g_01221
OG0000154	Prbd.g_01218	Praq.g_01222
OG0000155	Prbd.g_01217	Praq.g_01223
OG0000156	Prbd.g_01216	Praq.g_01224
OG0000157	Prbd.g_01215	Praq.g_01225
OG0000158	Prbd.g_01213	Praq.g_01227
OG0000159	Prbd.g_01212	Praq.g_01228
OG0000160	Prbd.g_01211	Praq.g_01229
OG0000161	Prbd.g_01210	Praq.g_01230
OG0000162	Prbd.g_01209	Praq.g_01231
OG0000163	Prbd.g_01208	Praq.g_01232
