Orthogroup	Prbd	Prbc
OG0000000	Prbd.g_01771	Prbc.g_01920
OG0000000	Prbd.g_00566	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473
OG0000001	Prbd.g_01836	Prbc.g_00525
OG0000002	Prbd.g_01779	Prbc.g_00588
OG0000002	Prbd.g_01930	Prbc.g_00925, Prbc.g_01530
OG0000003	Prbd.g_01835, Prbd.g_01567	Prbc.g_00609, Prbc.g_00812
OG0000004	Prbd.g_00038	Prbc.g_01294, Prbc.g_01233, Prbc.g_02193
OG0000005	Prbd.g_01568, Prbd.g_01914	Prbc.g_00806, Prbc.g_00104, Prbc.g_02164, Prbc.g_02165
OG0000006	Prbd.g_00745	Prbc.g_01556
OG0000006	Prbd.g_01525	Prbc.g_00832
OG0000009	Prbd.g_00082	Prbc.g_01836
OG0000010	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870	Prbc.g_01323
OG0000011	Prbd.g_00909	Prbc.g_01227
OG0000012	Prbd.g_00646	Prbc.g_01681, Prbc.g_01674
OG0000013	Prbd.g_00065, Prbd.g_00826	Prbc.g_00599
OG0000014	Prbd.g_01832, Prbd.g_00772	Prbc.g_00072
OG0000015	Prbd.g_00856	Prbc.g_00125, Prbc.g_00037, Prbc.g_00013
OG0000016	Prbd.g_01768	Prbc.g_00650
OG0000017	Prbd.g_01669	Prbc.g_00728
OG0000018	Prbd.g_00998	Prbc.g_02202
OG0000019	Prbd.g_01546, Prbd.g_00874	Prbc.g_02189
OG0000020	Prbd.g_00439	Prbc.g_01165
OG0000021	Prbd.g_00084	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064, Prbc.g_02139, Prbc.g_00059
OG0000022	Prbd.g_01833	Prbc.g_02163, Prbc.g_00103
OG0000023	Prbd.g_01887	Prbc.g_01344
OG0000024	Prbd.g_00933	Prbc.g_01198, Prbc.g_00680
OG0000026	Prbd.g_01204	Prbc.g_00932
OG0000027	Prbd.g_01601	Prbc.g_02158, Prbc.g_00045, Prbc.g_02171
OG0000028	Prbd.g_01689	Prbc.g_00709
OG0000029	Prbd.g_01575	Prbc.g_02181, Prbc.g_00752
OG0000031	Prbd.g_01544	Prbc.g_00088
OG0000033	Prbd.g_01224	Prbc.g_01083
OG0000035	Prbd.g_00192	Prbc.g_01380
OG0000036	Prbd.g_00658	Prbc.g_00891
