Orthogroup	Prbd	Prag
OG0000000	Prbd.g_01771	Prag.g_01382
OG0000000	Prbd.g_00566	Prag.g_00656
OG0000001	Prbd.g_00528	Prag.g_01213
OG0000001	Prbd.g_01836	Prag.g_01626
OG0000002	Prbd.g_01779	Prag.g_01374
OG0000002	Prbd.g_01930	Prag.g_01215, Prag.g_01216, Prag.g_00764
OG0000003	Prbd.g_01835	Prag.g_01333
OG0000003	Prbd.g_01567	Prag.g_01610
OG0000004	Prbd.g_00031	Prag.g_00726
OG0000004	Prbd.g_00038	Prag.g_00734
OG0000004	Prbd.g_01855	Prag.g_01332
OG0000005	Prbd.g_01568	Prag.g_01608
OG0000006	Prbd.g_00745	Prag.g_00476
OG0000006	Prbd.g_01525	Prag.g_01669
OG0000007	Prbd.g_00572	Prag.g_00650
OG0000008	Prbd.g_00854	Prag.g_00376
OG0000008	Prbd.g_01894	Prag.g_01300
OG0000009	Prbd.g_00082	Prag.g_00786
OG0000009	Prbd.g_00990	Prag.g_00242
OG0000010	Prbd.g_01840	Prag.g_01636
OG0000010	Prbd.g_00409	Prag.g_01103
OG0000010	Prbd.g_01870	Prag.g_01319
OG0000011	Prbd.g_00909	Prag.g_00321
OG0000012	Prbd.g_00646	Prag.g_00576
OG0000013	Prbd.g_00826	Prag.g_00765
OG0000014	Prbd.g_01832	Prag.g_01336
OG0000014	Prbd.g_00772	Prag.g_00449
OG0000015	Prbd.g_00856	Prag.g_00374
OG0000016	Prbd.g_01768	Prag.g_01385
OG0000017	Prbd.g_01669	Prag.g_01510
OG0000018	Prbd.g_00998	Prag.g_00234, Prag.g_01231
OG0000019	Prbd.g_01546	Prag.g_01633
OG0000019	Prbd.g_00874	Prag.g_00359
OG0000020	Prbd.g_00864	Prag.g_00368
OG0000021	Prbd.g_00084	Prag.g_00788
OG0000022	Prbd.g_01833	Prag.g_01335, Prag.g_00719
OG0000023	Prbd.g_01576	Prag.g_01600
OG0000024	Prbd.g_00933	Prag.g_00297
OG0000025	Prbd.g_00375	Prag.g_01071
OG0000026	Prbd.g_01204	Prag.g_00033
OG0000027	Prbd.g_00034	Prag.g_00730
OG0000028	Prbd.g_01689	Prag.g_01488, Prag.g_01490
OG0000029	Prbd.g_01575	Prag.g_01601
OG0000033	Prbd.g_01224	Prag.g_00013
OG0000035	Prbd.g_00379	Prag.g_01075
OG0000035	Prbd.g_00192	Prag.g_01259
OG0000036	Prbd.g_00658	Prag.g_00563
OG0000037	Prbd.g_00621	Prag.g_00601
OG0000038	Prbd.g_00061	Prag.g_00757
OG0000039	Prbd.g_01074	Prag.g_00159
OG0000040	Prbd.g_00879	Prag.g_00354
OG0000041	Prbd.g_00833	Prag.g_00396
OG0000042	Prbd.g_00007	Prag.g_00692
OG0000043	Prbd.g_00087	Prag.g_00791
OG0000044	Prbd.g_00468	Prag.g_01153
OG0000045	Prbd.g_01733	Prag.g_01428
OG0000046	Prbd.g_01532	Prag.g_01662
OG0000047	Prbd.g_01335	Prag.g_01861
OG0000048	Prbd.g_01328	Prag.g_01868
OG0000050	Prbd.g_01206	Prag.g_00031
OG0000051	Prbd.g_01083	Prag.g_00150
OG0000052	Prbd.g_00868	Prag.g_00364
OG0000053	Prbd.g_00703	Prag.g_00518
OG0000054	Prbd.g_00055	Prag.g_00751
OG0000055	Prbd.g_00124	Prag.g_00828
OG0000057	Prbd.g_01002	Prag.g_00230
OG0000058	Prbd.g_00767	Prag.g_00454
OG0000059	Prbd.g_00546	Prag.g_00676
OG0000060	Prbd.g_00036	Prag.g_00732
OG0000061	Prbd.g_00425	Prag.g_01118
OG0000061	Prbd.g_00284	Prag.g_00984
OG0000062	Prbd.g_00427	Prag.g_01120
OG0000063	Prbd.g_01895	Prag.g_01298
OG0000064	Prbd.g_01536, Prbd.g_01884, Prbd.g_01547	Prag.g_01308
OG0000065	Prbd.g_01801	Prag.g_01355
OG0000066	Prbd.g_01737	Prag.g_01423
OG0000068	Prbd.g_01391	Prag.g_01804
OG0000069	Prbd.g_01730	Prag.g_01416
OG0000071	Prbd.g_01226	Prag.g_00011
OG0000072	Prbd.g_00917	Prag.g_00313
OG0000073	Prbd.g_00575	Prag.g_00647
OG0000074	Prbd.g_00553	Prag.g_00669
OG0000075	Prbd.g_00109	Prag.g_00813
OG0000076	Prbd.g_00340	Prag.g_01036
OG0000078	Prbd.g_01734	Prag.g_01424
OG0000079	Prbd.g_01610	Prag.g_01568
OG0000080	Prbd.g_01561	Prag.g_01617
OG0000081	Prbd.g_01361	Prag.g_01834
OG0000082	Prbd.g_01272	Prag.g_01923
OG0000083	Prbd.g_01234	Prag.g_00003
