Orthogroup	Prbd	Prat
OG0000000	Prbd.g_01771	Prat.g_00977
OG0000000	Prbd.g_00566	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000001	Prbd.g_01569	Prat.g_01549
OG0000002	Prbd.g_01779	Prat.g_01285, Prat.g_01286
OG0000002	Prbd.g_01930	Prat.g_00851
OG0000003	Prbd.g_01835, Prbd.g_01567	Prat.g_01190
OG0000004	Prbd.g_00038	Prat.g_00824
OG0000006	Prbd.g_00745	Prat.g_00458
OG0000006	Prbd.g_01525	Prat.g_01592
OG0000009	Prbd.g_00082	Prat.g_01180
OG0000009	Prbd.g_00990	Prat.g_00255
OG0000010	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870	Prat.g_00634
OG0000012	Prbd.g_00646	Prat.g_00567, Prat.g_00560
OG0000013	Prbd.g_00065, Prbd.g_00826	Prat.g_00701
OG0000014	Prbd.g_01832, Prbd.g_00772	Prat.g_01548, Prat.g_01474
OG0000015	Prbd.g_00856	Prat.g_00615, Prat.g_01580, Prat.g_00639
OG0000016	Prbd.g_01768	Prat.g_00647, Prat.g_01452
OG0000018	Prbd.g_00998	Prat.g_00248
OG0000019	Prbd.g_01546, Prbd.g_00874	Prat.g_00461
OG0000020	Prbd.g_00439	Prat.g_00278
OG0000022	Prbd.g_01833	Prat.g_01191
OG0000023	Prbd.g_01887	Prat.g_01451
OG0000024	Prbd.g_00933	Prat.g_00314, Prat.g_01267
OG0000028	Prbd.g_01689	Prat.g_01352, Prat.g_01353
OG0000029	Prbd.g_01575	Prat.g_01400
OG0000033	Prbd.g_01224	Prat.g_00014
OG0000035	Prbd.g_00379, Prbd.g_00192	Prat.g_00657
OG0000036	Prbd.g_00658	Prat.g_01507
OG0000037	Prbd.g_00621	Prat.g_00586
OG0000038	Prbd.g_00061	Prat.g_01448, Prat.g_01192
OG0000039	Prbd.g_01074	Prat.g_00166
OG0000040	Prbd.g_00879	Prat.g_00834
OG0000041	Prbd.g_00833	Prat.g_01552, Prat.g_00613
OG0000042	Prbd.g_00007	Prat.g_00788
OG0000043	Prbd.g_00087	Prat.g_00856
