Orthogroup	Prbd	Prae
OG0000000	Prbd.g_01771	Prae.g_01361
OG0000000	Prbd.g_00566	Prae.g_00652
OG0000001	Prbd.g_00528	Prae.g_01222
OG0000001	Prbd.g_01836	Prae.g_01300
OG0000002	Prbd.g_01779	Prae.g_01353
OG0000002	Prbd.g_01930	Prae.g_01223, Prae.g_01224, Prae.g_01236
OG0000003	Prbd.g_01835	Prae.g_01308
OG0000003	Prbd.g_01567	Prae.g_01581
OG0000004	Prbd.g_00031	Prae.g_00735
OG0000004	Prbd.g_00038	Prae.g_00742
OG0000004	Prbd.g_01855	Prae.g_01297
OG0000005	Prbd.g_01568	Prae.g_01580
OG0000006	Prbd.g_00745	Prae.g_00471
OG0000006	Prbd.g_01525	Prae.g_01623
OG0000007	Prbd.g_00572	Prae.g_00646
OG0000008	Prbd.g_00854	Prae.g_00383
OG0000008	Prbd.g_00297	Prae.g_00997
OG0000008	Prbd.g_01894	Prae.g_01264
OG0000009	Prbd.g_00082	Prae.g_00786
OG0000009	Prbd.g_00990	Prae.g_00252
OG0000010	Prbd.g_00409	Prae.g_01110
OG0000010	Prbd.g_01870	Prae.g_01283
OG0000011	Prbd.g_00909	Prae.g_00331
OG0000012	Prbd.g_00646	Prae.g_00572
OG0000013	Prbd.g_00065	Prae.g_00769
OG0000013	Prbd.g_00826	Prae.g_01235
OG0000014	Prbd.g_01832	Prae.g_01311
OG0000014	Prbd.g_00772	Prae.g_00444
OG0000015	Prbd.g_00856	Prae.g_00381
OG0000016	Prbd.g_01768	Prae.g_01364
OG0000017	Prbd.g_01669	Prae.g_01479
OG0000018	Prbd.g_00998	Prae.g_00244
OG0000019	Prbd.g_01546	Prae.g_01600
OG0000019	Prbd.g_00874	Prae.g_00364
OG0000020	Prbd.g_00864	Prae.g_00374
OG0000021	Prbd.g_00084	Prae.g_00788
OG0000022	Prbd.g_01833	Prae.g_01310
OG0000023	Prbd.g_01887	Prae.g_01270
OG0000023	Prbd.g_01576	Prae.g_01572
OG0000024	Prbd.g_00933	Prae.g_00307
OG0000025	Prbd.g_00375	Prae.g_01077
OG0000026	Prbd.g_01204	Prae.g_00033
OG0000027	Prbd.g_01601	Prae.g_01546
OG0000027	Prbd.g_00034	Prae.g_00738
OG0000028	Prbd.g_01689	Prae.g_01459
OG0000029	Prbd.g_01575	Prae.g_01573
OG0000031	Prbd.g_01544	Prae.g_01602
OG0000033	Prbd.g_01224	Prae.g_00013
OG0000035	Prbd.g_00192	Prae.g_00894
OG0000036	Prbd.g_00658	Prae.g_00559
OG0000037	Prbd.g_00621	Prae.g_00597
OG0000038	Prbd.g_00061	Prae.g_00764
OG0000039	Prbd.g_01074	Prae.g_00169
OG0000040	Prbd.g_00879	Prae.g_00359
OG0000041	Prbd.g_00833	Prae.g_00402
OG0000042	Prbd.g_00007	Prae.g_00711
OG0000043	Prbd.g_00087	Prae.g_00791
OG0000044	Prbd.g_00468	Prae.g_01163
OG0000045	Prbd.g_01733	Prae.g_01417
OG0000046	Prbd.g_01532	Prae.g_01616
OG0000047	Prbd.g_01335	Prae.g_01815
OG0000048	Prbd.g_01328	Prae.g_01822
OG0000050	Prbd.g_01206	Prae.g_00031
OG0000051	Prbd.g_01083	Prae.g_00160
OG0000052	Prbd.g_00868	Prae.g_00370
OG0000053	Prbd.g_00703	Prae.g_00514
OG0000054	Prbd.g_00055	Prae.g_00758
OG0000055	Prbd.g_00124	Prae.g_00828
OG0000057	Prbd.g_01002	Prae.g_00240
OG0000058	Prbd.g_00767	Prae.g_00449
OG0000059	Prbd.g_00546	Prae.g_00672
OG0000060	Prbd.g_00036	Prae.g_00740
OG0000061	Prbd.g_00425	Prae.g_01128
OG0000061	Prbd.g_00284	Prae.g_00984
OG0000062	Prbd.g_00427	Prae.g_01130
OG0000063	Prbd.g_01895	Prae.g_01263
OG0000064	Prbd.g_01884	Prae.g_01272
OG0000065	Prbd.g_01801	Prae.g_01329
OG0000066	Prbd.g_01737	Prae.g_01389
OG0000067	Prbd.g_00534	Prae.g_01245
OG0000068	Prbd.g_01391	Prae.g_01758
OG0000071	Prbd.g_01226	Prae.g_00011
OG0000072	Prbd.g_00917	Prae.g_00323
OG0000073	Prbd.g_00575	Prae.g_00643
OG0000074	Prbd.g_00553	Prae.g_00665
OG0000075	Prbd.g_00109	Prae.g_00813
OG0000076	Prbd.g_00340	Prae.g_01040
OG0000078	Prbd.g_01734	Prae.g_01390
OG0000079	Prbd.g_01610	Prae.g_01537
OG0000080	Prbd.g_01561	Prae.g_01588
OG0000081	Prbd.g_01361	Prae.g_01789
OG0000082	Prbd.g_01272	Prae.g_01877
OG0000083	Prbd.g_01234	Prae.g_00003
OG0000084	Prbd.g_01231	Prae.g_00006
OG0000085	Prbd.g_01214	Prae.g_00023
OG0000086	Prbd.g_01199	Prae.g_00041
OG0000087	Prbd.g_01188	Prae.g_00051
OG0000088	Prbd.g_01131	Prae.g_00112
OG0000089	Prbd.g_01122	Prae.g_00121
OG0000090	Prbd.g_01103	Prae.g_00139
OG0000091	Prbd.g_01071	Prae.g_00172
OG0000092	Prbd.g_01070	Prae.g_00173
OG0000093	Prbd.g_01056	Prae.g_00187
OG0000094	Prbd.g_01038	Prae.g_00205
OG0000095	Prbd.g_01033	Prae.g_00210
OG0000096	Prbd.g_00988	Prae.g_00254
OG0000097	Prbd.g_00965	Prae.g_01440
OG0000098	Prbd.g_00955	Prae.g_00285
OG0000099	Prbd.g_00945	Prae.g_00295
OG0000100	Prbd.g_00942	Prae.g_00298
OG0000101	Prbd.g_00882	Prae.g_00356
OG0000102	Prbd.g_00855	Prae.g_00382
OG0000103	Prbd.g_00766	Prae.g_00450
OG0000104	Prbd.g_00762	Prae.g_00454
OG0000105	Prbd.g_00743	Prae.g_00473
OG0000106	Prbd.g_00710	Prae.g_00506
OG0000107	Prbd.g_00709	Prae.g_00508
OG0000108	Prbd.g_00699	Prae.g_00518
OG0000109	Prbd.g_00690	Prae.g_00527
OG0000110	Prbd.g_00674	Prae.g_00543
OG0000111	Prbd.g_00593	Prae.g_00625
OG0000112	Prbd.g_00592	Prae.g_00626
OG0000113	Prbd.g_00029	Prae.g_00733
OG0000114	Prbd.g_00100	Prae.g_00804
OG0000115	Prbd.g_00264	Prae.g_00964
OG0000116	Prbd.g_00268	Prae.g_00968
OG0000117	Prbd.g_00337	Prae.g_01037
OG0000118	Prbd.g_00389	Prae.g_01090
OG0000119	Prbd.g_00430	Prae.g_01133
OG0000120	Prbd.g_00474	Prae.g_01169
OG0000121	Prbd.g_00493	Prae.g_01188
OG0000122	Prbd.g_00512	Prae.g_01207
OG0000123	Prbd.g_00525	Prae.g_01220
OG0000124	Prbd.g_01921	Prae.g_01434
OG0000125	Prbd.g_01789	Prae.g_01341
OG0000126	Prbd.g_01764	Prae.g_01368
OG0000127	Prbd.g_01702	Prae.g_01446
OG0000128	Prbd.g_01688	Prae.g_01460
OG0000129	Prbd.g_01652	Prae.g_01496
OG0000130	Prbd.g_01527	Prae.g_01621
OG0000131	Prbd.g_01489	Prae.g_01659
OG0000132	Prbd.g_01486	Prae.g_01662
OG0000133	Prbd.g_01432	Prae.g_01717
OG0000134	Prbd.g_01396	Prae.g_01753
OG0000135	Prbd.g_01394	Prae.g_01755
OG0000136	Prbd.g_01350	Prae.g_01800
OG0000137	Prbd.g_01317	Prae.g_01832
OG0000138	Prbd.g_01281	Prae.g_01867
OG0000139	Prbd.g_01255	Prae.g_01894
OG0000140	Prbd.g_01236	Prae.g_00001
OG0000141	Prbd.g_01235	Prae.g_00002
OG0000142	Prbd.g_01233	Prae.g_00004
OG0000143	Prbd.g_01232	Prae.g_00005
OG0000144	Prbd.g_01230	Prae.g_00007
OG0000145	Prbd.g_01229	Prae.g_00008
OG0000146	Prbd.g_01228	Prae.g_00009
OG0000147	Prbd.g_01227	Prae.g_00010
OG0000148	Prbd.g_01225	Prae.g_00012
OG0000149	Prbd.g_01223	Prae.g_00014
OG0000150	Prbd.g_01222	Prae.g_00015
OG0000151	Prbd.g_01221	Prae.g_00016
OG0000152	Prbd.g_01220	Prae.g_00017
OG0000153	Prbd.g_01219	Prae.g_00018
OG0000154	Prbd.g_01218	Prae.g_00019
OG0000155	Prbd.g_01217	Prae.g_00020
OG0000156	Prbd.g_01216	Prae.g_00021
