Orthogroup	Prbd	Prbg
OG0000000	Prbd.g_01771	Prbg.g_01222, Prbg.g_01227
OG0000000	Prbd.g_00566	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Prbd.g_01779	Prbg.g_00502
OG0000002	Prbd.g_01930	Prbg.g_01069
OG0000003	Prbd.g_01835, Prbd.g_01567	Prbg.g_01524
OG0000004	Prbd.g_00038	Prbg.g_00451
OG0000005	Prbd.g_01568, Prbd.g_01914	Prbg.g_01567
OG0000006	Prbd.g_00745	Prbg.g_00216
OG0000006	Prbd.g_01525	Prbg.g_01650
OG0000009	Prbd.g_00082	Prbg.g_01510
OG0000009	Prbd.g_00990	Prbg.g_01032
OG0000010	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870	Prbg.g_00032
OG0000012	Prbd.g_00646	Prbg.g_00324, Prbg.g_00317
OG0000013	Prbd.g_00065, Prbd.g_00826	Prbg.g_01589, Prbg.g_01635
OG0000014	Prbd.g_01832, Prbd.g_00772	Prbg.g_01569, Prbg.g_00721
OG0000015	Prbd.g_00856	Prbg.g_01578, Prbg.g_01611
OG0000016	Prbd.g_01768	Prbg.g_01540, Prbg.g_00688
OG0000018	Prbd.g_00998	Prbg.g_01024
OG0000019	Prbd.g_01546, Prbd.g_00874	Prbg.g_01145
OG0000020	Prbd.g_00439	Prbg.g_00464
OG0000020	Prbd.g_00864	Prbg.g_00050
OG0000021	Prbd.g_00084	Prbg.g_01632
OG0000023	Prbd.g_01887	Prbg.g_00686
OG0000024	Prbd.g_00933	Prbg.g_00086
OG0000028	Prbd.g_01689	Prbg.g_00591
OG0000029	Prbd.g_01575	Prbg.g_00174
OG0000031	Prbd.g_01544	Prbg.g_00408
OG0000035	Prbd.g_00192	Prbg.g_00025
OG0000036	Prbd.g_00658	Prbg.g_00304, Prbg.g_01639
OG0000037	Prbd.g_00621	Prbg.g_00342, Prbg.g_00706
OG0000038	Prbd.g_00061	Prbg.g_00682
OG0000039	Prbd.g_01074	Prbg.g_00944
OG0000040	Prbd.g_00879	Prbg.g_00013
OG0000041	Prbd.g_00833	Prbg.g_01614, Prbg.g_01608
OG0000042	Prbd.g_00007	Prbg.g_01151
OG0000043	Prbd.g_00087	Prbg.g_01251
OG0000044	Prbd.g_00468	Prbg.g_01486
OG0000045	Prbd.g_01733	Prbg.g_00551
OG0000046	Prbd.g_01532	Prbg.g_00716, Prbg.g_01642
OG0000047	Prbd.g_01335	Prbg.g_01847
OG0000048	Prbd.g_01328	Prbg.g_01855
OG0000050	Prbd.g_01206	Prbg.g_00842
OG0000051	Prbd.g_01083	Prbg.g_00935
OG0000052	Prbd.g_00868	Prbg.g_00388
OG0000053	Prbd.g_00703	Prbg.g_00256
OG0000055	Prbd.g_00124	Prbg.g_01182
OG0000057	Prbd.g_01002, Prbd.g_01537	Prbg.g_01019
OG0000058	Prbd.g_00767	Prbg.g_00194
OG0000059	Prbd.g_00546	Prbg.g_01143
OG0000062	Prbd.g_00427	Prbg.g_00749
OG0000063	Prbd.g_01895	Prbg.g_01459
OG0000065	Prbd.g_01801	Prbg.g_00477
OG0000066	Prbd.g_01737	Prbg.g_00549
OG0000068	Prbd.g_01391	Prbg.g_01785
OG0000071	Prbd.g_01226	Prbg.g_00778
OG0000072	Prbd.g_00917	Prbg.g_00100
OG0000073	Prbd.g_00575	Prbg.g_01386
OG0000074	Prbd.g_00553	Prbg.g_01133
OG0000075	Prbd.g_00109	Prbg.g_01166
OG0000076	Prbd.g_00340	Prbg.g_01234
OG0000077	Prbd.g_01913	Prbg.g_01566
OG0000078	Prbd.g_01734	Prbg.g_00552
