locus_tag	ftype	length_bp	gene	EC_number	COG	product
Syat.g_00001	gene	1437	dnaA			
Syat.g_00001	CDS	1437	dnaA		COG0593	Chromosomal replication initiator protein DnaA
Syat.g_00002	gene	969	cbbX			
Syat.g_00002	CDS	969	cbbX		COG0464	Protein CbbX
Syat.g_00003	gene	246				
Syat.g_00003	CDS	246				hypothetical protein
Syat.g_00004	gene	1161				
Syat.g_00004	CDS	1161				hypothetical protein
Syat.g_00005	gene	1533	ndhD1_1			
Syat.g_00005	CDS	1533	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
Syat.g_00006	gene	1845	nuoL_1			
Syat.g_00006	CDS	1845	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
Syat.g_00007	gene	468	bfr			
Syat.g_00007	CDS	468	bfr	1.16.3.1	COG2193	Bacterioferritin
Syat.g_00008	gene	663				
Syat.g_00008	CDS	663				hypothetical protein
Syat.g_00009	gene	252	eutN			
Syat.g_00009	CDS	252	eutN		COG4576	Ethanolamine utilization protein EutN
Syat.g_00010	gene	303				
Syat.g_00010	CDS	303				hypothetical protein
Syat.g_00011	gene	1539				
Syat.g_00011	CDS	1539				hypothetical protein
Syat.g_00012	gene	2373				
Syat.g_00012	CDS	2373				hypothetical protein
Syat.g_00013	gene	342	cbbS2			
Syat.g_00013	CDS	342	cbbS2	4.1.1.39	COG4451	Ribulose bisphosphate carboxylase small chain 2
Syat.g_00014	gene	1413	cbbL2			
Syat.g_00014	CDS	1413	cbbL2	4.1.1.39	COG1850	Ribulose bisphosphate carboxylase large chain 2
Syat.g_00015	gene	312	ccmK			
Syat.g_00015	CDS	312	ccmK		COG4577	Carbon dioxide-concentrating mechanism protein CcmK
Syat.g_00016	gene	282				
Syat.g_00016	CDS	282				hypothetical protein
Syat.g_00017	gene	1017				
Syat.g_00017	CDS	1017				hypothetical protein
Syat.g_00018	gene	585				
Syat.g_00018	CDS	585		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
Syat.g_00019	gene	75				
Syat.g_00019	tRNA	75				tRNA-Val(cac)
Syat.g_00020	gene	435				
Syat.g_00020	CDS	435				hypothetical protein
Syat.g_00021	gene	525				
Syat.g_00021	CDS	525				hypothetical protein
Syat.g_00022	gene	1311	chlN			
Syat.g_00022	CDS	1311	chlN	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit N
Syat.g_00023	gene	1686	chlB			
Syat.g_00023	CDS	1686	chlB	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit B
Syat.g_00024	gene	906	chlL			
Syat.g_00024	CDS	906	chlL	1.3.7.7	COG1348	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein
Syat.g_00025	gene	885				
Syat.g_00025	CDS	885				hypothetical protein
Syat.g_00026	gene	498				
Syat.g_00026	CDS	498				hypothetical protein
Syat.g_00027	gene	1026				
Syat.g_00027	CDS	1026				hypothetical protein
Syat.g_00028	gene	588				
Syat.g_00028	CDS	588				hypothetical protein
Syat.g_00029	gene	150	psaM			
Syat.g_00029	CDS	150	psaM			Photosystem I reaction center subunit XII
Syat.g_00030	gene	498				
Syat.g_00030	CDS	498				hypothetical protein
Syat.g_00031	gene	786	lipM			
Syat.g_00031	CDS	786	lipM	2.3.1.181		Octanoyltransferase LipM
Syat.g_00032	gene	1314				
Syat.g_00032	CDS	1314				hypothetical protein
Syat.g_00033	gene	684	trpF			
Syat.g_00033	CDS	684	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
Syat.g_00034	gene	534				
Syat.g_00034	CDS	534				hypothetical protein
Syat.g_00035	gene	744	folE			
Syat.g_00035	CDS	744	folE	3.5.4.16		GTP cyclohydrolase 1
Syat.g_00036	gene	711	sdh			
