Orthogroup	Species	Prba	Orthologs
OG0000000	Praf	Prba.g_01174	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Prba.g_01174	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Prba.g_01174	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Prba.g_01174	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Prba.g_01174	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Prba.g_01174	Syab.g_01226
OG0000000	Syal	Prba.g_01174	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prba.g_01174	Pral.g_01331
OG0000000	Prat	Prba.g_01174	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Prba.g_01174	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prba.g_01174	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prba.g_01174	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prba.g_01174	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prba.g_01174	Pram.g_01561
OG0000000	Prbh	Prba.g_01174	Prbh.g_01853
OG0000000	Prai	Prba.g_01174	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prba.g_01174	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prba.g_01174	Pran.g_00582
OG0000000	Prag	Prba.g_01174	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prba.g_01174	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prba.g_01174	Prad.g_00352
OG0000000	Prav	Prba.g_01174	Prav.g_01736, Prav.g_01415
OG0000000	Prac	Prba.g_01174	Prac.g_00159
OG0000000	Praq	Prba.g_01174	Praq.g_00117
OG0000000	Prar	Prba.g_01174	Prar.g_00971
OG0000000	Prae	Prba.g_01174	Prae.g_01310
OG0000000	Praa	Prba.g_01174	Praa.g_01300
OG0000000	Prao	Prba.g_01174	Prao.g_01294
OG0000000	Pras	Prba.g_01174	Pras.g_00184
OG0000000	Prau	Prba.g_01174	Prau.g_01352
OG0000000	Prax	Prba.g_01174	Prax.g_01917
OG0000000	Pray	Prba.g_01174	Pray.g_01888
OG0000000	Praz	Prba.g_01174	Praz.g_01198
OG0000000	Prbd	Prba.g_01174	Prbd.g_01833
OG0000000	Prbi	Prba.g_01174	Prbi.g_01373
OG0000000	Pral	Prba.g_00243, Prba.g_00269	Pral.g_00037
OG0000000	Prak	Prba.g_00243, Prba.g_00269	Prak.g_01562
OG0000000	Prap	Prba.g_00243, Prba.g_00269	Prap.g_01862
OG0000000	Prbe	Prba.g_00243, Prba.g_00269	Prbe.g_01119
OG0000000	Prbf	Prba.g_00243, Prba.g_00269	Prbf.g_00776
OG0000000	Prbg	Prba.g_00243, Prba.g_00269	Prbg.g_01567
OG0000000	Prbn	Prba.g_00243, Prba.g_00269	Prbn.g_01662
OG0000000	Pram	Prba.g_00243, Prba.g_00269	Pram.g_01511
OG0000000	Prbh	Prba.g_00243, Prba.g_00269	Prbh.g_01903
OG0000000	Prbc	Prba.g_00243	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Prbb	Prba.g_00243	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785
OG0000000	Prbm	Prba.g_00243	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808
OG0000000	Praj	Prba.g_00243	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730
OG0000000	Pras	Prba.g_00243	Pras.g_00493
OG0000000	Prai	Prba.g_00243	Prai.g_01612
OG0000000	Prac	Prba.g_00243	Prac.g_00277
OG0000000	Praq	Prba.g_00243	Praq.g_01956
OG0000000	Prar	Prba.g_00243	Prar.g_00713
OG0000000	Prau	Prba.g_00243	Prau.g_01665
OG0000000	Praa	Prba.g_00243	Praa.g_01235
OG0000000	Prbd	Prba.g_00243	Prbd.g_01914
OG0000000	Prad	Prba.g_00243	Prad.g_01982
OG0000000	Pray	Prba.g_00243	Pray.g_01576
OG0000000	Praz	Prba.g_00243	Praz.g_00894
OG0000000	Praj	Prba.g_00269	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Prba.g_00269	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Prba.g_00269	Prbc.g_02165
OG0000000	Prbm	Prba.g_00269	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Prba.g_00269	Prat.g_01549
OG0000000	Praf	Prba.g_00269	Praf.g_00813
OG0000000	Prah	Prba.g_00269	Prah.g_01348
OG0000000	Prbj	Prba.g_00269	Prbj.g_00164
OG0000000	Prbk	Prba.g_00269	Prbk.g_00165
OG0000000	Prbl	Prba.g_00269	Prbl.g_00116
OG0000000	Prao	Prba.g_00269	Prao.g_01515
OG0000000	Prav	Prba.g_00269	Prav.g_01695
OG0000000	Prac	Prba.g_00269	Prac.g_00292
OG0000000	Praq	Prba.g_00269	Praq.g_00026
OG0000000	Prar	Prba.g_00269	Prar.g_00729
OG0000000	Praa	Prba.g_00269	Praa.g_01598
OG0000000	Prai	Prba.g_00269	Prai.g_01592
OG0000000	Prag	Prba.g_00269	Prag.g_01608
OG0000000	Praw	Prba.g_00269	Praw.g_00455
OG0000000	Prax	Prba.g_00269	Prax.g_01608
OG0000000	Pras	Prba.g_00269	Pras.g_00470
OG0000000	Prau	Prba.g_00269	Prau.g_01648
OG0000000	Prab	Prba.g_00269	Prab.g_01598
OG0000000	Pran	Prba.g_00269	Pran.g_00601
OG0000000	Prad	Prba.g_00269	Prad.g_00392
OG0000000	Prbd	Prba.g_00269	Prbd.g_01568
OG0000000	Prae	Prba.g_00269	Prae.g_01580
OG0000000	Prbi	Prba.g_00269	Prbi.g_01709
OG0000000	Pray	Prba.g_00269	Pray.g_01603
OG0000000	Praz	Prba.g_00269	Praz.g_00921
OG0000000	Praa	Prba.g_00003, Prba.g_00270	Praa.g_01597
OG0000000	Prbb	Prba.g_00003, Prba.g_00270	Prbb.g_00103
OG0000000	Praj	Prba.g_00003, Prba.g_00270	Praj.g_00087
OG0000000	Prbc	Prba.g_00003, Prba.g_00270	Prbc.g_00525
OG0000000	Prab	Prba.g_00003	Prab.g_01278
OG0000000	Prab	Prba.g_00270	Prab.g_01278
OG0000000	Prab	Prba.g_00003	Prab.g_01597
OG0000000	Prab	Prba.g_00270	Prab.g_01597
OG0000000	Prac	Prba.g_00003	Prac.g_00926
OG0000000	Prac	Prba.g_00270	Prac.g_00926
OG0000000	Prad	Prba.g_00003	Prad.g_00393
OG0000000	Prad	Prba.g_00270	Prad.g_00393
OG0000000	Prad	Prba.g_00003	Prad.g_01435
OG0000000	Prad	Prba.g_00270	Prad.g_01435
OG0000000	Prae	Prba.g_00003	Prae.g_01222
OG0000000	Prae	Prba.g_00270	Prae.g_01222
OG0000000	Prae	Prba.g_00003	Prae.g_01579
OG0000000	Prae	Prba.g_00270	Prae.g_01579
OG0000000	Prag	Prba.g_00003	Prag.g_01213
OG0000000	Prag	Prba.g_00270	Prag.g_01213
OG0000000	Prag	Prba.g_00003	Prag.g_01607
OG0000000	Prag	Prba.g_00270	Prag.g_01607
OG0000000	Prag	Prba.g_00003	Prag.g_01650
OG0000000	Prag	Prba.g_00270	Prag.g_01650
OG0000000	Prai	Prba.g_00003	Prai.g_00908
OG0000000	Prai	Prba.g_00270	Prai.g_00908
OG0000000	Prai	Prba.g_00003	Prai.g_01234
OG0000000	Prai	Prba.g_00270	Prai.g_01234
OG0000000	Prai	Prba.g_00003	Prai.g_01591
OG0000000	Prai	Prba.g_00270	Prai.g_01591
OG0000000	Prai	Prba.g_00003	Prai.g_01775
OG0000000	Prai	Prba.g_00270	Prai.g_01775
OG0000000	Pran	Prba.g_00003	Pran.g_00001
OG0000000	Pran	Prba.g_00270	Pran.g_00001
OG0000000	Pran	Prba.g_00003	Pran.g_00602
OG0000000	Pran	Prba.g_00270	Pran.g_00602
OG0000000	Prao	Prba.g_00003	Prao.g_01029
OG0000000	Prao	Prba.g_00270	Prao.g_01029
OG0000000	Praq	Prba.g_00003	Praq.g_00025
OG0000000	Praq	Prba.g_00270	Praq.g_00025
OG0000000	Praq	Prba.g_00003	Praq.g_01392
OG0000000	Praq	Prba.g_00270	Praq.g_01392
OG0000000	Prar	Prba.g_00003	Prar.g_01204
OG0000000	Prar	Prba.g_00270	Prar.g_01204
OG0000000	Pras	Prba.g_00003	Pras.g_00117
OG0000000	Pras	Prba.g_00270	Pras.g_00117
OG0000000	Pras	Prba.g_00003	Pras.g_00469
OG0000000	Pras	Prba.g_00270	Pras.g_00469
OG0000000	Prau	Prba.g_00003	Prau.g_01266
OG0000000	Prau	Prba.g_00270	Prau.g_01266
OG0000000	Prau	Prba.g_00003	Prau.g_01647
OG0000000	Prau	Prba.g_00270	Prau.g_01647
OG0000000	Prav	Prba.g_00003	Prav.g_01694
OG0000000	Prav	Prba.g_00270	Prav.g_01694
OG0000000	Prav	Prba.g_00003	Prav.g_01821
OG0000000	Prav	Prba.g_00270	Prav.g_01821
OG0000000	Praw	Prba.g_00003	Praw.g_00294
OG0000000	Praw	Prba.g_00270	Praw.g_00294
OG0000000	Praw	Prba.g_00003	Praw.g_00454
OG0000000	Praw	Prba.g_00270	Praw.g_00454
OG0000000	Praw	Prba.g_00003	Praw.g_00496
OG0000000	Praw	Prba.g_00270	Praw.g_00496
OG0000000	Prax	Prba.g_00003	Prax.g_00259
OG0000000	Prax	Prba.g_00270	Prax.g_00259
OG0000000	Prax	Prba.g_00003	Prax.g_01609
OG0000000	Prax	Prba.g_00270	Prax.g_01609
OG0000000	Pray	Prba.g_00003	Pray.g_00003
OG0000000	Pray	Prba.g_00270	Pray.g_00003
OG0000000	Pray	Prba.g_00003	Pray.g_01604
OG0000000	Pray	Prba.g_00270	Pray.g_01604
OG0000000	Praz	Prba.g_00003	Praz.g_00694
OG0000000	Praz	Prba.g_00270	Praz.g_00694
OG0000000	Praz	Prba.g_00003	Praz.g_00922
OG0000000	Praz	Prba.g_00270	Praz.g_00922
OG0000000	Prbd	Prba.g_00003	Prbd.g_00528
OG0000000	Prbi	Prba.g_00003	Prbi.g_01268
OG0000000	Prbi	Prba.g_00003	Prbi.g_01708
OG0000000	Prbd	Prba.g_00270	Prbd.g_00528
OG0000000	Prbi	Prba.g_00270	Prbi.g_01268
OG0000000	Prbi	Prba.g_00270	Prbi.g_01708
OG0000000	Prac	Prba.g_01172	Prac.g_00290
OG0000000	Praq	Prba.g_01172	Praq.g_00028
OG0000000	Prar	Prba.g_01172	Prar.g_00727
OG0000000	Prai	Prba.g_01172	Prai.g_01314
OG0000000	Prab	Prba.g_01172	Prab.g_01308
OG0000000	Pran	Prba.g_01172	Pran.g_00894
OG0000000	Prau	Prba.g_01172	Prau.g_01350
OG0000000	Prav	Prba.g_01172	Prav.g_01413
OG0000000	Praa	Prba.g_01172	Praa.g_01298
OG0000000	Prag	Prba.g_01172	Prag.g_01333
OG0000000	Prao	Prba.g_01172	Prao.g_01296
