Orthogroup	Species	Prbl	Orthologs
OG0000000	Syab	Prbl.g_00118, Prbl.g_00117	Syab.g_01226
OG0000000	Syal	Prbl.g_00118, Prbl.g_00117	Syal.g_01111, Syal.g_01832
OG0000000	Praj	Prbl.g_00118, Prbl.g_00117	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prbl.g_00118, Prbl.g_00117	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prbl.g_00118, Prbl.g_00117	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prbl.g_00118, Prbl.g_00117	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prbl.g_00118, Prbl.g_00117	Pram.g_01561
OG0000000	Prbh	Prbl.g_00118, Prbl.g_00117	Prbh.g_01853
OG0000000	Prai	Prbl.g_00118, Prbl.g_00117	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prbl.g_00118, Prbl.g_00117	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prbl.g_00118, Prbl.g_00117	Pran.g_00582
OG0000000	Prac	Prbl.g_00118, Prbl.g_00117	Prac.g_00159
OG0000000	Praq	Prbl.g_00118, Prbl.g_00117	Praq.g_00117
OG0000000	Prar	Prbl.g_00118, Prbl.g_00117	Prar.g_00971
OG0000000	Praa	Prbl.g_00118, Prbl.g_00117	Praa.g_01300
OG0000000	Prao	Prbl.g_00118, Prbl.g_00117	Prao.g_01294
OG0000000	Pras	Prbl.g_00118, Prbl.g_00117	Pras.g_00184
OG0000000	Prau	Prbl.g_00118, Prbl.g_00117	Prau.g_01352
OG0000000	Prax	Prbl.g_00118, Prbl.g_00117	Prax.g_01917
OG0000000	Pray	Prbl.g_00118, Prbl.g_00117	Pray.g_01888
OG0000000	Praz	Prbl.g_00118, Prbl.g_00117	Praz.g_01198
OG0000000	Prba	Prbl.g_00118, Prbl.g_00117	Prba.g_01174
OG0000000	Prbd	Prbl.g_00118, Prbl.g_00117	Prbd.g_01833
OG0000000	Prbi	Prbl.g_00118, Prbl.g_00117	Prbi.g_01373
OG0000000	Prae	Prbl.g_00118, Prbl.g_00117	Prae.g_01310
OG0000000	Prag	Prbl.g_00118, Prbl.g_00117	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prbl.g_00118, Prbl.g_00117	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prbl.g_00118, Prbl.g_00117	Prad.g_00352
OG0000000	Prav	Prbl.g_00118, Prbl.g_00117	Prav.g_01736, Prav.g_01415
OG0000000	Prat	Prbl.g_00118, Prbl.g_00117	Prat.g_00680, Prat.g_01191
OG0000000	Pral	Prbl.g_00118, Prbl.g_00117	Pral.g_01331
OG0000000	Praf	Prbl.g_00118	Praf.g_00815
OG0000000	Prah	Prbl.g_00118	Prah.g_01346
OG0000000	Prbj	Prbl.g_00118	Prbj.g_00166
OG0000000	Prbk	Prbl.g_00118	Prbk.g_00167
OG0000000	Prah	Prbl.g_00117	Prah.g_01347
OG0000000	Praf	Prbl.g_00117	Praf.g_00814
OG0000000	Prbj	Prbl.g_00117	Prbj.g_00165
OG0000000	Prbk	Prbl.g_00117	Prbk.g_00166
OG0000000	Pral	Prbl.g_00116	Pral.g_00037
OG0000000	Prak	Prbl.g_00116	Prak.g_01562
OG0000000	Prap	Prbl.g_00116	Prap.g_01862
OG0000000	Prbe	Prbl.g_00116	Prbe.g_01119
OG0000000	Prbf	Prbl.g_00116	Prbf.g_00776
OG0000000	Prbg	Prbl.g_00116	Prbg.g_01567
OG0000000	Prbn	Prbl.g_00116	Prbn.g_01662
OG0000000	Pram	Prbl.g_00116	Pram.g_01511
OG0000000	Prbh	Prbl.g_00116	Prbh.g_01903
OG0000000	Prac	Prbl.g_00116	Prac.g_00292
