Orthogroup	Species	Syae	Orthologs
OG0000001	Prax	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prax.g_01878
OG0000001	Prbi	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbi.g_01424
OG0000001	Prao	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prao.g_01254
OG0000001	Prav	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prav.g_01458
OG0000001	Prag	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prag.g_01374
OG0000001	Praw	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Praw.g_01000
OG0000001	Prad	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prad.g_00609
OG0000001	Prac	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prac.g_00202
OG0000001	Praq	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Praq.g_00160
OG0000001	Prar	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prar.g_00926
OG0000001	Prbd	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbd.g_01779
OG0000001	Prae	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prae.g_01353
OG0000001	Praa	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Praa.g_01351
OG0000001	Pray	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Pray.g_01844
OG0000001	Praz	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Praz.g_01154
OG0000001	Prba	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prba.g_00211
OG0000001	Prai	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prau.g_01394
OG0000001	Pras	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Pras.g_00235
OG0000001	Prbb	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbb.g_01611
OG0000001	Prbc	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbc.g_00588
OG0000001	Praj	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Praj.g_01549
OG0000001	Prbm	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbm.g_01633
OG0000001	Pral	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Pral.g_01236
OG0000001	Prat	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prak.g_01302
OG0000001	Prbg	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbg.g_00502
OG0000001	Prap	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prap.g_01925
OG0000001	Prbe	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbe.g_00400
OG0000001	Prbf	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbf.g_00068
OG0000001	Prbn	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbn.g_01213
OG0000001	Prbh	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbh.g_00001
OG0000001	Pram	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Pram.g_01954, Pram.g_01953
OG0000001	Syam	Syae.g_02061	Syam.g_00946
OG0000001	Syaf	Syae.g_02061	Syaf.g_01640
OG0000001	Syai	Syae.g_02061	Syai.g_01716
OG0000001	Syad	Syae.g_02061	Syad.g_00628
OG0000001	Syaj	Syae.g_02061	Syaj.g_02674
OG0000001	Syac	Syae.g_02061	Syac.g_02154
OG0000001	Syah	Syae.g_02061	Syah.g_00726
OG0000001	Syar	Syae.g_01416	Syar.g_00069
OG0000001	Syao	Syae.g_01416	Syao.g_00314
OG0000001	Syat	Syae.g_01416	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syae.g_01416	Syak.g_02139
OG0000001	Syag	Syae.g_01416	Syag.g_01942
