Orthogroup	Species	Syab	Orthologs
OG0000000	Praf	Syab.g_01226	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Syab.g_01226	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Syab.g_01226	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Syab.g_01226	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Syab.g_01226	Prbl.g_00118, Prbl.g_00117
OG0000000	Praj	Syab.g_01226	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Syab.g_01226	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Syab.g_01226	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Syab.g_01226	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Syab.g_01226	Pram.g_01561
OG0000000	Prbh	Syab.g_01226	Prbh.g_01853
OG0000000	Prai	Syab.g_01226	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Syab.g_01226	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Syab.g_01226	Pran.g_00582
OG0000000	Prac	Syab.g_01226	Prac.g_00159
OG0000000	Praq	Syab.g_01226	Praq.g_00117
OG0000000	Prar	Syab.g_01226	Prar.g_00971
OG0000000	Praa	Syab.g_01226	Praa.g_01300
OG0000000	Prao	Syab.g_01226	Prao.g_01294
OG0000000	Pras	Syab.g_01226	Pras.g_00184
OG0000000	Prau	Syab.g_01226	Prau.g_01352
OG0000000	Prax	Syab.g_01226	Prax.g_01917
OG0000000	Pray	Syab.g_01226	Pray.g_01888
OG0000000	Praz	Syab.g_01226	Praz.g_01198
OG0000000	Prba	Syab.g_01226	Prba.g_01174
OG0000000	Prbd	Syab.g_01226	Prbd.g_01833
OG0000000	Prbi	Syab.g_01226	Prbi.g_01373
OG0000000	Prae	Syab.g_01226	Prae.g_01310
OG0000000	Prag	Syab.g_01226	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Syab.g_01226	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Syab.g_01226	Prad.g_00352
OG0000000	Prav	Syab.g_01226	Prav.g_01736, Prav.g_01415
OG0000000	Prat	Syab.g_01226	Prat.g_00680, Prat.g_01191
OG0000000	Pral	Syab.g_01226	Pral.g_01331
OG0000000	Syal	Syab.g_01226	Syal.g_01111, Syal.g_01832
OG0000001	Prax	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prax.g_01878
OG0000001	Prbi	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prbi.g_01424
OG0000001	Prao	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prao.g_01254
OG0000001	Prav	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prav.g_01458
OG0000001	Prag	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prag.g_01374
OG0000001	Praw	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Praw.g_01000
OG0000001	Prad	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prad.g_00609
OG0000001	Prac	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prac.g_00202
OG0000001	Praq	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Praq.g_00160
OG0000001	Prar	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prar.g_00926
OG0000001	Prbd	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prbd.g_01779
OG0000001	Prae	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prae.g_01353
OG0000001	Praa	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Praa.g_01351
OG0000001	Pray	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Pray.g_01844
