Orthogroup	Species	Syaj	Orthologs
OG0000001	Prax	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prax.g_01878
OG0000001	Prbi	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbi.g_01424
OG0000001	Prao	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prao.g_01254
OG0000001	Prav	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prav.g_01458
OG0000001	Prag	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prag.g_01374
OG0000001	Praw	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Praw.g_01000
OG0000001	Prad	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prad.g_00609
OG0000001	Prac	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prac.g_00202
OG0000001	Praq	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Praq.g_00160
OG0000001	Prar	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prar.g_00926
OG0000001	Prbd	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbd.g_01779
OG0000001	Prae	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prae.g_01353
OG0000001	Praa	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Praa.g_01351
OG0000001	Pray	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Pray.g_01844
OG0000001	Praz	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Praz.g_01154
OG0000001	Prba	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prba.g_00211
OG0000001	Prai	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prau.g_01394
OG0000001	Pras	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Pras.g_00235
OG0000001	Prbb	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbb.g_01611
OG0000001	Prbc	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbc.g_00588
OG0000001	Praj	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Praj.g_01549
OG0000001	Prbm	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbm.g_01633
OG0000001	Pral	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Pral.g_01236
OG0000001	Prat	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prak.g_01302
OG0000001	Prbg	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbg.g_00502
OG0000001	Prap	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prap.g_01925
OG0000001	Prbe	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbe.g_00400
OG0000001	Prbf	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbf.g_00068
OG0000001	Prbn	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbn.g_01213
OG0000001	Prbh	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Prbh.g_00001
OG0000001	Pram	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660	Pram.g_01954, Pram.g_01953
OG0000001	Syam	Syaj.g_02674	Syam.g_00946
OG0000001	Syaf	Syaj.g_02674	Syaf.g_01640
OG0000001	Syai	Syaj.g_02674	Syai.g_01716
OG0000001	Syae	Syaj.g_02674	Syae.g_02061
OG0000001	Syac	Syaj.g_02674	Syac.g_02154
OG0000001	Syah	Syaj.g_02674	Syah.g_00726
OG0000001	Syad	Syaj.g_02674	Syad.g_00628
OG0000001	Syar	Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952	Syar.g_00069
OG0000001	Syao	Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952	Syao.g_00314
OG0000001	Syat	Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952	Syak.g_02139
OG0000001	Syaq	Syaj.g_01948, Syaj.g_01947	Syaq.g_01436
OG0000001	Syaa	Syaj.g_01948, Syaj.g_01947	Syaa.g_02435
OG0000001	Syad	Syaj.g_01948	Syad.g_02863
OG0000001	Syad	Syaj.g_01947	Syad.g_02862
OG0000001	Syag	Syaj.g_01949, Syaj.g_01952	Syag.g_01942
OG0000001	Syaq	Syaj.g_01949, Syaj.g_01952	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syal	Syaj.g_01949, Syaj.g_01952	Syal.g_02215
OG0000001	Praf	Syaj.g_01949, Syaj.g_01952	Praf.g_01031
OG0000001	Prah	Syaj.g_01949, Syaj.g_01952	Prah.g_01159
OG0000001	Syae	Syaj.g_01949, Syaj.g_01952	Syae.g_01416
OG0000001	Syam	Syaj.g_01949, Syaj.g_01952	Syam.g_02177
OG0000001	Syad	Syaj.g_01949, Syaj.g_01952	Syad.g_02864
OG0000001	Syaf	Syaj.g_01949	Syaf.g_00846
OG0000001	Syaa	Syaj.g_01949	Syaa.g_02437
OG0000001	Syah	Syaj.g_01949	Syah.g_01516
OG0000001	Syai	Syaj.g_01949	Syai.g_01197, Syai.g_02594
OG0000001	Syap	Syaj.g_01950	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syaj.g_01950	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syaj.g_01950	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syan	Syaj.g_01950	Syan.g_02266
OG0000001	Syar	Syaj.g_01950	Syar.g_00070
OG0000001	Syat	Syaj.g_01950	Syat.g_02908, Syat.g_02909
OG0000001	Syag	Syaj.g_01950	Syag.g_01943
OG0000001	Syaq	Syaj.g_01950	Syaq.g_01434
OG0000001	Syak	Syaj.g_01950	Syak.g_02138
OG0000001	Syab	Syaj.g_01950	Syab.g_02553, Syab.g_02555
