Orthogroup	Species	Praq	Orthologs
OG0000000	Praf	Praq.g_00117	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Praq.g_00117	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Praq.g_00117	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Praq.g_00117	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Praq.g_00117	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Praq.g_00117	Syab.g_01226
OG0000000	Syal	Praq.g_00117	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Praq.g_00117	Pral.g_01331
OG0000000	Prat	Praq.g_00117	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Praq.g_00117	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Praq.g_00117	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Praq.g_00117	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Praq.g_00117	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Praq.g_00117	Pram.g_01561
OG0000000	Prbh	Praq.g_00117	Prbh.g_01853
OG0000000	Prai	Praq.g_00117	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Praq.g_00117	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Praq.g_00117	Pran.g_00582
OG0000000	Prag	Praq.g_00117	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Praq.g_00117	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Praq.g_00117	Prad.g_00352
OG0000000	Prav	Praq.g_00117	Prav.g_01736, Prav.g_01415
OG0000000	Praa	Praq.g_00117	Praa.g_01300
OG0000000	Prao	Praq.g_00117	Prao.g_01294
OG0000000	Pras	Praq.g_00117	Pras.g_00184
OG0000000	Prau	Praq.g_00117	Prau.g_01352
OG0000000	Prax	Praq.g_00117	Prax.g_01917
OG0000000	Pray	Praq.g_00117	Pray.g_01888
OG0000000	Praz	Praq.g_00117	Praz.g_01198
OG0000000	Prba	Praq.g_00117	Prba.g_01174
OG0000000	Prbd	Praq.g_00117	Prbd.g_01833
OG0000000	Prbi	Praq.g_00117	Prbi.g_01373
OG0000000	Prae	Praq.g_00117	Prae.g_01310
OG0000000	Prac	Praq.g_00117	Prac.g_00159
OG0000000	Prar	Praq.g_00117	Prar.g_00971
OG0000000	Pral	Praq.g_01956, Praq.g_00026	Pral.g_00037
OG0000000	Prak	Praq.g_01956, Praq.g_00026	Prak.g_01562
OG0000000	Prap	Praq.g_01956, Praq.g_00026	Prap.g_01862
OG0000000	Prbe	Praq.g_01956, Praq.g_00026	Prbe.g_01119
OG0000000	Prbf	Praq.g_01956, Praq.g_00026	Prbf.g_00776
OG0000000	Prbg	Praq.g_01956, Praq.g_00026	Prbg.g_01567
OG0000000	Prbn	Praq.g_01956, Praq.g_00026	Prbn.g_01662
OG0000000	Pram	Praq.g_01956, Praq.g_00026	Pram.g_01511
OG0000000	Prbh	Praq.g_01956, Praq.g_00026	Prbh.g_01903
OG0000000	Prbc	Praq.g_01956	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Prbb	Praq.g_01956	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785
OG0000000	Prbm	Praq.g_01956	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808
OG0000000	Praj	Praq.g_01956	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730
OG0000000	Praa	Praq.g_01956	Praa.g_01235
OG0000000	Prbd	Praq.g_01956	Prbd.g_01914
OG0000000	Pray	Praq.g_01956	Pray.g_01576
OG0000000	Praz	Praq.g_01956	Praz.g_00894
OG0000000	Prba	Praq.g_01956	Prba.g_00243
OG0000000	Prad	Praq.g_01956	Prad.g_01982
OG0000000	Pras	Praq.g_01956	Pras.g_00493
OG0000000	Prau	Praq.g_01956	Prau.g_01665
OG0000000	Prai	Praq.g_01956	Prai.g_01612
OG0000000	Prac	Praq.g_01956	Prac.g_00277
OG0000000	Prar	Praq.g_01956	Prar.g_00713
OG0000000	Praj	Praq.g_00026	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Praq.g_00026	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Praq.g_00026	Prbc.g_02165
OG0000000	Prbm	Praq.g_00026	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Praq.g_00026	Prat.g_01549
OG0000000	Praf	Praq.g_00026	Praf.g_00813
OG0000000	Prah	Praq.g_00026	Prah.g_01348
OG0000000	Prbj	Praq.g_00026	Prbj.g_00164
OG0000000	Prbk	Praq.g_00026	Prbk.g_00165
OG0000000	Prbl	Praq.g_00026	Prbl.g_00116
OG0000000	Prao	Praq.g_00026	Prao.g_01515
OG0000000	Prav	Praq.g_00026	Prav.g_01695
OG0000000	Prab	Praq.g_00026	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Praq.g_00026	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Praq.g_00026	Prag.g_00721, Prag.g_01648, Prag.g_01608
OG0000000	Praw	Praq.g_00026	Praw.g_01780, Praw.g_00494, Praw.g_00455
OG0000000	Praa	Praq.g_00026	Praa.g_01598
OG0000000	Pras	Praq.g_00026	Pras.g_00470
OG0000000	Prau	Praq.g_00026	Prau.g_01648
OG0000000	Prad	Praq.g_00026	Prad.g_00392
OG0000000	Prbd	Praq.g_00026	Prbd.g_01568
OG0000000	Prae	Praq.g_00026	Prae.g_01580
OG0000000	Prbi	Praq.g_00026	Prbi.g_01709
OG0000000	Pray	Praq.g_00026	Pray.g_01603
OG0000000	Praz	Praq.g_00026	Praz.g_00921
OG0000000	Prba	Praq.g_00026	Prba.g_00269
OG0000000	Prax	Praq.g_00026	Prax.g_01608
OG0000000	Prai	Praq.g_00026	Prai.g_01592
OG0000000	Prac	Praq.g_00026	Prac.g_00292
OG0000000	Prar	Praq.g_00026	Prar.g_00729
OG0000000	Praa	Praq.g_00025, Praq.g_01392	Praa.g_01597
OG0000000	Prbb	Praq.g_00025, Praq.g_01392	Prbb.g_00103
OG0000000	Praj	Praq.g_00025, Praq.g_01392	Praj.g_00087
OG0000000	Prbc	Praq.g_00025, Praq.g_01392	Prbc.g_00525
OG0000000	Prab	Praq.g_00025	Prab.g_01278
OG0000000	Prab	Praq.g_01392	Prab.g_01278
OG0000000	Prab	Praq.g_00025	Prab.g_01597
OG0000000	Prab	Praq.g_01392	Prab.g_01597
OG0000000	Prac	Praq.g_00025	Prac.g_00926
OG0000000	Prac	Praq.g_01392	Prac.g_00926
OG0000000	Prad	Praq.g_00025	Prad.g_00393
OG0000000	Prad	Praq.g_01392	Prad.g_00393
OG0000000	Prad	Praq.g_00025	Prad.g_01435
OG0000000	Prad	Praq.g_01392	Prad.g_01435
OG0000000	Prae	Praq.g_00025	Prae.g_01222
OG0000000	Prae	Praq.g_01392	Prae.g_01222
OG0000000	Prae	Praq.g_00025	Prae.g_01579
OG0000000	Prae	Praq.g_01392	Prae.g_01579
OG0000000	Prag	Praq.g_00025	Prag.g_01213
OG0000000	Prag	Praq.g_01392	Prag.g_01213
OG0000000	Prag	Praq.g_00025	Prag.g_01607
OG0000000	Prag	Praq.g_01392	Prag.g_01607
OG0000000	Prag	Praq.g_00025	Prag.g_01650
OG0000000	Prag	Praq.g_01392	Prag.g_01650
OG0000000	Prai	Praq.g_00025	Prai.g_00908
OG0000000	Prai	Praq.g_01392	Prai.g_00908
OG0000000	Prai	Praq.g_00025	Prai.g_01234
OG0000000	Prai	Praq.g_01392	Prai.g_01234
OG0000000	Prai	Praq.g_00025	Prai.g_01591
OG0000000	Prai	Praq.g_01392	Prai.g_01591
OG0000000	Prai	Praq.g_00025	Prai.g_01775
OG0000000	Prai	Praq.g_01392	Prai.g_01775
OG0000000	Pran	Praq.g_00025	Pran.g_00001
OG0000000	Pran	Praq.g_01392	Pran.g_00001
OG0000000	Pran	Praq.g_00025	Pran.g_00602
OG0000000	Pran	Praq.g_01392	Pran.g_00602
OG0000000	Prao	Praq.g_00025	Prao.g_01029
OG0000000	Prao	Praq.g_01392	Prao.g_01029
OG0000000	Prar	Praq.g_00025	Prar.g_01204
OG0000000	Pras	Praq.g_00025	Pras.g_00117
OG0000000	Pras	Praq.g_00025	Pras.g_00469
OG0000000	Prau	Praq.g_00025	Prau.g_01266
OG0000000	Prau	Praq.g_00025	Prau.g_01647
OG0000000	Prav	Praq.g_00025	Prav.g_01694
OG0000000	Prav	Praq.g_00025	Prav.g_01821
OG0000000	Praw	Praq.g_00025	Praw.g_00294
OG0000000	Praw	Praq.g_00025	Praw.g_00454
OG0000000	Praw	Praq.g_00025	Praw.g_00496
OG0000000	Prax	Praq.g_00025	Prax.g_00259
OG0000000	Prax	Praq.g_00025	Prax.g_01609
OG0000000	Pray	Praq.g_00025	Pray.g_00003
OG0000000	Pray	Praq.g_00025	Pray.g_01604
OG0000000	Praz	Praq.g_00025	Praz.g_00694
OG0000000	Praz	Praq.g_00025	Praz.g_00922
OG0000000	Prba	Praq.g_00025	Prba.g_00003
OG0000000	Prba	Praq.g_00025	Prba.g_00270
OG0000000	Prbd	Praq.g_00025	Prbd.g_00528
OG0000000	Prbi	Praq.g_00025	Prbi.g_01268
OG0000000	Prbi	Praq.g_00025	Prbi.g_01708
OG0000000	Prar	Praq.g_01392	Prar.g_01204
OG0000000	Pras	Praq.g_01392	Pras.g_00117
OG0000000	Pras	Praq.g_01392	Pras.g_00469
OG0000000	Prau	Praq.g_01392	Prau.g_01266
OG0000000	Prau	Praq.g_01392	Prau.g_01647
OG0000000	Prav	Praq.g_01392	Prav.g_01694
OG0000000	Prav	Praq.g_01392	Prav.g_01821
OG0000000	Praw	Praq.g_01392	Praw.g_00294
OG0000000	Praw	Praq.g_01392	Praw.g_00454
OG0000000	Praw	Praq.g_01392	Praw.g_00496
OG0000000	Prax	Praq.g_01392	Prax.g_00259
OG0000000	Prax	Praq.g_01392	Prax.g_01609
OG0000000	Pray	Praq.g_01392	Pray.g_00003
OG0000000	Pray	Praq.g_01392	Pray.g_01604
OG0000000	Praz	Praq.g_01392	Praz.g_00694
OG0000000	Praz	Praq.g_01392	Praz.g_00922
OG0000000	Prba	Praq.g_01392	Prba.g_00003
OG0000000	Prba	Praq.g_01392	Prba.g_00270
OG0000000	Prbd	Praq.g_01392	Prbd.g_00528
OG0000000	Prbi	Praq.g_01392	Prbi.g_01268
OG0000000	Prbi	Praq.g_01392	Prbi.g_01708
OG0000000	Prac	Praq.g_00115	Prac.g_00157
OG0000000	Prar	Praq.g_00115	Prar.g_00973
OG0000000	Prab	Praq.g_00028	Prab.g_01308
OG0000000	Pran	Praq.g_00028	Pran.g_00894
OG0000000	Prau	Praq.g_00028	Prau.g_01350
